,acn,aeu,ahk,atb,bzi,lhi,lhu,lis,lsi,mhx,mya
acn,3.8914403074749413,1.6949512515092504,2.7577262595515446,2.2852548397720907,2.984064277130301,3.4405699231579647,3.5747448780358106,3.8883476755010458,3.446297328384967,1.2671757155743901,2.7112716973561555
aeu,3.8914403074749413,1.6949512515092504,2.7577262595515446,2.2852548397720907,2.984064277130301,3.4405699231579647,3.5747448780358106,3.8883476755010458,3.446297328384967,1.2671757155743901,2.7112716973561555
ahk,3.8914403074749413,1.6949512515092504,2.7577262595515446,2.2852548397720907,2.984064277130301,3.4405699231579647,3.5747448780358106,3.8883476755010458,3.446297328384967,1.2671757155743901,2.7112716973561555
atb,3.8914403074749413,1.6949512515092504,2.7577262595515446,2.2852548397720907,2.984064277130301,3.4405699231579647,3.5747448780358106,3.8883476755010458,3.446297328384967,1.2671757155743901,2.7112716973561555
bzi,3.8914403074749413,1.6949512515092504,2.7577262595515446,2.2852548397720907,2.984064277130301,3.4405699231579647,3.5747448780358106,3.8883476755010458,3.446297328384967,1.2671757155743901,2.7112716973561555
lhi,3.8914403074749413,1.6949512515092504,2.7577262595515446,2.2852548397720907,2.984064277130301,3.4405699231579647,3.5747448780358106,3.8883476755010458,3.446297328384967,1.2671757155743901,2.7112716973561555
lhu,3.8914403074749413,1.6949512515092504,2.7577262595515446,2.2852548397720907,2.984064277130301,3.4405699231579647,3.5747448780358106,3.8883476755010458,3.446297328384967,1.2671757155743901,2.7112716973561555
lis,3.8914403074749413,1.6949512515092504,2.7577262595515446,2.2852548397720907,2.984064277130301,3.4405699231579647,3.5747448780358106,3.8883476755010458,3.446297328384967,1.2671757155743901,2.7112716973561555
lsi,3.8914403074749413,1.6949512515092504,2.7577262595515446,2.2852548397720907,2.984064277130301,3.4405699231579647,3.5747448780358106,3.8883476755010458,3.446297328384967,1.2671757155743901,2.7112716973561555
mhx,3.8914403074749413,1.6949512515092504,2.7577262595515446,2.2852548397720907,2.984064277130301,3.4405699231579647,3.5747448780358106,3.8883476755010458,3.446297328384967,1.2671757155743901,2.7112716973561555
mya,3.8914403074749413,1.6949512515092504,2.7577262595515446,2.2852548397720907,2.984064277130301,3.4405699231579647,3.5747448780358106,3.8883476755010458,3.446297328384967,1.2671757155743901,2.7112716973561555
