,acf,cat,cbk,crs,fra,hat,ita,lat,mfe,pap,por,ron,spa
acf,2.2071166558196524,2.6381356095391593,4.107202055992481,4.292821494935828,2.744063004615786,1.6980498292695092,3.113768563553593,0.153084220487712,3.710447409072805,3.0549785935159366,3.1517176813074914,2.9074413148691733,3.20555128033538
cat,2.2071166558196524,2.6381356095391593,5.9069244501660005,4.587045426537016,2.744063004615786,1.6980498292695092,7.393915588854892,0.14770440598640525,3.6718370850944066,3.0549785935159366,6.918109836801974,2.9074413148691733,8.433993777623979
cbk,2.2071166558196524,2.6381356095391593,8.908534221478472,4.444545093051548,2.744063004615786,1.6980498292695092,5.334099193718732,0.14753601763821883,3.505826012333778,3.0549785935159366,6.156072825694043,2.9074413148691733,7.171118551268976
crs,2.2071166558196524,2.6381356095391593,3.9229455431683635,4.408608082556076,2.744063004615786,1.6980498292695092,3.442197782907213,0.16283329691717957,3.5971787339200088,3.0549785935159366,3.372781707289527,2.9074413148691733,3.695977552799648
fra,2.2071166558196524,2.6381356095391593,6.119964834798823,4.545603960754487,2.744063004615786,1.6980498292695092,8.983230018311978,0.15029489433984639,3.4811004868910103,3.0549785935159366,8.807773785412738,2.9074413148691733,10.58627779887771
hat,2.2071166558196524,2.6381356095391593,3.8357457286922103,4.498945768759353,2.744063004615786,1.6980498292695092,3.3673063336441,0.14736705074415674,3.6002515489560603,3.0549785935159366,2.3887936681340185,2.9074413148691733,3.1809727621295134
ita,2.2071166558196524,2.6381356095391593,6.178277153483587,4.228135939187198,2.744063004615786,1.6980498292695092,16.96743772513436,0.15557421131105614,3.6733770547552096,3.0549785935159366,8.47968846892871,2.9074413148691733,10.52746341015122
lat,2.2071166558196524,2.6381356095391593,5.49700067492822,4.33539852626955,2.744063004615786,1.6980498292695092,7.326939231471861,0.13869308740728142,3.6387890690670264,3.0549785935159366,5.702374759434899,2.9074413148691733,6.422074118698232
mfe,2.2071166558196524,2.6381356095391593,4.323972192115913,4.347922343150172,2.744063004615786,1.6980498292695092,3.853265063626135,0.14166278764790938,3.672447996928522,3.0549785935159366,3.174577144715655,2.9074413148691733,3.6737060269123294
pap,2.2071166558196524,2.6381356095391593,5.554023096295898,4.5238769473701925,2.744063004615786,1.6980498292695092,4.885907745065454,0.15795007725951196,3.7471941234697774,3.0549785935159366,5.578678268972168,2.9074413148691733,6.414881967079999
por,2.2071166558196524,2.6381356095391593,6.757851808471091,4.436052598708463,2.744063004615786,1.6980498292695092,7.952132881033183,0.15029489433984639,3.383745288651259,3.0549785935159366,9.76344366125996,2.9074413148691733,9.88100215999294
ron,2.2071166558196524,2.6381356095391593,5.558633882086145,4.393548264105986,2.744063004615786,1.6980498292695092,6.810807976736124,0.15267607001051034,3.5333273296313408,3.0549785935159366,8.107665469936567,2.9074413148691733,9.459145357575151
spa,2.2071166558196524,2.6381356095391593,8.03536959478073,4.405638398566488,2.744063004615786,1.6980498292695092,9.615452408679296,0.1604659039843703,3.629429229796547,3.0549785935159366,9.627148936779712,2.9074413148691733,12.643576304351342
