,alt,azb,bak,chv,crh,gag,kaa,kaz,kjh,krc,kum,nog,sah,tat,tuk,tur,tyv,uig,uzn
alt,16.07480241781524,18.746820788724598,20.62587983018844,17.73010807799014,18.184716527355313,18.147075838562507,18.303538278133512,17.231737929112352,19.557063408223527,17.187366833760844,18.388582620696557,17.963595877337276,18.42967825569617,17.986260727828462,11.207564463409435,16.835742847738935,15.274981395813588,15.869823185193413,19.410040148478398
azb,16.07480241781524,18.746820788724598,20.449661135494967,17.73010807799014,18.184716527355313,18.147075838562507,18.51992341860351,17.231737929112352,19.557063408223527,17.187366833760844,18.388582620696557,17.94313962984717,18.42967825569617,18.021446492963992,11.175653016779645,16.835742847738935,15.256691344477472,15.869823185193413,18.064871207006796
bak,16.07480241781524,18.746820788724598,20.603934678303357,17.73010807799014,18.184716527355313,18.147075838562507,18.55231174164019,17.231737929112352,19.557063408223527,17.187366833760844,18.388582620696557,17.955656932874103,18.42967825569617,17.9608538800196,11.217579546351693,16.835742847738935,15.29138635087571,15.869823185193413,18.9950173110578
chv,16.07480241781524,18.746820788724598,20.60227567780158,17.73010807799014,18.184716527355313,18.147075838562507,18.53946828610045,17.231737929112352,19.557063408223527,17.187366833760844,18.388582620696557,17.953101410066115,18.42967825569617,17.991976458322927,11.210430212781104,16.835742847738935,15.286295964532567,15.869823185193413,19.33002542653918
crh,16.07480241781524,18.746820788724598,20.61275277538176,17.73010807799014,18.184716527355313,18.147075838562507,18.180479160844126,17.231737929112352,19.557063408223527,17.187366833760844,18.388582620696557,17.939392164725877,18.42967825569617,17.954250317981028,11.220499348439104,16.835742847738935,15.281839139393579,15.869823185193413,19.178402576782684
gag,16.07480241781524,18.746820788724598,20.615901302110622,17.73010807799014,18.184716527355313,18.147075838562507,18.3244359051072,17.231737929112352,19.557063408223527,17.187366833760844,18.388582620696557,17.94313962984717,18.42967825569617,17.996550142512806,11.179616565761988,16.835742847738935,15.256691344477472,15.869823185193413,19.201026868893532
kaa,16.07480241781524,18.746820788724598,20.607911245258066,17.73010807799014,18.184716527355313,18.147075838562507,18.312273291760533,17.231737929112352,19.557063408223527,17.187366833760844,18.388582620696557,17.94483612412633,18.42967825569617,17.982984958153477,11.206226754058997,16.835742847738935,15.271028398703343,15.869823185193413,18.953445664007493
kaz,16.07480241781524,18.746820788724598,20.61785318806268,17.73010807799014,18.184716527355313,18.147075838562507,18.5156614483722,17.231737929112352,19.557063408223527,17.187366833760844,18.388582620696557,17.94313962984717,18.42967825569617,17.99196335703294,11.182827861267615,16.835742847738935,15.256691344477472,15.869823185193413,19.19876601359027
kjh,16.07480241781524,18.746820788724598,20.61069803434279,17.73010807799014,18.184716527355313,18.147075838562507,18.39760754731639,17.231737929112352,19.557063408223527,17.187366833760844,18.388582620696557,17.983502783701542,18.42967825569617,17.964936174470132,11.241229059814902,16.835742847738935,15.3043652108459,15.869823185193413,18.9621788720394
krc,16.07480241781524,18.746820788724598,20.619373478294296,17.73010807799014,18.184716527355313,18.147075838562507,18.11014997494964,17.231737929112352,19.557063408223527,17.187366833760844,18.388582620696557,17.94313962984717,18.42967825569617,17.985871473245503,11.170268935728945,16.835742847738935,15.256691344477472,15.869823185193413,19.04150217885171
kum,16.07480241781524,18.746820788724598,20.61785318806268,17.73010807799014,18.184716527355313,18.147075838562507,18.050088861964074,17.231737929112352,19.557063408223527,17.187366833760844,18.388582620696557,17.94313962984717,18.42967825569617,18.012034435618254,11.170684555368874,16.835742847738935,15.256691344477472,15.869823185193413,19.25666225830157
nog,16.07480241781524,18.746820788724598,20.619984367095757,17.73010807799014,18.184716527355313,18.147075838562507,18.161965469504153,17.231737929112352,19.557063408223527,17.187366833760844,18.388582620696557,17.94313962984717,18.42967825569617,18.010022948879747,11.168262467188564,16.835742847738935,15.256691344477472,15.869823185193413,19.00747224495274
sah,16.07480241781524,18.746820788724598,20.61785318806268,17.73010807799014,18.184716527355313,18.147075838562507,18.572943859748158,17.231737929112352,19.557063408223527,17.187366833760844,18.388582620696557,17.94313962984717,18.42967825569617,17.99537781464715,11.16696651619371,16.835742847738935,15.256691344477472,15.869823185193413,19.185070637808668
tat,16.07480241781524,18.746820788724598,20.610146015647288,17.73010807799014,18.184716527355313,18.147075838562507,18.313307514097215,17.231737929112352,19.557063408223527,17.187366833760844,18.388582620696557,17.950786280391615,18.42967825569617,17.972278523363737,11.243924165653143,16.835742847738935,15.307311685611882,15.869823185193413,19.510848817176544
tuk,16.07480241781524,18.746820788724598,19.335739813081045,17.73010807799014,18.184716527355313,18.147075838562507,18.48011212292443,17.231737929112352,19.557063408223527,17.187366833760844,18.388582620696557,18.004723499006996,18.42967825569617,16.628991077769662,11.49068849243282,16.835742847738935,17.49595282585266,15.869823185193413,18.202304865305592
tur,16.07480241781524,18.746820788724598,19.503778427252946,17.73010807799014,18.184716527355313,18.147075838562507,18.28836598948287,17.230199872604747,19.557063408223527,17.187366833760844,18.388582620696557,18.08794126443224,18.42967825569617,16.45354772250642,11.733183367777643,16.835742847738935,17.61643513422539,15.869823185193413,18.69421300803138
tyv,16.07480241781524,18.746820788724598,20.619124060097022,17.73010807799014,18.184716527355313,18.147075838562507,18.256783926284626,17.231737929112352,19.557063408223527,17.187366833760844,18.388582620696557,17.94313962984717,18.42967825569617,17.995176621115366,11.16696651619371,16.835742847738935,15.256691344477472,15.869823185193413,18.63451843481666
uig,16.07480241781524,18.746820788724598,20.616393961286015,17.73010807799014,18.184716527355313,18.147075838562507,18.4588724166542,17.231737929112352,19.557063408223527,17.187366833760844,18.388582620696557,17.94313962984717,18.42967825569617,17.99537781464715,11.16696651619371,16.835742847738935,15.256691344477472,15.869823185193413,19.094071870502535
uzn,16.07480241781524,18.746820788724598,20.626484888012975,17.73010807799014,18.184716527355313,18.147075838562507,18.084227439510784,17.231737929112352,19.557063408223527,17.187366833760844,18.388582620696557,17.94313962984717,18.42967825569617,17.995220857766515,11.172122603372896,16.835742847738935,15.256691344477472,15.869823185193413,19.306692995062114
