,alt,azb,bak,chv,crh,gag,kaa,kaz,kjh,krc,kum,nog,sah,tat,tuk,tur,tyv,uig,uzn
alt,1.3041013387164835,1.8926322517059129,4.187818796088772,2.7590094850147477,3.026318577508163,0.9685256877407233,3.0040001575118818,3.9312430743629188,3.1462407792728495,2.4459593426325017,2.750187520539386,2.6802727415744467,3.8797224573236644,3.514422950454533,0.37930422138535774,2.719152022695887,2.99749248901441,3.053075665803778,2.8321621791916742
azb,1.3041013387164835,1.8926322517059129,3.9367140909190863,2.7590094850147477,3.026318577508163,0.9685256877407233,2.701111491802842,3.9312430743629188,3.1462407792728495,2.4459593426325017,2.750187520539386,2.6674114572444982,3.8797224573236644,3.3384129931819073,0.37378135330582585,2.719152022695887,3.0079837574014174,3.053075665803778,2.8557772581391974
bak,1.3041013387164835,1.8926322517059129,4.183629972081888,2.7590094850147477,3.026318577508163,0.9685256877407233,2.925175630307761,3.9312430743629188,3.1462407792728495,2.4459593426325017,2.750187520539386,2.669672592602906,3.8797224573236644,3.5080307134307396,0.3754224529361809,2.719152022695887,3.0048638298122676,3.053075665803778,3.1055312216344024
chv,1.3041013387164835,1.8926322517059129,4.170069813418061,2.7590094850147477,3.026318577508163,0.9685256877407233,2.985310429268296,3.9312430743629188,3.1462407792728495,2.4459593426325017,2.750187520539386,2.6577908274450603,3.8797224573236644,3.5299397270537924,0.3759086999602176,2.719152022695887,2.982025404651702,3.053075665803778,3.0074783132614016
crh,1.3041013387164835,1.8926322517059129,4.181557311119079,2.7590094850147477,3.026318577508163,0.9685256877407233,2.8260816041068333,3.9312430743629188,3.1462407792728495,2.4459593426325017,2.750187520539386,2.6531012574007864,3.8797224573236644,3.5199008256131803,0.37818574388967274,2.719152022695887,2.9933658782383037,3.053075665803778,2.4439842304086072
gag,1.3041013387164835,1.8926322517059129,4.185425090468614,2.7590094850147477,3.026318577508163,0.9685256877407233,2.9395963279999946,3.9312430743629188,3.1462407792728495,2.4459593426325017,2.750187520539386,2.6674114572444982,3.8797224573236644,3.522694722284464,0.37500938483556184,2.719152022695887,3.0079837574014174,3.053075665803778,2.4804143713538958
kaa,1.3041013387164835,1.8926322517059129,4.171080227635704,2.7590094850147477,3.026318577508163,0.9685256877407233,3.046256889588814,3.9312430743629188,3.1462407792728495,2.4459593426325017,2.750187520539386,2.6534501440375102,3.8797224573236644,3.526552227386521,0.376618199484475,2.719152022695887,2.981517049433664,3.053075665803778,2.787264089758543
kaz,1.3041013387164835,1.8926322517059129,4.185404013627355,2.7590094850147477,3.026318577508163,0.9685256877407233,3.0918342321820305,3.9312430743629188,3.1462407792728495,2.4459593426325017,2.750187520539386,2.6674114572444982,3.8797224573236644,3.5282929039883664,0.3738926474534281,2.719152022695887,3.0079837574014174,3.053075665803778,3.032518323079964
kjh,1.3041013387164835,1.8926322517059129,4.182427377793756,2.7590094850147477,3.026318577508163,0.9685256877407233,3.0365585016105077,3.9312430743629188,3.1462407792728495,2.4459593426325017,2.750187520539386,2.6990815155862466,3.8797224573236644,3.5228542614294716,0.37922227973217687,2.719152022695887,3.0081222234855853,3.053075665803778,2.7704648487307497
krc,1.3041013387164835,1.8926322517059129,4.185559611660249,2.7590094850147477,3.026318577508163,0.9685256877407233,2.649739319146233,3.9312430743629188,3.1462407792728495,2.4459593426325017,2.750187520539386,2.6674114572444982,3.8797224573236644,3.494405247415798,0.37378135330582585,2.719152022695887,3.0079837574014174,3.053075665803778,2.467860535388295
