,acf,bzj,cab,car,crs,djk,ewe,fas,fin,fon,fra,fuv,guc,gul,hat,ibo,icr,jam,kor,kri,ktu,mai,mfe,mlg,pap,pcm,por,sag,spa,sqi,srm,srn,swh,tam,tpi,twi,yom,yor,zul
acf,24.11165347087937,11.772169230817594,13.18278449913188,11.12666364695095,14.245103292562877,11.635433392001516,12.8505975924839,8.44488701187277,10.666235978641954,13.851629334771376,12.787077685872966,9.940171054805708,12.41211499331394,11.269560812659432,17.463448855149384,14.283850390066137,11.336204523476077,12.135908404741686,7.639981368397625,12.31746606762924,10.945786318688821,10.528713411641549,13.944143202054088,10.693198167229168,11.910179243360194,11.165688404107296,12.01014289184858,13.204864822382286,11.190431045899967,11.39890138882528,13.208527050137114,9.711983081478676,12.145367209562783,11.30239670424823,13.07747102577282,10.119648369867638,12.919080006372045,12.34665918108011,12.301423196974858
bzj,14.143194051198732,24.395911531285492,12.994739985136738,10.380939160670215,12.858047444529017,14.181554613367032,13.190502054596884,7.980926313346569,11.96536160474675,12.533325351865056,12.0869359652872,10.777603149871368,12.038657274062755,13.842020096867106,12.595098449606601,15.523119919598424,17.15299719726503,17.975944863496043,9.992213732100527,15.282145188057138,11.488218023982505,11.215067137083926,12.731467067885536,12.048354293834743,12.625231496339469,15.297898572418344,11.993161004217455,12.273784618495164,10.58680483442502,12.374276861088015,13.051902296473836,14.125149118859962,11.890729424497355,11.003683967438551,15.63858115371663,10.214689187398436,13.770676041881465,12.50818856315819,13.074144185247553
cab,10.181825815254843,11.15687540101514,23.50588350800453,10.53744123440428,9.799131655002583,10.746978140804487,10.647797276697172,8.733760108111865,11.580230886344623,11.231632388434724,10.998191899108372,9.444549021854856,13.88555026255212,10.728218011228188,12.846612892322732,13.408046361093701,10.662539875218467,11.015375249019732,7.45454038661967,11.47003338524316,11.888870364522324,9.594266624414056,9.60336955568167,12.394353666546513,12.183705913889495,9.946082826150151,11.655455279416822,11.058365941749242,11.235033263614774,10.754414621951765,13.012756647795634,10.638086976951875,12.0337112117373,8.47356803434028,12.711251452893126,10.744117156528647,12.816938407837528,9.849808019215258,12.64970627865084
car,10.646799036538878,10.636823926454426,11.009391585976052,22.332291758546944,11.622986032342222,10.807561411235397,12.096695759692627,7.6381747795024495,11.11739564933342,11.512675620228332,10.94315674885126,10.399971727367154,13.116034083441082,10.350190066771884,11.69428206940169,12.015730236920525,11.855873136660797,10.799368510325735,6.8965958618073175,10.37543986289954,12.351111755070795,8.013680664139027,10.705703476853381,13.626062917939866,12.718044269081885,10.974720136481539,12.56121765715074,10.821673627639067,10.44018185998665,11.134644145760568,11.69430562498388,12.186368379723685,11.97613451830098,7.436079473462793,12.907536206517715,11.121124640809354,12.401859029395114,10.59285565313547,11.962007217411436
crs,17.002455433225368,14.017224225047126,14.720472788357524,11.82911601184312,29.33613664573549,13.747303390784847,13.964036751618403,9.1400933267078,12.931706070867994,13.291666542065931,15.368029758686763,10.858757438400751,12.337643188232933,14.273695961166032,19.188257935249478,14.758634796132705,13.603444459399903,13.887599692257472,8.944753004136189,13.635717369510182,13.207795066882586,9.022551734937464,22.966872144083794,13.570298537461563,15.124130633816424,14.244706127545403,14.489519274561824,14.24780388737731,13.363691108538562,13.345451009894177,13.359471408571174,14.016414051875925,13.447389861903176,9.449821924964416,14.871052488728212,12.47246287821456,15.417667759281729,12.438478636302477,14.40277443285497
djk,11.3140688189838,12.368490781041384,10.302479801745108,10.876024886735681,10.212539990980948,19.713028419836622,11.176471082168023,8.800685319396441,10.75886224419345,10.398052817894898,10.244712136088651,10.222361254012846,11.13992814178947,11.077894918446336,11.485137168228787,11.853034747881557,12.712911748940249,13.059508898297885,8.263411621089674,11.836742816427629,11.179134590859823,8.958229037963036,9.435952779436642,11.127689103801957,11.466521603231746,10.992611521271249,11.315983200978163,11.803322882840881,10.317105368083057,10.648832683039176,15.09082521025758,14.425997583543944,11.355203677474758,10.459436381559296,12.409702725464633,10.039900697887115,11.482331191579469,10.335175062096177,12.878435871960404
eng,11.38662670390385,11.584356037392148,10.566472683444475,10.888447718268024,10.78092510766518,12.522192421200467,11.77203242544623,6.77638036997867,11.572579603574463,9.307540769588789,13.907960670349336,9.82745244490664,9.973641290171559,15.694887368868333,11.305394871071684,11.012411264033654,14.636284849271805,11.72866414376722,7.263545171747889,10.713821795208322,10.836366372604708,7.561880380230563,11.411793700369595,13.233966853034923,13.005414476205873,14.556808205676901,13.794313364272556,11.331961183538425,12.315069733033017,9.830559513629963,11.59613156153383,11.778626978750966,10.007981887772509,8.189220898601443,14.56349562718513,9.769111500893485,9.969606189226594,11.945624312077445,11.444025178744319
ewe,11.463117527947794,11.36604344352975,11.989547857212496,10.776491860990028,10.175555201345297,11.55302752200964,20.03146146348085,8.275864353063888,10.531047026693772,13.892941301558057,11.107734890729285,11.196220698619255,12.076995851916685,11.67304280685488,11.060525179549574,13.099841339061918,11.42329173389239,11.760745452173127,8.241848614566798,11.80018381769083,12.861605187701757,10.38501888151721,10.643946776276334,11.094661487764402,12.448191772881518,11.333553310743996,11.296927491430774,10.73035495720049,9.46412048660161,10.05372262995612,12.219412823705232,12.098958790220037,13.746220116088903,10.902357824055382,11.373932445400987,13.212042814363885,13.628926882285288,12.226131231638481,12.803507194854518
fas,2.8905359604158885,5.312141260314539,4.3144584345459345,3.408776643330913,3.4867906462454252,4.948316246820498,10.517143280217313,17.048044596444072,3.14856446210249,5.742650333842172,3.241470122523663,5.47207431338651,9.902978558602697,5.211559050436901,4.524867906910442,7.024932257721205,2.7223365463679157,2.888464673311001,7.767695826432453,5.310618816962505,3.390557458809469,11.267679102015345,7.605776708281565,2.7983067900141783,3.022225554282186,6.193735041452762,3.4913444169951737,4.5091024479104,3.5725745316906443,3.085432799380951,3.6925990679985823,4.732121693136017,3.345920235003077,11.711868344878598,4.060758479842608,3.1229978622862578,2.669403902928549,4.738483022163526,2.4810862937477642
fin,11.4475434836359,12.704147107094174,14.797265781711312,12.376747213132981,11.832339562959039,12.984304096678683,13.486112326837281,9.145617628500185,25.9570906856686,12.515968852919348,13.258108109529045,10.800007325983096,14.032371200712355,12.859702034724954,12.720093336450308,14.439957767350176,12.460416414518251,12.248257445279927,7.699631527718608,12.612959464280637,12.6335030006197,10.538110980161695,10.939877014305315,14.253667005396434,13.61926298578695,11.747921037643462,13.162730117868072,13.110518582820195,11.776554471223644,12.36268034508273,13.396452527507545,13.12815367607933,14.233858229454455,8.164993348623653,14.582097987483152,12.31197169901148,15.02117882242973,10.980956198423677,13.900296436229784
