,acf,bzj,cab,car,crs,djk,ewe,fas,fin,fon,fra,fuv,guc,gul,hat,ibo,icr,jam,kor,kri,ktu,mai,mfe,mlg,pap,pcm,por,sag,spa,sqi,srm,srn,swh,tam,tpi,twi,yom,yor,zul
acf,24.201192501663908,12.129995940306197,13.370364890493102,11.201651373632654,14.702145393036389,11.84463446096483,13.026119327941597,8.529522944637455,10.95784610699304,14.042201969453878,12.91454733027418,10.172893980569286,12.599528128807409,11.525361180329636,17.804305119065308,14.633612535857356,11.70735093846199,12.306509849111013,7.683705969891432,12.521345390049245,10.990113547025308,10.529011450486783,14.159669932914275,10.795389520688156,12.030488042220988,11.387961162481112,11.979173192056045,13.339533476813322,11.424463649383167,11.475842355840888,13.26602577685147,9.872892611276452,12.382552299099343,11.503094694547416,13.302534477870758,10.468139236262559,13.102166843972126,12.415036340422674,12.37775506478524
bzj,14.481302828124736,24.464634987511374,13.305662806958233,10.529955831196114,13.02330032674962,14.530590877852323,13.464979415604882,7.862400312663276,11.986845202154987,12.714601039583183,12.203629507770284,11.007781660600369,12.02025054253678,13.95427660781036,12.740378912524683,15.785016660936876,17.23575320596617,18.434038260082744,10.380201972495152,15.540481373771195,11.667995066740325,11.482976804747562,13.089575267119685,12.336636336731226,12.870296011762118,15.354801608334423,12.092900195930016,12.569553629721408,10.792057002770758,12.440228724981989,13.1031200928498,14.405751944525495,12.048357430869908,11.018238245610377,15.842059415413436,10.208257567397602,14.058766027912306,12.639252306885528,13.187988070940628
cab,10.313531326662327,11.283971461901467,23.67055404060631,10.616943975404865,10.064843036823012,10.799024304628,10.94120953984052,8.932826321325592,11.819249051955886,11.336463773131806,11.45346093697575,9.71448340243272,14.022015269207483,10.960439153606321,13.127586168967623,13.579649700857242,10.693728078283085,11.190734040209792,7.571980930414711,11.76384378397932,12.189752595465773,9.597638183244673,9.723559099936626,12.67361022538484,12.20650792567803,10.1178492111214,11.886446154058003,11.146703276210022,11.404101953783329,10.8553828892334,13.229514021919211,10.920881560548167,12.288331857795294,8.568071995879205,12.558506614530515,11.134779168435454,13.05286829841767,9.915510039566461,12.944189624290743
car,10.891800487773907,10.805390522046658,11.186463088087738,22.47695288944257,11.79291261502408,10.819423199173547,12.122750724101135,7.765162495575527,11.363223563220833,11.581289031587762,11.088951871077107,10.676361947425594,13.186172186931815,10.392336176408103,12.001610816028439,12.151075296769362,12.122840087463596,10.961175051302458,6.9700984649312225,10.523118442460616,12.649107384387936,8.010610364444334,10.908391270764149,13.71689188048466,12.915884318383892,11.11683685845857,12.68794514562747,10.876452966411602,10.582479737467768,11.003137592441334,11.6960359502295,12.370006441609517,12.311963078759549,7.517035038491761,13.011532755020744,11.487045087394902,12.49501512571101,10.823399343084844,12.228704953858701
crs,17.17380683893962,13.954631545681709,14.729694210060117,11.786274911930736,29.609209222082647,13.76262325683494,14.120955750602821,9.115950743510629,13.098398095136194,13.123885582866627,15.663970415241598,11.04991266649359,12.329918745538297,14.437593062578742,19.486224800252735,14.75628031881709,13.538385461805085,14.058582601951903,9.13439150498336,13.992608469596226,13.264934976430597,9.196015576217736,23.370824006893745,13.706971719562548,15.37418372038004,14.317861535186058,14.42363172711962,14.334803634164563,13.54689601736243,13.316607600279731,13.393369513186807,14.26032813738209,13.830639719583889,9.632133612201985,15.049518549554753,12.484532961083563,15.693912318687126,12.373982928712248,14.604175012433085
djk,11.646969659000499,12.534413503479984,10.522533317355208,11.115575284631037,10.437965876547182,20.21325628015921,11.525283573050496,9.015655697487704,10.907540669372624,10.612448370329327,10.367838266924759,10.402959103650925,11.359699165844255,11.326686407133467,11.850465318850523,12.150246330837447,12.844064517689123,13.055553889445346,8.524799433747797,11.941695233244314,11.334927964738526,9.106411255285346,9.845710692876127,11.294551294947647,11.792231110263007,11.255962351845296,11.648501303318858,11.922683713020998,10.664621368749637,10.738115893531502,15.313958041711,14.65663671600782,11.572673658573319,10.640642285850177,12.600911263559256,10.190597554335007,11.864510668652073,10.560832667183476,13.173520685411663
ewe,11.62947799373053,11.57374625676987,11.999936241133963,10.948372095741114,10.412568083677378,11.826042562822584,20.599936047254,8.392619596653594,10.775417670468432,14.345124700295246,11.501927535303551,11.47459282989237,12.115363206410871,11.987786687481183,11.273287106434333,13.380680671722958,11.64690314269408,11.89295269038253,8.405845676774636,12.145608133656388,13.167890780812249,10.578954336298997,10.852950490369727,11.38313738868118,12.628284650032095,11.484945269949474,11.638920255766456,10.932483059497933,9.614960553434583,10.272955776796902,12.34749202333372,12.534263021336814,13.98961812302184,10.970787583392125,11.656342022562713,13.614836575129226,13.922701965373756,12.312354685420397,12.895036704250236
fas,2.9036518441678107,5.24937918368147,4.372979692374479,3.3957664174298308,3.503492936571749,4.933542660426668,10.653108599092102,17.497488712308712,3.1184895745005603,5.694303950587832,3.2215722602076675,5.438421085811175,10.180106570140932,5.278953723520524,4.45221624108729,7.146415932754427,2.7236075585055977,2.8651428088840802,7.969703200203478,5.269919511008949,3.3591430224163514,11.45330844540995,7.462155716356664,2.8136944249458704,3.0100742208362834,6.189559459558885,3.4813266538292083,4.5248204316479725,3.544979744208102,2.9963806618605555,3.663154333877477,4.653135524903619,3.28539711787922,11.846275703933662,4.115402127150994,3.114011895471539,2.665188931538706,4.847700795222805,2.4755980595719325
fin,11.66820412355154,13.170146904142795,15.11596614943631,12.606422136822081,12.15582777596623,13.053080891242256,13.756726379569727,9.194307201035908,26.110869606738284,12.723122439474132,13.23859992743095,11.06197088760638,14.231240856139554,12.823355509389124,12.92279110464663,14.687423142264171,12.451522074028462,12.52349686269344,7.898069444472072,12.5582806880249,12.767871904442435,10.535166626390197,11.249382045100946,14.649032387944862,13.889919751312863,11.766722171795386,13.42613828312616,13.246955468571402,11.974163130115528,12.480491706781464,13.546120933176544,13.264935596065147,14.443547834314726,8.380491021951006,14.833276329835147,12.62028204746683,15.142154677749023,11.078039018956519,14.141723387037963
fon,11.091060243031539,8.328332451117396,12.045224696285018,10.230441344023927,10.138487830900226,9.777766312510225,13.266006465806052,10.135453310196038,9.826715958264588,24.79420936857217,9.927124382338405,9.082036090919361,11.918549178511132,8.639565599165858,10.962312475861635,11.989971167879363,8.9207624351797,9.946477292329947,8.356590958545993,10.762076771084356,11.586969078980365,9.790198785841365,9.391599115017213,10.791827797327931,9.578392923784367,8.603622919365103,10.34256813882077,9.675711714320673,8.558671559501937,10.567449698985172,11.661502431455139,8.644793810815703,10.9123288580197,11.661588594253425,8.66862578378479,10.810601673570265,11.727435345715707,11.832917540737931,11.353705843039553
