,acf,bzj,cab,car,crs,djk,ewe,fas,fin,fon,fra,fuv,guc,gul,hat,ibo,icr,jam,kor,kri,ktu,mai,mfe,mlg,pap,pcm,por,sag,spa,sqi,srm,srn,swh,tam,tpi,twi,yom,yor,zul
acf,23.489774953249174,11.450353457892016,12.031267741074984,11.377947902250408,16.788785408405925,10.376489268752307,11.929482434397096,7.57369693964365,11.952730999807223,11.909769486780057,12.842953451435616,10.574755342511292,10.646740380871076,10.279199727271878,17.900911990379676,12.575728350808754,10.094285818684314,11.44418215122797,9.173230096991606,12.712550917980558,11.113322399187176,8.929072960184113,16.159770475971747,10.748552226038592,11.287288299764665,11.58307670697968,12.024232401985907,12.427402239756807,11.901989071107828,12.695263347169746,10.634558667653094,10.978848679858652,11.844204381766838,10.495879443479652,10.621033770817963,11.242881014100217,11.439112241841217,11.626231221058244,12.817988421495905
bzj,13.321438386224582,24.227010337163087,12.654982560312295,11.400864471256687,12.96213624947001,12.67498664272487,12.384046383801216,7.294629333495263,12.68456134610797,11.064948214274759,11.970940245475692,11.132419899869198,11.075141092315457,12.79893579938609,12.383454531555271,13.42883172098682,17.160608317222824,17.772852888696466,11.579902089755887,15.509833361743258,11.941135549629294,9.504200757042035,12.963954468072172,11.808125854534996,11.264116268149484,16.518688490127424,11.696670093886627,11.883172745726984,11.338794127555355,12.864623497898345,12.042854503886272,16.049204386179348,12.557631527211102,10.596262565842324,12.315757718795304,11.34633739887249,12.292811521848062,12.151795432377899,13.232405211305887
cab,9.989648359790944,11.256731558095781,22.780482532586507,11.144043515278677,10.839258444176606,9.810908055589358,11.44143126868775,7.5869579425029405,12.762052633995557,10.78963775737969,10.916592843603526,10.03631218649772,10.603522801502164,10.398810820034818,11.914744363190204,11.244146385290767,10.106300313928452,11.11598135672503,9.253663285391859,11.6154090826609,12.137656306506962,9.008301383856475,10.289349197518634,12.372514835611018,11.565675239928876,11.234218774828301,11.43363224919367,10.689362638137965,11.535374277875581,11.945246892564867,9.69819440899334,10.60897523009502,12.962126137369683,9.521444423895272,10.781819585666296,11.195995356130325,12.433722919533711,10.99751006502571,13.435119845771712
car,10.01250908508415,10.061975474090591,11.60902359941055,22.166153432533786,12.005103294568716,9.359187445722348,11.315172656452148,6.63434871024524,12.305386269253008,10.020018011914354,10.501441341018893,11.610065626632178,11.167587036223212,9.792116543530566,10.779503732356414,10.649987630855023,10.43851893822407,10.59146893498828,7.300729989454082,11.202765959271282,11.04339143909278,6.277483603186722,11.073166913779536,12.257232858127013,11.520546175284414,10.16869237755312,12.557038452566028,10.618992104632948,11.049036219150688,12.542852397541695,9.620837975210355,11.303421429973218,11.963770783487396,8.273186145151366,11.0165415596016,11.932849069747778,11.545607928092602,10.415956415317327,12.292071776169264
crs,15.829389401858778,12.148315753624136,12.832547060089059,11.672270105661234,29.327664650175333,10.523864706999095,12.022521939176748,7.31122691391205,12.894475124487068,10.676450848520194,14.15242631808027,11.550647607831406,10.558903591161972,11.587439349094021,17.55205480762229,12.014169613235481,11.187370305969653,11.824325131157382,10.021846229598323,12.70137008204222,12.38427189691083,7.906590498611489,24.182725150788542,11.908134762989473,13.478377250422701,12.842224651312852,12.510350707034036,12.371443887780407,12.889291786237045,13.164774265361935,9.884082496851704,12.285193870419842,12.462419801039447,10.227195755020311,11.231399174016413,12.638739638235386,12.939393568485514,11.509638283184241,13.644143400402827
djk,11.717938815368774,13.515568958779125,11.750366215431491,11.728992866223352,11.702177305102968,20.534087285846862,12.166240922121908,7.729951440316187,12.371586205973419,11.056571065034417,11.715288223480917,11.441998679237397,10.57822156226017,12.275526264323755,11.237970755051622,12.050788603043907,13.15233323781877,14.19554012084773,9.345355046602213,14.074578623048199,12.225196151282308,8.449780355159689,11.215711904861255,11.734570350516304,12.391752248377417,13.270361821577447,11.917390194719683,11.91280429938136,11.901814875012116,12.704781662064244,15.39615907053557,17.1794273088777,12.591156895962197,9.868796111034822,11.559758951915331,11.940989427429644,12.036841325672079,11.544940590875749,14.04502392566849
ewe,11.78768818684562,11.122198501352056,11.596543092123369,12.444008616321039,11.41594317688623,9.978799942439176,20.477792409693684,7.672561437932307,12.391504881558056,13.314830189325894,11.082177412353364,11.41345476696063,10.582653269553838,10.521622947853173,10.814080707646514,11.763084534632252,10.810939388548753,11.309961442067253,10.020276015089287,12.454951582255376,12.214962806993176,9.384231971948687,11.36591563518202,11.587811814519823,10.683993248731046,11.194964992325502,10.998024242514125,10.910971117332146,11.079487154751504,11.859263791175428,9.513942011296987,12.020420087269281,13.720948939199843,10.41315212720594,9.719306366794516,13.848089696629732,12.54732003109742,11.483984487686879,12.979211275411043
fas,1.2247281562538677,5.714936858569096,3.7695327243776333,3.141798505639853,2.2931710875664804,4.6999693010291645,10.523171330115229,18.802499011343894,1.518356521537333,7.587501065015288,2.1312726142928726,6.728946748934346,8.232237674544866,5.715427238956751,5.290413638503287,9.573148010034915,1.266884720037179,1.5488808514067924,11.62736081754975,6.365189220280502,1.3111486374584758,11.372124776470725,6.291147169685768,0.8393851476906402,0.6971443737755276,3.4084142582636012,1.0925875931255267,6.001153491349754,3.3845413046584496,1.4324392662708272,1.9717454113479318,4.459114698774399,1.680649115452661,11.946363957777294,4.778771040831115,1.4872937509250341,0.7097277575674265,6.535183270930267,0.25067562613264
fin,10.592584954840687,11.156763989720133,12.419053207838608,12.773971471286591,11.885296840531359,10.617375514427172,12.186507849063231,7.729925896249943,25.64514870455264,11.042882891780483,12.09653236216949,11.40858128892252,10.63570153897985,11.243627014937676,11.331884488751816,12.02897220868784,10.53475067524922,10.90779119971613,9.67692681874769,12.154821535741071,11.926147584594986,8.870754747793494,11.56803775406583,12.839544503432865,12.378794053868566,11.730709451476855,12.844523267007798,11.23299490548171,11.841002290968937,12.726153283786031,9.77186219873325,12.41124087366003,13.78229421685193,9.49107550133004,11.068483738292517,12.523629658200353,12.692643278033234,10.839268685847344,14.006652838627055
fon,11.310153010682141,8.443324113767488,11.195804152958965,10.993203429367904,10.829376662295783,9.52686092336771,13.190294250809961,9.738331695366313,10.609301908098399,24.437715778455342,10.242062246596358,10.010679400167746,10.209356712606429,8.048245995717904,11.169826506355582,11.665026297949185,9.134259609331261,9.876149406838165,10.290763525626136,11.483351318847204,9.627699795248756,9.454412391733035,9.201925290381116,10.34922183883747,8.17280629598794,8.43253770814873,10.47323540359079,10.123347309651356,9.593202017618383,11.392966568368983,9.776333078257219,8.724420435830215,10.359558831572691,10.146619319283829,8.3277307535313,12.139008267083724,11.215703460481855,11.815817375597252,10.937619406015001
