,acf,bzj,cab,djk,ewe,fin,fra,fuv,gul,hat,ibo,icr,jam,kor,kri,mai,mfe,mlg,por,sag,spa,srm,srn,tam,tpi
acf,11.438333151659364,1.5756815313235002,2.03229200861216,1.1793999863325624,1.442970375765487,2.1556400898777817,2.3623235168278445,1.1589466138678262,1.3059803833833552,5.677106854825425,0.9960371303316915,1.3405114563773104,1.8262075745295796,1.057400214646206,1.8317549566273357,0.7935453463687576,3.858960903467745,0.7338489225207798,1.46811480789124,1.3052272095490167,1.748847824485889,1.3381728816192933,1.5300420619716686,1.2517248559188854,1.9857606542942374
bzj,1.8714378286332565,12.986856599604588,1.634977668779996,1.9523664087422716,1.3942374895899903,1.8739758551090357,1.004999985840998,1.6340593018807592,2.0210731977132106,1.349276697280077,2.070170705779123,5.61450294238035,5.566080905389102,1.0343797007854416,3.6083940874483567,1.29452248074751,2.1533857635421043,1.0990382128752323,0.7483707926059413,1.2529650174866163,1.5080813162182451,1.9771429795970068,2.989476755338009,0.5357069418402691,2.4108972476264956
cab,0.8085905951564989,0.7146097772760118,9.387487652222067,0.7717413261693746,0.9735314555561665,1.4829881263491043,0.9433931685875834,0.5295119035094267,0.39347759283704775,1.2598747550968543,1.109498041798144,0.6154679301280002,0.6489371258880485,0.22823902355254866,0.65192446822393,0.4971553378741511,0.7313057673030894,0.8372801910920398,1.406027416309076,0.9484459794531386,1.3382525340916196,0.6723304692164547,0.5009050396548123,0.0,0.7262067598415243
djk,1.450385546843222,1.8982783338063065,1.3028401171584587,8.216368051148043,1.0573227219801709,1.064497208855089,0.6501212538645884,1.0977029579993314,1.5338009211599655,1.3771482236273798,0.5134002207401274,2.7516392535919696,2.1941291176153914,0.683813026637452,2.1372967299032677,0.41220615112921166,0.7247661626854001,1.5751088818155807,1.2081992446976564,1.2342718621092956,1.6567446374005232,3.6204325367209904,4.739488619818562,0.3451910583970097,0.925735401594407
eng,1.6281763986181215,2.0639330900394235,1.1014800914904441,1.4729144487885435,0.5616037615488843,1.5866853893110395,3.167688918639744,0.9738953607810767,4.33792194183809,1.42521473748962,1.6319251874306797,3.659085945365444,1.6970169790234895,0.6855283991451593,1.5946922387193183,0.5503453840511519,1.4176425768318737,1.7774634160025524,2.2802384117560397,1.4395211072804113,1.7118808331452264,1.0846325798427987,1.9344040527535782,0.02880406130605806,2.3000413311745493
ewe,0.8149763807832286,1.1052898109735043,0.9155087847204371,0.7290634390313286,8.02972683213554,1.2483471130384203,0.3742557115654215,1.7943646773701847,0.7183837707855538,0.8426804978136495,1.0611836706532642,0.894943338042907,0.9190670488522805,0.8959939297332369,0.8963510512251851,0.8129652054447849,0.6789772531168463,1.0795026533226988,0.9010301184352958,1.0368742058225653,0.5115296689459292,0.5871810696238793,2.5555122381142468,0.3604812247282734,0.7637497505570092
fin,1.1137030616490726,1.8917377260137762,1.8750207575474196,1.1888667757131568,1.0228191630464316,13.328031363695704,1.2439948311823912,1.3544886585729898,1.4688843137280685,1.8804279743584011,1.6387246690380302,1.04273906020744,1.2642714239879957,0.7845428805037997,1.2589178517492865,0.7128026510700671,1.3438758841805765,1.8613016433350733,2.042878296373786,1.8205953919465294,2.0920361604224667,1.1122591885964823,2.3600566850557243,0.49831446661826995,1.566052141426546
fra,2.5185672948539324,1.4635874385257583,1.8157517826983671,1.3890350035493277,1.4524009295769353,2.1656640148896518,22.98088496873096,1.107091710916519,2.0383442623338457,2.7156454802528174,1.7676500355847526,1.7007988968037484,1.2950423279475913,0.9659522637833291,1.8007618721827434,0.531874210506718,2.2796394353761773,1.522518805421571,4.106328175262178,3.0278805895081913,5.367133134004016,1.4527664604859893,1.6802437940322061,0.08337197520236295,1.743978401825233
fuv,1.0124674298309007,1.2713397146562055,0.7787178953607672,0.7049233197592351,1.279535070122698,1.2046499680160192,0.8953252912598604,13.892728032379548,0.8718247789097244,1.051187978695662,1.7929499364276005,0.7958922279759229,1.4799421619605653,0.6013640988490465,1.2104970097432002,0.592225393508393,0.7451937947567338,0.9073133880505502,1.4422803579911783,0.903558345467836,0.9064089934340007,0.9228034768676228,1.493030460580643,0.8105790558938821,0.8955402611197112
gul,1.9869124812933663,3.6526467678053773,1.473452741573361,1.485026608995664,1.4231236833253273,1.995443915683433,2.1660160985050325,1.9735002213768933,15.513924304923968,1.5999396625416296,2.1311173533422565,4.445449029667984,2.794479898469019,1.015417089911729,2.130796898926512,0.607466697289663,2.1022825097032474,1.1373177066663818,1.9715551854410318,2.3976028079576857,2.0778929978629304,1.3106159258073955,2.4787872328180445,0.6669189460333804,2.0091921233595045
