,acf,bzj,cab,djk,ewe,fin,fra,fuv,gul,hat,ibo,icr,jam,kor,kri,mai,mfe,mlg,por,sag,spa,srm,srn,tam,tpi
acf,26.709137097356837,14.127834826727833,15.135079966965897,13.182875944517866,12.629283956450793,13.63773788649682,15.384881626652275,13.198568058874086,14.04163346451589,19.216682080767114,13.956512784376972,13.101376686907678,13.853095952137469,9.939489851568572,15.746416550894203,14.161396472090251,16.054835080823484,12.739401080337561,13.674176474761921,15.818058365720207,12.882419658412708,13.322877912417619,12.14466754969904,12.815171677976434,14.895971927154248
bzj,17.609078193722606,26.870845367868547,14.690883448640378,14.386005439470555,13.01552014736878,14.025596843672176,14.248577268475087,13.70475743417838,14.857379934700079,14.915476721044662,15.099005707297412,17.86108369509047,19.730542378868805,12.365592128545206,17.23452132456753,15.476732796629339,16.66611959419836,14.308374260418685,13.849800128281158,14.586880154546204,13.40476393791506,13.919134274477068,15.768677623510644,12.423974985077004,15.981956744870612
cab,11.904158028538737,10.02875214488075,24.21653116846262,11.139800262975008,9.98703351973736,12.08429507045865,10.853471686686781,10.154709963390507,10.3894559271223,13.552285804705853,11.26539570374676,8.901407524953107,10.045586587346145,7.731454963845553,11.061225190954831,10.389850169717395,11.212028697743142,13.41114429113216,12.943446176794339,13.071236119333124,14.017976752028353,11.049051905134215,10.634822814664911,10.068623180545313,11.829036051332894
djk,14.606127404792295,13.010259818917605,13.369027650704732,21.585569361003845,10.557871895759035,12.532606269561107,11.42158754118345,12.509399761533674,13.047909198248997,13.620295306886677,12.233286118332078,14.339660894119305,14.381142890899593,11.008820140148893,14.47802401319836,11.943944265657189,12.617484160315279,13.731402829576718,13.742802263551678,14.362617850458813,13.655685057851924,17.015963154199664,16.986130191046264,12.451655345346358,11.261141108665452
ewe,13.698407738756503,12.064316222166955,13.608253165829202,12.345494398080854,20.775898019402927,12.249089783614872,12.091228612291058,12.035488719702423,12.15276787229888,12.228559609092757,13.50672823180247,11.681283480994152,11.823658002931989,9.619656628168004,14.19504183904668,14.666666780443586,12.487411311529087,12.867694317866059,12.795318009850993,12.422745389860978,12.240449869660317,11.084463012419027,15.212974678429894,11.66095127853866,10.683543886287271
fin,15.32375592564666,14.609073973490958,15.215185662198353,13.340515748517264,10.889532218095379,28.01889390785901,13.615047117664941,11.958895537987752,13.997267278831291,14.925208866505375,14.347598018328542,12.049027022271028,12.448942123301881,10.532885710492671,15.290211641484529,13.890539984983908,12.878903340601374,16.254280452843332,15.215424283812009,15.886503297735109,14.19959341744879,13.268597997165848,15.246535331313282,9.985580167610687,15.204798664241178
fra,17.488983390967423,14.173811110902637,18.403964912839122,15.122119003295742,12.68963453852127,15.129640334045547,37.13154802720729,11.711673632627887,16.45527855655311,16.771653421272976,14.52512419022532,13.80960130190384,12.803000247334484,8.847338966543576,15.3852886866557,9.501365595885801,14.599215777262334,16.240864234609745,17.59153198367851,17.93832134262565,19.452765956112366,14.166981462977795,14.05494498755129,9.562684433174095,16.04018662240673
fuv,15.004588161401932,13.163323583590248,12.937828453666073,11.317197468599085,12.79672893188839,12.970816106595356,13.182223342948703,26.342166733850952,13.933449241066432,13.337439736605837,14.778194553383427,12.272288342466384,14.980038080734603,10.464235247564764,13.822428436624094,14.75921386270879,12.947957716877005,13.064170364850112,14.45239877898855,12.565680719144758,12.36765096611167,12.116790371736341,14.129112985932588,12.680240489416096,12.392513815122182
gul,15.89991077999961,16.68959382892975,13.391698540194678,14.547552179491603,12.59386719197259,13.164868661681318,15.277274009299147,13.16254117477456,27.3153155586623,13.67574445232391,15.162622554029726,16.858621832784884,16.248162246324465,11.745355545503903,15.720834400822929,13.480687009639274,15.255380526165467,14.036547035536056,15.678508217738354,15.103917022655558,13.392712012257498,13.079712083901692,15.725846557016112,12.145143423896949,14.153499657824751
hat,19.233512776484233,13.196640569607858,15.568118082406794,14.099441306856015,11.598822474285377,13.53860386050334,16.35066063270368,11.770918156700613,13.834453245741324,28.364044960470437,14.481728142909272,12.072316952982955,13.029296144169315,9.975158441411095,15.245439843188608,12.041650598209936,17.81070307316434,13.851117368709616,15.043322854942817,16.134172042628677,15.040429589203875,13.33434094583176,12.656602540410502,11.10122744093747,14.261611713669302
ibo,13.955788299849786,13.391914065396556,11.772080576174593,13.824607650575835,11.131446078822703,13.06645162841562,14.262223184581552,11.378463923745525,13.27013255237425,14.12838570322347,32.84107432465825,11.306146859846077,13.698621547889456,7.29123996668608,14.620531376938775,10.169465563180717,12.142752075117738,14.373075706120602,14.073450360179482,15.371768354712703,11.80682720999842,11.06377573963728,12.909249227729589,10.387347873439799,14.398117985532071
icr,17.80412547279452,20.769206597934122,15.208500985737253,15.614252875144123,13.084701323011018,13.645448739891338,14.833646378235176,14.190444909305837,18.24653745133093,14.852289915705418,15.293070152282112,24.90558349289545,20.755669426962836,12.285158997472458,17.571345580592208,14.273440495380582,15.930842215464503,16.122549240219186,16.278964921195033,15.9565178331697,14.869869323155006,14.900333946332662,16.155574343545254,11.830901496269307,17.38123920124287
jam,15.840587655744129,19.28464849280385,13.357340252911165,14.826808212718342,13.06966002561608,13.071520482130081,13.899388666754751,13.57133341773819,16.37931106152993,14.810154330426718,13.860170158011744,19.12550648250897,26.406430664443278,12.802217711773809,18.691294154263602,14.98776381254052,16.06858538396587,13.517849699036693,14.472218301137932,16.241239034070023,13.30260437342455,14.408861574745709,16.3355337034242,12.929964284682056,16.984298207786185
kor,6.368374477816971,2.3327463433306206,4.067602121930608,7.255005426727919,9.474761009106105,4.038820767119251,3.6481634816113986,4.204338161542852,1.2911728640524451,7.386627062620572,7.401556801867553,3.5149774547156345,5.600390457672384,20.238607433960375,7.1570731225126165,14.316530724527633,7.149851373509442,4.4542216330488085,6.695909767540611,4.973432000709824,8.648607784549611,7.388644401428951,4.434047015099044,11.257449720494026,2.8003003309474304
kri,16.800906175211654,15.16371200819604,15.854821413787759,14.540904959731519,13.963923500103181,12.271425771110023,14.292735743917914,12.153263699056515,13.579007097269484,13.869995999644216,15.37775297161136,13.447429943157655,15.383335730774167,11.140366036594182,25.74738509786185,15.864936407097204,13.93194355014652,12.702588818972156,13.656277944173082,15.08049805991524,12.334494749970462,14.675432270890076,12.870948917685466,12.91404224494713,13.667324711788009
mai,0.9515733746491689,5.112191970092063e-06,6.5897617734532385,0.016722229355235582,12.091879393629036,2.0382045035432332e-05,0.00044642273426868066,4.953126583402415,0.21905394544089846,1.7012668387718115,2.2685851404250204,0.011069155723977432,1.0386555850465708e-06,8.818979906945911,7.468393829138757,16.155591555126588,0.19150317582431184,3.8726867799920794e-07,0.3107243550993865,0.40728212483301257,0.17068897772534355,2.8780780286920042,2.1049809720211132,14.156715748260417,8.067949630949335e-27
mfe,18.167804124473403,16.314553177601944,15.907083778577853,14.94728171022106,13.341841434927248,14.562387383065182,15.916389422102085,15.393456918463482,16.76321766038923,18.310397342312374,15.129008428063145,15.18786297181422,15.79128236237826,12.077962504725715,16.237847452909293,14.4647773449973,31.02543724984769,14.88203024273246,16.50713076195438,16.394643983479714,15.199812752173123,14.146950803698882,15.559393613064978,12.303843097214193,16.161155988548177
mlg,14.368231352742653,12.915079040371054,12.826130252101692,13.919608691516267,10.39456822939487,11.935779861557329,13.95624261149891,12.253086414772591,13.71135225998835,14.675441548183679,13.156874418049425,13.609321545568815,12.375336466675867,8.619298362069614,12.211455728631025,11.537131560321345,13.67112271645702,30.89560180726764,15.955680291307672,13.819108446762833,14.124500247599855,13.021338933404472,12.492494488447765,10.755978337712436,13.60980769290293
