,aoa,bah,brc,bzj,bzk,cri,crs,dcr,djk,fab,fng,fpe,gcf,gcr,gpe,gul,gyn,hat,icr,jam,kea,kri,ktu,lou,mart1259,mfe,mue,pap,pcm,pov,pre,rcf,sag,srm,srn,svc,tpi,trf,wes
aoa,12.97303028025575,11.25215550531555,12.08580546993448,11.732045661332975,11.61453669908284,10.463757042250572,12.454903250819632,11.766942653180372,6.0365875672206935,4.662283505318852,8.834969086201307,10.93107436299546,2.8508555130003046,10.690456934328154,12.391570069623587,10.993976800923761,13.283664504384769,12.42810879869136,13.933632272064871,9.781799386669112,11.152720674153244,10.144182925875315,5.98506581615397,8.962710819357454,10.817319673500059,13.687492306914068,10.572047331065022,10.45633152145605,9.19795762268107,5.916643040358204,13.426296022193455,9.039816002919695,13.242185181538545,10.803096272333391,11.15006986981624,9.67507836835481,11.23106597383548,12.341168603263363,11.64543784006808
bah,14.297582940426071,23.07543297825499,11.930823280313836,5.016872252785493,19.713460016210764,13.392581776959183,17.99601836215703,21.117357967573064,3.5882621440627815,6.057819857423788,16.948172468445737,13.71441673612014,0.5816814225247504,20.17830396678639,20.694183054373134,29.212890707889947,35.87023439789769,16.529117277619722,31.06037291285173,14.019544831312656,19.538291302939616,17.89719609027776,6.948753037960946,29.176488917256293,12.934740667378817,30.59430539102318,10.706168233778898,22.36701633636444,7.479728336988142,6.358331790832776,23.191512606691692,11.956244281994623,18.245463343158523,10.091850728777816,11.099834163499107,5.781153654048794,15.9945775822146,33.4578821214402,16.962140528665106
brc,9.902530442464764,9.094686538801307,12.633807232688623,7.435306381428941,10.004681965672399,9.835567757198966,7.252375205882489,8.613320642470097,10.367511838763019,5.745076728377425,9.196910624622623,10.594434893112858,5.184412515871791,9.223593312600315,9.036472302499703,9.733838152296093,11.321465991901313,8.078324031761174,9.909053630658738,7.11388589683071,9.472623857603235,10.502012893597053,6.51698034081695,9.191162482425803,10.9466087294613,11.370412622417492,10.38498457392731,9.342895506418122,8.64972551041268,4.227430512840436,8.537261272169289,6.685004742367844,9.794195753612648,8.709491353854316,6.918422493690331,7.482347482101943,7.231277150101169,9.412063288622587,8.747318980532174
bzj,19.519828969611318,21.81797816896102,16.43296541410786,19.469674609006386,21.19872996532673,19.854963842739483,19.43224864892322,23.846961780384476,16.746125601073487,11.916467802756271,17.528697569698352,23.91019121403362,9.851810942324677,20.34718672347109,21.566744500816938,24.216352385015202,23.906174817986116,21.838214307909134,24.838697432948184,20.10047949619128,19.407104140768816,22.438546394423646,18.182332185111395,20.12838281837752,19.44986741491508,20.527341278654617,17.302540739104842,19.75555799245594,19.89412977360214,15.070525837291996,20.322853926099434,12.91350272780664,17.78707531583061,18.42193298321655,17.43503989175881,13.061952417928865,20.094426659014943,21.37637828700074,21.48170152121912
bzk,35.77424020399847,34.82088905746068,35.7471431023636,32.60721783790046,43.123723822886625,32.8816200925179,34.35533248356998,41.2598944087195,26.749150428719126,32.34495854923181,33.588048921038585,40.045045031654794,15.229192603365602,35.30789782869414,39.06906148103703,40.88059347821668,42.35585660934946,37.942436284775546,44.086521247076334,33.45075673707319,31.140690254254526,39.16800929600549,28.333570355108943,32.45169750086065,35.599736923163924,33.65665460112904,30.930658119325095,33.70942880239925,38.97143458097154,29.04018708502632,35.997012505179306,34.52424355313638,38.4811838854094,34.05357091109918,33.80797900438905,33.23275727805435,34.517364512089316,36.812681021122415,37.47108510640173
cri,6.880651841616327,5.765108535020141,7.634913091761046,7.167445424572059,5.512577452440636,11.032016771558693,7.332908426826926,8.171602149220902,5.373243157201886,3.3766161098906546,6.805538616861197,6.53244902183814,4.429321048957846,9.23454347789855,11.052290264071738,7.709137450874858,10.179801634286994,7.514136453693288,8.164317130875078,6.527342551790497,6.174533510663501,9.907724782267655,5.300786112320617,5.232725259653414,9.247738260690292,10.220374384959136,8.323151265954335,7.420186528238004,6.765089233625329,4.22538075793988,9.956828607511216,5.8379931655308654,11.640125379963978,5.5974291746634455,6.517769426021886,6.23723195517734,7.278466630247681,7.016199175444503,7.397225046489309
crs,12.13290533679887,16.2841429399242,17.455275241418562,18.561965573340306,15.485624135833056,16.87342959477113,17.596648223997576,18.81204078378947,12.488309420297162,12.87314193675172,15.283877117410263,15.491012524712932,12.730567772740242,17.877916526523585,19.14071025422735,19.038517436418935,20.642802392752024,15.242658474843324,19.28510878683252,13.448253608519604,16.5093768713755,18.503754846043,13.040581523657572,19.955179257032547,18.516276574361296,21.30767373815835,16.60616128654728,16.539462303360008,17.003213303501948,10.02307959869781,15.42222526872144,14.188033630427629,18.591738732202895,12.812167968594453,13.279214414204679,12.50902815787723,16.484538617820014,19.377082134351863,17.33961575487903
dcr,20.68202568811884,16.69745937638412,17.992809310799146,16.227849020342084,21.357875702463573,18.60995120859654,18.986537607268264,22.28458429890427,14.025641079827377,12.227868814633652,19.79845273365233,18.673354747969295,7.394910586513398,18.138919377980617,21.62026509442436,20.483291377654247,24.713748286667503,16.53771700253479,24.82947465260068,14.506361533484338,18.765801909578343,20.53272381527226,11.054909945513938,20.553793134351952,20.444628466176376,18.353761566204238,15.555927124270038,16.923377890899676,24.15389880846411,9.370902829355687,16.67611032000774,14.676726123486183,19.09255728330035,16.592638233355796,18.106979175083058,19.751934338033895,16.431407467026034,18.196471671284307,23.279906667468833
djk,12.467391326682318,9.81829812335064,13.212187705636513,11.387818949438957,13.760718339382743,11.354824379165466,11.476403809514107,13.758887138197483,12.091194774575003,10.282998567972077,11.841563658471957,12.49738335575579,7.80722668013847,13.201322128783147,11.41024076468603,14.68011387080874,15.542572939090263,12.676489126311404,12.902854944196685,12.074125289386146,11.807248599295123,13.233870306724747,11.090615084673509,12.547513335491956,9.79305178636689,15.166233975223589,10.082180425914645,11.86041002118403,11.913770218795356,7.044858275476323,12.661097376202827,9.289922003344403,12.35076790526119,11.565638122795066,15.41340891286683,11.292734840784686,11.002281620818103,12.357928796309821,13.758186432256078
fab,11.040033999672216,6.217898522231532,8.312037395180448,9.319606225139783,9.181037860235197,12.935299067897388,13.847160207998451,11.281959389340852,10.499114684825122,9.004875032712494,11.665447033830663,12.23573001617546,2.599961983943757,14.115315578251359,14.578094598017813,12.703991502735192,13.232030540557579,12.53101934015487,13.510800691195554,10.104476936819387,11.13038620681799,11.15276622006579,8.711026671570918,12.111061661012,12.387791041366222,13.280522470521566,7.716226107454097,11.896630127811974,11.500004731365125,5.521663258503554,13.545741612761233,6.060661006781185,12.173114672631167,13.357689014084698,12.768657722502699,10.131598146220304,10.497045825895727,10.854716448655607,11.681165861217737
