,ara_BEI,ara_CAI,ara_DOH,ara_MSA,ara_RAB,ara_TUN
ara_ALE,44.70295718224524,42.367793500666835,38.36069419093989,38.117623819986605,40.24866936711396,38.3834056880843
ara_ALG,40.42910733943173,39.378289463141556,36.292994525358836,37.30723931256545,39.98158853163199,37.995722456120625
ara_ALX,48.85380385125379,49.77283548583385,46.70923798105217,46.260443016681,46.797397162000756,43.63184427440181
ara_AMM,48.501873117289534,46.99289857974668,41.98546028848315,44.20391105587982,44.29441025104081,42.687323833214066
ara_ASW,44.20003516676492,46.2713397996004,38.76525398438257,42.706076806763825,42.50795385223804,40.774861008704136
ara_BAG,43.39092690002077,43.24976963574246,41.360009988695104,41.05301483565669,40.87252650151668,39.77346432011906
ara_BAS,44.37259066148507,41.95884190001814,41.396219604118755,39.98552235154075,41.065217001221924,39.84190291626175
ara_BEI,41.998503790757944,36.70465342652904,30.398269318339665,34.399191874921684,34.42553433906214,33.1229589299267
ara_BEN,43.877973582774985,43.35778805742536,40.98041035662386,41.290079855558574,41.707113560547924,38.86510392797176
ara_CAI,45.83463110349545,47.20246085910122,41.95014165563566,42.63425081003277,42.93972342745669,40.90806299924352
ara_DAM,45.9737059320068,42.78998564353442,38.90517478910239,40.27163175583885,41.42972611434774,39.73557521516728
ara_DOH,44.582679035626796,44.12712024404101,45.89519428935352,41.29608213797615,42.91881787737844,40.310638968697305
ara_FES,44.83099588852224,43.40173109286806,40.833080701870905,41.87866768004103,47.64910346999163,40.397735144866935
ara_JED,43.0748684213252,42.92793454240812,38.72701589744472,40.975889871488754,40.77441210789472,37.45751597447614
ara_JER,46.7164562071148,44.50597298806445,39.98529419566202,40.850552588519776,42.86439123729511,40.64151935283532
ara_KHA,49.76756994916127,49.57950124318096,46.471373873276654,47.89998130043098,47.73343462708179,45.53000297909048
ara_MOS,41.52451092195429,40.04774132009358,38.51640553236634,39.37922303483239,39.63886344316514,38.80225873267559
ara_MSA,55.02439464501746,55.19843939621802,47.18486473216548,58.83160972635356,52.92341847880366,47.45117222493819
ara_MUS,52.25611816867085,51.13123394992003,50.48382525838927,51.289695073083266,50.196122424462764,47.87553333589873
ara_RAB,37.26766570377014,35.88232056466609,33.536246021269655,34.071968881315826,41.15070240021074,33.282930853680206
ara_RIY,52.503620396004855,52.23780490529559,49.358824466780746,50.73347955947457,49.77353755411166,47.56838853492484
ara_SAL,49.07373571861996,46.449722667790596,40.11871530336542,43.191273540647146,44.44763014885532,41.24969576811505
ara_SAN,42.57610845468125,43.47944091405512,38.95675965305865,42.05724203380795,40.773324162529974,39.039656636521656
ara_SFX,30.968565050610874,29.583581898893645,26.75228239251269,27.694138811810966,29.4160918999252,32.98101399002186
ara_TRI,41.05969542079655,39.76057903669864,36.63202192278908,37.456763095238834,39.54303436709635,36.945531646136814
ara_TUN,31.989433953269764,30.747321150254763,27.578934927684944,28.862092420381526,31.338104790125858,35.38972496221384
