,ara_BEI,ara_CAI,ara_DOH,ara_MSA,ara_RAB,ara_TUN
ara_ALE,34.78631131998874,32.77634275736783,29.275853817929008,28.494213230253436,30.39619878246325,28.99990041827091
ara_ALG,30.198789934816958,29.509023409637663,26.72432949750101,27.537335886739193,30.316882284121164,28.423995362455514
ara_ALX,38.868421488668524,39.82331965144322,36.904605744252194,36.57631988978321,36.992082100223286,34.35436615088612
ara_AMM,38.17777465505124,37.07337948496584,32.729641413654704,34.36001481118924,34.430967645230744,33.170915557930336
ara_ASW,34.0756077622421,36.33897758877451,29.50739720830707,32.8635689829709,32.703009628701004,31.39289536191789
ara_BAG,33.59918470925854,33.447678906481,31.696152941215942,31.311015596534283,31.121755363914062,30.276701535319596
ara_BAS,34.466912917033284,32.194645593293345,31.80428575682229,30.341494432575118,31.44966907361815,30.58139140664634
ara_BEI,32.10420296723633,27.075138186300684,21.91959495071221,24.809200126850588,25.171850486634384,24.02852366785396
ara_BEN,33.89505644410103,33.92025316476522,31.916858153988986,31.73565202780292,31.98783977201996,29.880355860314566
ara_CAI,35.80199035052412,37.23177968634928,32.23735946170952,32.87067366081802,33.105424127099525,31.40622878411893
ara_DAM,36.05193071131962,33.040153044929426,29.86018283405366,30.479648544347526,31.910484662347002,30.62071929609281
ara_DOH,34.982617314522656,34.57863740197525,36.290281983774214,31.819496586085485,33.303523854713916,30.876149947031145
ara_FES,34.833579647304674,33.60374442836514,31.138387852037834,32.14574114709508,37.856755394314796,31.173630620927987
ara_JED,33.308502011424466,33.29620298917555,29.601103501143314,31.312633854353585,31.310248756248473,28.673254019331736
ara_JER,36.73983593751863,34.998811522417846,30.882372610244474,31.352354680158232,33.40369088554228,31.381530797701046
ara_KHA,40.04943898307828,39.971489238795186,37.03756377087885,38.4255253543903,38.18745834920818,35.91287309191506
ara_MOS,31.43511604349156,30.186691380886796,28.945098136788808,29.555790490479744,29.782233054344395,29.30975277828106
ara_MSA,44.755279990462746,45.173205821890996,37.501218910390655,48.74460642500987,43.053305430422256,38.011406147027415
ara_MUS,42.33452059119533,41.487396433949165,40.82272327221522,41.612291885866945,40.60951483576528,38.475436725724734
ara_RAB,26.940894277436783,26.05690300334033,23.886323211275773,24.284350041950443,31.197458506429925,23.927508740567227
ara_RIY,42.9521368489101,42.59094879618246,39.844480543988325,41.05203323038876,40.25055359076555,38.298335008084614
ara_SAL,39.158167459323856,36.74767835919302,31.3181563261333,33.49831145555373,34.7911516741419,31.98443183039813
ara_SAN,32.71076782862866,33.68894814032451,29.69998494110248,32.32110844393318,31.065943560715944,29.787544457735194
ara_SFX,21.012815240436694,20.088021749430816,17.85500620902694,18.258218111423446,19.939723660337695,23.78167074366278
ara_TRI,31.18533969114433,30.26856133493954,27.413033477660754,27.816404352259738,30.095957163809047,28.01413817966202
ara_TUN,22.091496741044338,21.11993377538278,18.56274253039443,19.24282110192241,22.075247323464325,25.880977828258494
