,aoa,bah,brc,bzj,bzk,cri,crs,dcr,djk,fab,fng,fpe,gcf,gcr,gpe,gul,gyn,hat,icr,jam,kea,kri,ktu,lou,mart1259,mfe,mue,pap,pcm,pov,pre,rcf,sag,srm,srn,svc,tpi,trf,wes
aoa,0.27558372952132926,2.6349330525203647,1.0656712151109797,0.0,0.0,3.8509598666637253,0.17799003476272013,0.0,1.9256632962329236,1.4411051987238999,0.0,1.752036715342295,0.0,0.018859199850767006,1.7150461031299589,0.9601001546653607,0.9747438316170527,0.42077760217768123,1.6423743849475159,0.0,0.6435237839681329,0.8289777794915931,0.0,0.0,0.0,1.730461551575166,0.0,4.050798976632828,1.0662242521257372,0.06426544134808676,2.2904125991978432,1.820874443454155,0.0,0.0,4.243103789779035,0.0,0.0,1.7564125271102693,0.0
bah,7.700060914574448,17.938541345204573,12.92605525587835,23.835254840713304,0.0,5.179499556419136,0.0,0.0,17.002682705114978,0.6546836572085244,1.6351497893951255,18.62818434607443,0.040522407990443154,0.0,2.2566172015386385,24.621596474539338,0.754023011948127,2.1308440031014966,10.948231532124282,0.0,9.323977909182984,0.7533801529160247,0.0,0.14459965538588504,0.0,1.3632836341598873,3.2526388820032057,19.692482098474123,6.2462180242605685,6.195295882577961,3.187315563812316,0.4573387605618757,0.20738810352315973,0.0,21.2326867105906,1.098134829181335,21.392157258375946,13.662892995190308,0.0
brc,0.1242470270148397,0.3848580693755771,0.7717299369429105,0.0,0.0,1.8229077554958844,0.17202292795491392,0.0,0.7958049929449897,0.3539657973168655,0.0,3.1073085512304512,0.0,0.27858730935824383,0.49595889463022225,0.0,1.177796859015702,0.6427347395763316,1.652197546311374,0.21098119764723755,0.0,0.7460360868142857,0.0,0.05992821976577284,0.0,0.3796492989313407,0.0,2.5207593615084587,0.0,1.0686212772221912,0.7869619461591189,1.109771242578546,0.19068367380129914,0.0,2.499801928838581,0.06526776468738582,0.0,1.9026111200902465,0.0
bzj,0.38475721079520797,1.2504928758599074,1.3042955288223919,2.9727803654653657,0.0,1.12336041621667,0.0,0.0,1.9111861859221149,0.16267202766480438,0.5057137270039602,2.8479428968036293,0.0,0.24601565999482755,1.521173369007279,3.045804483952966,1.3382931819070745,0.0,2.3288265838227398,0.0,0.0,1.0722812379253188,0.0,0.09470144964956612,0.0,0.7863985275845087,0.0,4.919300937791145,0.5314552618869719,0.0,0.0,0.21008546163370312,0.0,0.0,2.615842777280868,0.3325446938316041,0.2771464176654246,1.2582623823644283,0.0
bzk,0.8473997942540548,1.678456425926438,1.237365331779757,0.7093261967588513,0.0,1.6328049020469457,0.40837328962619157,0.0,1.317931555874722,0.3003317328048922,0.12654228647956156,4.349900376482246,0.0,0.2040779802668462,1.5140321161955672,4.603679797580485,0.3919706825913387,0.0,3.362145366825276,0.06777287644624685,0.01612331108316404,0.0,0.0,0.0,0.0,0.6961574274706495,0.0,4.609071952364039,1.4705785704868841,0.809243633149781,3.063983768662575,0.7532213438153796,0.042809243290752974,0.0,5.850399818670008,0.38123701709280944,0.052591649394618134,3.20271672418151,0.0
cri,0.14114185257654377,0.3061900972909848,0.3330160202658137,0.3213575948545111,0.0,2.629640586805431,0.0,0.0,0.8977976186123593,0.5049783786385706,1.0802404761986377,3.0389627624727327,0.0,0.1784964812270653,0.6551811815370705,0.4177245709831432,0.6397444593977806,0.0,0.43804187796403404,0.31074058218644396,0.0,0.3830194776036304,0.0,0.0,0.0,0.0758763728924503,0.0,1.286375725995307,0.44887835039465784,0.5608461633469632,1.4633259902522582,0.49441105719543543,0.0,0.0,1.0435664788615648,0.0,0.0,0.5714991577031121,0.0
crs,0.5013939510006595,0.4746699382137103,1.3948216965566829,0.6351654029816685,0.0,1.3960117958705043,0.9221125141905109,0.0,1.5450554581640636,1.1773863958615518,0.7506125971894262,2.677707576352624,0.0,0.0,0.24229480751023402,1.3637707275981805,0.31760616485423654,0.554099559180659,0.6964788224515477,0.2547641721885334,0.0,0.8850054762140136,0.0,0.04646028178212866,0.0,0.0,0.0,3.216278510832431,1.5230084719959311,0.07782228464629881,2.2814491582768586,0.13385587712913072,0.2256633594479336,0.0,3.550512453055136,0.31434270268390563,0.15162887366098404,1.4060856844931537,0.0
dcr,0.7045991189222613,1.6315258037442781,1.0160316460279972,0.023148397190396797,0.0,0.13358977323993848,0.8225305784544492,0.0,1.5844566897908274,0.5429810733297291,0.0,1.8291384345548742,0.0,0.5501089225375022,1.0202932317899371,3.8074506637661507,0.5453541485340185,0.09680415181878477,2.1279797380053758,0.0,0.0,1.6046917085275751,0.0,0.042538030412911265,0.0,0.0,0.0,1.5527508626382787,0.9645698540056324,0.0,1.7004300969045367,0.31504798612881046,0.19160462613761098,0.0,2.484728209589802,0.3908217880576874,0.03162685717949046,0.23003380743752722,0.0
djk,0.2019429616132924,0.0,1.745140954004743,0.036440527280747426,0.0,1.290249195722712,0.0,0.0,6.629060255539725,0.6528119633444778,0.5224639163351812,3.1641625737866406,0.0,0.0,1.1184166942303815,1.4163019294018389,0.651685462866002,0.18598977338030043,1.5275255120464246,0.3418948318050159,0.05405121980876748,0.9427548949760887,0.0,0.0,0.0,0.461705746270459,0.0,3.113069408051442,0.0018035881320654923,0.47831713952136834,0.8145106508108588,0.08057429146194828,0.0,0.0,4.781922229410604,0.0,1.1024986006565822,0.6539555125378484,0.0
fab,0.39554742708113055,1.231427113638066,0.46750676611773656,0.0,0.0,4.344569956902468,0.2766970190410323,0.0,1.1286781731145825,0.18098389906612766,1.2229333581790094,1.669091558753749,0.0,0.003878139636258382,0.4730124820742425,0.11095116970088637,0.6993369808366126,0.7210603091486245,1.3963634197478783,0.08044594845413933,0.0,0.4222454475632933,0.0,0.0,0.0,0.12127530211355353,0.0,3.2082065562867297,0.8870806784300687,0.0,1.512848334781122,1.02305441965661,0.17610400769916978,0.0,4.267406681192316,0.0,0.19800057964922446,0.8780705912823787,0.0
