,aoa,bah,brc,bzj,bzk,cri,crs,dcr,djk,fab,fng,fpe,gcf,gcr,gpe,gul,gyn,hat,icr,jam,kea,kri,ktu,lou,mart1259,mfe,mue,pap,pcm,pov,pre,rcf,sag,srm,srn,svc,tpi,trf,wes
aoa,0.019244342129803273,1.1296500065475494,2.040679420159199,0.0,0.0,8.281708877138454,0.4673267948481159,6.560264977480417,0.33972046034826753,9.123764168624692,0.3692987619390218,4.519944506484292,0.0,0.2628122909378252,0.2656438251073652,0.000648959338720027,0.16590231352639773,0.9847951235580243,6.967816702945338,0.2834995692511613,3.815047672025089e-08,0.4212308611684606,0.0,0.0,0.0,2.9901119999982657,0.0,5.20233583704384,0.5073542967701618,0.6752366343332081,12.143713150017257,11.55091095775605,0.6226962296875422,0.0,10.563271142820605,0.45228582931979583,0.0,0.9303126476962481,0.0
bah,2.40139357016852,28.537436381680163,7.759797929795683,13.49613108754549,0.0,3.0246024835493253,0.17670604819681093,13.262151400633993,8.674647109650955,2.018926637528327,0.3017718934679731,12.300565782461646,1.358534800848468e-61,0.05089708311008226,1.079103862834712,13.758018983717834,1.1519569736833615,0.8307860078359641,5.661307351081152,0.04871838192576042,3.258275739613194,0.16960857388619574,0.0,3.749987795579321e-05,0.0,1.4534686293634551,0.0010837443415200024,11.782089678018501,1.4415124321330062,1.8327739529921445,5.017970126619899,2.0836585648696935,0.24229518076432027,0.0,15.035361484885202,0.2178958674053492,11.377178480481422,5.354673819201327,0.0
brc,0.0,4.725220892074306e-06,1.675075866763769,0.0,0.0,1.5086043837981753,0.14582458830946657,2.6426824777838243,0.05258616076660314,2.9349931831139178,0.15573274285130354,1.4541735360196033,0.0,0.16250763482467898,0.5419682664875816,0.0,0.539498789266642,0.3068599321761556,0.21642418805831337,0.372759219688959,0.0,0.3984103512151691,0.0,0.0,0.0,0.23542885098341376,0.0,0.5255399282037418,0.10082503638271836,0.17963939027393014,1.513131058882248,0.34168557118182247,0.6980635993065245,0.0,1.558716937161735,0.28995912147170794,0.0,0.6002754111398817,0.0
bzj,0.01070345009479856,0.19536819582833442,0.6297085880140157,0.6589154378266442,0.0,0.33222224393898964,0.1858704907064747,0.39184900969747266,0.5514802548911317,0.7052752292967794,0.2668712092795031,1.3753635325161253,0.0,0.16697863380311126,1.1258368049788825,0.828195318033071,0.7277729928804556,0.1689176450094679,2.3361659280443785,0.31079483962770044,0.0,0.9058037904103533,0.0,3.661347061006232e-50,0.0,0.3682813034842642,0.0,1.8134151995252181,0.29683081845503273,0.25830557779269464,0.3230399083125828,0.36026153294870505,0.5734367551487216,0.0,1.1841520815878315,0.17401182435033283,1.5649767114389903e-08,0.3772153029616101,0.0
bzk,0.4544147041960092,0.8609696710199364,2.412179539185615,0.00010035275869696729,0.0,5.117705458594121,0.137163366369463,3.8952997981414814,0.20228239456789945,3.917444498501793,0.21999599336561373,5.722736435782028,0.0,0.240789172716093,1.7493727200879243,0.7743251168890369,1.4162751413068726,0.24078094535856173,6.257274278244112,0.3138209790951643,0.0,0.23341629720455287,0.0,0.0,0.0,0.9858458499248938,0.0,5.384343946458793,0.21452545223991806,0.3209838791297134,6.390500015523013,5.762942728592145,0.4634171340481071,0.0,8.501395403036042,0.14234124564569922,2.3066345626226432e-20,0.9559840566078901,0.0
cri,0.34133872121928455,0.01323213819109196,1.5945117347946922,1.0096591935547449e-13,0.0,1.9514210610836038,0.2148975438052305,1.0160960489642568,0.2010036989159153,1.7763842834027943,0.2110814069239318,1.2684120707918585,0.0,0.2161453643836513,0.18549644843861418,9.868857320757986e-07,0.5385248666694887,0.4038591378081158,0.13055477061035314,0.2409009227477895,0.0,0.43569065814036023,0.0,0.0,0.0,0.06873703181700572,0.0,0.696029726774948,0.20928419282524136,0.40595753922887035,1.0114547898707502,0.1098130613512145,0.446873496523583,0.0,1.5262881953280822,0.2407355517223634,0.0,0.22145233309785506,0.0
crs,0.0,0.051359211291586646,0.43124226776104974,3.276103146943497e-11,0.0,0.20263274894013636,0.4268563173806034,1.5574925660306707,0.16096973127067382,2.0550879154091635,0.15670471834679153,2.197117452963064,0.0,0.20792047494813148,0.46473942092801845,0.11010703854185537,0.2578787142450073,0.35475908960286057,0.21598216038113283,0.5231839085760421,0.0,0.3568630591101147,0.0,1.585306164374472e-46,0.0,0.1410622887580242,0.0,1.3528496473778444,0.17535765292352243,0.3357529330770888,1.645827402384768,0.35695301482468617,1.0472791748398655,0.0,4.609672651535021,0.2053857368201576,0.0,0.6539454874966044,0.0
dcr,0.35699064010658044,0.5860302679685803,0.22770398074097883,3.0934117684102383e-14,0.0,0.27887443780640486,0.257493744732197,3.7479174377434656,0.3574776462633408,3.275373208019597,0.19632820709447224,2.256931160922605,0.0,0.27093316764610437,2.854877984800791,0.6894970686019559,2.7005570536020373,0.26700018242145285,2.8276799845363256,0.28288529583365746,0.0,0.43158073103500233,0.0,3.512997428367323e-34,0.0,0.1941805941986988,0.0,3.1471496218725976,0.43002073853781064,0.22753592144287396,3.2353038050158136,4.2971603487194,1.0145952905421893,0.0,5.145474763196227,0.2650384576723662,0.0,1.3101335181585299,0.0
djk,0.043172819678646696,9.217767167029091e-06,0.4941043935901544,8.023109823903178e-27,0.0,0.43579032457258515,0.4190568263904126,0.43454512561201913,4.61530253891109,0.3144420716287006,0.44005137520347437,0.7741560381496065,0.0,0.245879748622902,0.40829673388521703,0.17884699216695712,0.6390167733714435,0.9511930264303926,0.45589344457641384,0.2760355499004116,0.0,1.0601531933932178,0.0,0.0,0.0,0.41980895680013336,0.0,0.7077663516804618,0.4328164959391851,0.25581450798758254,0.2644287615107358,0.4249714273139741,0.8559271797034724,0.0,1.1951901354614256,0.43575576121260584,0.00013405581873727655,0.5854061566926664,0.0
fab,0.0,0.09438075795790174,0.4634779124490901,0.0,0.0,7.439558465190852,0.550187796644964,3.900336581165082,0.1145985682386757,2.2799890061090915,3.043937205692487,0.5094789858003125,0.0,0.30595220205524576,0.4486259384967312,7.347679200247337e-09,1.2136023878725934,0.560525008483102,5.492228204405582,0.3300187968643877,0.0,0.377451726909754,0.0,0.0,0.0,1.1310287242633588,0.0,4.095494432763178,0.2963318384783383,0.3266683756147588,7.302343756005046,7.88975925440176,0.19624250270187693,0.0,7.715667310523563,0.3169464805667841,0.0,0.5233510769097953,0.0
fng,0.0,0.013487722661404303,0.3100645962397923,2.8474165755991976e-05,0.0,0.610700400950054,0.35718511139498166,0.22053112391859028,0.07071679429382363,0.7670917013955347,3.9647180142867215,0.7631325369129239,0.0,0.5972367799480602,0.6145801982572112,0.08404153325097735,1.9556378939783683,0.36247818447107977,0.8441385318879596,0.3661938561403974,0.0,1.4982578701344682,0.0,0.0,0.0,0.21675839668372424,0.0,0.4401295396504825,0.754289574763385,0.3608362243182985,0.3676539351460293,0.34973594050516943,0.8967089604567308,0.0,0.7146255037752054,0.39509509660420267,0.0,0.5685182095285811,0.0
fpe,0.5383887750820435,0.2487668744605962,0.3535061750478598,4.17305169036198e-52,0.0,0.21755067429091024,0.48568234445119285,3.697584663316858,0.36761851776625604,4.434133556013063,0.1957470396310418,4.738659143580997,0.0,0.2324920589096394,0.49008943772841745,6.861889052095234e-10,0.11597118417441823,0.6989666430879997,0.7952283398060018,0.5151310767891798,0.0,0.37093594655682116,0.0,0.0,0.0,0.0487043237792019,0.0,2.423159609904291,0.7957340288946377,0.23201744051830184,2.709415538406013,1.5620696765261692,0.543769693927917,0.0,5.362970158814081,0.24361017913405897,1.1994609682142487e-28,1.1114863608660228,0.0
gcf,0.0,0.021523811313745304,0.46512555022556096,0.0,0.0,0.41115825571784986,0.2582695908203314,0.14393212947049264,0.09497237001925585,0.45184049422675354,0.21948678931634427,0.8469326713311114,0.0,0.24080676426512898,0.3913296611926498,0.06636874916768234,0.45211853817793,0.5406062004733718,0.8599836027037573,0.2605042762787551,0.0,0.24299183187045137,0.0,0.0,0.0,0.14463507918657706,0.0,0.1484612468054118,1.1206167994912417,0.44310872999862577,0.7908124985156569,0.25906840691882915,0.4987045195714037,0.0,0.5007825150068469,0.4613677312261526,0.0,1.0695400270762225,0.0
gcr,0.0,0.03725451951851416,0.5427458542666443,0.0,0.0,0.3008721840016418,0.3883815658262169,1.572421133290668,0.0029493759329652443,0.2867751358833786,0.6737563058099161,0.7906895496282489,0.0,0.3669540270956964,0.6659736303882684,0.0,0.5991437056042774,0.4118123504298789,0.3984331628635406,0.6628286574631962,0.0,0.5892877666145001,0.0,2.0603243715592344e-21,0.0,0.04804944051756602,0.0,0.0001884648357162027,0.2936940558646294,2.7523902253907613,0.5133552176647656,0.2861651078131862,0.26266059545976017,0.0,0.857210516488615,0.6868121553514298,0.0,1.2589118244440336,0.0
gpe,0.0,1.490283209301712e-05,0.40391372645199036,0.009245149683084205,0.0,0.7873708651731777,0.47707077535843156,0.16708028989858845,0.13083487459722057,0.2795888220461347,0.27789853250671204,0.5202156459148528,0.0,0.2711662901426738,6.623498856124701,8.118139395429156e-11,0.2403825436312209,0.44105667599819315,0.4968318744939017,0.48933430542246575,0.0,1.1024822423187048,0.0,0.0,0.0,0.18601879623172687,0.0,0.0003114164588108145,0.5103072069877853,0.278639264509323,0.4656158672440111,0.44528256892120555,1.2108969421018119,0.0,1.6680338096866898,0.5913061076587911,0.0,0.7347097337779039,0.0
gul,0.0064629459777182695,7.869071545396793,6.81037940471158,2.1931967140732733,0.0,3.1553653154767467,0.22148127937613227,0.31082332639233695,2.730493140407388,0.41756680956628084,0.30560571898635086,10.558994324792781,0.0,0.21808510993626412,1.525171836824927,18.911329323378567,0.6666853585240526,1.2617703246387515,6.270168517655387,0.2206716587099016,2.8205109098002907e-12,0.388537932131598,0.0,0.0,0.0,0.21193047120588862,0.0,8.666924344887793,6.652458234705653,3.5779173880687587,2.6142071797335853,0.5629784763333721,0.6523703365234882,0.0,13.470279744774038,1.3688824849260905,0.7407613479525673,7.5938814726527575,0.0
gyn,0.0,1.7625469126214366e-10,0.15484271689808285,0.0,0.0,0.36411471255870703,0.16687147017871695,0.14921726916250383,0.07374325441009685,0.1889666155449756,0.31263655296212534,0.6084278439341594,0.0,0.15611757711617844,0.3960274248926973,0.11473739296858614,3.5379771699650675,0.15866144983098357,0.5013680714874824,0.1954606757951545,0.0,5.254368298905291,0.0,3.0445205042204863e-25,0.0,0.09901145863379368,0.0,0.009166469635047973,0.36023219989724903,0.32538943124361625,0.8970531154687023,0.1786985715735975,1.203682671696805,0.0,0.7363373459620459,0.31164412536954206,0.0,0.49259947027211304,0.0
hat,0.0,1.0927408747240362e-09,0.27585559678892135,1.406738223603426e-57,0.0,0.32684575034446367,0.2684138201793227,0.9097525665133644,0.05804957387417429,1.8528547810842806,0.30660288105844563,0.369324432227472,0.0,0.15830316805539119,1.8475960306243537,0.0012263851591555745,0.16001301045291652,0.37634026251793523,0.34820322892339134,0.16314042179150426,0.0,1.1695935848358048,0.0,5.054276371474817e-69,0.0,0.26002042290886435,0.0,0.09381359759913295,0.6837135039791439,0.359044362113192,0.6560780009831199,0.13845443864915488,0.9164441661019322,0.0,1.260374132697605,0.29255753740502854,0.0,1.4932817212553942,0.0
icr,0.5518188654599278,2.8359861697608457e-05,0.4901440890877709,0.017010516035759395,0.0,3.8144507464346025,0.2986252141524866,2.502621879134694,0.5296263918338046,2.7139824926823763,0.23932402353283766,3.1024874870533,0.0,0.1798936620482682,1.6083078688580068,1.7340690935701633,1.7278356193306794,0.1847553884564937,10.556277666358362,0.19147829300374103,0.0,0.7860156018940357,0.0,0.0,0.0,0.06500528196019509,0.0,3.9886701530036492,0.16871940205241154,0.39456350477757623,5.244693004611327,4.067925683501531,0.28479526495844576,0.0,5.072097890024955,0.37647174602348216,0.0,1.554068685120171,0.0
jam,0.018871696349629628,6.419953460414992e-10,0.261787560151676,0.0,0.0,0.24047367397053984,0.2892122972549945,0.16405460659464455,0.20964557044052573,0.5556571299349767,0.252488463863657,1.4399133575220349,0.0,0.2764608696744579,0.6795905874063356,0.40358394119836044,0.22188294013163323,0.5046129603417999,1.424181493551456,0.2950976592142201,0.0,0.6720767885145621,0.0,0.0,0.0,0.25887536180141,0.0,0.2401673653004284,0.593695831612272,0.5698570395609623,0.6399929573724693,0.2644813467576723,1.6905762102758837,0.0,1.9132920373491324,0.5027018372157195,0.0,2.147881467784364,0.0
kea,0.0,0.0848636611251616,1.1591667382477089,1.6575682693383006e-31,0.0,5.338809794137521,0.11364348792265444,6.931032582513114,1.1386119115953615,5.229248718058308,2.266190409234039,6.739477414152124,0.0,0.22143062940697,0.40440499113965594,0.009906045762914347,2.822360527667801,0.1212877835995231,3.2663624336596104,0.2372307720547867,2.1135706201819936e-05,0.15485708325364217,0.0,0.0,0.0,1.6253422095330505,0.0,5.603029381253603,0.08856042349613423,0.12714431154067557,2.667932017637519,5.026984979085936,0.2799306549861165,0.0,9.18311411751827,0.12720178679059502,0.0,0.413440753461787,0.0
kri,0.0,0.014803095348397802,0.2703250193130837,0.0,0.0,4.818348976950364,0.4796890990813021,0.3434087300052791,0.04887949230649985,0.2835708382293903,0.5541658203918878,1.6739920159070363,0.0,0.46526579121642536,0.5181052089676014,0.6086009282559156,1.323845008442628,0.4737653234880473,1.9766866306491016,0.2892838868289522,0.0,1.4433550180936827,0.0,0.0,0.0,0.5437106322975008,0.0,0.0,0.5880765525698113,0.279015105318483,4.019783281709298,0.24751362476702898,0.46479198927287674,0.0,1.9726703861283361,0.27667827997628014,0.0,0.9018904696192922,0.0
ktu,0.0,0.0,0.3541756557691074,0.0,0.0,1.375420199927067,0.3794099256751523,0.18693199733558796,0.018485100645003662,0.42975604081207736,0.6806198482369904,0.3801475536331708,0.0,0.5026252930346405,0.3114273155368145,0.00024895835741713655,0.8052373070762853,0.43158533790812953,0.659694619645497,0.3244013734223612,0.0,1.5538575637802607,0.0,0.0,0.0,0.04544575434187225,0.0,0.2782750979965513,0.43182799968339236,0.6649948538912287,0.5849927884740445,0.31552582351286557,0.1843884190269746,0.0,0.6442309153107219,0.46476097192731736,0.0,0.589625756594148,0.0
lou,0.05615961113409878,0.017904360013218545,1.352502410166468,7.877111213502584e-28,0.0,0.260422262200489,0.2494244943048004,1.31181850013945,0.3032702166657545,0.9085303032628577,0.3342620804636234,2.0628377837531855,0.0,0.1488995070747322,0.25639936662862073,0.1435374640239323,0.14138844976853918,0.2687570827461713,0.7360134227948155,0.16029818745154775,0.0,0.2923382653097003,0.0,6.324079780704936e-37,0.0,0.561893157032253,0.0,1.3617151002591352,0.23414147757830178,0.5468186872576806,0.28267380329709313,0.2423374177048074,1.218624481364033,0.0,1.847944625632509,0.2622849653925904,0.0,1.7149774839539922,0.0
mart1259,0.010669699456028253,0.0052414410371462656,0.7982217561003332,0.0,0.0,4.826577558245186,0.3064867929711389,0.15561769844316517,0.18015593117062229,0.46415099857461506,0.4723375040997578,1.462825778107517,0.0,0.27909582254810034,0.23501270753079573,0.0535292475595628,0.48909801048668333,0.32023497204099083,0.7382210321568504,0.6981476403727181,0.0,0.27010766739728465,0.0,0.0,0.0,0.047982088335149345,0.0,1.0602833205074087,1.3237431361494139,1.1004211308439082,1.3831693652359685,0.2656049510746659,0.1937168941499107,0.0,1.14150443835635,0.3198628380783234,0.0,0.9184521506983279,0.0
mfe,0.0,0.003609977223329506,0.3872764770256424,0.0,0.0,0.32706199023896476,0.20700443027652396,0.29544483383970316,0.03067540682541267,0.21277393454290797,0.4109245617281591,0.5713118583708521,0.0,0.20914010162471622,0.4640181683489771,5.067721794381176e-07,1.129295968671872,0.3737960210816341,0.3904370679768033,0.22671818688781697,0.0,1.3331580438200095,0.0,0.0,0.0,0.21633293293443756,0.0,0.00445888422474916,0.40172762489404634,0.3654670758072183,0.5397083701165643,0.37641481165904794,0.9959275166717374,0.0,0.6825317840147123,0.6362047340049274,0.0,1.2761313602419582,0.0
