,ara_BEI,ara_CAI,ara_DOH,ara_MSA,ara_RAB,ara_TUN
ara_ALE,28.68330392683736,22.95535205167282,18.534027158034785,13.88981048919442,18.50837870013499,18.351253497757266
ara_ALG,16.07657125326362,16.771580034011485,12.08952543713402,11.947441929165661,22.760225298348,20.371617048014244
ara_ALX,23.257823840160267,33.779882504135415,17.902991464086554,17.31252518827911,20.17331819224557,20.021001784128483
ara_AMM,28.73786680883897,26.356832074858808,19.815902284166953,15.833424334785398,21.709480309872262,19.994928233418804
ara_ASW,20.519286862109137,30.172621153006627,15.932510101731316,13.756665938401563,16.71094572407761,17.45439077047336
ara_BAG,23.167296695352608,22.59354642552498,20.117599091272655,17.276234400956334,20.77701064275719,20.816714262441373
ara_BAS,23.009568245393215,22.36245433297167,19.811273476023135,16.07985629747429,20.050871121576495,19.921103268230006
ara_BEI,32.45628102497334,16.742030514074784,12.059324631794775,10.339837378916283,14.876679874494977,15.228317535304326
ara_BEN,23.329444518415475,26.5318653156362,21.682090396470706,16.739694837800354,22.787843363205685,22.915670029870476
ara_CAI,20.97461416122086,31.380386159737416,15.850084077880277,14.963971261865959,18.21568773398794,18.353786930421872
ara_DAM,29.37688998345257,22.304623641302207,18.12303358520345,15.149154529407147,18.862085536946832,18.89723640001237
ara_DOH,24.399342823608507,24.226889812623327,33.67230969662625,17.63831790045313,21.46606331362913,18.983462011237098
ara_FES,18.524812199713356,18.613747516084295,14.76580667662557,14.124137444871936,33.2825013374095,22.51394930720931
ara_JED,22.72252601238584,25.28527864472725,22.03956628406048,17.242832580508708,18.87778878344972,19.191893715071892
ara_JER,29.753016395509576,25.60298235607646,18.86735554681446,14.835086195118333,19.4274216761827,19.365895453807966
ara_KHA,29.084164323415468,33.02429908585424,22.77795781799524,22.952236271110102,27.26307434887626,26.49031907091051
ara_MOS,21.393453657256895,21.088479210243676,17.248964609950818,16.097459935747214,20.5185784534389,20.218090434159343
ara_MSA,28.469302460710317,31.177449590950015,22.953231166667347,36.31098457922077,29.286466258399336,28.186913281376942
ara_MUS,30.901796860783232,30.74940681917288,29.803996619191544,28.362767867053403,28.96882465209116,27.58078701672783
ara_RAB,12.478667212443476,12.651191883571746,9.901980665162961,8.542043967698119,28.624103659462673,15.952353281335853
ara_RIY,33.31923654841608,34.17788912781043,33.232000412350146,28.178183674301167,29.373530999395054,27.053015168525825
ara_SAL,29.1333245855801,25.14357630763826,20.063433446305876,16.70534207625368,20.798584872681182,19.479006536905235
ara_SAN,24.17926930841348,26.063612005487702,21.937166807629744,18.688763784158994,20.85945422547395,20.482000846269447
ara_SFX,10.904541909413094,10.845062523245478,8.765128589175617,7.523052639446709,13.736098657619857,22.464602929282744
ara_TRI,18.34508134325225,21.273788991769724,14.725202369499172,12.308671767704197,20.503548262994254,20.550749370351355
ara_TUN,12.1876366508782,11.580474916979275,8.609273479007369,8.001990482650562,15.31559867238485,27.35180003839064
