,ara_BEI,ara_CAI,ara_DOH,ara_MSA,ara_RAB,ara_TUN
ara_ALE,50.96798048341152,43.759836751466594,44.27856651648935,35.87487769979862,39.006811819350176,38.69677895110058
ara_ALG,38.61664282027584,39.28424543778568,37.469420848547344,34.91975981191956,43.18941344824431,41.032290685356834
ara_ALX,46.246304391452234,54.890388611663695,44.000170234652224,40.51980557672973,40.4580716339579,40.989641074716445
ara_AMM,51.96202780850331,47.71766477782638,46.314555833946045,39.911104553880264,41.97329924126606,41.14033663770796
ara_ASW,43.45940397431771,50.992637079749734,41.10410821522019,37.639218093299384,38.04091411424251,38.63194388314236
ara_BAG,44.45716062257131,43.841084135182314,44.765377663597434,40.222115934232384,41.151660492056564,41.96508645413469
ara_BAS,44.00600909350633,43.51127987856879,44.65049924413312,38.23056241847445,40.16657450555765,40.831608455501055
ara_BEI,52.686539706818266,36.844919794167836,35.711158457349775,30.1520269158555,33.773227415732535,34.474272635288244
ara_BEN,45.47288944330284,47.080725015196165,46.01446199479052,39.4629789802045,42.65886725150418,43.04254829601531
ara_CAI,43.70389004850973,52.345533281333964,41.825358864206095,37.70009506537662,39.3152026684604,39.651230510475564
ara_DAM,50.79849185988272,43.544196173251656,43.3879183286262,36.652672878101406,39.17103829024926,38.77468801777042
ara_DOH,45.212969164253984,44.59274132912462,56.50634291349649,39.551500895431914,40.560788895999295,39.25432299395787
ara_FES,40.959613363160216,41.523292536898246,40.59591947634746,36.60778228600039,52.810293232481264,43.34343371899619
ara_JED,44.207460360150655,45.962269590465816,46.05180023074359,39.0181185865407,39.4848770995894,39.57786782167715
ara_JER,50.513496920385684,45.86832935544551,44.01721837906707,37.01084529009137,38.81447134165033,38.79639526612626
ara_KHA,49.85141357721412,52.384063082624465,48.694016577008284,45.60191569392634,46.8745037223465,46.30330314962204
ara_MOS,43.62088865275201,42.22685168917625,42.99719747077916,38.29947067208943,40.98933720120101,40.28691754297534
ara_MSA,51.48855952013892,53.33676120344754,52.007407353445046,59.1468959717704,50.87613137248385,49.94162769067487
ara_MUS,51.55324389347802,50.298435266464224,53.87555107117016,50.287899977195394,48.506898305950244,47.11716541654488
ara_RAB,33.99741897995156,34.185916058623526,34.122056647769895,29.198862382460668,49.45879543908941,36.312781896780386
ara_RIY,53.4504326059525,53.689044952759666,56.00092633305738,50.82050964424513,48.60037517226239,47.6872195862969
ara_SAL,51.19494441910973,46.627813375475576,47.207713902668175,39.66249198615814,41.130391968490734,41.53097706818373
ara_SAN,45.47086767499135,46.77382050454985,46.234396099959824,41.23627769948795,40.89549294838895,41.26645069932536
ara_SFX,30.30594418177036,30.71928888153666,29.96520486536294,26.286819664976196,33.09525524834484,42.083148505604484
ara_TRI,40.67766379700386,42.15872534271911,39.66701352997788,34.520987697315476,40.50725334908711,41.40582568557212
ara_TUN,32.11266219348304,32.28220852202458,30.190645682916227,26.958075180279028,34.431254973398595,46.764348816163604
