,ara_BEI,ara_CAI,ara_DOH,ara_MSA,ara_RAB,ara_TUN
ara_ALE,36.74421130679734,31.02036770516178,29.867128712606508,23.634768030960522,26.350467336628714,25.721781276569573
ara_ALG,25.588133466491595,26.26704607872785,23.333861158511546,22.406680132400236,30.63835380684729,28.633909293188687
ara_ALX,32.46299886166274,40.98669416564612,29.707622193056196,27.57969622070499,28.331350847088586,28.340167430228412
ara_AMM,37.69273867707506,35.169928887304636,32.423298006313935,27.46541128894738,30.538170478957568,28.86696278843771
ara_ASW,30.145880409782755,38.23916566861146,27.935873104696945,24.36433637031267,25.812229443899863,26.474356700276086
ara_BAG,31.561096685892107,30.820683680007186,30.890641021614513,26.95506527982853,28.712513347681487,29.013092294531972
ara_BAS,30.89059545736761,29.950125356178724,30.46894131244573,25.309660897493515,27.97296800743911,28.32367584869842
ara_BEI,39.185902787988546,24.63992465912711,22.49724071756929,18.680137859185614,22.34164647618964,22.386184027168863
ara_BEN,31.97720857109177,34.538233036524026,32.85028480607849,26.44889154970641,30.412369604166884,30.227434521814025
ara_CAI,30.56783731688444,39.353839020861926,27.62204356843343,25.30454140664147,26.697730935531155,26.622460286412405
ara_DAM,37.28209308031441,30.93724238212313,29.85316090365209,24.970640008435566,27.27730593201598,26.76546201012992
ara_DOH,32.01519703579555,31.892780660607098,42.765242051036125,27.310194475604415,29.0946837391814,27.1449022344393
ara_FES,28.23488794302901,28.158963180119596,27.205712193682754,24.27803736979272,40.21780272787588,30.57096532824246
ara_JED,30.689102844640217,33.40705347376138,32.770515351520416,26.841908471680124,27.19411008938064,27.249062697056452
ara_JER,37.28239918831464,33.53535160580414,30.15838538617043,24.795647342157398,27.47071856919417,27.195484695672114
ara_KHA,36.18730736483112,39.61687984455325,33.79742527138201,32.92098168706657,34.49827212876776,33.91032307199349
ara_MOS,30.114651552361174,29.891428034911463,28.57403243507858,25.900900609132556,28.43847653857564,27.76922730862829
ara_MSA,38.05262519010035,40.235527560683394,36.04371359094936,46.34165532794242,38.25274240837339,37.02798932639755
ara_MUS,38.42980357069931,38.033579561853024,40.03053102349623,37.38283055929279,36.1481876629342,34.94024169154896
ara_RAB,21.656805360785047,21.6620328190004,20.968722103036082,17.64306469014172,36.19395642434441,24.01773156774817
ara_RIY,40.514563413924016,41.084995985343504,42.58114168448569,37.36214352403584,36.69112692773888,34.64008479971609
ara_SAL,37.64550626911256,33.30505546990013,32.272088275235234,27.595700963480272,29.029120404885685,28.029075050640067
ara_SAN,32.11243617906075,33.779316349260185,32.792197985402865,28.357638697941837,28.229864527245816,28.090918550470274
ara_SFX,18.890949455794633,19.068272401479604,18.063801999414146,15.344283995821133,20.974454051215993,29.803503192054407
ara_TRI,27.33349384540208,29.665297606008735,25.898260249611802,21.877068024422897,28.154892798221283,28.81789630178252
ara_TUN,20.190197963929567,20.075331377834686,18.109952606449617,15.923691847923472,22.369782931317673,34.35269458466665
