,ara_BEI,ara_CAI,ara_DOH,ara_MSA,ara_RAB,ara_TUN
ara_ALE,35.72521489232994,28.50729859838397,25.091446042348007,18.673001283205384,23.483695813917215,23.764075587370684
ara_ALG,20.724071908873178,21.835678257190164,17.16049182272838,15.551136268586257,27.21505821411606,25.349587246768728
ara_ALX,29.355949920052485,40.53136724361708,24.392054180352385,22.568720007774832,24.399258978753753,24.95750289154325
ara_AMM,35.50601504552045,31.185318257276762,25.861659667553162,21.306270111746155,25.692103374960276,24.809148368242635
ara_ASW,26.207952156300372,35.55347847680643,20.895696789995927,19.2939531853128,21.66019689524731,22.26206580239961
ara_BAG,28.235104475340368,28.85405225723273,26.421899551801676,23.091112368743715,25.92743644660038,27.23250096154972
ara_BAS,28.459965080930647,28.89396288548232,26.69761706669078,21.976099497783125,24.672579683734906,25.849160708086252
ara_BEI,38.49294633519333,21.23195680779176,15.732404441461053,13.715379474893169,19.02091583297963,20.43215770999745
ara_BEN,28.10368075721007,30.897337050874363,26.530595902436357,21.565499245589734,27.130163815454207,27.236699689797263
ara_CAI,26.387304098346576,37.545113831836005,20.727472034678577,19.584549813614235,23.259274737429347,23.808235462415396
ara_DAM,35.808301179622646,27.599574524164982,23.999002013279206,19.43282727232099,23.70539227166663,23.60382312846639
ara_DOH,29.497716223530198,29.11636528977017,41.89506719315842,23.327559130245895,26.10821483071997,23.815660235318898
ara_FES,22.295172580094754,23.34185816764961,19.907224933105525,17.17421026461184,38.01346569738347,27.334778145238783
ara_JED,28.2278947252922,29.98809292594736,28.216619637945854,22.14125020151589,23.353445335769475,23.737264882693797
ara_JER,35.25064200618136,30.500873085531563,25.530315376120964,20.43868291537474,23.865373568405243,23.88495970085759
ara_KHA,34.398264757212445,37.50229223631806,29.366377896689993,28.40515789038461,31.45118614913288,30.74949303243139
ara_MOS,25.97807167301102,25.12579450159015,23.005779798508264,19.410830551926015,25.167749006676814,24.216372849962287
ara_MSA,34.02010864875157,37.07699369516456,26.33583274480522,43.70092183821973,34.4984908855309,33.16937476511416
ara_MUS,36.20432940362362,34.789400959917664,36.83295292486336,34.63243432300399,32.8020691737827,31.468602072522298
ara_RAB,15.79732149468047,16.336777653222384,14.462179217912587,11.115610466706757,35.37310824354914,20.34918334386773
ara_RIY,38.88896034339749,39.01981741115919,39.98928300592801,35.108155631433306,33.857144115841066,32.76328229446433
ara_SAL,35.648951444543115,30.945911378156758,24.98096530438855,22.084428147502177,25.682869760148055,25.908133877360093
ara_SAN,29.3272134157388,31.43791071771686,27.66357824300005,24.014969342199056,25.222332652060164,25.95688474467097
ara_SFX,14.249058289304818,14.355609839893313,12.028378247521763,10.246666963422044,18.810524315490213,27.719975180739016
ara_TRI,23.211147733077283,25.401032179492553,19.934672350540183,16.55385891111814,24.98843139446987,25.950711940808322
ara_TUN,15.105802860569442,15.648174315839865,11.878081943783966,10.37716367282022,20.089608593608496,32.29197398037042
