,aoa,bah,brc,bzj,bzk,cri,crs,dcr,djk,fab,fng,fpe,gcf,gcr,gpe,gul,gyn,hat,icr,jam,kea,kri,ktu,lou,mart1259,mfe,mue,pap,pcm,pov,pre,rcf,sag,srm,srn,svc,tpi,trf,wes
aoa,3.7445696860614928,0.0,7.469161660455819,2.1522700907048087,3.8813180448264957,0.0,7.505198651756836,7.4891393721229855,0.0,0.8130145847656802,3.1828337470312587,2.8408507056819983,2.318406183842637,3.232107886881113,0.0,3.7937056018720714,0.0,2.473059146610642,2.1722912907879732,7.481135476944618,0.0,0.0,7.469161660455819,2.238873608666744,7.517288382320807,0.0,0.0,0.26117206658193776,0.4416606440215209,7.493147745537431,2.0172420097155768,3.8040232863141563,5.650743194080835,0.0,7.501177378446314,5.662289178545875,7.473148671565857,3.579052101012295,7.25270813285131
bah,0.8458862967388501,0.8066699792523684,4.5973250161438,1.0932080629530296,2.419682483497622,0.0,4.601858495969,4.60110229519443,0.4006447107018689,0.3082082691356301,3.1425786594850402,1.6501893490515174,2.7271005360994245,3.4234861590795065,0.0,2.5222471770365704,0.0,2.821936134619952,0.4767687604010684,4.598835183289032,0.0,0.0,4.5973250161438,4.599590638976863,4.248208250186091,0.4154754346384044,0.0,0.8034379116326243,0.293449692515757,4.581836476250945,1.608245486390188,4.017157375694767,5.484174793589179,0.0,4.601858495969,3.99598500711709,4.5973250161438,2.5513476814836458,1.5750150152912739
brc,1.394496061319037,0.0,5.633388661257685,1.4795054095878886,0.8647359567545884,0.16394513652097825,1.2463460733250635,4.773339239296413,0.0,0.653701638455766,0.9001463716273863,2.112856528327647,0.5406923328739063,3.1901219179682943,0.0,2.9981842467364466,0.0,1.8290344572285386,0.10820184383441521,5.6413336174664375,0.0,0.0,5.635372801585336,0.2541857877859874,0.3572438051568732,0.0,0.0,0.8261024944586048,0.4800768122899664,2.12524132776982,1.7117232747284172,1.352494468299389,5.449604362466748,0.0,3.5433239493655115,0.3572438051568732,5.633388661257685,0.65832472404222,0.3572438051568732
bzj,1.054946151317233,0.0,5.5556455425254425,2.3673918747281224,3.8498191247607267,0.0,5.572034143694793,5.568383881916531,0.0,0.6594238983512738,2.667958682095446,1.8787627907257651,1.9292485895731009,1.1555157715440851,0.0,2.958664136624319,0.0,3.0337610693069155,0.1659502904625116,5.564738399609299,0.0,0.0,5.5556455425254425,5.601727620949385,5.579349043311009,0.0,0.0,0.8588364050048194,0.7322788517867604,5.40283817497721,5.72278732647044,2.9982312186972258,7.011682366672216,0.0,5.572034143694793,4.114616174101099,5.5556455425254425,3.4229388523585924,5.579349043311009
bzk,1.3816935962922954,0.0,6.6890175918043635,1.8105788174387585,1.7906185913833848,0.0,6.59830876074698,6.708626451116251,0.11501323162005227,0.45773651323304226,3.3938220107339054,2.262833732928475,2.1194354122803643,0.9152635516926639,0.0,3.504814568519631,0.0,2.7130510417857376,0.8039829971483307,6.596820628803456,0.0,0.0,6.6890175918043635,6.815771416167247,6.584435551884386,0.0,0.0,0.844870766292927,0.27204352696431433,6.4504069374490385,1.7858521717003202,3.661790824323901,7.3543671591274675,0.0,6.599797564237142,4.89824645472379,6.6890175918043635,4.056751211443276,6.24811719488937
cri,2.736190707103805,0.0,6.274320336371471,2.2296963559175644,3.234732297671595,0.0,6.13464450078706,6.305972891534642,0.0,0.5245900802314446,2.317030828555987,2.624299279819359,2.0895395415575932,1.4539391766256202,0.0,2.622428239969114,0.0,2.049542258967588,0.3664148914672228,6.285588277616131,0.0,0.0,6.278822661481575,6.359706697593139,6.156862242609843,0.0,0.0,0.43477208769786546,0.9618601538976247,5.4129216183415245,6.476808099567164,2.3501311280985036,5.839285857063372,0.0,5.60143771049342,4.901699641256113,6.274320336371471,2.228697237915132,6.333358941682259
crs,1.8963158055602527,0.18467434265261,6.156144402736942,2.200004259063024,3.2355186015926836,0.0,6.187513648927167,6.180764784257155,0.0,0.1765764494952073,3.2293462566695985,1.9691669799112934,2.053064033052009,1.6474653440595466,0.0,3.1740057562279675,0.0,2.656473013182106,1.4735848747676126,6.180764784257155,0.0,0.0,6.158374511135571,6.1830127694092605,6.02306574230644,0.0,0.0,1.5063599813903052,0.2669229126628229,6.178518433130662,1.5352878013263842,2.6507813816485823,6.095210232104172,0.0,6.009902818749278,4.938779823911159,6.158374511135571,2.8935668859927666,6.01867169923664
dcr,1.4262678153224146,0.0,7.117803218417105,2.0681427669434105,7.2849863418506215,0.0,7.141524803591763,7.141524803591763,0.0,0.12063356085153412,2.2981446552564453,2.0566584299644584,2.159911274992894,0.9627456979774428,0.0,3.6424931709253108,0.0,2.5877616994588943,0.9646030328176451,7.134731089053173,0.0,0.0,7.117803218417105,7.138126329842713,7.144926514920173,0.0,0.0,0.5452150279512261,0.6065284516982796,6.893627774058338,1.6812836586314408,2.9232362082144827,7.872566175675705,0.0,7.141524803591763,5.732324025504916,7.117803218417105,4.058410209155115,6.668598080592162
djk,1.6929333080112525,0.0,6.971547530523608,1.6228010202867955,3.729121917769762,0.13301874441816913,7.001128561148673,6.777470134512392,0.0,0.0,3.4965661259805456,2.176048171492682,2.2087272832775806,1.2854776332987727,0.0,3.7190868926208784,0.0,2.859289091904225,0.6457826602570728,6.989266076215905,0.0,0.0,6.97449438016438,6.828060442309369,6.803406946169606,0.0,0.0,1.0293272785987886,0.7066139061616733,6.568456537684756,1.7984846283882416,3.4830176138320588,5.951755454796437,0.0,6.998159166481041,5.752605021130394,6.97449438016438,4.165224475016361,6.593604164875281
fab,2.234439907595336,0.0,8.240778703796558,2.1977529343829283,4.238641807362411,0.0,8.275417884733463,8.262394120148207,0.0,1.1444092363147578,5.399215837109557,2.298838519658265,2.6793573791745118,2.1424797663692265,0.0,4.380886164043259,0.0,2.091441078157582,2.4792112260620245,8.258061970137675,0.0,0.0,8.240778703796558,8.262394120148207,8.292846906601717,0.0,0.0,0.8783569536866807,0.3633065076453066,8.262394120148207,3.8545203878324377,4.015816789841383,5.934056691222501,0.0,7.749543519382645,7.769954910474973,8.240778703796558,5.085050230052427,8.279768268378517
fng,0.48254025811654444,0.0,8.380897830958862,2.1693081839242274,4.106829577482772,0.0,8.089848001878162,7.771283562026738,0.0,0.6316098414926242,1.3899368509453003,2.5539701213529855,2.522170207801434,1.6348989882972313,0.0,4.225135319025926,0.0,2.0494737653898905,0.6497509007311881,8.391717850948867,0.0,0.0,8.380897830958862,8.408000366356207,8.095087043777854,0.0,0.0,0.28290046819299575,0.23794416243654826,7.756214626219668,4.440728326008856,3.6567223605048866,5.406337637292283,0.0,8.079390235645485,6.497107495305195,8.386304350954605,4.824657092770772,7.771283562026738
fpe,2.1944862155388476,0.0,7.546618530540693,2.721564419139274,1.8687228056861152,0.06070694815777029,7.572015469320386,7.364779829994868,0.0,0.21375064533309387,2.7000485948003563,2.397762000345988,2.5271578780834365,1.2770444903200637,0.0,3.7958692168248964,0.0,1.7605506864137093,0.855734236313358,7.556122392752053,0.0,0.0,7.549783827125767,5.079115487345611,7.597583923987895,0.0,0.0,0.760569503734051,0.3805899143672693,7.151347943247031,1.9272482391954349,2.8467931945422684,7.917418981440216,0.0,7.587975543820005,4.880793568312371,7.549783827125767,3.601306478151198,7.178525897819635
gcf,3.1548876888158413,0.0,8.863165509501199,1.755954390559298,8.787579500946078,0.0,8.4650233759599,8.898657131436902,0.0,2.142439841738938,1.6832923519372582,2.4382451349476817,2.575952923096944,3.1382674067967873,0.0,4.543100989496553,0.0,1.9250704606055113,1.8087024678936046,8.902618198783056,0.0,0.0,8.863165509501199,8.29087281373775,8.256974441152334,0.0,0.0,1.3354053227548055,0.4463147156337669,7.33160591634459,2.504062220212379,2.362234467780429,5.523587549169743,0.0,8.476352721844101,6.494873157295967,8.867095036045846,2.757231870918882,8.472572905191157
gcr,0.7482226729758032,0.0,6.049457304203587,0.8006781264950075,2.8028471151222054,0.0,1.2267762782433496,4.598827740698238,0.0,0.6283726211418947,0.3065395095367847,1.7901509711409844,0.426927048865224,4.870736164807906,0.0,3.189985487096033,0.0,1.1120806051870258,0.0,5.701796551349422,0.0,0.0,6.058342075529691,1.5726860328269876,0.08558712769599452,0.0,0.0,0.5476449134786994,1.0162601626016259,3.8523042553298597,1.478747951385059,0.9350561957817166,5.8960171886619,0.0,4.978580669756816,0.08558712769599452,6.053896430019038,0.7697750667875818,1.2259168920934536
gpe,1.2563432620597146,0.0,6.690551107328134,1.655173388354681,2.9001955545670275,0.0,3.4993820951030035,6.034623367167962,0.0,0.19349287279079824,0.9590147385422977,1.8686268354449271,1.0674340464994485,5.099118712004101,0.0,3.447180084703517,0.0,1.4257624087326524,0.2354896550938466,6.7091253470605405,0.0,0.0,6.693639668589979,0.9977988608603442,0.9406295691784848,0.0,0.0,0.30100190950254074,0.40184850311432596,2.329660447911699,0.76758512583852,0.8744964091806665,6.908475176478077,0.0,5.1180989258241425,0.9406295691784848,6.693639668589979,1.247592855137567,0.7058041269998158
gul,4.495850480585144,0.0,5.956891520236635,2.1300855254179276,3.2268689948532443,0.0,5.993197446045569,5.976199763596639,0.0,0.2694368612782634,4.1101672577952675,1.7437363514864488,2.1168057907672564,1.8581983372565989,0.0,3.050758977228936,0.0,1.9165123140367095,1.8674519267638503,5.973779390784233,0.0,0.0,5.959298224851018,5.983472664190786,5.967813520208491,0.0,0.0,1.681103564501863,0.4990953896063386,5.985900899743612,5.971360977689761,2.8888738879129585,5.417836965122272,0.0,5.993197446045569,4.949064670190182,5.961706874966075,3.623975149683096,5.752556451465628
gyn,0.38402168277715104,0.0,5.9165088133603705,0.864567023038372,1.4827172103991049,0.0,3.1433164164227403,4.698728076624594,0.0,0.38679438145659084,0.3315076390890746,2.0969337504870174,0.44746636237025844,2.3552663081416263,0.0,3.0898137841252926,0.0,2.1030617195526204,0.0,5.466438238630102,0.0,0.0,5.918351759694413,0.8956776170037684,0.15821016046990183,0.0,0.0,0.08707359665810227,0.12496429591545272,2.3537879621459594,1.5641617975821296,1.3168542600784972,6.6807440081559495,0.0,4.698728076624594,0.0,5.920195854513007,0.45700784849527776,0.1409034392760854
hat,1.8521565762750825,0.0,7.707096181081818,2.136057851869793,3.846174497785061,0.13659644871025642,7.609742348606856,7.602277655159327,0.0,0.19492817380271885,3.2868677555913517,2.5258580170152793,2.5368607830337613,0.6543640320400347,0.0,3.907827973014983,0.0,2.2541608374023454,0.25174118823572805,7.716536194833943,0.0,0.0,7.707096181081818,1.9782052108323283,7.591478390309652,0.0,0.0,0.9786375627562657,0.17640034737299173,7.725999362090902,2.214836458676123,3.2693157684153458,7.047777465306856,0.0,7.458274969027865,6.73512683700091,7.707096181081818,3.6321019891557573,7.58960468884668
