,aoa,bah,brc,bzj,bzk,cri,crs,dcr,djk,fab,fng,fpe,gcf,gcr,gpe,gul,gyn,hat,icr,jam,kea,kri,ktu,lou,mart1259,mfe,mue,pap,pcm,pov,pre,rcf,sag,srm,srn,svc,tpi,trf,wes
aoa,0.8024077898703195,0.0,0.0,0.7279262856292099,0.47172558884316107,0.0,1.8762996629392097,0.802407789870319,0.0,0.0461118226679369,0.5988103896355379,0.8192713572501318,0.5048165085914302,0.0,0.0,0.13330786905084047,0.0,0.2884281647415765,0.2715364113484968,0.5343668197817593,0.0,0.0,0.0,0.37029762428548585,1.8793220955802017,0.0,0.0,0.0,0.0,1.8732869363843578,0.43280848836822683,0.9357714513798321,0.7050503444414398,0.0,1.6073951525242096,2.157062544207952,0.0,0.679929451514548,2.954807017087572
bah,0.08458862967388503,0.12383840441666649,0.0,0.15977735469660437,0.1169968528271097,0.0,0.44249780675616623,0.35779444066076493,0.14041716368543178,0.07569096620878485,0.09607160016462535,0.0013759189264703764,0.19713321798059402,0.03851581557507355,0.0,0.11033187987095339,0.0,0.002019903638603715,0.04558589693604176,0.1691788922310833,0.0,0.0,0.0,0.3191517068361085,0.5276582308292364,0.10809766039464197,0.0,0.0,0.0,0.4424277892673736,0.20303605435245986,0.18201168915033206,0.5178519603028224,0.0,0.5078804318477399,0.40462005695396996,0.0,0.20686488513563006,0.20174157019167138
brc,0.0,0.0,0.0,0.10207267278305343,0.0,0.0,0.0,0.7071613687846527,0.0,0.0,0.0,0.8330878870479344,0.0,0.0,0.0,0.2838933016991909,0.0,0.13551500434902253,0.0,0.5288750266374791,0.0,0.0,0.17610540004954167,0.0,0.0,0.0,0.0,0.18504062841866087,0.0,0.8855172199040917,0.35259572818471474,0.43587592039737133,0.3547365759182046,0.0,0.1771661974682761,0.0,0.0,0.0,0.0
bzj,0.0,0.0,0.0,1.0801706995862501,0.7621965916126485,0.0,0.49165007150248297,0.9826559791617413,0.0,0.12699059421490466,0.07342641955233864,0.2554475437671402,0.21529562309078676,0.0,0.0,0.14060350031846758,0.0,0.23702184148288818,0.1659502904625116,0.6546751058363895,0.0,0.0,0.0,0.49100681364151466,1.1486895089169717,0.0,0.0,0.1470220852710975,0.0,0.8186118446935149,0.49052462798317986,0.5059695839914786,0.6030845070448985,0.0,0.6555334286699761,0.9875078817842633,0.0,0.904077323499493,1.8050835140123849
bzk,0.3393454459608152,0.0,0.0,0.3617435843432082,0.12107219055515639,0.0,0.9067572302533016,1.3595195114629393,0.0,0.10231610230727989,0.47771669245643134,0.5935587061777143,0.34958309001166477,0.0,0.0,0.2809500442066515,0.0,0.4117655507962348,0.344564141634999,0.9065517303358366,0.0,0.0,0.0,0.9943901923220553,1.9056126708907462,0.0,0.0,0.0,0.0,1.2204821027056703,0.31144589000846,0.755160378067866,0.9486215532207121,0.0,1.133703548188496,1.456585367243255,0.0,1.1224125429263117,1.5904298314263858
cri,1.2571315682999762,0.0,0.0,0.788111971733972,0.6690822889709942,0.0,1.443445764891072,1.8017065404384685,0.0,0.20646967861830934,0.6685731538206086,0.9855122940525134,0.5061892169414939,0.0,0.0,0.12230506284287301,0.0,0.30289524083186126,0.1832074457336114,0.7183529460132734,0.0,0.0,0.0,2.165953138003757,3.259515304911093,0.0,0.0,0.18511352939993306,0.0,1.623876485502457,2.158936033189055,0.48608752344632666,0.33334048506121317,0.0,1.2648407733372231,2.360077605049239,0.0,0.8768251985081932,3.257156027150877
crs,0.3226036726384507,0.0,0.0,1.174493614318739,0.5903024302954596,0.0,1.2738998688967689,1.636084795832776,0.0,0.0,0.3026286324055887,0.4933118886203338,0.42720043641657357,0.0,0.0,0.5254402290143778,0.0,0.5201156769150992,1.1051886560757094,1.4542975962958016,0.0,0.0,0.0,1.6366798507259812,2.3727228681813246,0.0,0.0,0.5204957692230516,0.0,1.81721130386196,0.05785288516942644,0.875552170700038,1.0601916126718898,0.0,2.0033009395830934,1.6462599413037204,0.1811286620922239,1.073889771245475,1.2766879362017116
dcr,0.4754226051074715,0.0,0.0,0.13458161497117294,0.7117895322606609,0.0,1.6663557875047443,1.4283049607183527,0.0,0.0,0.0,0.08578438803930788,0.1994953981497991,0.0,0.0,0.027854447279206607,0.0,0.20818283380105163,0.24115075820441134,1.189121848175529,0.0,0.0,0.0,1.4276252659685422,1.6671495201480404,0.0,0.0,0.0,0.0,1.4262678153224133,0.16326104646316253,0.37674272068202574,0.5772093286936428,0.0,1.190254133931961,1.671927840772267,0.0,1.028483558333162,1.190821085820029
djk,0.6348499905042198,0.0,0.0,0.42228246704326167,0.8070023427294024,0.0822641156521857,1.4850878766072952,0.6353878251105369,0.0,0.0,1.2751896846377475,0.05088223386260626,0.510529521708855,0.0,0.0,0.45026796778209377,0.0,0.569523970933008,0.4305217735047152,0.8471837668140498,0.0,0.0,0.0,0.8952609889166867,2.338671137745802,0.0,0.0,0.23869674103548166,0.0,1.4831998633481698,0.4321133585924002,0.6608943986790039,0.4772039725118429,0.0,1.6965234342984346,1.9175350070434654,0.0,1.1281354141756017,1.4888783598105482
fab,0.5892054830234672,0.0,0.0,0.4652583018646481,0.3953792404061658,0.0,1.0598876795194485,1.0582054511404362,0.0,0.14929756956000761,1.3869384778244163,0.22366949041379902,0.20767749223492293,0.0,0.0,0.3240524252106667,0.0,0.012431415434587034,0.3298239315097944,0.7932343708023373,0.0,0.0,0.0,0.7936540396138909,2.655348540912459,0.0,0.0,0.1333224233910142,0.155072333442546,1.6486216243165854,0.2330593466072206,0.7228119752749778,1.0161011747617383,0.0,1.0604498648899838,1.3903541904776748,0.0,1.2989942760363489,1.325562093146159
