,aoa,bah,brc,bzj,bzk,cri,crs,dcr,djk,fab,fng,fpe,gcf,gcr,gpe,gul,gyn,hat,icr,jam,kea,kri,ktu,lou,mart1259,mfe,mue,pap,pcm,pov,pre,rcf,sag,srm,srn,svc,tpi,trf,wes
aoa,0.0,0.0,0.0,0.22937038617834385,0.0,0.04439700767910352,0.0,0.0,0.0,5.613798141625553e-05,0.0,0.2681381112539041,0.0,0.0,0.0,0.0,0.0,0.0629939522474059,0.0,0.0,0.0,0.0,0.0,0.014524194057493599,0.0,0.0,0.0,0.09492217724399332,0.0,0.0,0.09284622585109552,0.581328582461567,0.05601824957405186,0.0,0.0,0.0,0.0,0.0,0.0
bah,0.0,0.0,0.0,0.0015839349052442363,0.0,0.02887566291392834,0.0,0.0,1.293056687034021e-07,0.0,0.0,0.06246370719839625,0.0,0.0,0.0,0.0,0.0,0.058039325053441684,1.0235520460514313e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.02109233225118355,0.0,0.019527088644949696,0.0,0.0,0.005077469821339124,0.16801551748128296,0.012312105339558321,0.0,0.0,0.0,0.0,0.0,6.181092933385707e-07
brc,0.0,0.0,0.0,0.121378379289819,0.004025034321649091,0.0841746386854986,0.0,0.0,0.0,0.0,0.0,0.16429705385907115,5.228293269958556e-09,0.0,0.0,0.0,0.0,0.09478228715662815,2.361224718636522e-06,0.0,0.0,0.0,0.0,5.10603201733302e-11,0.0,0.0,0.0,0.030143543705163922,0.0,0.0,0.08186417883035148,0.0778479586491737,0.14334071663080702,0.0,0.0,0.0,0.0,0.0,0.0
bzj,0.0,0.0,0.0,0.07339667748827423,0.0,0.03819898171706083,0.0,0.0,0.0,0.0,0.0,0.1668819413466825,6.940231498673946e-05,0.0,0.0,0.0,0.0,0.06626341045566957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050415109413383466,0.0,0.0,0.0,0.2911033109543674,0.07917866460367282,0.0,0.0,0.0,0.0,0.0,0.0
bzk,0.0,0.0,0.0,0.039333393373346216,0.003338129053511923,0.02479161206237141,0.0,0.0,0.0,0.0,0.0,0.17093289749273197,0.0007786319134586026,0.0,0.0,0.0,0.0,0.05659503461363343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03692233190982108,0.0,0.0,0.0009058325236500224,0.19992882423640915,0.038025951206309826,0.0,0.0,0.0,0.0,0.0,0.0
cri,0.0,0.0,0.0,0.19950326654342984,0.0,0.033788902694794364,0.0,0.0,0.0,0.0018358757652406858,0.0,0.10425261586531882,0.006852917678308965,0.0,0.0,0.0,0.0,0.053820178131666604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07115392755154694,0.0,0.0,0.0,0.20895549150906198,0.20673971723686382,0.0,0.0,0.0,0.0,0.0,0.0
crs,0.0,0.0,0.0,0.22219150102429538,0.0,0.033064604411721994,0.0,0.0,0.0,1.154289828288823e-13,0.0,0.06902448816558457,0.0007255604683649688,0.0,0.0,0.0,0.0,0.09417239472297546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09187309005135548,0.0,0.0,0.004403857396811495,0.36866799594618577,0.07386525476139823,0.0,0.0,0.0,0.0,0.0,0.0
dcr,0.0,0.0,0.0,0.14907960772352644,0.0,0.03958561828000495,0.0,0.0,0.0,0.0,0.0,0.18430907702087823,0.0010483869669826841,0.0,0.0,0.0,0.0,0.07122529465779272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06908719757987829,0.0,0.0,0.005047474089647989,0.33093475503460823,0.22076822600280244,0.0,0.0,0.0,0.0,0.0,0.0
djk,0.0,0.0,0.0,0.004914678267966457,0.0,0.035997573793867726,0.0,0.0,0.0,0.0,0.0,0.21642749602153302,0.0006880637811434648,0.0,0.0,0.0,0.0,0.0480174353796342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12079787494246583,0.0,0.0,0.01257001615642589,0.23306822101397226,0.08755820284454763,0.0,0.0,0.0,0.0,0.0,0.0
fab,0.0,0.0,0.0,0.06320099332558932,0.0,0.038436983905778856,0.0,0.0,0.0,0.0011680260531447292,0.0,0.10850454787626658,0.0,0.0,0.0,0.0,0.0,0.06793152632525362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12282519184492299,0.07689280619806234,0.0,0.0,0.34619320037131207,0.11001226487398248,0.0,0.0,0.0,0.0,0.0,0.0
fng,0.0,0.0,0.0,0.13200387816322517,0.0,0.04479994152641976,0.0,0.0,0.0,1.1399377041964797e-06,0.0,0.061805033364834026,0.0,0.0,0.0,0.0,0.0,0.04014764446824437,0.006594740271785868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12494693781894668,0.0,0.0,0.0,0.4475415683919369,0.1364875612879109,0.0,0.0,0.0,0.0,0.0,0.0
fpe,0.0,0.0,0.0,0.20738791457179578,0.04535219065015761,0.034808469432513076,0.0,0.0,0.0,0.0,0.0,0.15694206319625104,0.001896165832549811,0.0,0.0,0.0,0.0,0.06026270167046544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07725168817078336,0.0,0.0,0.02238608487476651,0.22610549658121784,0.20902042145804078,0.0,0.0,0.0,0.0,0.0,0.0
gcf,0.0,0.0,0.0,0.11193528634608746,0.0,0.03505026922034489,0.0,0.0,0.0,0.0,0.0,0.2302020727621352,0.004617889095732591,0.0,0.0,0.0,0.0,0.07083266415268971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09061597388642338,0.0,0.0,0.08713230136810436,0.14724433869324863,0.03148344993665951,0.0,0.0,0.0,0.0,0.0,0.0
gcr,0.0,0.0,0.0,0.04078173850366222,0.0,0.07466656921069958,0.0,0.0,0.0,0.0006832201283437297,0.0,0.2740599455366262,1.3858407624514634e-08,0.0,0.0,0.0,0.0,0.08388788781832059,0.0,0.0,0.0,0.0,0.0,0.00014785258238121448,0.0,0.0,0.0,0.0,0.0,0.0,0.1612463446294816,0.03285508766611936,0.3142900528129795,0.0,0.0,0.0,0.0,0.0,0.0
