,acf,eng,ewe,fin,fra,fuv,hat,ibo,kor,kri,mai,mfe,mlg,por,spa,srm,srn,tam,tpi
crs,11.293240235234494,,,13.226988120247007,14.70343267175548,,13.208276722318077,,11.646415771432503,8.991752472005569,,10.655901642846784,13.845284868466296,,13.57658342081891,,,,10.96094003846047
hat,11.60739622245037,,10.29084987559334,12.004991303853286,14.545962541163092,,,10.997724154258526,9.708351079265446,10.722482086833086,,12.666730927927293,,,13.261090726871231,,,,12.855096987779163
mfe,9.084096208513996,,,10.544395397379843,15.920329920963214,,12.360992720876677,,8.250651539817529,13.104751555151237,11.504711337297316,,15.580305529951355,,13.62719838787002,,,8.803869588759678,11.94024043018377
bzj,,14.701707681173884,,8.363569733289687,,,11.83980687905182,,10.571105051044889,12.823187243454202,,13.205790037274829,,,,,12.743016416550415,,2.2247063379276395
cab,,11.561310377654554,,1.4758100602986695,15.175711376586895,,,,10.306210427449594,12.391572469029551,,,,,,,,,12.306516563819965
djk,,12.821756117044755,14.873588070364601,13.073776176303543,,,10.41795857871893,11.266771604125545,6.747156999285796,12.654102405979847,,12.744348545521621,,,,,15.026896479716601,,12.209063254101036
gul,,14.350568117705405,12.71356422459352,15.806868413310363,,14.239150679949095,13.265051349054719,13.38248352347182,7.72642977337346,11.403570277548521,,13.03372638426299,,,,10.552144186442328,,,11.771768326627116
icr,,14.351078351771902,10.739181516639679,11.545218629939459,,,11.74742995411391,13.2433975053314,12.725559054668725,8.37762468214058,,13.215454407891553,,,,,12.416593950262717,,10.932275677781258
jam,,15.009482656154733,9.777996484281088,6.2188286390979055,,,9.055324401014385,12.487496612938811,7.6164453263473515,1.9426059311522008,,9.176846638058427,,,,,13.121235133800724,,12.676379368250345
kri,,13.163111297551467,14.146824406706108,13.24943440309685,,,13.277425445349438,12.636303999989021,12.588624662895967,,,11.137959916617088,,,,3.8057880806933113,10.8868649212562,,9.694812772037064
pcm,,3.3668964312736493,,12.314373459863956,,,10.90240700259381,8.474367381364745,6.5690766457445875,9.454207818318256,,14.197745170144483,,,,,11.0432264833445,,12.067955817147226
srm,,11.472593691277458,12.094957598201756,9.3924656032808,,,14.28023557069917,,12.966146628821267,4.796700359537735,,11.717214537174097,,9.596567954576518,,,12.331862453356898,,11.160639002595813
srn,,9.43708380895364,12.761220272327883,13.030761560920325,,,12.981932311726021,,13.760451470330997,12.240198349783803,,11.459755801740629,,,,11.581788392765606,,,11.49811842775348
tpi,,13.250022099474165,,12.724040756851075,,,14.18096240170855,,15.581680197202392,14.415811940942518,,14.18296694022725,,,,10.286261866678977,12.182111331197952,,
acf,,,12.266582968040389,12.448578222580494,13.245533275327674,,14.201291627736637,13.439914126973553,11.6088759399088,8.165598071601162,,15.42512300185042,,,14.43581084367573,,,,13.377955540574805
ktu,,,,13.31643588519142,,,,,11.568239336770963,12.1886968539903,,,,,,,,,12.366822267829807
pap,,,,10.51872604428102,8.208781200331803,,,,12.984461549797283,12.282327461290771,,,,10.082977273442834,11.118691666069145,,,,0.03908741289555573
sag,,,,3.268115975639148,12.480849586359993,,,,12.963406882244147,13.474594570079246,,,,,,,,,10.312072995605714
