,acf,bzj,djk,eng,ewe,fin,fra,fuv,hat,ibo,icr,jam,kor,mai,mfe,mlg,por,spa,tam
bzj,4.742720585980329,,2.1348838197276945,5.899390211897746,,7.1067898612065905,,,6.546299666045869,,8.856535592912534,3.3769297930927267,6.575829777388035,,,,,,
cab,6.384485804080733,,,6.3547741273212575,,4.431655176676148,6.609279476953073,,,,,1.4092402898910326,0.0015370589952699827,,,,,,
crs,3.6305027454909187,,,,,10.039088942803712,9.056581837941584,,0.20807308489870907,,2.956851072299454,2.7360425966749684,6.41342167363481,,4.549616005078795,6.578077226404929,,5.94589304031144,
djk,3.9275552288323365,4.4518813945307905,,3.394924457732837,0.2211716215671237,3.826309773519532,,,5.272494428853304,0.8163386518207549,0.3031094345067179,7.218588663264025,3.8427010609451355,,,,,,
gul,1.8656166873085758,2.268589221354832,0.8834865201329168,1.796123759004407,0.6501526838197379,5.109186170675495,,7.168918451100261,0.39840733454886545,3.9442271491282543,,0.48331378028822336,2.0599319458791427,,,,,,
hat,4.013571613186375,,,,6.124835160647499,1.7976496230491428,8.42086098535836,,,6.896331429563675,2.924257265416813,6.197523960783318,4.200947929742332,,6.756878164990468,,,0.8315016633058122,
icr,0.01859919190432393,4.522530840069831e-05,5.129665208834062,7.470682203871443,0.2205372098447346,1.1311867044665063,,,1.5684868188479524,2.131579231923742,,2.6105499975805593,4.240905005503861,,,,,,
jam,6.855024740098198,0.05944506634437599,5.454648648027031,5.643621405105627,4.119141138707198,3.499747405809948,,,6.890493211543349,5.123998383966772,3.6059053670431367,,7.297588455771836,,,,,,
kri,0.0,7.988672837039205,4.71292458734069,6.41008068464598,5.572695426034827,2.180681201627482,,,5.436103590370428,4.528469094298049,,0.03232745629675454,5.426463486542525,,,,,,
ktu,0.4123482490278816,,,,,3.2216016883229375,,,,,,5.290599902248511,9.631607625637281,,,,,,
mfe,0.0,,,,,0.4893791184773323,7.100408748751195,,0.9529892025017939,,4.870883476593329,4.324508224356841,2.1532431145902193,4.426676559585768,,5.658396900642001,,4.422789278498855,0.06059952907487913
pap,4.406966173148691,,,,,5.989682833485092,5.659568516386222,,,,,5.959960381805731,3.1643630233754285,,,,2.3609896729807445,2.874487680611477,
pcm,5.761956629851707,5.91903708210505,2.364612681176201,6.33182841525497,,3.384460304254951,,,1.49638117105766,6.377555068575207,,4.962184190040138,2.82079651064342,,,,,,
sag,7.685269501437286,,,,,4.085014002193657,7.582956540324268,,,,,0.3002558044990516,3.9103304794575964,,,,,,
srm,1.1194875697772235,5.531427966534661,3.9363900092413444,6.1692414358942615,2.227019427408861,4.716164621718655,,,2.600229300018369,,,1.4482701059674425,5.134283436752788,,,,5.769503870817854,,
srn,1.5002844832614526,2.107854075126443,2.727403592461557,0.927437144204947,5.5278147152461345,4.766780141526078,,,8.305681046655511,,,5.820629266746319,5.1358135050355065,,,,,,
tpi,2.0888337767703145,4.00833130798295,4.358688403565959,7.861139839158546,,3.8945533918123463,,,5.567780112121575,,,0.06727254078100081,5.551966000628193,,,,,,
acf,,,,,2.4056753445105774,3.2333624018064384,7.400385322405093,,2.7950463288484526,3.574700474222157,1.541399274297271,6.486206224119795,4.52709448948436,,7.01115608346351,,,7.8442230725906885,
