,acf,bzj,djk,eng,ewe,fin,fra,fuv,gul,hat,ibo,icr,jam,kor,kri,mai,mfe,mlg,por,spa,srm,srn,tam
bzj,0.5422352387478059,,9.579609518502085,9.069627658953316,,7.408355401615967,,,3.692775668047563,5.794996323335268,,5.821664131421819,7.747094840561017,7.546722043870212,,,4.751166757801753,,,,8.953144558359327,4.8129627709058695,
crs,7.990859295115701,,0.0,,,8.235419297379678,7.30761378351011,,8.825657727164533,0.8035662474672085,,,,0.06219379915312312,,,0.4507278381621063,3.463059207284076,,4.3161900879763175,9.10534337093836,11.26657674505569,
djk,3.670758653233255,,,5.287521518436733,0.3355990419761258,2.1615532624010125,,,1.4391561256843315,0.5877624715021117,5.863507979660627,,2.7864307739773793,11.261554112112808,6.370267512270874,,7.358255246445854,,,,2.998334140158219,10.078636455283055,
gul,1.1133056599767635,,0.7200461485687617,5.254779034062847,5.637058787642753,2.2880435283653786,,7.61464051074669,,12.133740666980044,7.670750547027149,2.1617061713842594,6.213025224858404,7.157652302050333,6.636301676523828,,6.533940477675351,,,,4.167781084181905,10.22443154620029,
hat,10.733701630044147,,8.993223477518884,,9.128253253471492,4.985997524114856,2.209310816444794,,10.769958715772935,,11.517524796999071,,,1.9299046354252802,,,10.4331215445629,,,12.492628989858808,4.642955466429827,1.1329300369732438,
icr,1.4419027376115219,,8.977346318011005,7.607147003481713,5.938595604464256,7.279507006673698,,,7.600929208135002,3.4142995996314363,9.797385301813437,,7.685185993215698,6.683728658173304,,,4.347340251928296,,,,8.36396244768981,1.0803477856836218e-124,
jam,9.012183382796524,,8.442902765612759,4.993342203888053,7.599926236779735,4.4054462303990025,,,8.868487893084135,6.959728349807872,10.645927511555342,1.8061550735282172,,5.747146197494154,8.815231134659376,,2.1879589018724976,,,,7.483272067648145,8.892231279449405,
kri,8.816676096513728,,6.309679027215789,5.3982934550023405,7.897116514666383,2.153867861320989,,,9.53941066890345,11.680833003896256,8.555321183933845,3.6395128274523874,7.644420256793999,6.915406402712925,,,7.400898353737409,,,,8.481326567796419,7.7922561221031,
mfe,7.512376893900601,,7.144190097330568,,,7.968403258174148,9.88975280128753,,9.508562990401265,7.8574612642812145,,,,9.491069917934032,,4.366410285021008,,11.657324801046116,,2.4147091110736176,5.603166080246582,8.412043266402268,0.007212524492759891
pcm,2.978503144435162,,2.771198332269093,5.6612220604908154,,2.7981968829870905,,,0.1452121192425197,4.7963284944192,4.2786637062497865,11.670799110726184,1.0460791261384799,4.814544084896341,,,11.44539763015636,,,,9.397099621737391,8.41389164318947,
srm,0.0052706477746989056,,0.32104341982752277,6.992062641250462,5.40578661736027,8.703516871810326,,,5.975970227517668,4.623629108342513,,5.087314319311843,7.569795877901464,4.125956023080001,,,7.1230101133131924,,5.445829941168616,,,9.881788982752262,
srn,3.523845924426286,,3.9291148909238545,5.146583448191492,8.674508138570204,9.963520586689983,,,7.204183378934121,6.6485522621284,,3.034495807376738,8.589013708363385,14.837976531138622,,,7.738693335231982,,,,10.713068214703853,,
tpi,2.6647468500816327,,4.506449651048599,6.603034629777975,,5.601610460169526,,,6.479995609708634,11.619539147590789,,0.1882572481571807,3.998132015901382,7.677128406748021,,,1.417192007990282,,,,1.6720738535529966,8.805378180258604,
acf,,11.222713711232892,7.066489485640165,,8.382750485417452,1.858332410646184,6.9599050653925705,,8.062180938592457,5.344363888737571,7.092208345462732,,,6.096563913923823,,,3.977148556453845,,,11.779138566748614,4.35958433997674,12.541135708078246,
cab,,,4.1114126892330765,7.784791701160882,,6.7787475474392265,6.388951751797951,,0.5246868144960455,6.2004245378390985,,,,6.831886194110665,,,,,,,0.00087963998392705,,
ktu,,,9.684061897415699,,,12.05200559566577,,,4.963706653891283,14.879711637448366,,,,5.745282492825544,,,,,,,15.568990516510427,,
pap,,,4.591768662080981,,,5.0714163250035025,5.5075945003079765,,2.492289286681754,1.5646962890533507,,,,9.299511119995753,,,,,8.913868818536836,6.069625892478109,3.4096089741472717,,
sag,,,4.19971565443823,,,2.936907982541809,8.610587304914246,,9.785065459636062,11.575397096974758,,,,7.3133011373200025,,,,,,,0.4083820397819616,,
