,acf,car,crs,djk,eng,ewe,fas,fin,fon,fra,fuv,gul,hat,ibo,mai,mfe,mlg,nld,por,spa,srm,swh,tam,tpi,twi,yom,yor,zul
bzj,5.835216868572448,,,,21.24103822693578,,3.657249758594811,1.0447972770225367,,,,5.6611267251705355,,,,4.173664183209756,,12.834287628244015,,,4.546875713739972,3.0834203063925956,,3.6165084075668035,5.990737905863194,6.9945922132220675,,6.308500888133213
crs,6.154065911194797,,,,,,8.163659965215222,0.9706881364622938,,9.868084995851303,,5.508192378563777,3.5007854259220803,,,6.8611723111754825,5.588068351899227,,,7.875924932015126,,7.403148543251592,,3.130707500698887,,,,6.126814702772861
djk,6.684016028237318,,,,18.779029881875786,2.6212442732527044,3.1279792965572297,6.986387556325144,6.546487491615338,,,7.524437931323093,,5.654689955380525,,6.551744591658387,,7.357492499532671,,,6.367116416407494,,,2.3833496354302914,8.49712492654155,0.36851956565413385,8.139264165181325,
gul,1.8551174605775373,,,5.914858116138457,35.79012959178403,5.221074648415323,2.498986496060829,7.331624831889762,7.90768178515037,,1.6351434061063084,,,5.852205397814779,,7.784751681092876,,14.587186019288154,,,5.010529677799231,,,5.213955720397783,5.0085577639453,,4.803154585002713,
hat,10.253377885446117,,8.856199136582536,,,4.990301540098144,7.856586824693065,9.536225663864453,8.504418783151337,11.342802655829939,,7.8306337935945045,,5.704601962950406,,11.051128374589503,,,,11.087195119769078,,,,13.999811230487621,11.338157247527517,,,
icr,4.47241448097166,,,,28.869603388602105,9.746413772858652,4.859273565752402,5.955585504899247,9.416624679770027,,,9.835851791090642,,8.170516951780462,,9.601128323741898,,15.550475190269172,,,3.0007967552689903,,,10.198220051373934,7.048305093857117,10.759641547518264,9.672326406952678,
jam,10.97528748059525,,,,26.34495684719294,2.2987056603193357,9.498146296914527,10.48442643656007,4.983422081842719,,,8.360976216699907,,0.6636457650671278,,8.717933021702027,,16.53319487933797,,,1.6180168062205786,,,10.115696022432727,10.04204598803678,5.518952743208925,11.679884040425728,
kri,5.2043326196025825,,,,21.143534561111473,5.98102400122469,0.5425982183440572,1.6983066544909144,2.4702237049108904,,,2.719596840784492,,2.957043970826094,,3.267747627031767,,16.31143650596904,,,5.864119151300624,,,8.204858057245168,9.072570667322276,,9.462177181523762,
ktu,4.1174765759168155,,,,,,10.222234157324525,11.439377094738855,,,,9.813457139831218,,,,,,,,,,10.949146060346777,,,,12.188775804853904,,3.7905810054318834
mfe,5.9908594923948,,8.597414191788896,,,,2.4388397614372677,2.8491654337928995,,12.412201212079479,,4.912730903255503,3.325577131074784,,7.350269821276596,,3.9128122524315483,,,5.372680723599586,,8.757619641839412,2.1555522994337832,2.973879866498953,,,,3.121955698758314
pap,3.6072189904814547,,,,,,4.2187390377719405,5.745849993250706,,6.9157613844296195,,4.814518953012996,,,,,,10.612765897559353,0.37666672265845297,8.16006679185862,,,,,,,,
pcm,11.983071781317198,,,,40.22582938979137,,12.001558884229064,7.605017489627228,,,,17.459452592598357,,13.033517992825583,,17.36918694694832,,27.211930658618243,,,9.783549925188664,,,21.312528575158645,5.506697401311513,,17.909412317174283,
sag,6.726466750806305,,,,,,9.240950139923765,7.254300955937509,,11.604974025946557,,1.3253086842501778,,,,,,,,,,,,,,,,
srm,9.089893914500982,0.0,,13.714327366943913,23.939008201934985,0.896300921106687,14.568204290716693,10.663583729196427,10.358176931966366,,,12.754436511130773,,,,10.865286735864416,,18.4394452837157,8.991658845687066,,,,,12.75247970795063,,13.145688466278996,,
srn,2.9383839970340544,5.919019840268124,,,18.542181624346863,6.966300780159683,6.551227793413639,6.840595659578887,2.6206761969113264,,,6.654493092854199,,,,9.04052722904688,,12.50842490761466,,,6.430064047469922,,,6.600306132085159,,2.3820321017052497,,
tpi,7.897476674247208,,,6.453381340138008,17.63364769462265,,4.7564842732585415,7.247040267742857,,,,7.403006433934162,,,,9.12337747164959,,12.888656196975647,,,5.38320023893563,,,,,,,
