,acf,bzj,cab,car,crs,djk,ewe,fas,fin,fon,fra,fuv,guc,gul,hat,ibo,icr,jam,kor,kri,ktu,mai,mfe,mlg,pap,pcm,por,sag,spa,sqi,srm,srn,swh,tam,tpi,twi,yom,yor,zul
acf,5.329007536577062,1.3869853429096626,7.916487068368562,5.79780440083976,2.800819580668593,6.514504114717301,6.767312786752846,6.296401440039976,7.747658416116831,4.484935346934297,8.046514738691275,2.4454538907539836,2.710937361820981,8.024091902431529,5.718878271696819,5.687411773176086,7.8173081197031165,4.512521488649769,0.8803981945857705,4.575119847031179,2.9566877707177284,0.010752011268937819,4.139415381154973,8.802922065686468,4.81863748603501,7.806709051982639,2.8403355294455723,0.0,4.482950067193694,1.6381942443148108,7.921034068802831,8.758904619941998,4.410338253715098,3.3676916506930263,6.612513584676498,3.409644550157618,1.3577341453864344,6.149800110414716,6.095981000811483
bzj,4.9855042959092755,4.222744443030031,5.833877921539395,4.063023624589699,2.6974049147265933,6.768219661277519,5.699956472373956,6.532238989622174,6.14782081003612,4.7551820413371235,4.5388549361025845,2.63994115367972,2.253380038197465,7.38750500905581,4.420319791680831,6.320392440726234,7.29060532760131,3.207539516186473,1.4170214752162755,3.6287229776489425,2.721623545474568,0.0,1.8023805133433812,5.376800136710661,3.3961983269816023,8.326811197931054,2.2250917597748345,0.0,3.8995120251597055,1.5545364648012185,6.598253539935689,7.711463437915269,2.384360244355518,3.3431049242076663,6.589304406526743,6.77131186115537,0.990810553132784,5.876439871252586,4.88189317418869
cab,4.646128314164407,0.8536761580862124,7.370752823990244,4.56775102231303,2.376524158721301,6.573709580051348,8.269954704874896,6.472626435642612,7.280254338808375,5.515839207879969,7.473324184511634,1.8593042626130711,2.1636988248851194,6.087744409134626,3.1469610843181695,6.973918374731484,6.489396678174289,3.741096199028348,1.1618897358416205,3.6131407843206143,2.127975386927917,0.009925449668124408,1.5196024193725157,4.052022968265525,3.222231528383813,6.784074572431925,1.8451059862846946,0.0,5.705131793208519,2.8003612929810484,7.942975248558416,8.025751067571877,2.468804680362816,3.3431598457513645,5.796932282018735,5.629488016689478,1.3308379072013603,2.1280629972013942,5.6638296173634455
car,4.329928592659499,2.410079099400339,6.960777456159752,8.256979855326112,2.3955453811726746,6.569727834338034,6.049385896238418,6.934845796830899,6.353438332452835,6.207881963108922,6.962028605613993,2.6258014009085273,2.604699194796065,7.688912686809239,3.780936995688714,7.264267251996554,6.624962491935111,4.523699335497147,0.7421046403035272,5.496210980843269,2.47917253153975,0.0,3.3317679243133718,4.284844903676068,4.950579141339153,7.04536952260001,2.7857496807685376,0.0,5.375514906982207,4.5278185632862735,4.98855910572135,8.276011379210873,1.9102422294957093,3.359477768618166,5.8935761713249,5.267059667685908,2.362218815109808,3.64271666269165,5.8824486802996505
crs,4.522597568301564,2.7573319394329627,6.280888751699548,4.611858650874832,9.069814649032109,6.392371058702556,6.6231959935208735,7.074286494458021,6.7428622187125,5.7322323391768935,6.004739064280887,2.590933376143594,1.1629526552517868,6.860158155040683,5.726772646660148,5.435909491907476,8.05564256427998,3.090531687349088,2.7516504950784486,2.278444837211148,3.1113406139274256,0.0,6.59503327401692,4.260810741553207,2.810216013911439,7.149218848898508,1.9995985440528279,0.0,3.925826098949666,2.978880556657407,7.038825335389253,7.320638397393428,1.2223717653765747,3.2781467371912574,6.313233159972313,5.576906121801029,1.1951170635793495,4.281936299955018,4.535947174457788
djk,4.834248443531549,3.1277670903688835,6.110750154028927,4.789779943855158,2.947826986766424,6.96271354632958,7.365196283330208,7.445831685529988,7.6981195176975925,5.933694771814845,5.600364547243984,2.3180634127797908,1.8358576497285566,6.551569945887232,5.219959207024604,6.0738007836236045,8.032044876774256,3.955232159344061,2.7516504950784486,3.8935076620618334,3.272207220175407,0.0,2.1671815174879128,4.563024566301023,4.670833232754937,6.827552627651314,1.9223184920959542,0.06544654883497605,4.035360041932874,2.24830404650517,7.220358403967467,8.44290340356476,3.2024831071277924,0.9012771876863337,6.631238620999329,7.3494856228358065,1.632794376596423,5.426572413748412,6.3137945493655065
ewe,5.468070763298137,1.2726229462725083,5.513308824969328,4.950881067160152,1.9328476600170734,6.338637010602337,8.972345279466563,6.372478481955987,7.445989219877497,5.911319109694852,6.169744664106568,2.456589506030687,2.7108482837616514,8.207124999148629,5.366014771302654,7.7264997238007975,7.897518923511793,4.0812666678548455,1.2177720942385681,3.418700341456662,2.864994896680343,0.0008268180074347475,3.1020208202961403,5.375951887162314,5.185388247589964,7.597417092877177,4.475790746228192,0.0,6.759049792000664,6.0389227132395025,7.925006937562339,9.611897422994122,5.661699351089309,3.351263886543305,6.194929918436168,6.421270007042337,1.0859389880965873,2.916895652239234,6.762262649040935
fas,3.67344606583647,3.3515585502020473,5.9340664075363065,4.5789792498749975,5.713187510338403,6.295946242180419,7.065852655583162,8.496368869271457,7.467333184834633,2.898279528408662,7.613915022638956,6.605511467001235,2.7516504950784486,2.178589023642128,4.952345990954029,5.7878919141683,9.272602070930093,0.8156335682372038,4.456462415671212,2.7516504950784486,3.5915475809990736,0.0,7.900562896266079,7.519484521886735,5.578917896951995,9.17740783332072,7.935935290177544,0.0,1.7262970676794518,4.019336343042303,2.1156057596366336,4.763037307901276,3.8455680792205142,3.351263886543305,2.855796987916624,4.125903842524541,4.143449606297396,3.708563322573323,7.1821614035507
fin,4.03965984921558,0.8836968494960398,6.765143838333376,5.353336391401861,2.8663100945934263,6.291280448168736,7.503735175184547,6.627895873281878,8.96084773429367,4.4093089627103765,6.0328762913953495,2.4409863749253033,2.416945990981674,4.9341059029732595,3.6063367594393583,7.548786184099147,7.930932933435858,3.5099937963617918,1.4861068528025418,2.9822056544463442,2.311277743271528,0.0,2.610209602846548,4.5403629342591705,2.1903880381307896,6.777749569013963,1.9541309808397234,0.0,4.176425030412613,2.243438894848532,7.472342486961117,7.926111922601518,2.521070597821166,3.34321476909963,6.043953353656775,5.61745078307839,1.4369272220578158,3.035449961896734,4.4698610752798364
fon,6.408310770498423,1.467688653985651,5.462613483015626,4.988858459521229,2.3378250551045614,6.477391376596482,8.044553419693756,6.21948450126069,7.746476751576009,4.209267085130495,5.779916344798924,3.054864757129238,2.7516504950784486,5.214627503966918,3.753434183293758,7.835808228827168,7.60174473818602,4.572767069738622,2.912428585970167,2.683908577167418,3.0667553186262,0.0,2.9831096737171445,6.473045699933007,3.7231825639046376,9.286131598207199,3.8971730250242573,0.0,7.564093559161124,4.098824207347326,7.623576297406549,9.926009251282666,5.272087346539002,3.359477768618166,5.6540810032855084,2.312714356796711,3.6439072026544026,2.3666174903385495,7.253060541926755
fra,5.1533778880935035,2.448067976855673,7.138179944327454,5.054879764803379,2.934687919902336,6.914367959642181,7.889397318190726,6.603292686619246,6.815895119574811,4.907374069038797,11.733500823861192,2.3810034040400345,1.9920464199241699,5.463201936042882,4.496693740928578,6.949718850313434,8.327965341904529,3.2965339229009856,1.3864372803439755,2.670454930627812,2.8319494810473507,0.0,2.8795942828734407,5.213719401898229,3.4067113986490822,7.6237839781536305,2.597110699981883,0.01571242095615767,3.299981967185229,2.7380533352190635,7.4720660008992486,8.121320573348042,3.48797469922893,3.3432696942525477,6.153858421796634,6.047359282363461,0.8694979559128161,5.544667809747779,5.404459901667777
