,acf,bzj,cab,car,crs,djk,ewe,fas,fin,fon,fra,fuv,guc,gul,hat,ibo,icr,jam,kor,kri,ktu,mai,mfe,mlg,pap,pcm,por,sag,spa,sqi,srm,srn,swh,tam,tpi,twi,yom,yor,zul
acf,1.0863313455765375,0.031734707497883985,0.16270052572757177,0.11804419594706328,0.0,0.025513965905855862,0.13140694426741195,0.03987523601176157,0.11343805696861686,0.272600383430345,0.21724097574535062,0.0,0.008214961702488477,0.2826430524872183,0.4373539204156316,0.20262778507460855,0.08180921016574949,0.34140938590621417,0.01704316831323116,0.5940912488669601,0.09590029536686773,0.004135786085518999,0.0,0.29554316437978834,0.031190518721475158,0.17768386101489853,0.04921647984196209,0.0,0.11406893572463783,0.041514393003566186,0.29292617345860616,0.23566155995596816,0.16288921860565075,0.01642776414972147,0.14070844394032456,0.03669679726569974,0.0383510617488656,0.3198464613528387,0.13147741097124932
bzj,0.1966903465992491,0.903906296760983,0.28869898018310725,0.04837313045751124,0.0,0.23834583325385328,0.1478974918459146,0.14198090670235253,0.34844980599239417,0.41769257694246775,0.011870771260666935,0.05354936538338695,0.03289605895178749,0.47363341415569593,0.0,0.33811634456694506,0.5250162599795827,0.5051632863594824,0.0,0.5340428504922179,0.055196350515023695,0.0,0.042143806941180584,0.1988377848839189,0.11801768622216358,0.4214912267100992,0.017732641972354024,0.0,0.0,0.11104866194051444,0.3950384347097273,0.31295024943587,0.0881766580040555,0.0,0.14359478911070767,0.0,0.0602833720324053,0.22464844838021847,0.08382721005946969
cab,0.16890657422109978,0.005663603726055788,1.3069792177648143,0.024250290693657917,0.0,0.01163247817281654,0.17259533392061144,0.07116462435835924,0.4140712574058165,0.2672114424563645,0.2680720486239059,0.05290484173003551,0.08226991729601218,0.29430053270278034,0.08822231199534203,0.3228508226611799,0.049499234717261587,0.20796918522673602,0.00457988300194101,0.40653057335002174,0.10891279549130495,0.008271835529062074,0.0,0.007117065998691885,0.04669141080402461,0.003870895406083541,0.13188711908488804,0.0,0.21359240157768689,0.2598989161455125,0.20208618841287151,0.023068640036630228,0.0,0.01642830391032568,0.0,0.10176998895582035,0.0902359802766548,0.026876106337053063,0.21878133667312483
car,0.04008396564263084,0.044411723446770246,0.19575725862430637,1.9327543278329635,0.0,0.13793930061789084,0.0,0.2059927371071888,0.2540885916342219,0.5631023678944755,0.17818638587853108,0.013300492932823538,0.0,0.2543241626577135,0.03533796374160447,0.2123228098552703,0.12175457759650943,0.20734936639761248,0.0,0.705231747832233,0.06026624784527801,0.0,0.05392764782689907,0.1625853251637599,0.13248979008459205,0.2338346789357626,0.23305218300889985,0.0,0.28668990471927724,0.16845964868205687,0.2054662750328493,0.07010429606389579,0.03572746668570148,0.008213882074861178,0.0,0.21539225222980107,0.3294365525837164,0.17945624807958271,0.2789037464394859
crs,0.39459246513138435,0.21855470134001376,0.26638594704781404,0.3184667798309171,2.1688290194165596,0.34261394022650293,0.46352706358413087,0.2580306662400291,0.5909231477880015,0.4536301338315125,0.4221755253668098,0.018787754225485287,0.02474367351599538,0.0,0.4021446440057357,0.09418718503802204,0.40560499433166086,0.3852702843873397,0.0,0.2528877985573392,0.06353479576255694,0.0,0.6686194037204904,0.24477190368125612,0.013527903920708795,0.16745435379544027,0.10145343507881566,0.0,0.3322324798799734,0.14107331623026287,0.699814182633169,0.49647043270420355,0.03089258615053403,0.04929543965701155,0.1062925179771046,0.3700363676633005,0.14069399567449326,0.20892609209029356,0.06616493041498472
djk,0.16197816886700078,0.09175395933442143,0.18590000154483377,0.12357645207491519,0.12012385132386161,0.8279565891204879,0.1581618853230129,0.0954358218584268,0.23281718710119925,0.23497457324952986,0.18035572004514933,0.09153597085971477,0.0,0.29130138500081326,0.27944888642197707,0.08363070781457616,0.3357400741539225,0.28387628629195083,0.0,0.380359170876714,0.031142489230207904,0.0,0.04009059958288397,0.04681888019812863,0.0882690891141964,0.21666539324233103,0.07284530334237438,0.0,0.15970000576445598,0.04378463904577723,0.36337809944456634,0.7840449494947723,0.052847615655823965,0.0041633999970790425,0.26210504083610253,0.16982687463216628,0.13768367583034147,0.20101216356481189,0.27586809289953074
ewe,0.2883064752973583,0.03695063760194861,0.0,0.0,0.0,0.26196482939987487,1.3040041213143008,0.08996556818135648,0.12082411985056396,0.556716109781358,0.04594910542596331,0.0,0.0,0.2665260400089,0.16350759114438773,0.23488067594412154,0.24713820111636764,0.261834649204606,0.0616504759320875,0.38084879060245136,0.027141459933261558,0.0,0.0,0.19690919233803772,0.1797650391625627,0.2496734853902005,0.004821406892753899,0.0,0.15114926678236085,0.27734304235684615,0.17600522492587256,0.19731939903849494,0.168732609297634,0.0,0.027108363692659232,0.32589939853809646,0.00624590932923752,0.10291456685049072,0.22724957868172435
fas,0.6994625356610604,0.18913576306063762,0.0,0.13124962763684334,0.2559837442244568,0.029575063649796896,0.24129599149043912,1.473526506914257,0.3966886111029826,0.5324605251992836,0.13837877191703019,0.16434253426726997,0.0,0.0,0.14515438859909846,0.3635626274863979,0.4443851833813568,0.021468987589690958,0.40160364024645023,0.0,0.219289308157669,0.0,0.0,0.29158303767616545,0.12194791882973544,0.38202110027718383,0.8286840945664276,0.0,0.28731254637988357,0.43568680684409866,0.3331661320537904,0.5255667358679528,0.0,0.0,0.1376691433520909,0.0,0.7536402926107324,0.3284286202740927,0.23737778105452279
fin,0.040603458635644074,0.024331278918913957,0.28266134097130013,0.10520943112633585,0.0,0.0,0.2667580954648505,0.1680118646210298,2.3471061609108608,0.5888557089341284,0.33002654380347796,0.054491990196420925,0.0,0.0,0.0,0.31109069229634123,0.38611379579497473,0.3054092336893941,0.0,0.2787855196626481,0.03005310335097544,0.0,0.0,0.1996265321625872,0.0,0.3576110838498501,0.14451893563668583,0.0,0.39078189476611147,0.08535553205030189,0.23132115432103717,0.30213742109429553,0.07702730258403223,0.04928572141178833,0.0,0.35412103468573175,0.1624683342341,0.2381842182229268,0.08061252531706575
fon,0.1808931960591833,0.018346320215815615,0.09230338293799711,0.12053230440792984,0.053455089005742806,0.17354955090580848,0.08152088114191791,0.09123516471665738,0.0984857157330179,1.1870884052973527,0.0,0.07085055790218275,0.0,0.004429347120457727,0.01669297722965002,0.22746872670920126,0.16313247983647816,0.22950372841754163,0.10616585114859856,0.19723257006264294,0.06553763235229093,0.0,0.03439150395873947,0.2500671858475849,0.07282489687774785,0.3081208876909436,0.1349503823158913,0.0,0.29412880629989413,0.07771436867145898,0.24031149373442506,0.3837660658912956,0.1584811714692007,0.0,0.0,0.0798176197495768,0.235702921179342,0.03589217088630425,0.09387311936253706
