,acf,bzj,cab,car,crs,djk,ewe,fas,fin,fon,fra,fuv,guc,gul,hat,ibo,icr,jam,kor,kri,ktu,mai,mfe,mlg,pap,pcm,por,sag,spa,sqi,srm,srn,swh,tam,tpi,twi,yom,yor,zul
acf,1.0273926557952167,0.03589265594301468,0.14504731467603885,0.19094016657245919,0.0625372346919405,0.14284299505562853,0.5535524604234097,0.44545718739957685,0.16956280274817273,0.27436610253317106,0.16851014875353842,0.08001183254124586,0.0,0.4364594297857996,0.4592902903821633,0.674890249690552,0.2328851586052659,0.21664020744893697,1.3522373423986638e-06,0.33979275314877044,0.061182393059334574,0.0,0.12430261545652449,0.16505337005395784,0.02121417960938134,0.3169920893817045,0.08118380214632927,0.0,0.10484264636961936,0.030230365235091417,1.5430490654801061,0.42695628426871135,0.11302734927425724,0.0,1.0602225118776811,0.3340500862508045,0.0038001824890636984,0.07578532179592452,0.25381106730241243
bzj,0.5266832660893912,0.834514105233346,0.5794815194042029,0.3162360147594953,0.023599018370192452,0.21017783024830275,0.2193307069469216,0.15473160292329044,0.15411450004390276,0.29235565112300793,0.10549880596596205,0.09162595680808988,0.0,0.5123186405432294,0.1569383308323585,0.26502176243297443,0.3113184311893583,0.2170846131085403,0.0,0.2171138185134961,0.08730929045805495,0.0,0.04210323608012703,0.13953345470978507,0.04384405859869138,0.5345116530661951,0.08738985827543332,0.0,0.10595517615541385,0.018940367166796247,0.92169943516683,0.6150412580745115,0.15140169118546018,0.0,1.0209204648687358,0.7098850366881443,0.00010188679857147278,0.05781160912318715,0.18097243889670667
cab,0.3378051646048532,0.022332212726551413,1.6348658456447933,0.1062911376829669,0.013820028959177848,0.1849978252874746,0.5130867844561655,0.119287826050737,0.27249615569944585,0.3710293441212386,0.115520189488381,0.03476698385332836,0.0,0.5467587519826711,0.10662889512769791,0.17084334754639136,0.3301406226335453,0.26484170374581373,0.0,0.2787579143553945,0.09291776602404435,0.0,0.032514005367130214,0.0967673330195654,0.017455109338214425,0.5116477804728231,0.06444962168289334,0.0,0.19103226224889344,0.05283644209351283,1.4419065512338125,0.23881388799554373,0.0878364721478676,0.0,0.854558301975324,0.21263523018067776,0.009109977064234328,0.021344213855317918,0.2551985698955431
car,0.3177599609278215,0.11271345674887419,0.14793861267793326,1.8939668883856693,0.01500845223808544,0.1943629038009849,0.4153561993772708,0.12920747447748107,0.10339255946015131,0.5110250297463785,0.11033718391061018,0.0601317755569551,0.0,0.5754559011469361,0.09196538322921428,0.18540449230717976,0.10287402230909196,0.1704972145643821,5.683736303293855e-07,0.6881068852323426,0.09202616507128954,0.0,0.0983108154446887,0.10325042801814194,0.04933439646199314,0.6068150488409245,0.08359783143968104,0.0,0.124998787245902,0.07870709414146958,0.5055364018631302,0.46660158579974764,0.0435970421238733,0.0,1.0307258483879722,0.22850835727622518,0.14720076286264028,0.03995917098936232,0.14362327567737426
crs,0.3146716934638475,0.15598838434269918,0.20251167365878697,0.3914963832334592,1.3490448835136952,0.20732393177004887,0.5850391451750564,0.6906270955491532,0.16371407995311077,0.3651227492865111,0.13503575693668296,0.1300229741300004,0.0,0.42630164634301837,0.4989872634482911,0.10158265721587086,0.5114731391128644,0.14976687247294942,0.0,0.03860307127774575,0.0949892862774786,0.0,0.4129001202720083,0.1156616205640834,0.057200817916126884,0.4697984789247707,0.10770531856981162,0.0,0.15449425205425338,0.06053054203744764,1.3401969516698253,0.43980023887623976,0.0366887032882768,0.0,1.372485862851186,0.6979372533253682,0.0004350652947940753,0.13152122826710047,0.18733898483854564
djk,0.3236000949566501,0.2720109588039294,0.19816068787758787,0.4060882738592209,0.10412535083847262,1.245462846098597,0.3698103360090434,0.9246642308099503,0.16489806721289715,0.5200725614977542,0.10690210736225843,0.048764431915573676,0.0,0.5710974783123144,0.20833123247748697,0.11828718967966582,0.4497017792431922,0.34313413007471577,0.0,0.293680745182841,0.09022698435113462,0.0,0.06694507273747483,0.10402204811999717,0.09707855437563252,0.5502980682949065,0.05382870557144398,3.7413286142630527e-32,0.12835707127967028,0.05024003612825514,1.394933115479754,0.7209474518171375,0.11211849915355199,2.434032828685388e-06,1.2097868477829472,0.5989407343699741,0.013559898869780037,0.10956161557696178,0.30829863081836417
ewe,0.42775957480864596,0.03735332143992655,0.11220247155408324,0.13411683659132875,0.041630083940749955,0.2087421575560791,1.4005296530057654,0.19248596450438288,0.3270607504752452,0.33939417797307553,0.09715877048825532,0.05258225777973664,0.0,0.44394430801915435,0.09972224916033921,0.25696495829929655,0.4334605234632552,0.1889302472720545,3.9427402661473834e-06,0.18117807916154685,0.039917427609197975,0.0,0.07970768531046106,0.07693909108804778,0.04918265233512778,0.46127290844171287,0.11297410968428383,0.0,0.1410015954146295,0.08858374211962528,1.285042273621656,0.6062138506911477,0.12293359662872314,0.0,1.1079618466354573,0.5386784580284625,0.0017582494933318293,0.047721065227323806,0.17178453149821857
fas,0.32579080630100504,0.16405847378088886,0.08507201226330845,0.08188978164377668,0.20163989883658434,0.10605421901277716,0.5559113856773858,1.8184074403333188,0.33490765996507765,0.11945762010492142,0.16595191478562324,0.06840364831994927,0.0,0.04507325821725712,0.11717692169960647,0.10904830994657443,0.6517040364059811,9.398616633680461e-06,0.44387597641952714,0.0,0.08824008827099333,0.0,0.21652502817835992,0.12288908802948145,0.06168381299052691,0.4199385126829022,0.20068662349561328,0.0,0.002005069764691801,0.06595518326671639,0.04771820421576391,0.30986744850744546,0.013164070112989703,0.0,0.3211882408545037,0.11153055627417537,0.15148419789473264,0.04995844116456153,0.06478765313328845
fin,0.24532756838696984,0.0145865520939312,0.19812535751504637,0.5567488772028518,0.026163095266496135,0.17525076844047563,0.41396378438449916,0.31097040564067674,1.5134117399496156,0.46068465766182626,0.18059490494738067,0.060649688217155336,0.0,0.48357233567616886,0.09599375847424545,0.34753622740930457,0.6707572833751078,0.16120375391202382,0.0,0.04659283347504067,0.06401173946661037,0.0,0.05902627861571248,0.11740986196652023,0.02208121039474571,0.7414470134548328,0.09352507877185365,0.0,0.13783731159130902,0.03970496667926108,1.1986289236463445,0.5509036246799466,0.08688638182143008,0.0,0.9975981196479643,0.39800223430435966,0.004211326643476884,0.02516606246922409,0.18047391842077182
fon,0.6334509075478132,0.030656951915617042,0.1359348224862413,0.10549065160312272,0.03753456972752848,0.24385017127064681,0.4478037278950118,0.07757777556814079,0.16103258702102938,0.6725562168939083,0.16860474978636145,0.06378915972701295,0.0,0.28806700432859816,0.0937470271284285,0.21856664549511315,0.6118465930410752,0.2765332504395621,0.08480358867218972,0.03500507660167985,0.06906866037806604,0.0,0.10379385150028198,0.11005270777561836,0.035259040189843015,0.32599622754567836,0.1276825297627199,0.0,0.16943804864582074,0.05863284986834676,1.285388522604443,0.36965742983869354,0.11831510728602508,0.0,0.9198897915810196,0.07064755738733747,0.2572670751446687,0.027187237532846964,0.21132789371367053
