,acf,bzj,cab,djk,ewe,fin,fra,fuv,gul,hat,ibo,icr,jam,kor,kri,mai,mfe,mlg,por,sag,spa,srm,srn,tam,tpi
acf,8.981743610434684,3.7595655562441386,7.767451957063236,7.479507651844795,4.637281478373411,7.742454269068739,11.507146117615829,9.542534282999856,1.4690118627142867,7.037145130614777,9.62348254508817,7.255978402661739,5.137166549163359,9.889751952696416,5.579625018571964,6.867750672478236,4.716704204809605,9.327727780054573,9.024971472260836,2.647081119119414,10.6691202935937,7.208775441784397,7.449056621634814,9.495718578658758,5.41767522755554
bzj,2.1921286649639304,11.268192678275728,7.689539897886437,6.158429799595328,3.0355493461939105,7.127602013144227,11.168014616933963,9.094452288138932,7.703763831342217,2.731698491779626,8.181682031051952,7.439777463426443,6.157308329243769,9.645180654967662,8.1860842688739,6.192662536116036,4.920629269380012,8.813157086196922,6.87801831728326,4.562531284683395,10.25565319034796,4.191037039227344,5.094375786661996,8.854258562625436,4.762628886822775
cab,1.901757427647161,3.6411756651460943,12.221612512931179,4.825885118780712,3.3898662681582503,6.9317928635461,10.741440638423253,8.4813944608966,0.884988511961198,1.5287315336250251,11.359427315704938,7.748226015034838,3.66959086151986,9.69072649948704,5.314222849937365,6.391959582424893,3.3371391522837577,8.707404539289126,6.176858359866791,3.019333972376127,7.876579899707341,5.705390639631393,5.421840768872524,9.263106360288258,4.6295669305982186
djk,4.37014164101603,4.464266374545043,8.298038735469358,5.7080217235366035,4.094713889662055,6.381194762241853,11.281143574861158,10.184256900989986,7.490060877246243,3.361123379097227,8.986535197717409,7.164284808965745,5.95849905081653,9.036157583504677,7.299531133164876,5.911496258634919,4.907144521210319,9.208484635422142,7.270977291533469,6.342533086040836,10.186385700354835,4.599888487344703,8.227417662899203,8.788143766918138,4.948219650129677
ewe,3.856821039800693,2.842093633525793,7.377455808953255,6.5561018669334645,11.0201512830526,9.010505165486004,12.280968123712398,9.157202324692214,0.7542534581164657,1.9601184772507028,12.015084142772105,7.8265460750454885,5.709579348516843,9.228635304784062,7.810582222270615,7.055145140610786,2.786815141089106,9.03432144407706,8.765813340872809,3.7849294799244984,11.471679353176167,6.46598966864915,6.810397835482193,9.416253595271277,4.470340070989067
fin,1.7986578071947388,2.577133730925159,6.85562265376263,4.464584660063525,4.0452531855609335,10.823153213230496,11.831921831832675,9.620964132346291,0.8667686585229545,2.555548187407787,10.121255851791368,7.916726505917721,3.397306478852164,9.514923752912567,3.704416809389587,6.775135584901235,2.4143706905191857,8.999318413499262,7.245477764986146,3.0023104995804473,10.11383043514801,5.0588059055579775,6.22950354644528,8.672784592085653,3.6201482373565206
fra,3.9610067254461763,3.902614569718163,6.949007487098362,4.723806259996353,2.803345842397521,6.549245697795161,22.423479679441872,9.520067397024057,2.9321918528092126,2.69917131223419,9.7602775598853,7.187655917275222,3.288033916887143,8.811395228381025,6.988418215891734,6.0733516580201234,3.417865771347835,8.386120809203554,8.550001524721413,4.33801739281238,10.279862313799743,4.500616012421537,5.566284597647478,8.836704044627265,3.5825240239011245
fuv,2.4433198699711345,3.818800581699394,7.43454885158564,5.487964991622617,4.99975234012942,9.06425023899465,11.793709361667796,10.913873993114407,0.9911556450290709,1.8939486572253459,11.446320761463074,7.855244500226358,3.677143023832846,9.441372752785734,6.269174089504268,6.684284533295271,2.312675560775166,8.539243374792196,7.389694048735832,3.6403936453979777,10.54293742279739,5.0743128576216385,4.9247779699659615,9.18491313283447,5.834420508276028
gul,1.8152355971212095,6.11061664580969,7.714574621556223,5.974045868071405,4.06967208242235,8.153304305260123,11.104038820541119,9.09432896760288,10.478626570744643,2.621766152374155,8.635986328934434,7.695264805141716,5.969801409677174,9.051457149129558,7.422457860335008,6.3378099098929,5.892019306473037,8.796316509314735,6.660563253888149,4.015126151028197,9.832231439430537,3.845488707108825,5.9032148315749895,8.708231705567353,5.594677042758634
hat,5.600595665998877,3.512633264115106,7.011065290660619,6.226429076843011,4.948363904875633,8.328460875321873,12.08280205155117,9.504435714145895,2.2579034719411233,12.63066282770155,9.036156313605478,7.408149705061817,4.549365575149532,8.91981798764328,6.401613366407053,6.294249349612137,6.532162935824141,9.23497733620098,8.338877824033986,4.002319731945875,11.172495175593056,5.927145285429322,5.956357500048229,8.758785683358463,5.105670866227226
ibo,2.369145631883919,4.013135028613971,6.408410357420811,6.6013270935259465,5.3922087537622385,9.446191518349442,12.046402838015624,9.374608042410177,2.554747811308686,3.3219530948203237,19.64540121984748,7.407941687806371,4.97031742369189,8.799378517102468,5.266711171001214,7.084621529276543,3.134796333049874,9.119831119177938,9.807294374906505,4.550087084709136,11.126073950878258,5.231328816024808,6.558722797711491,9.35442620054058,5.551658038320945
icr,3.207299442908222,9.20705070053337,7.818925437383707,5.5155145204995355,3.0868821361821768,6.935901219872156,11.230682306830026,9.095942012328333,6.52101825984354,3.2728018808937596,8.823896000832173,8.22917209697098,6.558674176016266,9.322189075445712,8.238203225876589,6.085020361867298,5.515386602833963,8.421499406899239,7.861278510402392,4.557127299290244,10.115818292957282,4.798494255356704,4.318962088251446,8.560532291197253,5.058628488096806
