,acf,bzj,cab,djk,ewe,fin,fra,fuv,gul,hat,ibo,icr,jam,kor,kri,mai,mfe,mlg,por,sag,spa,srm,srn,tam,tpi
acf,2.008795356754338,0.1154172776251179,0.17658516772209465,1.4720406837634097,0.13209384934041127,0.15413317848804226,0.37175111768092867,0.21035732941172414,0.05347735045739715,0.4117030243049964,1.0697141547739788,0.404098716820505,0.16089062348327762,0.3667433638557981,0.1069118288094762,0.2195018863758067,0.2948358687333848,0.1460859250340089,0.22324062845516596,0.01664582280281853,0.17217190927735684,1.3340419559731251,0.4220313040786862,0.48014980208764113,0.8345507613593781
bzj,0.05283266082611232,3.0840408695335637,0.38266053998039545,1.583720652685838,0.09921533041035974,0.175429697737975,0.18324187329787345,0.1812370414709977,0.4215346865957424,0.08434042155894231,0.9085847779271499,0.3613332406804796,0.5150360081276013,0.4974005351201707,0.24236125780029272,0.18548605964259562,0.21553563380490426,0.1593008128375019,0.16804205298114291,0.07359036935482959,0.18818312921311114,0.6653056166998615,0.34055928632449844,0.32415841877028156,1.178644272143517
cab,0.07849739057759893,0.10029795489876686,2.5236693464944726,0.6906918159213483,0.08689716493643236,0.09983071062183801,0.33110943891642286,0.11696723760706422,0.03418744085551218,0.027027799117763308,0.2705876737493634,0.4212430230569593,0.04002600322313124,0.3930338245457391,0.08733613999103612,0.2878903632718385,0.180687949115029,0.1696582912526907,0.19637122232021095,0.012375313986706868,0.16604671971447535,1.2588960061120693,0.23851433185858262,0.249399759346533,0.7506783595564152
djk,0.13141866770463043,0.12546200543345262,0.450167449896723,0.8929248775461256,0.1299021858814768,0.16368797491930534,0.29201671527759476,0.30662688790047304,0.3087743931419115,0.0699910236261372,0.5227408999945469,0.3795312543908581,0.18847210461402877,0.3252943903714566,0.23859055411949393,0.11460993507000124,0.24428092190942335,0.2078447373143738,0.2317754155093565,0.20195941206034398,0.34517723645046516,0.8370232463722658,0.83982862102669,0.6058097242405718,1.299813165541635
ewe,0.21846838477989544,0.06095534772835445,0.15514278469601475,1.3029724860965988,2.278808770118988,0.2609594541797744,0.19841565658813318,0.24663864156613735,0.015534065800079683,0.030475268857148012,0.4067575332516305,0.44382706273137307,0.13547662059916674,0.278929915065067,0.13223380828456832,0.30417825981090396,0.07668640656733137,0.1716734210409379,0.2905779713521232,0.04507816918113014,0.18205680425057974,0.9126854215448168,0.3220414772733629,0.4058309793573101,0.8856925571070997
fin,0.15980376561519297,0.11420249016425829,0.2088082197771034,0.8995127337563147,0.22191555362282422,1.9467408800812478,0.36418063497717706,0.2523782900514787,0.028916987640592466,0.05791591149659345,0.43774186120353326,0.4483585218576468,0.11003026891396722,0.31515553135061486,0.06303822995644841,0.20787036145220208,0.09909816613962512,0.24805249902402424,0.26938705925700274,0.005498591644012162,0.40063766966572917,0.6617439288070571,0.3405282385573458,0.3748793607843914,1.0022390332063733
fra,0.111757850355264,0.12519188567529188,0.16749086877826755,0.7448004830446529,0.07782701104166252,0.21949342057384597,8.368036853511517,0.2608429186771535,0.12836175512059375,0.07473460842687196,0.4535804885844447,0.3661440890924199,0.08550720793786819,0.27817725341114785,0.1317484687172752,0.14155088478364086,0.1581872365541313,0.18253024161578144,0.2610956619374175,0.1545548451738301,0.3884863749273426,0.3935021478194993,0.263695525602872,0.3689297801602556,1.2140000649268055
fuv,0.08846550546414467,0.09629913097171389,0.141992050213422,1.1416589809730515,0.2815998811150147,0.23530791261777764,0.23433107027386424,1.8872186406810723,0.05281892831117758,0.05164421086531426,0.5916396666793455,0.4354551003203859,0.17599975793064915,0.5225113008855916,0.13703257944104769,0.1908279285537838,0.07523371918452534,0.17005931700938634,0.2739058386247465,0.04031645571214595,0.20348943750920973,0.8317597903122217,0.21263480192222162,0.3954091027997809,0.8525927493327307
gul,0.06715666576791177,0.18056064863562613,0.19373731201230995,1.3977306315298321,0.2533002485351898,0.2065814960413366,0.3563158427444759,0.29010471718173586,2.567954783100168,0.09196170752409838,0.7199564027043973,0.44790237808311334,0.2473023124396296,0.33605126231925936,0.3641569614755292,0.1393054121913038,0.46883289534434935,0.13654242026030358,0.16718500394181815,0.06447617864280913,0.2519284117647004,0.5831722982527325,0.2869656355765766,0.4528559934077202,1.1256217437239733
hat,0.19371986441187924,0.12176512312950656,0.14135122091007504,1.4893315164415644,0.07887032177739256,0.21219262893278082,0.3841355618639932,0.2771600494420167,0.1504036186285884,3.144681648920979,0.9000855049156278,0.39715423910704456,0.09461751388858704,0.4741064062014365,0.1285515556374387,0.19076504545103187,0.40701726626585927,0.1923817800525964,0.18473675814230678,0.0338345481778669,0.3154659226147725,0.9305668437886075,0.3043252431987473,0.48678717958846107,0.9821667502120428
ibo,0.09931129899559067,0.12746226295952431,0.14128524758360528,1.3607770209136645,0.14430015980357122,0.22931026608393493,0.23417446185996416,0.22272882859743506,0.1166680691331979,0.12029564855902782,6.527922459010683,0.4089785984357904,0.16469581649666865,0.18837691374278231,0.06324181379660654,0.35824244154700824,0.11138028479324745,0.15309048294526448,0.19874279610840076,0.06913944348763579,0.23038101901961242,0.9502780588137172,0.3268709201553008,0.28853636392434423,1.0022780805784928
icr,0.15653885702386394,0.8214200735609505,0.5166777760643828,1.0301841717037288,0.09535768976615376,0.15258683650624555,0.41770607292490264,0.3544470084571213,0.31807814766616027,0.10327666124447134,0.5307867318819048,1.626875667952176,0.49513777256047203,0.5407434288925735,0.3815552788350161,0.15208410316959198,0.20795446098972356,0.15426647295793722,0.24564426529363642,0.07902707619171971,0.43379016823901984,1.0083626628219884,0.22273238059110162,0.38713305797056846,1.0778828841498789
jam,0.167039221745227,0.6200471184701394,0.44139772033204605,1.045611455986833,0.27168224914044287,0.19021790019155746,0.22928373761536283,0.4202192346375569,0.44689143624282107,0.08198908039197933,0.8829330378344048,0.519200874653449,0.9795719120170225,0.4477617732296959,0.3489643737877966,0.14128079156194387,0.1808562880823863,0.3189046421395866,0.16189252877562785,0.04045030732487668,0.23892689274862822,0.8937156191107472,0.3249847022948469,0.36915501231932396,0.7218488227025504
kor,0.26729724342823313,0.18662777479728712,0.07972751037690984,0.01157078421740573,0.21629823943526133,0.1221016843244602,0.3015579073826305,0.17676441662767284,0.017713455535537246,0.0864098465768919,0.1149746932794099,0.29128504322863735,0.21735429704888895,0.7457166301497514,0.2527037648259132,0.35835467399237614,0.48840425884899374,0.12206662495116564,0.3365530585568943,0.0,0.11360041364588847,2.460979362978375e-06,0.0827225670657449,0.4779663909711274,1.0440462279815952
kri,0.056754120634471765,0.0679817454281284,0.27532706088378167,1.297466083110111,0.10985552897245465,0.17463092842226555,0.2053261304112401,0.1938239040859166,0.10412482615720507,0.09576385641306437,0.4285903846032437,0.44944031336315177,0.3236198222291893,0.37401339998174377,1.8503848722512397,0.33844925338276033,0.11076312935163542,0.145202750509127,0.1400918599072638,0.05294288028963958,0.18601845922409527,0.7963190736593092,0.2908052889244923,0.48086315398431073,0.7155987366929909
mai,0.23334544194674017,0.12872278854791622,0.0652634466613023,1.1790485951847829,0.2550065008940863,0.13821258094554337,0.27568763940405155,0.27674192611768644,0.0022171500923969948,0.15186571376664715,0.07964335056356084,0.31661888208561045,0.2638244097184841,0.07483733074196888,0.1629688396384366,2.209523961457384,0.6443607937500067,0.13694577142495917,0.3451476550743243,0.0,0.16189408687410628,0.0025481415574027545,0.08430619201176531,0.47871554190961013,0.4523369575172753
mfe,0.30261483914452897,0.2851382768227822,0.20311624857675756,0.12500172376729038,0.06870407624737906,0.294822335633159,0.40485801145968636,0.6621992060260228,0.4547351379084292,0.35564548159597303,0.3127005684687703,0.44542920646649886,0.17946176798937416,0.3384248866150615,0.20532978697250992,0.17247241757455603,2.2956194670231507,0.18908743679900722,0.21038189154679754,0.04908428942069861,0.23013184415102625,0.8430769416385749,0.28745246540699565,0.5275628912418834,1.0118512567274052
mlg,0.05939025719205407,0.09402505355086205,0.14919962153205896,1.2026416576510532,0.09094907385954208,0.10791340739900289,0.4576033985074539,0.276952877304325,0.17719169056478867,0.12459348547001377,0.8029244666526922,0.44055359663616916,0.04246713330899378,0.26412549632385324,0.06500026299648134,0.20823686229981234,0.04591760376114029,6.530369621162177,0.16235974341086165,0.12217123608015036,0.2505474114091014,1.325330933154035,0.26898736362097564,0.42218972032920576,1.2924105616745727
por,0.061041402889834014,0.09614694658050577,0.16056268578508467,1.1497015589180222,0.3493826982177552,0.20689600132268407,0.5583141556158422,0.24743548785566136,0.11460974248321074,0.06184021203779986,0.22012494467192267,0.6228315112251377,0.09507127387624158,0.2557912075032693,0.11065779162165452,0.21320611572280135,0.15382393614438464,0.2169116294445778,4.30558599515362,0.13016566988602446,1.318583698589825,0.8302127376119403,0.3435476455751631,0.27431328166967184,1.1892005377255972
