,acf,bzj,cab,car,crs,djk,ewe,fas,fin,fon,fra,fuv,guc,gul,hat,ibo,icr,jam,kor,kri,ktu,mai,mfe,mlg,pap,pcm,por,sag,spa,sqi,srm,srn,swh,tam,tpi,twi,yom,yor,zul
acf,17.668809386652722,8.48978586296172,10.650822205280223,10.720539249334497,12.467806267831385,8.184533416603406,10.2180323764093,11.114360580787395,11.555869934528658,12.635974172580244,14.026993813378914,6.66367122643147,12.236326344847452,9.393044739930279,12.373120255488516,8.534258994240869,12.334093443535107,9.234739372503137,11.238327166665417,8.934292929764316,13.562060011340215,12.279125785440955,9.836324439136021,11.526647938814724,9.652390910442685,11.709144774401576,9.036780280180432,10.447272637894294,10.099343531750042,10.188717196931464,7.366107998836512,7.442256065621335,12.452297661046117,12.595057660246226,12.863166391425857,8.622287552050652,12.637835747388483,8.15239775985174,10.559346164182916
bzj,9.724418085625897,17.03941171802291,9.480692112779774,8.453918469757086,11.876699891185512,9.932961386757253,11.167930810954994,9.051106315326678,9.927024926162519,12.491499070876305,11.97700479911274,10.734857446960314,7.264324570166675,12.472527096734586,11.694019821820861,9.355011993737682,14.18622642489911,13.648077187638957,8.608646584747706,11.003035758440163,12.865488688241369,10.860853655993642,12.244510197154629,10.360712191158616,10.64453040228087,11.146551362822414,11.225113962560195,11.612423125813487,11.38206024822753,11.793802639973142,10.04460254688395,10.802250715819616,11.773006728083981,11.306206305320284,10.075330760325402,10.501883714574449,11.990205708740561,5.336033687439747,11.057912757590072
cab,12.035689816337385,8.63515954317079,17.22754939247363,9.092214680057937,10.91932959268989,7.589340525953945,10.140412958613412,11.315414120174099,11.63058133824496,12.237857788290185,13.819073484407074,5.333173959582805,10.219151670269321,10.19370949122811,10.627314871046963,11.15255211678524,12.357219802376527,7.810413326648454,11.307813360388959,8.665325572389913,14.333459703886811,12.35737240877926,8.406745158230503,10.95231570054495,11.697604948212643,12.309671568091904,10.120314022779857,11.7703565114555,9.957841435439448,11.495348348463246,7.259393968092676,8.724270222963124,12.620372716774305,11.449448867580585,10.385364274010856,9.295823952386058,9.5190474888346,8.484275006434002,11.177328507614801
car,12.299980746425918,11.72030496840076,7.982253344287046,17.115833255173676,12.065828968609177,9.848765143698397,10.624407481476652,10.658530839751899,9.20129159679261,12.112734673067553,11.104556312400534,11.505823691787976,7.74030207328134,11.781787129133384,11.410387046260672,8.878793931458521,12.359637317269929,10.993586813465017,9.426867610721274,11.251074312226676,11.285955743776373,11.664118345763022,12.459020644052606,10.803015417509618,9.60238662119807,12.172451035522583,8.098735012491376,10.696608933097796,11.902580338873214,11.654527635833151,10.67279887151301,10.501127630892876,12.173448473757386,11.793966550798233,10.889641208257645,9.249732800744843,11.040954063047588,7.306541994411749,10.241088584172354
crs,11.209291554525446,11.585089665021558,9.079336387019763,11.106106744914717,21.158268317891537,9.679822629647731,11.197114548935597,8.73109087126009,10.889392258371915,12.466768516737366,13.410595461368773,11.070307686475125,6.969174087775009,10.942821840525058,14.426324089422243,10.050315434078087,11.52431896520764,11.214080050167343,9.21088420338013,10.092496772863623,11.893808787548599,11.459448348498542,17.813997220795148,10.077482073965822,11.54304462414017,10.646540116992579,10.729445761579155,11.406685836439895,12.652801108001812,12.083529812877956,8.401655064158245,10.461602804359337,11.283444014145353,12.324658258440326,10.775649529210302,9.509925202133289,13.00428289869795,5.837032432514612,11.983094331269657
djk,11.136553575801363,11.80897481441436,10.292914744410682,8.326502238574571,11.69715348156313,14.859584688888452,10.211876689838345,9.725259995320465,9.728700885756297,10.552662557337698,14.524388585119723,8.429923848752477,8.723059566344798,11.466873127790485,12.639736551032502,9.747772556542774,11.753388279496571,10.737117969165968,8.408405021828331,10.927515480321658,12.648551141455687,10.734275931126145,11.030315286047818,12.122618341620296,9.546828024247286,9.600140198430065,9.14073933901297,11.252467112982885,12.265915430152065,13.028729196746447,11.222395325197132,13.103626933489569,12.834503225010277,11.21039301489873,11.537156804137696,10.536817249280162,12.899701260324104,9.356592738206093,13.211053652229648
ewe,12.815401243799082,7.795455821471892,10.83840494434321,9.574921403903444,12.066524209256302,7.525526167963388,16.1291576515824,11.396563736192268,11.361718701966321,10.322021562067341,11.709916345059751,5.7411178237034095,11.63450934929043,11.608047152521493,10.239805231197652,9.39653423459306,12.565250220678797,8.674850546995255,11.428184208005773,9.816734015330772,13.663217626668251,12.49165621218147,8.37339554720323,11.046616665823267,12.750201180160358,12.047698881466102,11.058525637113958,11.752527584043778,10.523198411875315,11.047487695396434,7.194487061329512,7.417926186075634,12.837359582745849,13.16219705103416,12.18537648076768,10.149845057034126,12.990249695896534,7.226074443975756,9.997622410692799
fas,13.9566084275553,5.494252686874295,11.488993312528349,12.636563016670827,13.801013095813158,12.98422016452189,10.439561614008388,21.41592234681397,12.270120299773309,4.474853773421147,9.681017442629521,1.8712312941126161,13.576506373018008,12.126178678769943,12.388715465083774,10.80475025915724,10.392536363786782,7.765961497836357,10.066719040510362,3.362508327699926,10.261083909576335,9.462517307729922,10.497816102158364,13.079935272880439,12.404061219221255,11.51184347440315,11.815409855703068,4.226834487825706,6.03063955289506,3.845443620675293,6.941996258141911,7.900724037154094,12.343339504841254,10.633857350936117,10.125006595038698,2.705223901778737,11.551507112359886,2.5605195174057407,11.253345888581755
fin,11.92069640054236,9.574784765027262,9.476466939226299,10.014660915762574,10.878960024352317,7.0868752753283,10.304785822161437,11.156815396681088,19.945560677943256,11.049227653760997,10.984197846725504,6.283124387904304,11.207878373642851,11.655494165423692,11.521340335536149,9.68723266749582,11.98645981491995,8.077960204581444,10.680558007429228,9.509015349294291,14.249844876388382,12.810268646839482,8.895119573091728,11.383324752609314,10.347277367962098,12.058330665589057,8.939874716137162,11.107805633440373,11.164703245219362,10.515513006865937,7.879809218958524,7.935946602414984,11.889636470055393,11.734279132654324,10.44371298832855,9.516211110073328,11.048104974396722,9.033743848020453,12.09316912081381
fon,12.014024289815543,6.287365417685907,10.193650424406703,10.935432065453657,12.161660793749924,8.221657857553426,12.165545201724965,9.962084774194233,12.17135751203436,18.26277906472647,9.153255177813998,4.426239928614535,11.399474413566383,11.399194019861856,9.34978134629583,9.883317122216848,11.10825624406183,7.284033912915143,11.8702245386456,5.379004165504431,13.436987234711692,11.045641220727834,9.850144087126834,10.563447971333847,13.910224380024433,12.694733196502433,11.449054468497225,10.732855774190726,9.843665925361982,8.09268863030649,6.952708422611003,5.937111943520447,11.90634730813685,10.275318124043963,10.556363393784096,5.992731738161513,12.769950843342468,7.0621939806797425,10.984152267807959
