,acf,bzj,cab,djk,ewe,fin,fra,fuv,gul,hat,ibo,icr,jam,kor,kri,mai,mfe,mlg,por,sag,spa,srm,srn,tam,tpi
acf,8.375839382132403,0.0,0.09693262608535669,0.0,0.3413746807647744,0.18069164243167712,0.1442278190116184,0.0,0.0,0.2694668677549803,0.0866376945134828,0.24557186364345007,0.05213878097056046,0.20989411456016072,0.1269949412686575,0.03892684661682999,0.3406473888736663,0.08909369830979053,0.33555278727731164,0.0,0.07292772035004447,0.0,0.14140970109274242,0.5204124233936795,0.0
bzj,0.16404092643668378,8.715700153738908,0.16737322111903552,0.38463473186378927,0.4905175356523941,0.00344038320581852,0.08205630120593277,0.47093213414258095,1.0423779966031397,0.05513178002004615,0.6855833830078293,2.5755289334103537,2.817593750913872,0.044978954103202184,0.6433067522822302,0.0,0.2229234804193485,0.28215939251331257,0.23443101644610564,0.0,0.4508690400834663,0.0,1.0125575315126447,0.16010854903720784,0.8447950693919655
cab,0.011033498669453579,0.0,7.378590747608856,0.18861374659810082,0.1912966742373321,0.27245257327934347,0.08767250866730514,0.0,0.0,0.07285515903130069,0.2917124902591297,0.07549968661992068,0.0,0.0,0.0,0.014492968105187742,0.08053219607748474,0.0038925020553524092,0.37482604448582535,0.0,0.2522451913821193,0.0,0.0,0.0815443088940011,0.07287054953795646
djk,0.2140473162657397,0.2428057029306352,0.05200514514517707,4.792253998560717,0.14304320981050545,0.1409712652659092,0.0,0.2453790865794332,0.3405165671498285,0.32825364118426315,0.07842068947380731,0.19207850475643617,0.3839524069540463,0.3601646552281803,0.11152947886822595,0.04856632147958706,0.2477318626630538,0.0,0.4637087486027607,0.0,0.0,0.0,1.525679612179566,0.0,0.28814902748799653
ewe,0.09603214240272351,0.0,0.01599483591072115,0.2469295570420158,6.328907369747855,0.0,0.43557642042010514,0.0,0.0,0.20015048034842842,0.1797769966858489,0.43374759415320874,0.18002685118498718,0.48737696502110417,0.13865400779678438,0.0,0.26578099716987325,0.15892335478696218,0.0,0.0,0.3462502824712903,0.024494300599584268,0.0,0.48885150643209485,0.028214170244380554
fin,0.0,0.0,0.023760606053045308,0.3987491325812105,0.07058890197034451,9.49898792437304,0.19201569727918333,0.2926567210773019,0.6128160498426976,0.0,0.7179567026805991,0.2825427980576194,0.10148555470572163,0.0,0.0,0.10251552199992808,0.29497422870092826,0.06856774995680404,0.28977709504244586,0.0,0.10148284144813147,0.0,0.1765212834920149,0.029544905497010276,0.033358538949441296
fra,0.28171429047040597,0.21354394851149827,0.718436401635536,0.5395181373935412,0.09962271141598045,0.16292560371520537,16.1839405609337,0.07290318608203528,0.11655292730374,0.32003760273465076,0.7253715252064392,0.3229387442715481,0.046259248912907225,0.058393067663290665,0.051393278370291284,0.0,0.8036741987494,0.5756091149930036,0.5903789755024782,0.2539034658164887,0.966778636089499,0.0,0.2265784012848826,0.35182302243570973,0.5792252394513344
fuv,0.0,0.0,0.30427226610814095,0.3239706583478643,0.3357081786429408,0.3551553830764682,0.0,9.831217172060564,0.25300132296959,0.0,0.337410910995402,0.19897293386777015,0.3766391185021778,0.16406451597790017,0.3243133955390789,0.12079574036968665,0.03636810399150647,0.5215778827952189,0.13952463622992006,0.0,0.08296382411311853,0.0,0.11801187014921766,0.2367939506427046,0.2165473616557474
gul,0.5192989464309186,1.5444398804947017,0.6051466996235284,0.3495005229412911,0.8568672655958132,0.3403957684640879,1.1967636767827212,0.13398383769438205,9.375874152089512,0.20705578367368638,0.5962171469702788,1.7646432499091116,1.4412875233578397,0.30741221188863754,0.6474823846492441,0.12108809669085652,0.17035089683748694,0.29767817674123975,0.8165774044249261,0.6813196968050939,0.5686963152784443,0.01717285411630557,0.8444756444305632,0.36487377682325395,0.7866399434769598
hat,3.025638938320334,0.0,0.45513883432299274,0.015763176694740366,0.6117439928958817,0.348400200861251,0.8280741164001171,0.37551791026676007,0.35129899034105705,9.327877623072597,0.2823554810200637,0.14259399075165824,0.6403273771661002,0.0,0.16081241610440955,0.0,1.5252946405188403,0.2348368675058623,0.34780408604079227,0.0,0.5484696160735094,0.0,0.19678539418551644,0.0,0.010243714395711478
