,acf,bzj,cab,djk,ewe,fin,fra,fuv,gul,hat,ibo,icr,jam,kor,kri,mai,mfe,mlg,por,sag,spa,srm,srn,tam,tpi
acf,9.150049648668857,0.3299513947235422,1.6512058555681794,1.3447661097753913,1.8081622639393025,1.6756682575326436,1.5896308523443388,1.3250775747775092,0.6663344715825692,1.12508319733673,2.3121522863333284,0.9077294356251724,1.8822657933658011,0.4213092527774569,2.0797707068516194,0.3150655031964685,2.474142177470998,2.173050447369883,2.49548434334343,0.3754857516084021,2.1234683940623156,0.0,0.8976681745284221,1.6867688156747573,1.8876551641860106
bzj,2.1483718295630694,9.044216408400253,1.0107002414790314,1.5955826074812784,2.662430701518833,0.4526001430193468,2.1570363514777795,1.4076957172267297,2.2213430640242615,1.3877711644640558,2.322356274079797,3.2570408405725253,3.6981711003648954,0.6497198119932681,1.7690272412477086,0.49785573958266016,1.9345671186314535,1.696500362210643,1.4289092567911241,1.2729290556097517,1.5742127047423173,5.60941991487294e-51,1.7767665969217017,1.5083729995637825,2.4168523962912714
cab,0.8730382497668031,0.22256182640356315,8.01439549735233,1.0662137570031847,1.1523989058482125,1.9214968427157377,1.2107884055605027,1.3036299135695708,0.8539325564208576,0.9526838074523883,1.707912221057879,0.3239765544643167,0.7959112655627949,0.15684017287314747,2.2025174877613933,0.2877750496356623,2.5035656559628796,1.7861797214918693,2.346128194339594,0.4812087846467237,1.3909024112002457,1.551673147284294e-45,0.7984834006686488,1.2396018689597696,1.9306205381313024
djk,1.585570436446638,1.7231144682213737,1.3746082684871588,6.268781172916416,1.8217209517162383,0.8320965728369756,1.6784068181005787,1.3440404513655055,2.0584498557960074,1.329396954787805,1.7809546216025993,1.3194259795472076,2.0686413754503956,1.2037915596538227,1.702688101622068,0.3866916731289857,2.0181354480620635,1.68309741613498,1.592374192138666,1.1320526860214837,1.311569790513642,1.909184162607706e-57,3.014826855578256,1.10402248579271,2.240280549988707
ewe,1.5094030380691545,0.5627860395805838,1.7882724536537922,1.4999471144565495,7.644489804155307,1.6658244302714074,1.5284088850494502,1.3097930355217304,1.117481440558659,1.040897343557032,2.1693862985561143,0.9888427572757682,1.296799429884654,0.4162759886537129,2.606099723884955,0.5038193036593365,2.999684831647703,1.9972350131962813,2.200946388554272,0.9498949939141805,1.2558111789931297,3.782691433178341e-114,1.1681529765547494,1.3334208481205645,2.5939506723666472
fin,1.2808496138961194,0.3679363658383874,1.1948498890693218,1.3463198794221118,1.5247734213647306,7.4557618818729114,1.7472763632162087,1.4910062846410126,1.6143553506826476,1.1051419313769884,1.785149542561296,0.9274272026546101,1.8711853555846407,0.11303862892184395,1.8957350475760697,0.23909092758583977,2.91485376031462,1.9772912541590393,2.5815832896417903,0.7598931591991898,1.2436590989380143,4.357129167819808e-277,1.0884929677346444,1.1479372056143855,2.423117998915395
fra,1.6445322158455475,0.7458091262118747,1.95936580295124,1.6338530463813743,1.9570695647398042,0.6865114824798599,13.383423954639342,1.5849001425932383,1.7538443669440331,0.8673273477253404,2.2062939099221146,1.2690611966404786,1.3366676281292673,0.19662027783302485,2.166780439951824,0.5776851340467117,2.336950819613447,2.0626121536170516,3.209963218787416,1.3313390286879163,2.0161517716340356,6.4134415306887365e-53,1.2001013232466715,1.076981980802964,2.486341540320632
fuv,1.0259505819548227,0.47181354940525294,1.408046317087467,1.693593700439951,1.5251837849747305,1.0863163139590382,1.8760079197178368,9.05626347917557,1.2576972311543955,0.8741918288299843,1.497422009905482,0.5419984271121825,1.8184628168411083,0.6930235616221047,2.264537170960215,0.4251505169571877,1.7847429864865572,2.128680044144344,2.22272263100317,1.5075585049423852,0.827443010643852,3.4549139064771007e-43,1.2096390666398018,1.1761967928315642,2.283742189037317
gul,2.473456286648285,2.2527646423990344,0.8798397257350379,1.8626016663264091,3.301703290353846,0.6040873702999031,3.82925203383988,1.5958517255821931,9.01462609065439,1.4634842808770057,2.7490729065958517,2.6046095586507163,2.0445281053065987,0.8774859881808826,2.057919060524718,0.4464005171727351,2.1378977366369374,1.9969055118771242,2.6150818389907955,2.301853240429236,2.315801254749566,1.3103092420356305e-152,1.6617488193404284,1.4050935939337759,2.4525896044561013
hat,4.127263614974239,1.297308841863265,2.123421432021548,1.5005248128902515,1.5804343070489668,0.7046939195411296,2.184577703891661,1.790749402898045,1.8959789755905856,9.314925864644179,2.0289704383073914,0.8445584929185737,1.986472638874638,0.6009740947541341,1.9208720177481498,0.3305698829822198,3.8934849268170812,1.8807224170940946,2.5286115329893564,0.9654804418565798,1.9737940046797051,0.0,1.5757749487726813,1.2049757453999406,1.9377601992948736
ibo,1.3667189735963128,0.5067271966826541,1.810794594269342,1.6290516857583173,1.2943878254369892,1.158164747832222,1.8751938616516077,2.013275306773215,1.2284532325565505,0.8291399196547901,13.714128605590576,1.1522462200043726,1.4875242290291188,0.1662440116046654,2.3738201506761376,0.35274399214048807,2.062921197072816,1.9570204540192389,2.0518776996281423,1.3279163951806339,1.3376622269396068,1.8988928527089916e-228,1.2783820979921867,0.7740522484714704,2.4414703340082253
icr,1.8983241206163992,4.722010911476985,1.0273862667506248,1.5031135693052262,2.6357326560321073,0.5313715117842148,3.185705193854019,1.646238020698319,3.9722896216943133,1.4684327365771077,2.379727057425486,6.76034521038173,4.631527519510909,0.940262356710209,1.9942933628370385,0.4167175342020438,2.131975362240017,1.6112538530326848,2.8083105573854454,1.8419835429983145,1.7806240795810746,6.801655254426277e-114,2.041147928172962,1.3784439369437482,2.2869866092500057
jam,2.3032383091845468,4.46516573266419,1.2467856739449845,1.6029200763927223,2.834536088446775,0.4782644243521626,1.8113837694449286,1.4853330199809756,1.8695958766252545,1.5476626153095234,3.3336404451462323,3.3840553323324296,8.487624446226912,0.8499999278471734,2.191713675685955,0.43713576475618493,2.1540634506807055,1.5072292187719913,1.743561812449644,1.275289482155563,1.905016150245452,2.203668689003147e-152,1.9040767546680974,1.2925155118978853,2.583270237513277
