,arz,azb,ben,bqc,bul,ceb,ces,chk,cmn,cnh,crh,dan,deu,dln,dyu,ell,eng,fas,fin,fra,heb,hun,ifa,ifb,ikk,ind,ita,izz,jpn,kaz,kor,ksd,lat,mah,meu,mlg,nld,nor,pck,pol,por,prk,rus,som,spa,sqi,suz,swe,tbz,tih,ttr,ukr,vie,wlx,yue,zlm
arz,0.38842522890493036,0.10602887097610036,1.325715482162849,0.789565011937853,0.7228347693815493,0.8115321860418856,0.7062672403229371,1.3463778792293368,0.5384455026402382,1.4493716902169709,0.0,0.10591820580929934,0.0,1.59053948945912,1.1442497280095694,0.8579010558780453,0.6552196319489809,0.39062182297917225,0.9488413590811788,1.3031438597671023,1.066394260631366,1.4785783617826986,1.2945052910946977,2.007103159097772,0.7642211373101588,0.0,0.6584666861690618,1.1039502823247602,0.6949133904525873,0.9384713408663057,0.0693899811088361,0.25415507737430865,0.03563880355331861,0.0013177201219849721,1.4923308037931449,1.5075852852305935,0.8518131806152596,1.1216818499753458,0.49183172596216806,0.6148025113442834,0.7804438593769021,0.0,0.9898512000343302,1.029339305947957,0.8360003029147016,0.0648561607687057,1.1050194869668744,0.4039718915265018,0.5888175191180736,0.0,0.0,0.9635996787695316,1.2729910203594201,0.027518141755836112,0.0,1.8938212154177307
azb,0.6234535554743985,3.357292954503176,0.9511959065889712,0.6874591765245412,0.7521686350516195,0.964743945529813,0.43472647783026375,1.104977657956816,0.7132518710825408,0.9910617679428615,0.10511573047218992,0.2780322428738877,0.0,1.8089768124084298,1.2005743824191057,0.6923499787962797,0.7422223668539765,0.554768501731516,1.3371119229332216,1.19236542241795,1.1927054179216476,1.606127421225537,1.5971391648065136,2.326295916749004,0.6748488597854667,9.427304632403377e-05,0.5678488737771641,1.013929222357831,0.3844384851007945,1.2199200989890908,0.0,0.18653720587858835,0.03675982136024203,0.07155828260937136,1.4690950872293982,1.8291892412608206,0.48375208724439744,1.2926574116309837,0.501347236099484,1.0556853205876564,0.5600296510895468,0.0,1.0669037872024063,1.5224201241236521,0.9641580678667303,0.1263545405691442,0.8672387444812237,0.41412375846780236,0.9116414275282008,0.0,0.0038696642751387955,0.32285078607840667,1.071013436192672,0.017305881966848347,0.0,1.2581445406986234
ben,0.1680488320787994,0.6426080997648462,10.817200557025423,0.1557045881898773,0.6761042639577983,0.6039880443140095,0.30271694146397365,1.0034208933681832,0.3988489672903075,0.8677446588054636,0.0,0.0,0.0,1.4963213617987954,0.4125540032720867,0.0,0.7417267315048264,1.034386785549664,1.1016597661012248,1.5022136217409479,0.9688393904329651,1.2089589190008851,1.5347409923150117,2.1008863732852774,0.7804074827293555,0.004188359832709487,0.449853100341425,0.2299888617285326,0.38351950868656104,1.260597333631262,0.0,0.08536695472654188,0.2523466904021827,0.08674749541045657,1.408421531492241,1.507986512973396,0.2683857503582594,1.1682710925494035,0.6635856673002323,1.0915612478939956,0.1519774445806945,0.0,0.6950604127957014,1.2257959254769446,0.5300260041878673,0.061887514737860805,0.6523094960094298,0.5331338514784498,1.087586741972009,0.0,0.0,0.0,0.6175775643615324,0.0,0.11004543375394515,1.1370808071319125
bqc,0.3215152683791178,0.0,0.23784731151187088,12.304603256758323,0.2540581291724795,1.0848149409000154,0.3348853438057766,0.026786890418357245,0.5115871276358774,0.5944494248011125,0.24177557477039713,0.1706261804903395,0.06695417803519099,1.1846817463887085,0.156410979992069,1.0612123726071019,1.187029297638711,0.4925533169731011,0.0,0.4624366646329463,0.2564649618748014,0.5847569628859866,0.7502657020954118,0.7985553412666846,0.5131196040525925,0.0,0.18094846456105174,0.2597335223956101,0.1307710001775746,0.924716481139999,0.0,0.11795850655829465,0.19727903455195772,0.0,0.5938576749036919,0.994412599548351,0.17646498188851822,0.6618626507846113,0.1549084467737103,0.7795067886971303,0.32166799949257907,0.0,0.4150206041260631,0.5542761502442382,0.17375292349230698,0.4950755405623468,0.0,0.3134791635118219,0.5885958842283552,0.018202041384887124,0.0,0.1460582686097851,0.0,0.07648367879965612,0.16314479440229057,0.13106563964267082
bul,0.0,0.4064205340749538,0.6389762163142763,0.40845950810986054,3.2341456042240093,1.1287972508368949,0.406752955284162,0.8095867632304419,0.4348863856229599,0.726368034000549,0.303428353092702,0.11444691596513046,0.062197578763677264,1.5396811150981051,0.6244737045644975,0.4987843870766362,0.8602087544751313,1.0523093275701285,1.1143593918384767,0.8877741144511866,0.839411624923283,1.3561698466640522,1.2955547515143877,2.037710821733743,0.4903790396888894,0.012258047335510724,0.7113016522865294,0.3673030493642031,0.25383976412685527,0.5281692714819712,0.0,0.04680516421904102,0.20894576305503954,0.1016273961118892,0.901370215906784,1.9350139241657978,0.06562834435935017,1.0046773850782316,0.2631251540046158,0.9510403165415884,0.1743779886609147,0.0,5.274504175472902,1.8277757996855808,0.723662531391227,0.02123603455845835,0.5460420164145852,0.550366584554669,0.8932286729439465,0.0,0.0,1.4980067374872021,0.9252348018810643,0.01864975496572452,0.22503368195106432,0.42027066118505374
ceb,0.3217385682919556,0.0,0.0,0.05562638610891213,0.0,11.725475793519745,0.6102970877946543,0.11934093012376579,0.3091962656654985,0.871034202205653,0.1906008596849631,1.3596853937066555,0.0,0.4678679097402725,0.0,0.2646922311977793,0.5656078022059443,0.25256011869028683,0.1681891885072453,0.5135980435609087,0.08155478575826436,0.6071412785611408,1.556328259307211,1.2412756415175146,0.6517449283228132,0.0,0.9424815443876131,0.24117587413302033,0.0,0.0,0.1861602997470566,0.513109605388907,0.28605825756774195,0.19789101169096046,0.7663999991519894,0.7585932291203115,0.6677843607519875,0.03852911120225144,1.4167382328891165,0.8532161205267936,1.490352128004993,0.0,0.2585836743623844,0.0,1.795172357204681,0.27536431816889717,0.5644150077215961,0.13607819800740195,0.06994154088300775,0.06388649641473876,0.0038966462903111676,0.38688027740265696,0.23275043695035436,0.0043173412554669,0.87674311699881,1.0524540498080217
ces,0.128734424307412,0.0,0.02497297118538455,0.057346872898543566,0.0,0.46307728481595056,6.243513523201042,0.0442565398493322,0.24785107256025363,0.6995762308399591,0.3366598523254929,0.022806973734494917,0.09061335204670762,0.34623275740477233,0.0,0.6356373408278415,0.7414552259265559,0.509089234301829,0.23351496443427777,0.5978398614498168,0.0,0.6002055206702401,0.6785997386598766,0.6275379729582227,0.2892127864285623,0.0,0.27818516510092195,0.06641945053816123,0.0,0.3696641559764231,0.0,0.0,0.18661951031621982,0.04980839372923729,0.24164850734137389,0.5276430869399924,0.5408898041383026,0.0,0.43541980907821554,0.7509746662561376,0.38868160457881373,0.04055520687930958,0.0,0.0,0.21966569659237756,0.342779246626824,0.0,0.08420289714547025,0.05433273284856632,0.03282742310771791,0.0,0.39141517853566477,0.1778243993716888,0.0,0.3976140395107546,0.041624222114602816
chk,0.0,0.0,0.8316466645998304,0.968120153283202,0.0,0.2841344835455253,0.46881540572591796,14.530039252525338,7.145618830526416,0.18818618903802609,0.0845507425956793,0.8345456373291071,0.0,0.39538717109089294,0.34026675095800485,0.0,0.15565955438040913,0.0,0.08854931960133605,0.5121242464072697,0.0,0.6102921828699444,0.38079809399382825,0.04696267836560164,0.1862945326748271,0.0,0.24204801985690594,1.4489989432224188,2.3190409961460965,0.33023956601115323,0.0,0.40700163782085497,0.0005592804288987452,0.01060979832520749,0.4005639670941239,0.6184025794510752,0.600575063611986,0.24794093874861733,1.2215811995608963,0.2416745806579712,0.9058304281593692,0.07503519287932114,0.8229181628093176,0.21938318684257752,0.9344121828858984,0.07588209104495736,0.3885695530407851,0.49156045227957623,0.44343947016099783,0.0,0.0,0.7177967054561485,0.26433546266843955,0.0,3.140810883527493,0.28670803021622504
cmn,0.0,0.23347993618504503,0.0,0.23278057898719595,0.22887394093270963,0.7448686100864883,0.15124283906852654,5.759282917743505,14.28113882402662,0.24011852808785505,0.00012393185054104805,0.20217616878694145,0.0016253621995598877,0.5633146559281208,0.5423045488671061,0.6156533689149359,1.150365158426224,0.1661328222089935,0.3778861095719037,0.17357752546940475,0.0467363627049302,0.45345902744276145,0.7255032166387814,0.7374991926960988,0.23064384994457932,0.0,0.2185477711717443,0.0,1.0482410210058397,0.9030440282205916,0.0,0.05823150460988735,0.0,0.2359608429273392,0.4044554468304078,1.0282614679975666,0.0,0.0,0.08886011231635393,0.4328695819078856,0.08710356789328699,0.0,0.2113101649457647,0.43504521042093103,0.0,0.0,0.03820221775505672,0.5280565151892533,0.5644551045460702,0.0,0.0,0.0,0.06317856728511018,0.0,4.302302564543782,0.0
cnh,0.017820163633928132,0.0,0.10571543897306768,0.0,0.02063535790873061,1.0955541084320952,0.5537334503178588,0.23226060226814127,0.3860772582723335,12.313879258474419,0.20695877196255807,0.9037062074231148,0.07869145144544731,3.1531464555463273,0.12631027185543786,0.14424007352889667,1.3111478476455432,0.34696769546359363,0.28948811710452205,0.5912773514139342,0.0,1.16789869274454,1.7216637147920864,1.0899512703300882,0.35743661108189073,0.0,0.17320584757331048,0.3991286685221276,0.30821434622156474,0.0,0.06534150295922281,0.4449213942522583,0.32281128421967153,0.0,0.8373586899899976,0.621884922867558,1.464966095706556,0.13132179613937822,3.8384904684390264,0.45956533689635926,0.8909353246395355,0.5365715764105996,0.4224739034131204,0.0,0.6379624166538314,0.30819400324544155,0.05813094605524327,0.41142023702651187,0.27153081368922827,0.028640206227072973,0.0,0.5878322686492421,0.21964287946021344,0.19903700651126321,0.24708443279287273,0.7723838334934037
