,acf,bzj,cab,car,crs,djk,ewe,fas,fin,fon,fra,fuv,guc,gul,hat,ibo,icr,jam,kor,kri,ktu,mai,mfe,mlg,pap,pcm,por,sag,spa,sqi,srm,srn,swh,tam,tpi,twi,yom,yor,zul
acf,19.66746272916369,15.713110836929701,13.325919246494362,15.47349986843694,12.972861039634632,13.908692845403339,12.409483293001642,11.596867356218933,12.355020270628694,15.055572510586346,9.848455315107344,15.374786960065531,13.868477741458186,14.875581053329995,15.927214291817155,12.568106428265102,14.337557771653906,10.678590554092345,11.55372499267532,9.994502041289488,4.885798990786191,15.114990272122245,14.099674866428003,19.82928082296907,11.880984619751676,9.986810291807867,8.083273252188492,9.546529200250028,14.586474256254089,4.677161921381785,9.597762226667156,10.172534229138016,16.531689224508007,14.916986355547785,8.737178226283378,14.20273685182091,8.91024029377222,11.219897340831324,18.208745464518078
bzj,11.59386851170925,21.550706237555907,10.529600088831483,8.95304514755948,9.389303527191975,12.850585228260966,11.898576673126298,7.123992171610048,10.099147516046186,13.267738173498856,10.332878644958722,12.189953040881635,13.642393025941582,13.529328914611513,10.444857331096905,11.521493928226066,14.443155791817524,16.458852249938474,5.666451178754571,16.75300388372713,10.185665593427846,17.018916783072015,11.786992350640462,14.423258190152632,10.55805469598552,13.216750195908034,8.797337921961155,8.574424649304351,10.730748460845172,10.339254871705092,10.796852405400752,13.86423757925583,12.997692096574081,13.432540766547907,11.058683541136405,13.085650929129903,7.089619380527483,12.507315799408383,10.0649375764204
cab,13.037180866804604,13.50659577075356,18.95463997730053,14.53057231322534,10.000945391673275,11.73653889810488,13.770342077999706,12.608281069888328,15.10666786732636,14.115254387154897,11.705345689051294,11.692194274259755,14.870736170964838,13.610552885268412,9.616993114534269,9.450810734062975,6.742407682973428,11.36812848845005,8.648766575020336,10.131865289675241,8.098915848276713,16.477572563180175,13.123318859213823,17.213247970073045,12.118592858526613,8.48576360269298,11.781610346029657,7.699992627478321,12.89114433025255,5.693793796570937,7.382702450966655,11.916450966445538,15.296963386830049,13.845335008952295,7.688006297026111,13.317452312390602,4.913938386222321,12.8748534282559,14.16245149699242
car,12.385709212487397,13.341788587585569,13.953615445833734,18.185394236174922,10.489455271404372,12.546304577397482,15.083608759283592,10.641143023390988,15.431773197173971,7.685009753117999,11.96484600296949,12.605238520417528,15.266839731609446,11.823444161712283,12.408803006413672,12.136357321788772,10.28243223370714,9.248417812804819,1.9600930908342973,9.353604087519757,8.674349012511009,16.1321996093519,12.229917849114774,13.816829973479214,8.992450962394436,10.109491421686315,8.143314323214652,7.746622351139617,13.07750279033773,11.807987377321773,8.719361078572,10.902987414479751,15.885935224822425,13.373097721817222,8.95719953929126,13.50601756759884,7.917191628663371,14.078843050509784,4.9350791937931815
crs,13.405424760987636,14.263500155485573,12.433724281146926,10.244490716406759,20.494265929961934,11.326526242281389,12.38132052049003,9.35176360506736,12.001644819258681,14.565007712828205,12.179318061338293,14.02747893596109,13.388355480072489,11.147166317108567,14.295554563789509,12.184604763684554,12.099130526817229,10.047038634485068,6.466018353017413,11.31041652775731,9.831329501654988,16.70367117238954,17.988086059229186,15.544329708621465,12.570307643973477,12.740932892334364,8.73058924110317,10.083177682468676,12.677806465064096,10.516961523967051,8.26899721252346,12.285878254317241,13.717003005824067,13.69828145007515,9.893494269011844,11.647143534525615,10.108594519431053,11.693928110610576,10.684725902110495
djk,12.002015725999794,11.240844682460938,13.101401369902515,11.187181555603146,11.132497109016619,14.667070961672552,12.472637648513476,5.498679119676432,12.726194858477132,14.458954028429428,11.066168116328454,11.935609088674566,14.030428295523794,11.971473352164256,13.069838450150797,13.089983005680782,11.63233680982213,13.333887093094882,6.9037228624261875,15.820841801562688,11.298549646474388,16.986282519878937,15.329449683164775,15.158770840005124,11.846868935732214,9.79001476320066,11.265354094596763,9.797959660968743,12.761469994543258,11.58522219702002,10.572882366579467,14.615077407057173,15.10097554369096,11.657072229282733,10.81994173561732,12.424215548940339,6.3767265642338185,12.520626665660018,13.959931375676115
ewe,11.793282306399213,13.893256738940321,15.241848926234539,14.843828792933236,9.251024443102912,11.864386641089096,18.673132015824688,10.262234750048785,15.64562565363734,15.427943501850303,11.823911654598128,15.29449147129623,15.469535031384888,12.459769903059044,11.996881106450436,10.42380888597621,11.078196737794432,11.337008718594713,11.915035129814715,11.091391992820652,5.641884159659845,14.577389891676127,13.397997646798409,18.222715554522964,11.552472977901475,8.07939459096584,12.248704844171732,10.590772440352717,14.190824184568982,5.905770959045389,9.351167660545153,8.208417292656776,14.71210436145254,14.429341907039259,8.24889368585666,13.11579694680318,4.437693127077381,14.384775182157552,16.942685307731406
fas,11.506347724453386,14.896809326055275,15.90681105979353,19.915623704947368,9.40734378217588,8.758917555732076,13.104848107533279,16.102371133082148,12.63721974796311,11.32357347514572,15.514819295916283,13.634568692361555,17.811355777413873,10.346175156257171,9.365777430225037,13.510507349001546,7.793475965290641,10.526442649227088,15.627035751100616,8.302714816378199,4.347012820445392,7.3678786099852696,10.073552436318888,19.395049574099204,10.911082778266543,9.77818357193982,18.00416664720514,11.179844183707639,16.6624310453116,13.51589997270533,6.62907104473449,8.022790621338867,16.534478324078723,15.001840320880111,6.832949615762968,10.48192032912651,11.260113908861728,12.181021290236876,12.274109083735599
fin,10.194224959475411,12.509231699057061,14.435106521388208,13.643180237403907,11.676503657727073,11.909653520956857,13.735182115688026,10.30300825149957,20.500255010166118,14.541145424400458,12.195019790570123,13.567332685416932,15.556839452626988,11.36215048420458,10.054175116549358,10.89114565624714,8.640395177646425,10.448513059955475,7.071185685105642,9.298167836840438,8.6493170527321,16.463773273710945,12.459026449297955,15.850465595894637,13.655117355070653,9.314921395253966,7.906394912126174,8.475608515099694,13.256391823257358,6.7183500231814826,7.8018275875862795,12.754022050664974,14.6983596162812,13.448532748181075,8.350319598889245,12.01831675769946,7.379254477353118,12.257427690402967,14.68644726923117
fon,9.428976119340929,12.320899855570284,13.99963172833142,16.580794644783268,10.350616494735535,12.393596581834897,15.539003902181426,9.97758971362493,9.210787606998547,19.521351017415036,12.198631300257793,16.483208570510108,16.272092686125358,14.78968693918025,13.201803366021581,11.40817511851023,13.77546859154975,9.431993848013937,16.105662521300975,8.051964572753898,3.8776742653987695,12.270992481723049,12.19097225317737,19.833347738373565,10.438136278159098,7.55000331154903,13.173582223470815,11.367823141898313,15.262737377747603,6.5484277015098655,9.059085149838017,7.818549625149146,16.17739388051719,16.77027611166703,7.303378923738822,13.926596853203732,6.824004961697529,15.575429108836161,19.828900263194445
fra,12.93669690154567,13.322935358922363,13.606582906558415,13.65150820772123,10.259603742289622,12.7086235404621,12.429854868691773,13.330862275766417,15.838977510643367,15.168017155888652,17.12949281155057,12.001528574112125,13.042341976362728,11.828589585117424,11.283154523243796,9.045923549899253,12.6382239606186,10.76284607409093,8.585292970762469,8.747214848278857,7.969674052031806,15.989855325035899,12.887558521248238,16.357148137506694,12.600565786135597,9.915543858036944,9.617433411452382,7.616309228240207,13.528678692552687,8.002674455005215,9.091584793803403,12.014245792158084,14.901784606717028,11.941814631407755,8.250170327825273,12.536975125208262,7.631448640502376,12.955267788596512,13.26495520789958
fuv,10.552891216334206,12.46956860315951,14.395058689034599,14.368140815175446,7.580520851021048,12.692442310675398,13.302208688585695,12.091278930513818,15.803546526759499,15.093144292009383,11.597675674881453,20.210835786467072,16.22056722421323,11.504968028538748,11.46044580012038,11.04632074566926,10.631397547482539,10.71931942852633,7.45513632916262,11.216360144936171,8.13434741933472,16.332114628407947,13.25501060284539,17.36387501292609,13.08406052922117,10.457651231022142,9.799793387959696,9.051128309565637,13.544757688143166,6.183431584755774,8.426421956908227,13.040924736629462,14.5039811282563,13.118994075355594,8.817708210324719,13.015091855778794,4.897751238143767,13.359829023160822,15.874207373536798
guc,13.045457190089188,13.690906496490395,14.385536939462696,15.286557710169523,7.61692955112384,13.7239545080726,14.050620287478063,11.361551400502446,12.20936596160518,12.366492499994182,12.311255031046306,14.00686412783348,17.977081451807855,16.12601975623097,12.042156753440453,8.682812608124108,7.3377496604036905,8.480170886148112,6.3240267496039335,8.704958836703536,6.058069446686058,15.679597583828302,14.112526272694733,16.10651188302793,10.209451435974065,7.908437495051272,8.337887709222148,7.309520653724336,12.443900280490782,6.168469146453526,7.769109544113939,12.55788279147032,15.894782491345714,13.968350188821619,7.320194820204111,14.75775824679349,8.422863916941193,13.533645054591803,14.939818360186328
gul,11.574141584839342,12.68308452695837,13.591611549745885,9.601721629895344,12.255640833491611,12.864792241528727,11.797993639512338,8.426456323355398,10.926253820609217,13.24600523160671,11.324070198689325,12.079211050133704,13.935381526854588,21.882130464456782,10.532886359307298,11.285985529156022,13.36915471827245,14.297336235309146,5.411029652645176,16.28884572230092,12.746334762557298,16.735518911665554,13.67418201894337,12.871702260704843,10.778790296629632,13.249213157690981,11.191954736732566,10.493516403666272,10.235760988468428,10.315050794448522,10.882603202462635,14.497805726936772,12.829281674600592,12.705036782724646,10.10912167514352,12.304395548691337,7.88033869534035,11.102340967593186,8.2965321317471
hat,13.73696272107843,13.074781167511313,14.720781000110394,14.71666654506119,15.405041112794136,12.700952079244331,12.193632519668517,10.817290333729146,15.70601631047591,14.322042465887236,9.910534087453069,13.861731342974418,15.587792926680239,12.81654621156361,21.00832016716958,12.780734196313617,13.70570527977083,9.918086687721438,7.018731228176761,12.15407427146749,8.4544020676332,15.77157937773745,16.552643319663154,17.892608797036075,12.744903521357445,11.616523971449661,9.076361003862516,9.569176618381125,13.730016851530081,7.227686861770902,9.305441036371533,12.380025329052451,15.466768441152778,13.66134948449188,10.37571829374906,13.208144619373039,9.984445001912682,12.343292475356431,15.230675919114764
ibo,11.527687879104958,14.028559266717162,15.36726064044146,15.16103757310281,6.588988795334105,13.760225737337716,14.387023255001285,10.529097132224436,12.780414752134753,13.371875460666443,12.474611365086066,15.053816314640118,15.38783654679362,14.500544796585773,10.582826140569178,19.423793555718245,11.30050529427377,11.89614439629314,12.093986830183647,9.645835989152198,5.694820208564468,14.69249440296672,13.642284005472623,18.32071114814061,12.47122409165983,8.194844859181885,12.882629133848178,9.217720819112374,13.199980270423659,4.7506869170291735,9.641254562391286,11.312130361010762,15.74522162156821,14.848217836831564,7.835507102401916,12.709928991007693,4.9572258093896,14.023918853720671,18.464241216224437
icr,12.313278869795871,18.437436375826646,10.565150898051026,10.766581308412881,8.488279639534571,13.84243291471337,12.018157058000641,8.258113899232676,10.200737079026716,13.632223295893182,11.018820374990886,12.920852734728141,13.165646586278735,14.028599956597487,10.479717816957923,11.852676212596137,18.576989196038216,16.989094152159343,5.550921428923014,16.626150242022508,9.858970522099627,16.98794165964331,13.18696088781227,14.216607146106444,10.707296536592438,14.778698451002418,9.888441227092132,8.211008234492773,11.91210434304647,10.372681037785032,9.737588663364347,14.982072739000223,13.118498681684146,13.140303216399632,10.347104453232573,12.305702314334017,7.02198795454621,11.928689228132702,10.104516517793074
jam,12.448854972178365,17.150107604295442,9.81311570192483,9.921411398421291,9.68719842635264,13.456164128422513,11.812305599766065,5.818275499035663,10.545394465775255,13.834579403487144,10.539035613141264,13.493218452573242,13.525779686783352,12.89254637158749,12.99741077863711,12.066869201028451,15.674355153105306,22.001814989438856,5.789620272855308,17.26732764651501,9.887898099706831,16.05998467639899,13.792722881005309,13.331046063290808,10.450557885424933,14.644387940083215,10.470919749155321,8.554014831967338,12.279427023167017,10.58806991202613,10.916430342787496,15.848631078317213,13.549448192830566,12.655751126647324,11.4376669420283,12.417693285291994,7.25431340262869,12.313607200461561,9.13732794692864
kor,9.412290719459111,14.567250793781758,15.716027743770375,19.661069036310643,8.988449188346541,8.045144087892831,13.133431127390367,7.97230325691511,14.897515425750427,10.32192030907937,12.949866606257531,14.286150639029554,16.994889757598582,10.612091638679374,9.174194856383004,14.656463760227956,9.438946490339708,10.715449262879355,18.932291979813883,8.43955139387378,3.7473510218285178,10.029628867211864,11.904566069895008,19.608491308838794,10.126484361381342,9.520097394643141,17.04247151511236,12.285763384101948,17.41959280065168,13.733603007334658,6.699053110405023,10.088214408061672,15.679502560320472,14.882096864261646,7.268040650928265,10.295326606552585,7.804888116760904,11.521336707706599,18.061170467246683
kri,11.79168366730456,14.643183740189198,14.34634705589611,15.228974409108673,6.92062468515587,12.697582650555555,12.279634570959317,10.847799089672277,15.60580930098656,13.95865867495302,12.312701026945495,15.241553960373908,15.63967679459006,13.822368990093677,10.226891087480297,9.72037544048221,13.816031577118085,14.088268680052979,13.09113336623553,20.99365058510038,5.90279408518974,15.042446892504044,14.847039668620923,18.742666623236815,11.989588453121106,12.516433260879964,12.404161732176275,9.734801504334484,13.602914544486877,7.802991257508496,8.59158098320282,11.68976143831771,16.10107814886407,14.844336709431207,8.09244554335191,12.921763823075368,8.456898949460749,14.86635388735705,17.80383338810706
ktu,13.399495599347922,10.694988607112958,14.365677104750278,9.733323986719453,12.673187523157367,10.418620268563107,11.971324095595332,7.340625405983083,9.605475033382996,14.332765525241761,11.332805611185895,12.588305638737024,14.63611583048766,10.536700055684365,13.090930194628585,12.53342392625814,11.643077046392616,10.416229520840835,6.6291432009411855,13.338789386788157,20.15368465078509,15.191533909624164,13.071130717520733,15.262398652784546,11.658949568545268,12.079710897508873,11.607800295164195,10.928501085161377,12.549794951441712,10.235621395851428,8.025550666165993,16.095751416835647,14.574834778917475,11.535061405941608,9.606032116822663,12.60960921017445,13.592407801047072,9.278961008463492,13.714143016043101
mai,12.243594085656284,14.70997982866051,15.343521284050476,19.697566503334464,10.433674174484885,8.237649589250841,13.112111955714981,8.043800776041293,12.014426148333262,11.193663193604745,15.978563040067936,14.683894272069503,17.69754530417654,9.744696117943489,9.814308506897378,13.183923526699504,13.180865164654229,8.683394416610627,16.132584647419357,8.519754936685722,4.382777625331368,21.267970964117012,9.901105138707186,19.122510871413738,9.620180495161728,9.294353862773912,17.780425151015912,12.63166974710708,17.576985361436797,15.556482951176307,6.460065814619434,8.064078314565458,17.10530173692095,15.21875557835629,6.90059318370913,10.803871304085716,10.429097794225736,13.049820348901756,11.562236090674919
mfe,13.503044330580765,13.295403403798753,10.659639960539042,9.474254519531012,18.04739097983446,11.011276647648994,12.499420547957877,8.342321609148398,11.098275807770245,15.223095037786166,11.173646328437545,14.332142368398099,13.475689969586234,11.245863731317595,13.963122961754927,11.925594513760778,11.867229097222591,10.504583933273585,6.093067305448741,11.622608437789534,9.429182113786622,16.374058036626845,18.747149002665378,15.016344185730373,11.528790422042945,12.55254270140054,9.610427373953671,10.000233472550706,13.122451455656076,11.137479436910688,8.3172958188349,12.446938338633663,13.77327776723476,13.596923636868336,9.773488482929325,11.783506709367202,9.400481660125115,11.90909218747664,11.822461134192745
mlg,12.580209533413205,10.818061243096984,13.429970991835063,9.637040340828266,11.746783386742269,12.084021575506405,13.540419793740899,8.901411477380803,13.34538424700532,11.446552539721438,11.325990852838036,11.578547811941819,14.677554498044332,12.917094790085878,11.148942232601202,11.529933275596935,12.536113788335843,10.722233552959533,4.796089257329473,12.886100691198491,11.053134275732512,16.732371503936047,12.577354612438763,18.666263775011686,13.352121298806994,10.85410828024271,8.767321947588739,8.358727557672847,12.659566917803671,11.665050717724696,8.266386017750746,12.857861306540094,14.978827371823671,11.96176900195728,9.610269424323574,12.1467890264902,9.73274562243095,11.831149640875262,9.314387972149769
pap,11.729266587867583,12.711863748775325,14.14759500652863,11.313028004058198,9.681588966904851,11.837170262871478,12.044059592915747,8.651373678597203,14.447447296718904,14.0541398307333,11.679750550478882,13.20586651694107,14.644213141818286,11.29037865124586,11.453959759525434,12.246987111079676,11.847355200349643,12.557733611094605,8.604214316118066,12.1413592581145,8.867851337387055,16.365856330196888,14.73093580032463,16.066855947925767,16.48731665224499,12.937920459017757,9.687349405723335,10.523517373140024,14.83701588737268,8.738798196343241,8.068934122278637,14.31490109459621,15.213800858300244,12.690158648981932,10.06532626478359,11.988878807886822,10.83482235097043,12.518953505616965,15.677691859393885
pcm,10.717043345126049,13.97777414892731,13.685794506365886,10.910516705590672,10.681191344923274,10.736645869285825,10.536609432564301,7.4907673015006075,10.786653884426807,13.218010240816339,10.976395709656753,13.552495425349484,14.02025782714556,13.276073841803427,12.776989252185608,11.896943871568876,12.355586893936218,14.415600964095935,5.945000870762857,15.739926786427372,11.926754105107717,16.95663779714249,13.025973909045623,13.29428205788645,10.880028205011746,18.033649165607372,10.239047626754221,8.690538577949274,11.267247717235188,9.837585127800038,10.158617162242834,14.361745098660721,12.515891541779217,14.576838632207101,10.941669426679015,10.8917875142804,7.316678290769307,12.338048289649844,11.62509079291931
por,11.274283439637117,12.422946189581072,14.367219647893553,13.461945423734958,9.203410410705994,12.713517844051896,12.850646176174582,12.927646430305723,15.728258860350236,14.639502622153152,12.353030302087399,12.816091049974126,13.574954432704732,10.702857044212557,9.708369259402433,9.887724202022955,11.846256413409485,11.994583819827447,8.687329895817179,11.71908047400421,8.304702196710075,16.41914496447878,12.98638213180389,15.984787240484039,12.72527677265379,9.539597831449264,19.813279078968105,7.662075305539247,15.256484246708094,6.811611288560004,9.401995875645522,14.778260315500342,14.501784954957625,13.578877857570731,8.031654748859427,12.766757387660835,8.455039810788847,13.382241248307619,13.889229095957381
sag,12.011156994917055,7.9779051475294125,14.68091291752238,10.2058110494657,10.711127701163138,12.985060910510123,14.118506679999806,8.08452383609449,11.686075864115127,15.179601103076518,11.580560261339162,13.233295093356872,14.440793364043925,11.39679437088041,12.230354317466553,12.043242545640318,10.168221746294696,12.328407542850695,7.566610194018628,14.568766282158737,11.079087204245454,15.685981183272657,12.60129931750954,15.927720840728771,9.505377097514197,10.06127146270913,7.8774903414690085,20.348850214627856,11.920920342812185,8.630515471180333,8.40225908045639,14.275267135855465,14.402404599231977,10.560761189031394,9.312545094032336,12.694066526981848,10.571812563828201,13.388863868355175,15.288536401867745
spa,10.868966641805475,11.582581320817685,13.758836256897958,13.30122412796644,9.509280413247277,11.911562876872138,13.681095895899736,12.05773537738105,15.171902807259329,13.999623933121844,11.908571297281064,13.311692200277259,11.127513473286076,10.539011381968272,10.141864053631332,10.808020575509996,12.32641557524636,11.713773843571708,7.3643095335038335,11.93369063657351,8.725460933771963,16.689420708706923,13.271370226403967,15.915334858111374,13.116897102395555,9.135100178053843,13.799944439013533,8.519337626225896,18.8963281810573,8.238359481244412,9.21469053796583,13.936873023466982,14.270547559405097,13.733497416866422,7.930325787140462,12.33925982166799,8.867794530632926,12.525354810241755,13.997630204225123
sqi,11.33662668985317,14.121645447573048,15.161402230491941,14.625890579667496,12.0267012958503,13.63781314534786,15.06779938604119,10.980018056725728,14.887777695628163,14.298985317169018,9.848260635716295,15.491040965427885,15.905259749370263,14.193049001431554,11.169695146506795,11.243223928847957,11.775182792209291,11.518839227054302,13.861154788095783,11.184796028189211,7.976881403306406,14.715339389603255,13.756104075673345,19.100412150891007,12.571311483990835,8.515530586423543,10.883424170452912,9.053840648006464,13.371995369592868,19.44257213496322,7.86607760522416,8.660121097807586,16.42467079617375,15.325224129112788,7.677781674914984,13.338857147448332,6.260041028327273,14.005133768173634,17.405656997034
srm,11.02245361980711,14.078618068555905,14.63033462927212,14.840536909844518,7.813477115206393,14.39205984636756,13.908550920257026,9.252486200263515,15.387355009101054,14.528458730769406,11.97510248721721,14.01541632335369,15.764580654861032,14.735557022551246,11.30921611013046,10.019996871921089,12.386761984169755,12.606131196355744,9.922015412703503,12.55203214725272,6.343890345808447,14.85301672470069,14.149890126101742,17.733220668846233,10.519187029596749,10.665926190805088,10.20209403905975,10.066243555688471,13.74710132928213,8.39848016284401,12.537722865729492,10.233080826176414,15.51546715085705,13.377927697237807,7.85969168354029,12.682051695159483,7.243955361981809,14.943266283165176,17.3191307430561
srn,11.912212082235342,13.600097337712564,14.076089561451175,11.092585774867423,11.554137164696717,13.869030827112905,12.334441245132108,6.017705978674712,13.392663743233452,13.535667059861082,10.602751967449905,11.900834155472625,14.853816267215505,11.714207881004143,13.221523607377545,14.326428461880958,11.49794541305521,14.167018773820898,6.537588469687382,14.367279547000859,11.486801906106397,16.798927903193484,14.114637174642116,15.844229528341957,12.607767206861206,10.967317096161908,10.412590520886155,10.126460610581166,13.846674546292103,11.604922392443767,9.922545961813938,22.517496355224807,14.51832015004996,12.768710780702799,9.933368396103646,12.368010088742794,8.297308408556816,12.872112058689222,11.400652500732853
swh,13.962295975255486,11.12823263698218,13.966779580071996,9.285860835481893,13.115241924103954,11.181850080635972,13.566174277176959,6.8363200166710145,9.712339223420866,14.847400604168486,11.190784900411234,11.722804384195488,13.470377335388775,11.710971933739833,12.766434825152492,12.52089318143746,8.684426113865303,11.228074639952112,5.675316456886705,12.85924789778601,12.214939216084838,16.478660063100826,13.120174975584698,13.904482375861024,10.756164546315555,11.65091126296817,9.456053557388541,9.284875475055312,10.304375173717444,11.610310103145826,8.285196782029317,15.384612096038877,22.15858551410389,12.489180722849332,10.860533054612542,13.125052674146055,9.578114526991124,9.98259767725416,12.31592750677803
tam,10.22308791313115,14.928129372462795,15.513826228446433,19.975728261939242,8.589994055312872,7.9565590767012475,13.145405368728277,8.073358830160576,14.619749948946062,9.698413301130666,13.108561712428152,14.574942124102858,17.17423391865508,10.904570689150498,9.329632212354753,13.836744299405476,9.961900212016273,10.671140336770405,14.235994800237858,8.43644026675098,3.5796238205161637,10.567736552653363,11.705269002699675,19.05190874524185,9.960430667689108,9.295963217159692,17.007515683389393,11.933686536592809,17.118629647354787,13.195986233829773,6.673841990680929,9.620495604572662,15.658805924403971,17.514356913403052,7.036121260336054,10.339167949568733,7.719559670921713,12.049375797151038,18.011391890839374
