,acf,bzj,cab,car,crs,djk,eng,ewe,fas,fin,fon,fra,fuv,guc,gul,hat,ibo,icr,jam,kor,kri,ktu,mai,mfe,mlg,nld,pap,pcm,por,sag,spa,sqi,srm,srn,swh,tam,tpi,twi,yom,yor,zul
acf,13.633985084146861,11.083626000846557,12.268061592674862,8.815699315862386,14.937974713039386,11.018216886136951,13.70366719955556,8.871081804638232,5.912100479895115,9.999615816011396,8.80768805385944,12.7155247680642,13.499041707897804,13.28273940915398,10.337710203077167,13.512273235098835,12.715316234682767,13.471975275654396,11.517190693944576,9.357524601553763,11.48277524513882,12.042827150932727,9.159138283552583,10.594038938989959,9.374759185625452,12.016284215772641,12.553155285068748,15.365482935720706,10.712009124250937,11.388449137114126,10.952656305903934,13.463036909633347,9.451148726699332,13.13474517820164,12.146454213465931,12.885178520031312,8.547372552569335,14.521855312467263,18.085823304424984,13.186001135035132,12.203868682084739
bzj,13.319806012464266,11.862954892778719,10.31673818916032,8.855591472615082,15.318244906286413,11.052447456572338,12.614846851883534,8.304389046208941,5.912100479895115,10.691602239576715,8.793010823905458,13.01657576128501,13.58477733713152,13.33000289754897,10.205485057074672,13.487444463531686,12.628425044630431,13.466727344703203,11.016176498535371,9.541613645987754,12.029183799870475,11.859206669776153,10.338501029423954,11.590685753642626,8.940257011554674,11.479726885655007,12.449078359976113,14.788082834201449,12.356484056911068,11.34711633262258,13.032326300716715,11.111409814946532,10.37198171580094,12.226341152846098,11.844997840051665,12.879777285469219,9.343593610471471,14.568925908332334,18.02263236826498,13.022940732414758,12.247787851467914
cab,13.232994893020896,10.953426115797606,11.39426127631215,9.068968426944311,15.45130038374615,11.777077417497148,14.05946582960865,8.843507529521334,5.912100479895115,10.351784138329235,8.568882100078765,12.421267311302529,13.54057669348489,13.312151884043208,11.798974391821755,13.587484227636967,13.33201934108895,13.496657858204038,11.103276267700007,8.9016139321541,11.886381010895644,11.437160208034866,9.676923871021618,10.743710960325462,9.246460674295623,10.541691040027459,11.905227885550984,15.285674126503935,10.918408118082628,10.187711301734774,11.255827396903495,13.160412791522441,10.884378193728011,13.13157366919582,11.719054124636298,12.85534625714339,8.604764131727059,14.618707716794713,17.66268518388367,13.09563132037462,12.43117167363131
car,13.807366604317405,11.742211823190267,13.195240258185642,9.1852584755294,13.743733199845016,11.601979400018246,13.523000726160186,8.82714114431175,5.912100479895115,11.338170651293327,11.378502311807749,12.77319174168695,13.63346462372913,13.494592220367348,11.25384057852679,13.430479884756352,13.122778666486534,13.453011982934493,11.081891300108618,10.926938419010302,11.727751447116946,12.833719298419553,9.165191624165328,11.422645290145258,9.369397525685624,10.723526639997004,11.961757782711897,14.861537146163641,13.644935507106744,11.286473728499255,11.6187226514164,12.437138382975576,10.65236151138892,12.845302309046975,12.636531369317588,12.943850540706228,8.386167483764742,14.858968854125429,17.84659243554361,13.146023162626882,12.027445336102915
crs,13.225389588484157,11.796168640304574,9.933084678588429,8.992765448533353,15.096544470923433,10.74864591366629,13.505526178721569,8.699428260227357,5.912100479895115,10.481820167497581,8.254303350756448,12.629677378553506,13.132111357780794,13.828271614190637,9.074842685726543,13.790624476442497,13.128579282345756,13.49335799630903,11.017498442020925,9.742220305489226,11.659162979755203,12.950055294154716,9.69452495477263,11.318901478826044,9.786032122087454,10.995136840254883,11.819549777797105,14.688215288536579,12.40127985273501,11.27731924924171,13.229894939098347,12.277846340035437,8.9628382964583,11.674303563797817,12.06844599782661,12.939509172580927,8.594785280428892,14.624528134098199,18.463979263821408,13.052682199919586,13.468040933373985
djk,13.145817429066925,12.236803597205622,9.208631562501617,8.976338498977274,15.402496622491654,11.990170758634758,13.137401370056438,7.766219014789212,5.912100479895115,11.816857947872482,7.7850221730656015,12.901341607701426,13.991465153266788,13.41409193647985,11.030388057871189,13.105668420479633,12.777442263302754,13.422546857450543,11.348452120909512,10.381614838633489,12.008442380330976,12.127971501054972,9.93914536218112,9.969880481978691,9.306499739522549,12.232703066142685,12.14640462819169,14.54839216604478,10.339387757435999,11.170764260098718,12.20539923670116,12.153399542134139,10.693491068859949,12.1194008046994,11.60540371198795,12.899144479816696,9.158100166203033,14.410803524261636,17.747124101790458,13.114380325366119,12.992812621616787
eng,13.641212754200035,11.173021329493478,11.409114045948286,8.960462690531001,15.595384595930566,11.75143533937433,13.763937534454149,8.864550723731444,5.912100479895115,10.222618186464658,7.863789804684903,12.161454723974552,13.863689511198437,13.9633480928777,10.033614948407523,14.215478874311874,13.031009493924245,13.475911392189152,10.93478194000935,9.424564677903872,11.561652839622974,11.738359466613261,9.755414917786364,11.472388834518753,8.762863033616568,12.14452630007666,11.302633441371274,15.401476414053308,13.376527775233852,10.747814022360632,12.00080351944709,12.347663475845586,9.064630501487745,13.162101456559192,12.491733717451766,12.924890721620791,9.71802006628308,14.83714394747794,17.54978663255166,13.145966316568487,12.513840988880606
ewe,13.33448013252238,11.343939637137282,10.849562293429441,9.207447313000634,15.093638875585992,11.274887112177003,10.271263023836575,8.772153884023837,5.912100479895115,10.197250516543457,11.243589559130335,11.63969312894028,13.494167196101161,13.538697219275775,11.932571211149433,13.947191220963642,12.47532384608653,13.47660061475065,11.344318231359749,9.375755294210133,11.929965968452082,11.172254475928268,9.426602006311043,10.636049384020597,9.116302949090468,12.753279472868082,11.187314084906829,15.592794223491016,10.642021887089435,10.83379836521957,11.755422939482003,12.566330809495065,10.606914534654138,12.171337944052809,11.827896672595019,12.93990736922524,8.239871298229277,14.38604308859002,18.185854747858198,13.224782466607177,9.576006122592714
fas,13.62862765259361,12.167780555014586,11.86971517413257,8.559579509632362,14.873239328404726,12.230456805019072,0.9934116799127937,6.971684729359424,5.912100479895115,9.48602368809086,6.607805204884788,13.301463328316387,10.41646253767709,12.890071060191472,10.811056691200646,12.694252631186304,12.682996979770406,13.559095806058199,11.532467528542616,6.996960789044539,8.662371573345869,11.188923992456074,9.648344736043914,9.337621782567536,8.327165879499473,9.07062773015934,12.706992697540226,15.80055690770767,15.21003522667536,10.921771727827037,11.236611105552063,3.4234733813317866,10.624283367760492,11.329525633453011,10.778587578195937,11.855448853874103,8.054170660496835,14.10036988331876,9.775969829037384,12.197653687530032,11.093132194680836
fin,13.059000506463155,11.761538431677431,10.368884198845466,8.771322891322828,14.955974368548175,11.279298176643724,12.644552193386929,8.923950876567286,5.912100479895115,10.658690319309379,11.433141192742745,12.570482905982164,13.2429381315978,13.756097463859296,10.61026337015418,13.854212186956042,13.085693695517783,13.469414811669555,11.082770276714662,9.3948822074581,12.033540106515575,12.030102925394024,9.375705348049308,10.840259453410955,8.93447831227519,10.151552734024365,12.22643878176603,15.001559444379916,11.883193936260557,11.257140053631664,11.785780847689162,12.721821942279194,10.234454261503968,12.621880586828881,12.501030496023555,12.836695616211419,9.210517368194463,14.67587544527587,17.712343029565357,13.144418219814384,13.08859704345954
