,acf,bzj,cab,djk,ewe,fin,fra,fuv,gul,hat,ibo,icr,jam,kor,kri,mai,mfe,mlg,por,sag,spa,srm,srn,tam,tpi
acf,29.405581332794718,11.695952114346344,15.68502474477143,10.169232361427765,13.566752165215915,18.223080649102652,17.762594803608007,13.99071753099787,12.437958802786504,10.617115542101102,14.297510178637808,12.655671600277222,7.696966614224121,12.045129311786845,6.703364921670799,7.210801792145199,14.093705315136884,17.625366621178927,15.082164887343975,8.657166941338673,18.518963818067917,5.01612634594328,12.640002837373379,17.497854890712198,11.36477324879424
bzj,11.537006694061226,30.06311201570659,11.051626021415217,15.19165559675209,13.25684484435426,7.915674043327433,7.395573546362609,9.870527306385759,15.469898018345326,11.493609694266151,12.102080335795227,18.575230852687888,16.338195886921138,12.106503721786064,14.005864668311311,17.81913295890719,11.673245696092744,9.609207835989153,9.43956914663538,11.03770258772608,13.411368916909746,14.213749305685297,16.20592606126897,6.997436616873928,14.424238869284109
cab,9.374620792431747,11.552241338189555,26.616391592998223,11.346979621110856,12.865471173180163,18.00438411382989,17.343938807694897,12.627599237016204,12.521819159079428,10.443461571239013,11.594850292105683,12.374142221883586,9.898915917015074,10.543932267486001,7.305904098012003,6.274309049693873,12.946651875606948,17.442362062566833,13.581719695657007,9.652651121267454,18.087357199357555,7.492766051689303,12.0609297319925,17.153293109054747,11.475118912956555
djk,12.545806760237403,17.238542572517414,12.081839538545948,25.68418333929159,15.083246026313901,10.114387142139288,16.56526308860407,13.168630602187402,13.575233433004923,12.204615524154832,13.010723183283371,12.281873081567472,14.009627753874446,12.205888860660027,14.170704881894345,15.548671717962748,13.868312550846618,12.858825622491796,11.837308836574516,11.898286223267561,14.353927198650968,15.39093617871485,20.003953075298877,8.149738736270658,15.902262824136123
ewe,13.104569286488143,12.26898502238422,16.15562626842463,11.307364885684471,22.914675734696562,17.824261070905116,18.267462105761705,14.861237931212424,12.701351012516628,5.470682689739939,12.32396667011194,14.592359397307181,5.955492717876044,12.460315020257013,9.324496058413555,8.551147229050386,13.04919546184116,17.19319489540088,15.21050250804305,10.601296262798412,19.522968463019783,6.456400327705242,13.387206514729725,17.399160223977713,11.88835899273715
fin,12.153385389753735,11.957436904080764,14.886661841350845,12.104310341490642,15.016374742629171,27.47028804125578,18.677961986468382,12.304018168082449,11.032439016934397,6.949282059798009,9.246923287580067,10.99902832594128,9.557776222878504,13.2209063525078,9.140574359409252,8.593302952232987,13.48010533433949,15.950966306555628,13.813059227640705,7.332244520231604,19.275160414878556,7.075373744822165,12.528097950386332,14.974995879854575,12.061914935149476
fra,11.917316464172396,12.531488322749492,14.86449450859113,12.598102867531896,14.434312758682655,16.851776945912196,30.483786898410465,11.743013206462487,12.331360676972453,10.721451869413382,10.484783091175478,12.236714757342998,12.32238090404993,14.804715212175909,8.82261330656697,9.12590232419226,15.499350743607573,15.053963757663189,14.148873184606309,8.630967605613671,18.386342809848834,7.130921903669048,13.238956911445776,13.145578375018285,12.605436061160141
fuv,10.97395626524817,12.442472420121977,15.188535797038764,11.808165489997933,14.867403755290251,17.56518493384413,18.41088259366942,29.053318779184313,12.84294515020726,8.017458107553727,9.575966489919576,13.78518238932728,8.931905346048897,11.834900326401437,7.670227210195275,9.464613983545082,13.99238484466569,16.121281969398176,14.202334533255637,10.002711891207722,19.349822502239036,9.993601477676062,12.871215647024798,15.92635159273253,12.526556002622149
gul,11.131735215133023,17.320571213196693,11.426794324117278,15.301453146174632,14.19461767681914,4.851520870974464,12.412830798106096,12.271386950901972,30.208629425756943,14.035678192370362,13.036023686705711,13.059564798092573,11.550991313778052,12.629283086157617,14.760528613718439,18.231357331695666,12.158481926000517,9.500804144233268,9.541089868434838,11.607534307771314,14.289572299852033,13.720183516719969,15.935435295781097,8.128194146635337,14.408587632064402
hat,18.356483518465964,13.140920968353692,16.855964995950245,12.272910315043067,14.809814270703992,17.26813834570389,17.57502316665515,13.214381259607805,11.821007649433442,30.607006050484376,11.715937558054984,9.771736893745965,9.339967734606464,13.313324923008107,10.812241556915584,9.624348963994283,16.559579509499294,15.364308117476998,15.825586800358538,10.662948559473712,18.280693347391445,9.34411958016385,15.940551221785215,15.731669421834676,13.200256594311108
ibo,12.08851163678065,13.557468739229883,15.550119571055824,11.63089161370739,14.15834476194929,17.61983846118046,17.99377015284003,14.063678537617793,12.019307324940051,7.818037181852406,26.48406864925664,13.551113776566643,8.142543273076983,11.63606182139789,7.674010046770816,8.599472221294985,12.787437352022726,16.28060126714291,14.468321379068374,10.56657812241559,19.66879128481156,8.016492032026372,13.9374773847314,16.20344022094533,12.555557741982831
icr,11.577287354110247,22.75958819866837,11.806710824283345,16.353117027710777,14.227473321584949,9.539864902080678,10.683696950943693,11.448815395814298,17.235473207555177,12.64264327079021,12.85900407182937,28.068066074315023,19.24879075393117,12.334537393455085,14.11413729356209,17.580708488831824,12.45137466083042,9.671757636840704,10.818160482155943,10.229492568146382,15.014658689881099,13.238174248275605,16.705572830075635,7.918443220753975,14.295390790966527
jam,12.74692227590928,21.37322585757563,11.862197864608543,17.389998472400393,14.104030992141025,7.6921774256728925,11.356789030881647,11.658688027974435,14.400600501342616,13.365708108106109,12.97166097095794,21.288292991639867,28.01921777773535,12.04573841506747,15.769841405940435,17.91516981039268,11.823136389631733,9.708528611144663,11.598031436308375,10.959315785527014,15.109949404116845,15.070936883362096,17.520632566098026,8.01124140449435,14.95613496038307
kor,15.655541627512443,12.034477776083188,13.469859457117353,11.126513357332932,11.815717769080328,18.58857247216313,18.302484985876806,13.70594576042511,13.389878191803284,1.0566525036180876,12.654410436505179,15.110497977784092,8.680479887117688,29.876240175048657,5.126262964840851,7.838253884934959,6.401930834136175,12.85623099151357,14.372294560244242,11.092696026351646,19.628814533009812,3.275554996874983,9.607750997392358,13.167213534187368,10.04257706203634
kri,12.861445329266694,12.827908736545893,15.799527599510524,10.229641033857163,14.220272015069115,17.596175653262904,18.461667103818126,13.556643906780888,14.271994999038826,5.610857318086129,10.009891179172325,16.238255786534303,11.084008090735937,11.284458590034937,29.76435710948127,5.48855629233663,14.081764734340405,17.02413357134856,14.373924565533411,11.632885770176072,19.790249698545455,9.190188036643763,12.604715463869368,16.0917963611308,13.730534528597287
