,acf,bzj,cab,djk,ewe,fin,fra,fuv,gul,hat,ibo,icr,jam,kor,kri,mai,mfe,mlg,por,sag,spa,srm,srn,tam,tpi
acf,11.491205232851842,0.31706503926214324,0.05398934922906129,0.0,0.44324254284684983,0.11818590223429482,0.5989930467747513,0.1946918394780699,0.0,1.0905922956337815,0.18174417012669686,0.19112756603959014,0.29181893420061655,0.22151007150255886,0.3170728028951686,0.24465051680479277,0.6026065357786603,0.2545268611730762,0.0,0.10077318864981422,0.5743921739358093,0.0,0.11115905387083025,0.0896117466835964,0.0048863395949503285
bzj,0.21478325705741064,10.875336553811412,0.0,1.0907650462732459,0.5757345657365374,0.0,0.4968580760046919,0.29055918320674934,1.6623742283477174,0.1612912772717472,0.39894544709381385,4.599652879333519,2.6924272994373375,0.09423934529211309,1.2295733658472283,0.008812833295365863,0.19616787627253984,0.0,0.07418045972486809,0.0708949859715311,0.8041315324669682,0.5953073113715597,1.3362110134300504,0.1625672551341566,0.5296398542542917
cab,0.055424071493751725,0.06475562973300342,4.504641169064056,0.09233188482057209,0.06064207925780707,0.15520099188894676,0.2356213632756372,0.22109525894963866,0.0,0.5133610148600791,0.5093664725330811,0.04189089764312648,0.013654659766505262,0.004373344283706615,0.3163810468483259,0.22099637069722533,0.06994625846107105,0.3447879069122468,0.5966162714831142,0.1665500353709497,0.1437170453176133,0.3177183537046506,0.08262145158679246,0.1306465685587348,0.12256838977109474
djk,0.054678275607439986,0.4253652742836973,0.23047210593671785,6.65774344381591,0.5677049236629994,0.0,0.24335229495110866,0.36533466566733175,0.2818359834599633,0.3512737660218921,0.0,0.5405252466509474,1.1166615290180708,0.16200308288524745,0.8699071018626192,0.1143749036789572,0.5287994652626224,0.35787631995237135,0.25241613928727347,0.07014835490833882,0.4761871096182091,1.7681622410989757,3.142928196877783,0.03934341966437316,0.3067307419204113
ewe,0.3946830656706961,0.15632222890962488,0.015382002571589837,0.254513270924992,7.890287329948947,0.030894338841481073,0.03325670344959164,0.0,0.0,0.23249607016473384,0.06933820966070492,0.35452154532364766,0.32868332165363867,0.5215948323564437,0.27828164444529335,0.3714670695578839,0.09844821563552841,0.0,0.4031769224030306,0.0,0.17099975495210273,0.12600220242437032,0.022055433336708674,0.0,0.0
fin,0.20629017329444643,0.4222447520028627,0.09287671745848591,0.45166799035928307,0.3108732682667643,9.871289035224944,0.0,0.20402820927722232,0.0,0.5049419964719366,0.1154209983266199,0.22462960250228114,0.07704346268612206,0.3236202625740283,0.0030563272371146866,0.09492953822464756,0.1783607121886046,0.1802881829289511,0.7949020837204905,0.0530071435950461,0.6922810494844498,0.15758060179243394,0.272540054147866,0.1745689775131094,0.21865394358558987
fra,0.4724988005096602,0.2585025304417883,0.1286493924571701,0.43142405848937493,0.3511874350824602,0.3878770528806932,5.657256770702942,0.33544994440062226,0.07585637822370472,0.5167154982556781,0.21899234236439113,0.0,0.23981928871474878,0.0,0.0,0.3056494870011335,0.28593845873828627,0.0,1.1744426036567468,0.1507548002155641,0.6607262990962681,0.45476416031348066,0.4382289575907521,0.06696056391848515,0.24778671309976552
fuv,0.0,0.4160988004687649,0.0,0.7281071742324272,0.05067025983082907,0.2616501368507649,0.12506829557861998,9.702981432409167,0.03385395285867254,0.3767067142546452,0.47393295599062135,0.08515440999579837,0.2573633196320575,0.3169481671741501,0.145064322465009,0.11640118586712589,0.1365826837051305,0.30087259976428626,0.29419122205893444,0.09414527031580633,0.5967858713884908,0.5131589099850018,0.11104642914681939,0.15175239390146267,0.19007856215438856
gul,0.19455704120696637,1.5034010756231861,0.09901005079963632,0.2671919694392688,1.139547668165708,0.0,0.4283834000229483,0.14852063469932553,10.521016963354988,0.21898401533046474,0.3573518878210855,1.7421880184522198,1.1028642035738052,0.0,0.44935588617624234,0.39450678672183415,0.2545989168099112,0.22051895001626587,0.19870838228956345,0.48591009098806737,0.7544664834561399,0.9690937616657376,0.4748508676126768,0.06966090357247978,0.40170675842169423
hat,3.040062090811709,0.01394980894628084,0.0,0.8630037540916256,0.11864606752320839,0.1537905661420531,0.7329110512954564,0.05400249597828122,0.0,11.481319283645545,0.3248181080589916,0.3362941644140651,0.6957524401715531,0.21392773491547068,0.17283207079757368,0.34755139778951616,1.345558524449368,0.7221928215294326,0.48396304610786345,0.3431352370989238,0.5782178839273087,0.10045546118204207,0.4633273856582498,0.11262012111173547,0.180404951551548
