,acf,bzj,cab,djk,ewe,fin,fra,fuv,gul,hat,ibo,icr,jam,kor,kri,mai,mfe,mlg,por,sag,spa,srm,srn,tam,tpi
acf,13.291733862211109,0.4063660636560193,0.7298895323624662,0.5024421796828683,0.36195073457870974,0.8912164696520211,0.840895974320366,0.5394586450223717,0.29956265316936515,1.134183161423052,1.3697592906244302,0.6112855448043142,0.5568604045012876,1.6789472576631503,0.38830299561609677,0.8885604640086249,0.7132826030435897,0.7975289729981714,0.8112268870336558,0.0479337443617908,1.0003310845906699,0.6631525945376842,0.5327069833804401,1.435421565477459,0.5328217471191273
bzj,1.0180479029135125,13.256819639090015,0.3111085968979455,1.784779572015479,0.6156282708922408,0.26457414218829284,0.3433841375720121,0.8056011678733727,2.067109608376044,1.010726150338425,1.2902883992617913,3.1643136662573723,2.36926125444901,0.7375694918432599,1.193821597012157,3.5594440471055067,0.3207689103560253,0.5487968021192752,0.6093225501250157,0.2304206420227657,0.7714824462013483,1.1975465345622887,1.7579744889760835,0.5090777744144308,1.4234779104177115
cab,1.0994287732666574,0.2771334864407538,12.512408702393767,0.46622294938566766,0.566752278348523,0.639487342711013,0.6102291789802621,0.3434870733269303,0.5297013687337571,0.6913748421297189,0.6862269076007954,0.5885467115899456,0.3542337795268526,1.1651922700206232,0.22058443622297447,0.42233300526782364,0.35336862771572264,0.5954046172358857,0.5650521767517283,0.06774693448016918,1.1526052174221242,0.7810112511321546,0.27525398422068037,1.7712180551604264,0.42406692438385063
djk,1.0721487775114382,1.4552508294153028,0.3436962655282123,10.309379980354551,0.9169747165609453,0.5233808188734184,0.6547617310576436,1.0325584034090005,1.2425650504125925,0.9382211697354196,1.2542381700963219,0.7125398618641444,0.8099909892836269,1.0025455396218828,0.7248390313048033,3.068953385326556,0.7581710652996018,1.0728519525798932,0.5450994359506595,0.104119487824613,0.9022459373919599,2.7876437254423974,3.3495725136641212,1.069789667647151,1.2521184737927438
ewe,1.639659753281185,0.32706404816647744,0.7685365226836227,0.7951471271038103,9.059166529876011,0.5768469289018014,0.7274986160489586,0.38534474386485024,0.4048892487789533,0.25216613365586377,0.9858035398294862,0.7682608472791758,0.14757921057924175,1.398608657294271,0.338526896281349,1.0145818811497829,0.34276954124967585,0.7351390597554854,0.7407517345644633,0.08589566201189971,0.8385970813952089,0.7374692544315248,0.6969455821850936,1.6436651277920138,0.559901820321851
fin,1.5345001808115968,0.25204805994894997,0.8136401501312823,0.9052613425873229,0.8589584578485241,11.925249644140237,0.7335426711157351,0.31991479231499703,0.7744065000626229,0.30968502537831394,0.9617176871434406,0.7383167333890271,0.2955585240763948,1.3250361856647728,0.14945675906533545,1.0453132041041595,0.4912924308778691,0.8124395330433909,0.7316230482016818,0.06587909907118507,1.0402156050783453,0.8008161092522545,0.28876206267260374,1.6802195921351042,0.9111235156366463
fra,1.200523098933881,0.35339135673884686,0.39181231696370394,0.9620691706029895,0.866875250975132,0.9688052102220247,11.657642440253218,0.4460058504253685,0.9464329891913826,0.7450854850872426,0.9754889682292023,0.7353499870058905,0.47160683531991354,1.778446767816627,0.18062780920990562,1.0596063393224675,0.5242348745849948,0.8429561940584512,0.8871886182295614,0.39893142850437857,1.195976736662888,0.5083091289298086,0.7181107371259008,1.554804736279294,0.6395205881006527
fuv,1.0433940183726775,0.4256195816332579,0.8216947030911643,0.9607485181254847,0.7146954468615906,0.7919723089510152,0.6446366454659672,11.786619649486859,0.5556891609174291,0.23597202591124558,0.9458175768792924,0.8342225786322517,0.21890436801448593,1.5628344951219773,0.17444673470361335,1.2039449679292311,0.3913142025610584,1.064723315397518,0.5028807605732343,0.09666086258072025,0.9231913734904089,1.0690187147664443,0.5170572564048369,2.385658910510964,0.4669857975292454
gul,0.9872005386586696,2.036248623042082,0.45398478190868696,1.459259095504462,1.2386139771094908,0.4092625557080845,1.984729198787099,0.9605511415166341,14.115758179961889,0.7460167435208599,1.5988873091326978,2.169368985147206,0.5971683257829999,1.0895466081805512,0.8980738289097946,3.6047107125057005,0.327396944750911,0.4623610330110179,0.535396990327463,0.27210792426055397,1.541987500150785,0.3299841174634603,2.0565631289590214,0.6842210415493742,1.9337231089029852
hat,3.4382179620292717,0.7894813154494953,0.7454101682165337,0.705477895262151,0.7192762998333018,0.9289442858039609,0.8982550414192804,0.6293208810249936,0.5789902277419471,11.880176697913768,0.6567501143131529,0.2521165182070712,0.6783750706112147,1.7282440890027913,0.3182988872260162,1.2189720193866487,1.2151801576691557,1.2458569577090133,0.8249649893918095,0.08565232305950816,1.1689895805556878,0.9284516052542652,1.1357030145372438,1.9840666766917214,1.0492792567537617
