,acf,bzj,cab,car,crs,djk,ewe,fas,fin,fon,fra,fuv,guc,gul,hat,ibo,icr,jam,kor,kri,ktu,mai,mfe,mlg,pap,pcm,por,sag,spa,sqi,srm,srn,swh,tam,tpi,twi,yom,yor,zul
acf,0.24264369200118274,0.0,0.0,0.02231715518797306,0.0,0.0,0.0,0.0,0.0,0.04946777123873436,0.04336629497698552,0.0,0.0,0.0,0.02879319688885207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003624338633398394,0.0,0.0,0.002966525637783768,0.052785735307120385,0.0,0.0,0.0,0.0,0.007130779175422708,0.0,0.0,0.0,0.06386520569973841,0.0,0.026632047276112125,0.0
bzj,0.007549107378983816,0.0,0.0015685236322837692,0.0,0.0,0.018181242460817204,0.012383927096768721,0.0,0.041669371792367293,0.07183522847842139,0.052525618214866565,0.0,0.0,0.11019317814100948,0.0012447473029095768,0.0,0.0063261685733402295,0.08711804179733385,0.0,0.0,0.0,0.0,0.002776865034643153,0.0,0.0,0.025747081966129404,0.0,0.0,0.0,0.03036796860444735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cab,0.02976712673004739,0.0,0.7516303669905757,0.0,0.0,0.0,0.0,0.004351043251374266,0.0,0.003527787039245056,0.0,0.0,0.028349123149101096,0.004630368652457889,0.0024897177793516967,0.018110371856376206,0.13010522290871807,0.0,0.011629546644002176,0.0,0.15221520418187517,0.0,0.0,0.0,0.0,0.015209465942939815,0.0,0.0,0.0,0.007224392608204067,0.0,0.0,0.0,0.0,0.0,0.023251577918756094,0.0,0.0,0.0
car,0.0,0.0,0.0,0.13966512282645294,0.0,0.0,0.0,7.227262146106139e-05,0.0,0.01488103903633653,0.0,0.0,0.0,0.0,0.0,0.02962408433263719,0.0,0.0,0.15879421582320585,0.0006895985530049886,0.0,0.0,0.0,0.0,0.0,0.00766570009863754,0.0464245877140812,0.0,0.0016532478810100115,0.0,0.0,0.0,0.0,0.0,1.0221767414650418e-05,0.0,0.0035256736259327015,0.003441133063044166,0.0
crs,0.0,0.0,0.04654279987357124,0.0,0.15662348328682296,0.0,0.014710268645605096,0.0040340560598715845,0.015504327106176996,0.03649817442273218,0.14699506598680756,0.0,0.02801860873391604,0.028644983671451962,0.0,0.04896840808491376,0.0,0.0,0.0,0.004559756660439562,0.028261792830199806,0.0,0.010151160025102302,0.0,0.0,0.016390590393799087,0.0,0.0,0.0,0.026444164697466466,0.0,0.0063778458346952505,0.0,0.0,0.0,0.0,0.0,0.011418549263826128,0.0
djk,0.004221559941810088,0.0,0.0,0.009658210073276052,0.0025014469069324155,0.03338714038631174,0.004953792454429395,0.0,0.034726862868629915,0.0,0.0,0.0,0.016513455221890183,0.053052187961742825,0.006356875811596052,0.0,0.03741207618676068,0.0,0.0,0.003101194789267764,0.0,0.0,0.0,0.0,0.01167575406154775,0.0,0.0,0.0,0.027588385159527884,0.011799316905287238,0.0,0.02827899203189843,0.004624401853895281,0.014521573729341375,0.0,0.0,0.01205885414442509,0.003534306913902885,0.0
ewe,0.0,0.0,0.0,0.0,0.0,0.0,0.21354611484036168,0.00505969399143566,0.019521442037271575,0.05339262407203804,0.0,0.0,0.028157742350163106,0.0,0.002489717865587382,0.0,0.2955691815408752,6.5922439375532e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6795776037656935e-05,0.06545478304565655,0.0,0.0,0.039449240299651356,0.0,0.0,0.0,0.0,0.0,0.015470571582822279,0.0,0.0,0.0
fas,0.0,0.0,0.0,0.0,0.0,0.0,0.015554830902445582,0.00851227602285725,0.0,0.07773784184893523,0.0,0.0,0.0,0.00044223736726645146,0.0,0.0,0.023912539827081192,0.0,0.0,0.0,0.04340135165465764,0.0,0.0,0.039999095904682536,0.2177879036894801,0.026376569890566692,0.0,0.0,0.0,0.0,0.0,0.07622682632938793,0.0,0.0,0.0,0.0,0.04115619187721098,0.0,0.0
fin,0.025565447015081205,0.0,0.0,0.0,0.0,0.10327845997883545,0.0,0.0,0.6182233467942737,0.035893125794169034,0.055802512350471734,0.0006279022412395557,0.0,0.0,0.001244784503422136,0.0,0.01317558106512795,0.0,0.0,0.0038346954729325256,0.07528548065577034,0.0,0.0,0.0,0.0,0.02041897455065067,0.006949149987449776,0.0,0.026238403411160627,0.12099158516268393,0.0,0.0,0.0,0.0,0.0,0.07095956022904071,0.0,0.00915533829269255,0.0
fon,0.0,0.0,0.0,0.0005903033162610871,0.0,0.0,0.0,0.0,0.03968593222959038,0.004155030186760639,0.04233437686304731,0.0,0.0,0.010159986593758469,0.0,0.0,0.024566008440556786,0.018406003842542207,0.0,0.0012250974304928997,0.0,0.0,0.0,0.014030016740520956,0.016682837890501956,0.014501141721336097,0.0,0.0,0.023327489093136533,0.0,0.0,0.012808766647907088,0.0,0.0,0.0,0.04222475478752097,0.017805172540990455,0.019575712696347614,0.0
