,acf,bzj,cab,djk,ewe,fin,fra,fuv,gul,hat,ibo,icr,jam,kor,kri,mai,mfe,mlg,por,sag,spa,srm,srn,tam,tpi
acf,3.4387299022772613,0.6145186739441642,1.7585011605426304,0.026260082337754512,2.8944073471338614,2.766339522997115,0.740906866568509,0.0006433615383031725,0.5500021017681904,3.586244408437253,0.026358643394425164,0.009694846445343349,6.76932633027503,1.4101564526751262,1.0240158195397313,0.0,0.7184565176510536,2.6994014271964675,2.223952368962453,0.0032278556193092904,0.0,3.9086880483291626,0.08754801330952626,1.1970981093902207,1.7094433360732582
bzj,0.35905542988519196,1.308497703092034,1.7452906908940204,0.06818739436101874,3.663740751557873,1.0185888825676432,0.853372785198745,0.0006433615383031725,0.5549448397891238,3.5146195174419055,0.28833751697182686,0.8526733419615514,6.787548777377515,1.4104938833950649,1.0087326401749142,0.0,0.40357694720569803,2.414541287069433,2.2343517850178367,0.0032278556193092904,0.0,3.423634564913879,0.09975299009406446,1.2042971592552818,1.7032339148936033
cab,0.3513617361296988,0.6145186739441642,2.22071426382176,0.013599498236185491,4.175663392338714,2.121211418093869,0.473824210022733,0.0006433615383031725,0.1580770727149422,2.924170605560995,0.10194397918051451,0.02322852527411816,6.758508651206972,0.946001094044533,0.9977977327837997,0.0,0.27797989727880484,0.40568094036702046,2.2380308488390335,0.0032278556193092904,0.0,2.981554139901846,0.3660518146984617,1.1735215353337922,1.7855466045254225
djk,0.33018964994160627,0.7323362773945223,1.7433049975932904,1.173876260920555,2.9475733485744646,1.3151506316901476,0.7848211906817517,0.0006433615383031725,0.6442527603771299,3.6621360543098405,0.05303656558913155,0.02669341511767281,6.7660294871836015,1.603504514703868,1.0146035995096931,0.0,1.6137358566334254,2.3179907521138285,2.223133480344495,0.0032278556193092904,0.0,3.356986815000705,0.7640936081683168,1.1315691305756987,1.5835799701832445
ewe,0.11810871034583457,0.6145186739441642,1.7590987528756727,0.009689848653840242,2.7182207209759603,3.0964590890322423,1.3148877282230484,0.0006433615383031725,0.2118839817044649,3.724211190310352,0.10842098675762181,0.009694846445343349,6.752443899245003,0.3412153251638375,0.9878110446062217,0.0,0.9705414087710279,2.189569951107652,2.224013490832165,0.0032278556193092904,0.0,3.804510591668179,0.24151504155077208,1.2205826046881747,1.4436849012949167
fin,0.14198249170386631,0.6145186739441642,1.75531064509114,0.01670998584601122,3.8972262228171592,2.5906878800910453,1.0987722967118707,0.0006433615383031725,0.22261202335723054,3.6740293029192816,0.03656059991994297,0.025816264315061285,6.756416152535246,0.8102552411575046,0.9998849728852593,0.0,0.3912616117064293,1.691274319304092,2.221693429716178,0.00516559609687559,0.0,3.2140476725424576,0.6543091744210824,1.5284835452936387,1.6144322988920798
fra,0.5468466631928495,0.7468089977289172,1.7324030604637362,0.025944403736825505,3.173880737405,0.7596482670472787,3.5203795348149587,0.0006433615383031725,0.6549626955640224,3.7582310607022293,0.0354779842036135,0.009694846445343349,6.758294475418556,0.34883940370804983,1.0292157810731621,0.0,0.4240452979676287,2.5575534877789226,2.224855539235833,0.0051656427932180275,0.0,3.1659999098441665,0.6645522077046528,1.4946538935851783,1.7281502622634863
fuv,0.13785151271488552,0.6565496170878112,1.7539387545778944,0.05811255793301656,3.642856156355792,1.9851376853625382,0.80116435038276,0.142124335678289,0.6493159933697972,3.5846691337273526,0.12015491715995158,0.028433535998418653,6.769668665863003,1.526472044211973,1.049975800980917,0.0,1.0525402693694261,2.428064182674432,2.2175807073897444,0.0032278556193092904,0.0,3.648580589594756,0.17591937996771137,1.4091454133814136,1.672266109501524
gul,0.07585833465741108,0.8946490089259052,1.7585011605426304,0.018031500405611904,3.1840797824780056,2.2965399056826805,1.4841753885771833,0.0006433615383031725,1.9622138089500658,3.4755611658951446,0.07212129338185094,0.0419606918976535,6.772388291543814,1.6955620079481637,0.9139936086199247,0.0,0.5497194630691187,2.3000788709116757,2.2355276420008092,0.0032278556193092904,0.0,3.6069720446204414,0.04037000235501311,1.144926545456912,1.5398116800425752
hat,0.9905981914481445,0.6309827352528269,1.7467049091947957,0.03198251792172304,3.449259396434226,2.164459718739202,1.0134360598620182,0.0006433615383031725,0.5160808757261829,3.8101781275711852,0.08305279241239834,0.010982312304627121,6.753369637193271,0.09895043315271385,0.9671706719911577,0.0,1.0925907504612815,2.7140315703648854,2.2289883350432813,0.0032278556193092904,0.0,3.808365632186539,0.4242665574470613,1.0399924138363255,1.7587897051093537
ibo,0.252358648505075,0.6160369914317375,1.7473606003500473,0.021161084468846247,3.2768170992941887,2.2781899149071987,0.6220565022469562,0.0006433615383031725,0.34134079312168714,3.6354319499901555,1.3451402121299436,0.017456671044479177,6.75472652852748,0.07844939408070419,0.9003562803963545,0.0,0.9410669119705485,2.289957280524612,2.214213224041382,0.0032278556193092904,0.0,3.2883935002510327,0.4703395731242112,1.1444503526193168,1.6226985712714441
icr,0.37441867847134225,0.824080157521281,1.7434017371426973,0.0425853575713308,3.789133830111867,1.669134821192607,0.8092289413533177,0.0006433615383031725,0.5076138915900523,3.525482274158074,0.2103529104156967,2.557547808895365,6.798710956750825,1.6836084096126653,0.9613423781330429,0.0,0.5042382205478336,2.369870984804083,2.216882337967281,0.0032278556193092904,0.0,3.3896839093512465,0.14498778151828545,1.144305863907083,1.4401878876297989
