,acf,bzj,cab,djk,ewe,fin,fra,fuv,gul,hat,ibo,icr,jam,kor,kri,mai,mfe,mlg,por,sag,spa,srm,srn,tam,tpi
acf,0.2679764139959397,0.014352343949306982,0.007916175520335581,0.011461101098011144,0.017465870062102033,0.02228451878724377,0.029432826683621197,0.017145572566859543,0.01369190413121034,0.03553822853840014,0.015629539320097988,0.09144021610464191,0.00800129525750082,0.16573064282465438,0.012195830355419502,0.060652540333351525,0.011953821870587638,0.017622356440715924,0.01280563405398582,0.0920160784653672,0.033094796109466695,0.014421960019617715,0.011197222705864596,0.22410257691540889,0.02423127599466064
bzj,0.0891638583380511,0.13755235875836241,0.014156308727167088,0.016210826880250828,0.036416277237958705,0.017067197443465954,0.03601907423944448,0.028044906101391084,0.07709986080008738,0.028991904813370096,0.017365647637048273,0.04204395975703664,0.07891555820127293,0.11560150420976077,0.06659652542272354,0.1112183452822653,0.010343290380274348,0.019418827800705408,0.02081761299002356,0.10602136556814984,0.023540596030900522,0.026858106936958025,0.011553518447801142,0.2158884340741095,0.012149588598047677
cab,0.0836183265951324,0.008056825311295517,0.40356660208394374,0.010928875448993345,0.011428700443201635,0.019811568775647426,0.030280649053170787,0.011714056257495355,0.007234458892196933,0.023565396846735826,0.06816038673046275,0.1139270865525773,0.007026429064635834,0.11963800828864109,0.0126693801388114,0.010190950666349593,0.006107236579605208,0.02069836912195459,0.06390681968099414,0.1302196173600556,0.020335999218908787,0.0172526811741275,0.006884812984054526,0.18547368110677226,0.012718594871217952
djk,0.010736138985218444,0.008250683862235018,0.008837211991906712,0.02868613941426591,0.034556861435039436,0.01697166186680977,0.0223143778690566,0.029981442341849667,0.012311461379108995,0.012698109627571973,0.05298488942544337,0.09629974507313778,0.014786494984106708,0.007447316771758417,0.03635581419934521,0.08828580733872159,0.012926021585116179,0.026186117767872708,0.03135524605296446,0.03385750427449317,0.05317276400418931,0.023669615550521494,0.017849729196484778,0.21211794846392107,0.020317518436246712
ewe,0.05831277439143823,0.011466787709612233,0.007838330114593938,0.014319471145766363,0.29652608296698557,0.022882212052521916,0.025468100040262957,0.02714876769026967,0.011992851761722944,0.027831167918690593,0.0149942330649596,0.0728964972564772,0.013780602394188475,0.05148860469017833,0.03584116523474625,0.15942313516177686,0.006321271143077468,0.013482434423185648,0.019830550610699934,0.01495169765398863,0.033299706713681244,0.018209786671994327,0.014988049283771527,0.2111986417131707,0.013909151886382037
fin,0.0824609912820928,0.008266447172075836,0.00787984146716708,0.019587380825255195,0.026372006250794906,0.6807437721821499,0.043035943768614755,0.019068352085189925,0.01218948164324738,0.0157934484980148,0.019784037695867854,0.050955227946489066,0.007873224073698889,0.04948659337330722,0.01404681367925107,0.01147603703307294,0.01098593535542567,0.018679700580517825,0.019568977209612287,0.1008738814523932,0.03693277229729392,0.01842785444870229,0.010816873575451398,0.19571759563855706,0.007312381577199631
fra,0.03141514254297521,0.01723927950708792,0.013792352942754616,0.012599578695708052,0.025267666700277205,0.02216365037859252,1.1859908665325474,0.056411590428731756,0.024827475735507296,0.022777284156414463,0.016287745515913044,0.06477157846965065,0.008629216861991858,0.11530193563775928,0.013698809542587193,0.20237300777297224,0.015498616919561743,0.015596116123257946,0.020778601783484153,0.08781739363093108,0.02631940263632327,0.018132637189774405,0.010716455407789566,0.16158624718230064,0.012387147074456551
fuv,0.04519699979557559,0.014817242394936266,0.007962355284839904,0.02189028835065031,0.013205041196738366,0.03709688906828686,0.03508227511553632,0.46254117394769517,0.01189292453717006,0.014431516325575454,0.04812095735779348,0.09362780147125006,0.014527438929704992,0.18548787764053828,0.013820511963940197,0.15974961689274564,0.006352937540258476,0.014175625441717266,0.02944485500637958,0.12410481040983662,0.04028312027865483,0.016828337093021926,0.011396262536467007,0.2267020604280401,0.01916042259554142
gul,0.06803472300761089,0.012418036150476194,0.007816365239164498,0.010911600323617378,0.04156698094434469,0.02074315997352918,0.044115941699652446,0.024333231753759454,0.35006025383554285,0.0183658296492259,0.027712622027976894,0.0802955703487412,0.009721701180214678,0.012736785645206977,0.05243427505898034,0.14297594595244648,0.010817339894063851,0.013924664698740983,0.027162070372676032,0.11645324364738227,0.04434976230791581,0.016477684204473823,0.011437774970475344,0.22092049577973633,0.01957980413215707
hat,0.06890520604116827,0.0072954273208282825,0.01394684180596951,0.017799030599234884,0.024325556710538643,0.022367790414068667,0.03834246885114588,0.028700423344414222,0.012153326539295612,0.24111545935380627,0.04123569007589103,0.11777727034019574,0.017146776089512792,0.10789871325811246,0.012139701455636117,0.15330287794318037,0.05902634589947167,0.028711707050727297,0.014585907268729504,0.07958841505301512,0.021327139198462842,0.01654172171777847,0.006923472124870172,0.1858368391150576,0.020837555621219174
ibo,0.03707042114254081,0.015905374542511258,0.007738753847351139,0.021703578317962977,0.02359082634058817,0.019232954540052558,0.03460596413945291,0.01587042469005713,0.018944779505369706,0.012463289360194928,0.4406911140332628,0.07810219271857688,0.01087442692533642,0.16401044626774053,0.0740796559975587,0.054255871061886035,0.006442730733836455,0.02821703060849225,0.015971623777912284,0.040213307444329154,0.02899393694898759,0.03000587955585441,0.026219043720480718,0.19868802835508348,0.007267502304654227
icr,0.09933089508690215,0.05310299129227458,0.008698500389680798,0.01874484726906258,0.04303146007629147,0.01423996073237575,0.03512585315493713,0.02427377391121495,0.05475941002620073,0.01629800406958443,0.017532664600938636,0.07179214469035007,0.08703349221914664,0.15502679540367117,0.06589101735633246,0.10594120404387679,0.013850639310502386,0.01675311215364716,0.02025439737007158,0.1050531608598879,0.03776373124637828,0.015561882674997241,0.011578121464760983,0.21471477654081675,0.012253406096293794
jam,0.030213706912509766,0.06620429382761255,0.008218687308395343,0.007311764701415762,0.00834623000818557,0.016421388954589975,0.02663376928323747,0.02999435697241074,0.017420302250737606,0.014923025207972881,0.01591924069866428,0.060154962126901225,0.34103974990063984,0.01354074749822342,0.0184751160995704,0.17286659572816496,0.011022561278916009,0.016518407574430165,0.019286066557470997,0.1537719425745393,0.033881234298715056,0.022108897525325417,0.01419735390818295,0.20911448107590427,0.022018059418038135
kor,0.030296613265831784,0.028661781817821693,0.01661293598376842,0.02619822826418186,0.00882992590171911,0.019094875022324594,0.011483390052097846,0.05323831267506045,0.011047116873786416,0.0325305549075591,0.040025246317518984,0.006624651664696018,0.015535921485330619,0.4374498165787486,0.06917780703449472,0.02319978145113608,0.018839223165171812,0.0069548778157993325,0.03518043416798058,0.015516854678459598,0.07819846673017423,0.009295823275655092,0.007208133326008093,0.14520489192130906,0.03899094126368477
kri,0.11254729376064233,0.014717912660012518,0.008038926463782034,0.013706165790106266,0.01737804566506238,0.017208406498185048,0.023937577453789154,0.05965210699017751,0.007295964623880119,0.022475886187175748,0.008135974867018753,0.0719292035248475,0.02151054207751787,0.013576123314642582,0.09397724860100284,0.16675809845468298,0.006843958020104649,0.03492616348563865,0.018976199951363428,0.07070533425382927,0.020669063376858338,0.022253551790807465,0.013605724881297436,0.2172699817285778,0.019922462403743197
mai,0.019846025378722643,0.01460188357843534,0.007663725151870517,0.024539387518240162,0.013458857287174596,0.017110074092518784,0.01291231114564636,0.04141795944354362,0.010627320038605512,0.0201463439460448,0.020812589833799692,0.016245987569134784,0.008912957106095666,0.06312786322511757,0.038763767884870466,0.23630982803851652,0.007728909859344366,0.006834296988546149,0.017588841923523255,0.00764721821246404,0.0406566329873129,0.009383501605081286,0.017721166730641814,0.21481878241411723,0.026984104269107693
mfe,0.04007079879094029,0.007440313801171353,0.014405319779595794,0.018311430703252102,0.014451479616539037,0.015746965371555375,0.03974207049234844,0.029406577321731686,0.015282921834184298,0.01831328557962766,0.038008543783602786,0.035445755176630366,0.01002333280028288,0.11407888273591317,0.023689895653024724,0.12145774627507815,0.7199897218458076,0.00784583961619425,0.013081752220139952,0.11387909262828329,0.0374242377455037,0.018587986250108077,0.006716310743488331,0.26413092436404584,0.02108853807307665
mlg,0.04269957123054643,0.007609882988223443,0.007854621475848271,0.021811217426744762,0.019126500449603068,0.05664716789980668,0.026456071337088542,0.02300336461291081,0.01760771579098991,0.013519229087781526,0.02762547975992516,0.0940192146094178,0.0206156730043883,0.18848374339629984,0.011935488838202123,0.020793660409465748,0.012300619432074172,0.310972996955682,0.013358241525094171,0.11589156617213854,0.031563202853385375,0.018061880578510298,0.019344448273165987,0.17361686916871988,0.0065820678357904495
por,0.039622351616172155,0.007191731195827001,0.01358943309403029,0.017684924619062153,0.029857006748251418,0.02051462047559327,0.06732292739270564,0.022161528752950157,0.01272547343982494,0.016203679016266438,0.018632038020455814,0.05130258511743075,0.012263382595747507,0.08622162895873438,0.013129979068616794,0.08385948000844154,0.01061605004821725,0.029065570117301095,0.9616845312010683,0.12034744852975686,0.06199717353684704,0.015148205806289596,0.013064221172862748,0.2008240535882661,0.011800898062226573
