,acf,bzj,cab,car,crs,djk,ewe,fas,fin,fon,fra,fuv,guc,gul,hat,ibo,icr,jam,kor,kri,ktu,mai,mfe,mlg,pap,pcm,por,sag,spa,sqi,srm,srn,swh,tam,tpi,twi,yom,yor,zul
acf,8.406740470145927,6.691175487215201,3.9530831033566938,7.631302854089066,1.7281714307855027,5.317702621307182,8.524006606329607,7.177494565251215,9.089507254988169,6.352375079158924,6.947582809951329,7.347520911492286,6.9237959287671185,3.8238266290155734,6.8339072349851,4.982520076227532,5.182376560081813,5.343454645122591,4.988985109398623,1.3440103786261017,4.755823143715479,4.899538908376729,7.054889391787687,6.116101632281937,0.0,5.778578218112402,6.76779445562326,2.5222141790912915,6.268298442668837,7.965783813972188,1.710855563318616,8.966065633413454,6.133771262925876,4.938162460705285,6.9399567991210125,5.51264768639008,6.991790413817206,3.3744712834600445,9.3780615455294
bzj,8.794041775880075,5.830800291572398,5.07447046483801,8.363985605846448,3.343408806952374,5.795720404714553,6.5034313912741535,6.838262755064774,9.334244869398887,5.9751722573419865,6.620254968338456,9.411856986357757,5.284149130700171,3.1641950482293515,6.987838775615633,5.524128319008948,4.92711423203135,6.5107470314570675,4.988114735916613,2.265807730135623,5.36023573662271,4.963006775546794,5.999706299670351,6.950786017545488,0.0,5.362280353688197,5.92888727599988,2.5222141790912915,7.179466301122156,9.055698546914606,2.213918744432964,8.744908483382076,4.225818121673346,4.891606077527837,8.000816705825464,7.387717690171485,6.32423375403939,4.745635962999587,9.368433062136493
cab,7.557285425747202,6.6789226293285955,8.307132306094669,7.794556305929036,1.5056110435133572,5.307860480563564,8.124640082248018,7.57705680088739,9.392167916168102,6.091157547248081,6.697779417313421,8.309186196142742,3.953207767908331,5.129825179843027,4.039198075459256,4.827581109605166,4.362140661279412,5.063260377484258,4.705016400378633,1.1603332131024882,4.910294968760644,5.086120539125692,6.314668195031994,5.518490862624188,0.0,5.658857177920385,4.47111418842924,2.5222141790912915,6.502776271323802,9.032517040763743,1.3715384949274516,7.292106724764137,7.363214525945598,4.305331361842869,7.549673363539723,7.892718204275946,9.435625277510304,3.234026075900557,9.953915023463141
car,6.079266729773772,5.675641838512842,5.962712128411613,7.798943691534481,1.1954892504163173,4.903324322883776,8.516770763160352,5.858485040029439,9.059877032678662,7.221804187320561,8.471698612286342,6.998466538166453,7.084103227078538,4.960646316502252,4.368624982013915,3.9321783476889416,4.3660708158272765,5.496950907380332,4.872550517328021,2.007052855719848,5.6258827372688645,5.1955351479668614,7.09323311450394,6.636437240181436,0.0,5.161385366163,6.192093599886954,2.5222141790912915,7.3986219766950665,7.14774132620911,3.2194069504687493,5.795955413559536,8.186699745570495,4.383878091108668,4.168151178093334,5.555340867424699,7.016250433977729,4.188868592680621,9.609473503295925
crs,8.697326401484148,6.8143534498843845,4.558249625840515,7.269615436685379,8.274516199147184,5.065899162788118,9.173318492850079,7.293840166980024,9.669694434374179,6.747287038029827,7.562783746586205,7.810331062021706,6.603419978710519,3.8126976843048728,7.2478190019797815,5.16788520598147,4.817323030501496,5.825010545501239,4.865466714858488,1.333598644211245,4.818071592062676,5.174343218290957,7.806087445752068,6.0502245737286495,0.0,5.537388442086984,6.177276722996422,2.5222141790912915,7.072628445511049,7.070031527456368,1.437316029748175,9.233135817518999,6.269668139189139,5.145522472202241,6.969474633676147,7.398688142395929,7.461080795178041,3.20470403203507,9.945809456379507
djk,8.550467226675462,6.502548267301369,5.0292631108025185,6.889763077524499,3.463936425292941,5.019360429409716,7.874778647247728,6.756775978517202,10.141394667394025,6.555248095282697,7.187225956224111,9.160450921918013,5.653040869993564,4.967984109130763,3.6827700747817946,5.499905388596685,5.598621144726652,6.872141294285296,5.005811190573235,0.9892791111783943,4.394996179128682,4.883646665893053,5.808611234375043,6.268846392340385,0.0,5.390322952742283,6.299907886386594,2.5222141790912915,6.795914380270715,8.592920767388986,2.4379242798651073,6.7605073526835575,4.616869666413672,4.676605757349051,6.748029458741221,7.340021148261798,9.09017092693578,3.520800415677145,9.843754059164143
ewe,8.582528155948548,6.12052971286765,5.518467672264262,6.969794856768467,1.5767020450909317,5.5963283085355,6.729385048801796,6.947070398986386,9.140018596702232,5.876236491045514,5.338766728299095,9.578616742292056,4.829680425455679,4.820597270736411,2.5765237260694525,4.404819112555057,4.975871559746116,6.556210899867477,4.851776315156564,1.6405154371912014,4.845571792184673,5.077108475401091,6.186751391122034,6.48853450062143,0.0,5.320127581282522,6.327126294714609,2.5222141790912915,6.106794106989127,10.348504835338305,2.1498525280757663,8.716592404094595,6.663374291924437,4.706467299019767,8.199658048361954,8.202127160549923,7.841230185389095,4.049724181088448,9.167957010846216
fas,8.142149280112877,6.432156095962979,7.188859085181874,7.279954776347661,1.965072066757057,5.808738794100999,5.645493900090166,9.124552544447909,8.830843492694116,5.873675217595455,4.388247981165544,5.314508802571774,6.109715128888309,4.7595891196013085,5.676090981805813,5.517407166932336,3.82299882326174,2.5222141790912915,3.9277016700608987,1.3010200199585131,6.273218588293929,4.911946884030728,6.205384737247593,8.066497134691922,0.008917110151672,6.3433577840322535,7.0262684463315255,2.5222141790912915,3.2313577874448227,4.903182539413182,2.911473423739221,4.364053444586596,4.919425768015856,5.612362422427155,6.631604113647679,5.505489261455224,8.215815904879115,2.463382702189731,9.739651741541651
fin,8.56756353189027,6.248458480359054,4.244999534613482,7.809135031813049,1.5961720009786236,5.542325994972419,7.161226606028337,7.879522002544526,10.064911954830047,6.597592402306046,6.958312177043897,7.289244011025936,7.0989823128113665,3.9948548074386983,4.801993932589709,5.8227915808171975,5.194466031522689,6.531645591004541,4.520161855859853,1.1500373968619484,5.0856902328202045,5.134253195573572,6.088714612588147,5.138877815796972,0.0,6.09647070098565,5.732204221436492,2.5222141790912915,6.32162746435379,8.745942746236336,1.5097343488665307,9.39558449289615,7.200015965155172,4.15984700220236,6.484682292258043,7.223395239559034,8.354461746016014,4.101085449454548,9.149310470112013
fon,8.162589361307461,6.197563099663899,5.99970038497457,6.978394614137934,1.4271053231413016,5.653998461385394,7.9192960551143425,6.807051547535192,10.071040602209738,6.900080784851989,6.020100201962061,7.143850320876857,6.6489572083037185,3.2925520053632895,7.1926020571188145,3.6989999712442274,5.11507802825712,6.622564377278406,5.1425711040778355,2.1667190947536907,5.137502496192067,4.8926198061079855,5.209515894995874,6.401609056721795,0.0,5.3538093259337085,7.02793694612211,2.5222141790912915,4.5303902739980115,7.859021013238958,3.2159595732654758,7.814276591338881,5.379795244681983,7.848071458135587,7.208763984349647,6.1232717464111035,6.876052097104671,4.658301548650826,9.743538707664914
