,acf,bzj,cab,djk,ewe,fin,fra,fuv,gul,hat,ibo,icr,jam,kor,kri,mai,mfe,mlg,por,sag,spa,srm,srn,tam,tpi
acf,15.505202948681864,4.640650634143001,8.955500151983378,6.791330059195181,6.639431135484672,10.788118576447982,9.933369208162349,7.396049715262724,8.003020052834023,6.303758009957903,8.193168229577628,4.049825960598566,5.017974396023848,6.73629678441567,4.389634639038439,5.197154362746755,6.268456603921035,8.557170080607241,8.37058300763765,2.4732689812140163,4.7828437494128035,5.395261796576965,5.176558186318687,10.755061870737368,4.681120537344722
bzj,7.532658800860012,15.75824044117556,7.3404228727113345,10.389124253694401,5.437678115682014,8.971573080645578,9.329462575926097,8.467510793410252,7.787651748080536,4.0506078425933705,8.55930468988798,10.124019657176179,8.859776818279915,6.72681104522325,4.423989838129866,5.40426074741363,11.365211760103614,10.013956884338594,7.84257973996858,3.143618414064455,5.572372458965859,6.721642367960746,3.589814818140167,10.829791183319681,7.207018740924581
cab,5.313992782863805,6.991758933832928,19.15607509953821,10.915153549995036,3.645125362282674,9.353839457585789,9.595075947195356,6.895767981166356,6.951183881359663,5.509746937608244,8.391151393100838,2.389529065789109,3.46700386584168,6.383053127912253,3.5947093998270128,5.557995339307384,9.509764005295503,5.855035670130863,8.245385871609356,3.191331805675942,8.14085268942953,4.720373306739043,5.121297635357984,10.632897769809516,4.485411088967791
djk,7.554510997124139,8.043818935629028,8.656655246232177,13.543144156156867,5.4771141308794675,8.620732799628472,9.557485174760007,7.435628158350379,7.419778856401242,6.899234497994351,7.960465522121391,6.3696503991252955,6.075974618332715,6.961426212505724,5.848351758028273,5.100524774478075,10.489538945590214,10.168216635819878,8.111233301058855,4.488974100416096,4.295416301794042,7.974895770735797,7.450042104301652,10.233101032635739,6.645739804079972
ewe,7.732735544255165,6.443918073655966,8.427521583419509,8.034227938804676,15.20521875592133,9.00207578424062,9.390438770535866,7.4644858481625995,7.273929812388865,4.762338009154928,8.221889405440223,3.241089905650189,4.586814282407565,6.768385445580993,3.0959231906832745,5.377245320692996,7.544689337940181,8.384867347308681,7.6089524025199955,4.003544048516822,5.848431990356676,5.902297037644517,4.90802903501504,10.983047974567251,4.244851563440506
fin,6.666132627282708,6.52815124300785,8.15088571199862,6.8156230178172965,4.590693772055139,19.68559615429621,9.020886102191376,6.170283571044259,6.616930612958834,5.7977444735224735,7.553825031764387,2.53777307643698,2.9370032618842243,6.378568316819086,3.846689884006291,6.138967452092096,8.451071605023596,8.016860399362175,7.087290149172601,2.554801705836005,4.074069656470644,4.790455092499758,4.505842062970293,10.679965105269511,4.030177040884874
fra,7.227123226978296,6.235367242982321,7.187589269813318,9.461339450142248,6.779631242354676,9.168427705269046,25.747964943974683,5.946752906309979,8.276979599972867,5.590507977394367,7.9268462775048,4.732909161015886,3.5267201737924934,6.408510269538486,4.601135711814897,5.89161313026568,7.8835819921420285,9.486699021366544,9.279366203698558,2.137141435946531,10.589601227854132,4.773505467261958,5.376030618449297,9.834483743942151,3.3273922953240387
fuv,7.0484253015663185,6.296706524028098,8.92684944944616,9.157488924444122,5.058841521104957,9.256813278631245,9.353155247860029,18.68924975957826,5.919989159971766,5.599966156816745,6.5683542855523385,3.5245033695216934,5.0754376643546415,6.143773683775006,2.8411576955353417,6.68076179645562,8.344824122629127,9.402098073238685,6.84057338040924,4.601989596166897,5.856028186210342,5.148871674733275,4.15254275414655,9.580103160513533,5.111702177009254
gul,7.616774396404626,7.706142942024079,7.228752046311531,8.845147064009875,5.531860575134989,8.270769243031925,9.807305980188797,6.376687363930977,16.75220043027258,6.091752742125538,8.53247196029005,5.0296785016438195,6.488244930482602,7.0251985140407776,5.621340793042436,5.403588415422408,10.242197880419655,10.197205125608036,8.055879984713489,3.302477583484855,5.7493248029945,5.799993867071277,5.596977225830759,10.939728303130531,6.968964476339884
hat,9.865028464615763,4.417038572541451,8.51955594931157,6.379557293728977,3.710720866920711,10.017009530797255,10.481285964516205,7.6498379067490045,8.165018350392362,18.579092082225962,8.467008872845662,2.8909675447649663,4.60015272777018,6.810311693129463,6.301981398611457,6.013103316137886,8.356782228498183,8.908890558960687,8.355427975990555,3.3460377218660917,6.476414023942547,4.916507242304961,5.966000179355905,11.149267850944577,4.8329186582212
