,acf,bzj,cab,djk,ewe,fin,fra,fuv,gul,hat,ibo,icr,jam,kor,kri,mai,mfe,mlg,por,sag,spa,srm,srn,tam,tpi
acf,4.133421538581603,0.09004730125794543,0.2027066653555355,0.18177550056185093,0.1805113089360236,0.32842318737624987,0.1189496107739653,0.33399830010280357,0.1588380615188457,0.45014860901715525,0.724336471329016,0.07862027066482848,0.0894248246776459,0.06062330528630288,0.11966699699321935,0.19247971639275627,0.18489015707511336,0.19849471817137107,0.10724395671019397,0.09638409372297914,0.18786794045637054,0.21366047823438875,0.22386280529059505,0.24622112756748746,0.20021375590745916
bzj,0.2301370286171319,4.299887284957916,0.16278586703170422,0.25896687973864263,0.20109289739743422,0.27524507862557224,0.13109921136203323,0.4161583201346194,0.16514680589131933,0.19789868704930677,0.5918896980866595,0.7737313975930115,0.5463116783871761,0.04280434798743519,0.15128522161358415,0.12527052856752852,0.14614332670995867,0.11436322115569064,0.15464275379319256,0.1143825600148359,0.15303151501017737,0.261144331448331,0.1407296859791159,0.33810702952144106,0.12454514546285761
cab,0.10682779530291624,0.07073954778851835,6.901385657058773,0.42182904355544154,0.12067703482603125,0.2508232900498465,0.16016492542039928,0.3408834981216892,0.0994495352436303,0.12106575126694182,0.2890459308591514,0.028003180647356133,0.06275450402470142,0.09485943611552906,0.08966116673331098,0.12327481300773656,0.18906121515146182,0.042195685636836164,0.17434742329906194,0.1004432103838575,0.3127658545818858,0.18216771560925213,0.1641030535154226,0.24687234250724188,0.1759315942734657
djk,0.16242323304891448,0.15416559666819368,0.34494597891267853,2.8571215559836207,0.3936822113923178,0.22609601820807568,0.17817663608168555,0.43005825240107537,0.28313297745986404,0.16404494553221022,0.3526945627830559,0.20453144133119552,0.06618741649766444,0.042978385498913946,0.15537851800308886,0.11471648184023145,0.3540317440456956,0.10384538492756525,0.11879038299533559,0.1374555988112986,0.13570522870325305,0.3386915297664827,0.46846657956973964,0.226458750319779,0.15037257974099796
ewe,0.24778982887736828,0.13732000962891175,0.1624940327476411,0.235983968781499,3.8336289244630377,0.2514742077683394,0.140632738301388,0.35433678032729454,0.2429302485430019,0.15638665205555838,0.28965347178216344,0.1567298540564633,0.08115388567927609,0.04335894960537958,0.06368484071734978,0.1596417179654245,0.19671213668154475,0.06600800246293129,0.2720063662405617,0.17661529564187325,0.33297465172314483,0.22809225281275267,0.5528875764024199,0.20877485758369893,0.122035318002567
fin,0.11302537401468114,0.1329461853216355,0.48905793799577957,0.15906874354082767,0.19559979267833105,6.465361714438604,0.16637987610794644,0.33767750100250216,0.16710578175736243,0.1647991558426106,0.8293913978559243,0.06925204200617012,0.02830895050201977,0.10668337293412589,0.07120345987952108,0.23006539708848303,0.19874757683735272,0.17251151212749402,0.12724251568775466,0.10264621403244492,0.12332762880913008,0.14886206229235985,0.18984961837801817,0.15602723543335972,0.11831090688594265
fra,0.22824200837911016,0.08014885417869383,0.17099829803492547,0.3929208630242286,0.15312578150883996,0.2589633023716043,10.691692427701172,0.319921539181154,0.2689471811868041,0.23259158079572811,0.5365755175411969,0.12881048748075166,0.045708969068687245,0.06982921766388596,0.0966416872467001,0.24307482397971653,0.21490285520568048,0.1138151147607505,0.22918892766451468,0.21128134121201003,0.5373192707230011,0.23151426968939784,0.14448252982037035,0.33231614909862656,0.11676062179120648
fuv,0.16623038026276302,0.09129184405450343,0.25277499597338293,0.26135005991953375,0.12086968605638895,0.3248336140277484,0.12350228499850245,6.910950184210057,0.0836749733117663,0.20361390033942076,0.2078723147029219,0.10142078781402514,0.13384290574041238,0.08649408644196978,0.04822203891420631,0.1504958220328447,0.17656276469276944,0.10253395471669123,0.11906977271308289,0.11759028313101602,0.1418819700521571,0.2957941072485013,0.1336833608709677,0.23054577717919944,0.25050321172955403
gul,0.1538452661861349,0.24801573644412758,0.21016222409308372,0.33029949463946057,0.32689268826264617,0.5968633024030435,0.43319302487211947,0.1632670830843434,4.467355734185389,0.2579551235123177,0.730668866631444,0.41985297554917944,0.08725923281875979,0.061957838179650435,0.10045328864528387,0.11773113133307056,0.2698916284881505,0.23633817201633722,0.17925990029278277,0.27894415752710583,0.1459246272178404,0.25792563380215766,0.11118475637831238,0.33228410404606207,0.2439740390497678
hat,0.7142748381774814,0.09462936463529391,0.3161555783153943,0.1523801815436789,0.1001926914452429,0.2386978891620562,0.24626141956694308,0.3110874048668163,0.21751397246160964,5.130686352003919,0.4794311046557805,0.03538960413712523,0.13503149259952618,0.07479725852867573,0.10858964643955583,0.14050495889025647,0.3498581622506735,0.22003522987948734,0.1690575162980661,0.12568013383411558,0.14527611326841855,0.2043535286965423,0.2033407694594069,0.1662724916350183,0.1408602031169971
ibo,0.1317504717541942,0.185922614590684,0.22345510144560832,0.2961050552340309,0.1925480574014731,0.35283227957176366,0.2299949422724857,0.30566050071326034,0.37421567684662127,0.23958366477693518,9.09982200339211,0.18230718651389827,0.08137636588264593,0.08781048178675821,0.15668398262566668,0.13181682753290846,0.20886953437559364,0.15271740873576023,0.10384838183365064,0.12250630317405783,0.14531024647390198,0.21944350361159262,0.1147756347829705,0.34597963738969717,0.12864446453491402
icr,0.14282551213611336,0.44210336617654233,0.2608605447108525,0.26869203537948855,0.14526682902711266,0.501965366322316,0.34975723876262405,0.3945954988110161,0.3573290096639907,0.19763714838979873,0.607840713620148,5.055902502401333,0.562403934690595,0.06302140279402366,0.11809570751956804,0.18697609059874307,0.29108471463602975,0.25905705644955934,0.5752146058445136,0.11993231648369186,0.16222517201376016,0.4598239608872704,0.13695502390770667,0.34616906742844195,0.34068614003367265
jam,0.10045429225274786,0.6287001882921911,0.2065383818797632,0.3141544251654238,0.18644838850356515,0.23048382304750892,0.12859064844271778,0.29094369364724937,0.1948047072563573,0.2722132743768225,0.4279715080420156,0.9880683939321039,4.456562246888774,0.08016510763001496,0.22929097380893343,0.1341113502370047,0.2350640944204797,0.10817186941497056,0.12890308246300838,0.11231042684449374,0.11878940728269524,0.40571569217673914,0.17914271089387362,0.3364682651833541,0.4080535370931891
kor,0.2918055120017559,0.14146488322844342,0.2354897569356327,0.2596283171003937,0.08553003239856351,0.3110900079831771,0.06727083870202975,0.15185834824969774,0.41063390200615385,0.0665180804858174,0.26097352578978256,0.010991828049454859,0.07227840625855814,7.1188019898220105,0.05985642869162293,0.1187755521025344,0.14577967531326785,0.04660656352417724,0.15800565742029468,0.06991409526502983,0.05939452990847335,0.11681677143104993,0.14630466675301346,0.3121756588509804,0.22950145720078266
kri,0.21032612867330194,0.16469941604435273,0.17505149693960695,0.24762665685962557,0.14123366174417018,0.33523939832253985,0.07251703137389551,0.29054095892530957,0.27350261524031627,0.1446171904861196,0.21319275504684065,0.07394802898650953,0.14568189684570051,0.06027221230551047,3.712882107315197,0.1312293509100625,0.16832392859783682,0.10929872161427946,0.2200471700849972,0.10486811066880083,0.14119305925133843,0.24199763123735116,0.16868950458243556,0.29652713183319773,0.1213071260755026
mai,0.2845563873036752,0.12045655697342952,0.24018439926296783,0.25371254009181016,0.12687031363848258,0.3873336164024101,0.0703942186935079,0.1678595176749691,0.5070313093252378,0.061013162346354816,0.1762099646119344,0.007274650712174404,0.031755821339374074,0.07059764615262988,0.0414004047568142,6.810874893212968,0.1734295187551314,0.03310555942187369,0.11983265785655084,0.11067400192291366,0.04108695662258923,0.07995528073889621,0.15356313268729982,0.4202154256699934,0.15461316217780025
mfe,0.3835575030397414,0.10828278311436715,0.3876382103740019,0.20822585380692873,0.16628906073095465,0.5362483848876207,0.28097709152134315,0.3805544154001115,0.2642856972476233,0.27200663938713054,0.3647415756171887,0.11622591077853896,0.10583394023202583,0.07653020491338472,0.09368646267678879,0.11485326176720877,6.796487114102514,0.14615303768629698,0.15078594776883922,0.14074503402523042,0.12439745546341428,0.2263902910390359,0.24889206473318812,0.36554775540380235,0.10464293850245414
mlg,0.20347541925696952,0.10982052215208378,0.12970935058301092,0.31041537288303495,0.1681993494894362,0.525247773652577,0.38663143241070025,0.2971655374019305,0.16855060534845362,0.18275920116737063,0.6626034811796151,0.06962631451120488,0.09536880191451105,0.08620395366243133,0.06349772654301321,0.17378663885752427,0.17823212514517386,9.743568788431846,0.1456566860081943,0.15500504982922073,0.14516287059747915,0.35173921853577866,0.11098691463642557,0.17310660110511497,0.2687670456658993
por,0.1303639398849902,0.15933250271226157,0.19146653785706727,0.2857526748479907,0.10502528580402222,0.42210141646580285,0.4864223159386543,0.3149255019008898,0.23700598432403688,0.18102173301702357,0.5147478502215472,0.24828882243876166,0.06673869254053272,0.04507307246220636,0.08113268572862971,0.17837929419313747,0.21991537993713808,0.23955240875185102,5.525502566313591,0.11298955419023651,1.6357897178480014,0.29927980000985666,0.11930051975048334,0.33114213536714,0.10432038102924542
sag,0.14531957125435563,0.15885811246808246,0.3161447295162626,0.3529451507131615,0.2601453201866971,0.4345754367641582,1.9952512050875193,0.4506822707324749,0.28962539654021435,0.2659092700395665,0.6092395775213948,0.21332847565312205,0.0667566403297286,0.07826570750468567,0.13411258836424456,0.1576291625992841,0.4185866426586564,0.13899357990118238,0.15240874373462138,4.746294952005116,0.24469957029817477,0.22355237341833184,0.20360653173069687,0.22491863102326146,0.15869048233348998
spa,0.27870056805203036,0.11402956640709043,0.161327699421789,0.33582341825260364,0.12605336107828163,0.2504901612467529,0.28416146405107645,0.3841278968631426,0.18430134855166844,0.1686969605463218,0.2725086117266618,0.11222929531555498,0.05656805911588682,0.06819225041742924,0.08937028983412451,0.13627649976244793,0.19128880757458616,0.17639471913812366,0.7030875048559673,0.12770955376421317,7.813997522182991,0.19871985221629346,0.11946265914842912,0.19845086782310914,0.14085023195469157
srm,0.15335160401454845,0.12304019789175547,0.19586590771658413,0.4962424892024356,0.2966804777100649,0.33261380554926656,0.26480986973641735,0.33604410344484964,0.2941211379022008,0.1357308512366627,0.21656406217658056,0.06757790941116679,0.06518575119682542,0.041566819276952424,0.045881752139948384,0.10518575307933764,0.16197409347967845,0.1965551731560904,0.2605432841003986,0.1000008777331217,0.32500993863256217,3.2893832783477053,0.2453959698838257,0.18208422546239128,0.11017779444872063
srn,0.11681746685083086,0.15517418927946758,0.4635430073635124,0.6146266427419403,0.7254875912595877,0.5731575388260822,0.29018868525399083,0.3784540274862697,0.2619710279874397,0.3449500960700532,0.9841539351451112,0.2892554178949871,0.12416863826135903,0.04315811402915949,0.2232252895113578,0.11980294216754873,0.3073578316988553,0.23898531610722623,0.17944170381282118,0.19641480689230226,0.18579068123976827,0.27235375737913753,5.45083165003026,0.21809726105259386,0.15363217143557778
tam,0.23097616064160745,0.2634764831012179,0.25468209550597876,0.2663882504025106,0.08354095474643009,0.28654181559800773,0.06583275196995532,0.15639165533075375,0.42508004882032085,0.06529518844076006,0.2301022186567374,0.01004880744887676,0.08504313587016338,0.07728399172486768,0.04367214036632134,0.10956256085696606,0.13412108725401653,0.07062498678239003,0.1029867347086517,0.07362042058432992,0.08578366846522217,0.16411038301167885,0.15420517581728743,2.8044994346237395,0.23104382472011614
tpi,0.12668081864233938,0.16350321680487268,1.3933880642015732,0.08806514012572712,0.10066415783347524,0.37470189803303217,0.1442198759032414,0.19001379379686775,0.2808726493134659,0.21803039450103046,0.3335083712708791,0.15166037736642735,0.08984314523269858,0.04399841298705918,0.14101436747541443,0.11517275430796593,0.33958007964475273,0.11453837951420424,0.1177716459969546,0.13268101631711496,0.1254496551299841,0.21077361677388373,0.3417563354583558,0.3199321129886782,6.454226694341167
