,acf,bzj,cab,car,crs,djk,ewe,fas,fin,fon,fra,fuv,guc,gul,hat,ibo,icr,jam,kor,kri,ktu,mai,mfe,mlg,pap,pcm,por,sag,spa,sqi,srm,srn,swh,tam,tpi,twi,yom,yor,zul
acf,15.383161633185196,6.284478112601774,6.741652776936551,5.358534277331574,9.816491149951165,7.718257093143017,6.12399945327134,11.419510535981152,3.3693311297504955,5.023947335359917,9.347739347047538,9.315454996113772,6.4894812164251565,5.044355634680923,10.347045055691108,7.912156929101386,6.166518291428065,6.977167509684444,6.783528345521493,4.253849473079925,8.419074682407702,11.318162678328946,9.713125865273444,5.515994972823975,8.626337935618542,8.58026645601799,8.665677936162329,5.977542410313319,7.964620257900214,8.773906990973785,7.002332066742276,6.1676000655322865,3.6268153443405553,9.810834936768133,5.762225106246547,8.099242336718737,6.187580217919689,7.074394786949766,4.777212532403865
bzj,7.0211586531125745,19.29112844615201,7.411389820117321,5.44403505817012,8.113211024556927,10.090711141947619,5.212734463586918,11.292041351617488,2.6472539922983893,5.507583174997362,8.8174145370232,9.518395544124022,6.727632160277618,7.13214347010002,8.76599054416837,8.674736193719616,10.445287052633196,11.95752710874019,7.5578726166197026,8.648094805032896,8.12253117615221,11.589172746570572,8.374326701380037,6.6867632325558715,9.771379394146464,8.44415921284461,8.038906788126187,6.944743240672448,8.195953239078783,10.203235764892986,6.283048569645147,8.50382536382101,4.591446605100134,8.944716020658712,7.270359142141109,8.736018747871826,8.222746310049589,7.941274500266945,4.407343166018496
cab,6.331236467008516,3.273871027330904,15.650211617934923,4.387304477309848,7.481072372326428,7.74355091660357,5.236907300967774,11.106278832726804,2.9130588438434573,6.1301532383809505,7.209969976960716,8.845539773974176,6.452861045037851,3.1087233367582354,8.725594476733981,6.979108679499296,4.655980068233179,7.173063786015603,6.104168256312446,2.1735431818387934,7.322823669187679,12.968313473379045,7.543995129699706,6.203562637647526,7.709523648087712,4.272893373098999,8.440813978978166,5.221368461703895,6.206130690384858,7.942772478267251,5.141626320433181,6.803319453004675,7.62076796737509,8.339021732654238,5.981667599370666,8.430932166473234,6.128071496825462,7.378204481631472,4.633638313034807
car,6.815055113243429,3.345560979427641,5.859946080497469,12.703756209739034,6.587000465393099,6.713459874386859,4.40634007287937,10.060905767444224,4.492158948281252,4.5620547838286205,6.92866597316882,7.358412453825196,5.233272901671952,4.879822252700572,8.668144756856682,7.21714689201637,8.7016441494419,6.633964504048935,8.946155956465173,2.6534191162469374,6.933266047442264,11.727594309656919,8.238552294553603,6.566441673164163,8.516396713318999,8.207126173014156,8.84451696090814,5.294326264708015,6.486260735521237,8.907943697272476,4.6370383308239145,7.969680684967649,1.3677622445133055,9.98791029318306,6.814614184459231,9.49201466335142,6.471632099811502,8.452171448545872,4.263050772314463
crs,7.003488427643536,4.964015023537577,6.376697635569291,6.749580122739281,21.912035562199,7.7605507087802215,4.538564287099094,11.69399890091622,5.7249036544414995,6.460272844549232,10.114783939214586,10.024257375021167,4.677720138637525,5.586182192199612,10.139875966486548,8.01534875029281,6.78150024958579,9.247497481726828,6.960644635464576,6.820093721544847,9.447851786418461,11.744455065720224,14.23685894731669,4.663786741307709,9.817487284696602,7.05831696180966,8.553268602925526,7.628069144297848,8.925519326799071,11.394499386081714,7.16170457960147,7.504091021024097,4.3432592823651435,8.450876393091729,5.670762098725739,7.306884603307565,8.143218816305096,7.567216921694723,4.589560268030653
djk,7.166855988388729,5.283400113559465,6.115452735366863,4.786946968257375,8.798233946237191,16.539364053130733,5.952861266390079,11.746119006395892,6.503555671657471,6.306792098275468,8.106149335707045,8.579905486917044,7.885311532162266,6.251949881438914,9.062404077309088,8.12559818601224,6.07576033309133,9.61448936715433,7.535987569207553,7.34204094762088,9.64597575024511,12.659364335905751,8.323215250628763,5.138001658916602,8.440636142130224,7.310127919979339,7.998340234835428,7.819261783408195,8.603122034932708,10.164450351801198,8.107478813340622,9.702619271029853,5.235929488867668,8.531261177306316,7.315207926064442,7.9397315399935176,7.697814963595276,7.407118027908552,4.911937922388365
ewe,6.1686539869811465,2.197768648242193,6.930128832099444,6.1634487133460585,8.196512296417154,8.597573098397184,15.220056526039121,10.564917240440645,3.4753309222337303,7.247084208068127,8.976892333238307,8.465276559539866,6.9611945441503735,4.969423605627881,7.828797291242311,7.796737068184171,3.963407115635757,6.658859678105691,7.2937345076333315,6.182060400105803,7.269088918844734,9.878139538767742,9.003539277865553,5.394126169675421,9.316454525949892,5.561630772528427,8.854130447175084,5.203405955952763,7.942190921878018,9.30638340210173,6.771136074024097,6.400065717214365,5.776557532597412,9.64301171532265,6.801937847237774,8.976569064448569,7.319926431273996,6.485987405141913,6.057359641804549
fas,2.499156345163083,0.6505523512914464,6.04860242271074,5.721782562424774,4.8181439427456665,7.187539952607589,6.597639473270454,23.36685577842609,7.078058345674891,4.46618281178583,9.99596546628403,7.547827610085845,7.240364755465446,4.953729069455393,3.6603516418770576,6.736170750564755,6.225953234982557,6.020562219632303,4.746193564918316,3.966232784383112,6.289937895344376,3.9211166420828545,5.542656040307723,8.099187503470473,5.876351269416563,5.662129260590652,8.13889245064765,3.155842476265771,7.094321311443094,9.334754819765898,5.627102056059023,6.764279467239119,1.2363099398966122,4.645920500272106,2.975893289081015,6.273603640423087,6.9134744583086825,5.565923936498152,10.311773324504136
fin,6.7798100191416255,2.1362667437241187,6.2587584743280065,5.169394186364288,5.731236103149687,7.609301623004669,5.9211119576145155,11.546985921873214,15.693519752368257,5.36316451341639,8.123503260094745,8.781953325779654,8.321040156866307,4.484620650211357,8.285134533120662,6.646057379855088,4.091739025112349,7.623351205975712,8.049327494128404,3.1290223435363433,7.331402312355635,11.627702120347253,8.835189741308449,4.8935424994595795,7.841527428375605,5.767998472089908,7.968925417675063,5.473573589527627,7.621141350823447,8.941583351078735,4.8414786202062,6.530612555481722,5.840282932130885,9.440972619767898,6.805501280453119,7.356523913668418,7.649063474063084,6.533667936033413,4.829894242462739
fon,5.314636447076628,1.4864898252788816,7.596658808109429,8.870424376317564,6.697967747949149,7.769884213968601,7.83585941613645,8.569829302415247,5.502327545210741,19.261334936246502,9.598902489358956,9.406214792956755,8.180044986378812,4.83876394844798,8.0283419167777,8.269267750403568,5.025272823158403,6.163719172548467,6.668730862892396,3.6682519150859543,7.852324845025888,8.561192324221036,5.997304185163109,5.936624614164344,8.322619280095566,6.138602260512797,8.964768404617192,3.556441748601719,6.494783246376688,8.40959742505698,7.073172319767786,6.741375184684927,5.008751392815946,9.536487122287687,6.801069161077773,7.442208489804597,7.274163930751197,5.831194269309956,5.872766870109736
fra,7.233442482533851,4.281016425863774,6.490156214909473,4.796968475500813,7.445431748087496,8.715990666779547,6.1764654013042035,11.848197835760253,4.928740003403921,5.997956072212992,21.299813375271192,9.179607275802631,6.859659325969158,7.00670140481109,8.386039870282056,8.372432372715652,5.595082398866886,9.319670706282263,7.83727758456541,5.454194854492835,7.4168238855594675,12.540391243539137,9.176340776358947,4.88391312444193,9.679696073066735,7.106495399865195,8.713258467774834,7.540322976760755,8.304804357757757,9.196445824227586,5.795335942440971,6.470560006145644,5.565013783933856,6.139698879285929,6.100279608476414,6.527768929864816,8.242741869243648,6.756327134750329,3.9594473214545727
fuv,6.7196237403122945,2.988610409678049,6.38386944176067,4.818294410261657,5.624219560808097,7.437865837347382,6.302947036438944,10.800460905594969,3.835219738094156,5.894663143456088,7.022923864969682,16.919046990710722,7.608005090780271,5.009639207450041,7.233380050584895,8.36359961917469,5.42716090699232,7.409267216008039,7.405912340838832,3.6431288532324904,8.18921210565353,12.210807218778164,7.884003838956619,5.338785591505502,8.162858011452148,5.640130830265648,8.686685501388649,5.74439158412204,6.887298627741802,7.377546244498687,5.89676721845806,6.837504905858182,4.842361479840047,9.888018063118684,7.212939659308478,8.38201195757755,7.69774372406413,7.37387511279554,4.871715089179103
guc,6.420663493162035,1.6542003997583308,5.275010604199417,5.3490877296894155,5.987660640192567,7.041009730716011,6.074843595566851,10.020163362524505,5.556641536048903,4.354432035882042,6.7565482547509035,9.42656356513239,11.192744409685467,3.6511693523252653,5.945407608663263,6.569259533023922,2.4367670965342993,6.858262921561911,7.725517478938763,1.3822757858811754,7.558510259129314,10.58097013016632,6.1923206508573045,4.875710672710318,7.786652894641153,4.944288901876919,8.686638777313961,4.039238199620337,5.013628857122547,6.811380092171966,5.287068180879506,5.068771001588585,2.268649894236544,9.032505468618144,6.320338869375114,8.05432746268855,5.156024369876778,6.28879414112134,4.339105647200114
