,acf,bzj,cab,car,crs,djk,ewe,fas,fin,fon,fra,fuv,guc,gul,hat,ibo,icr,jam,kor,kri,ktu,mai,mfe,mlg,pap,pcm,por,sag,spa,sqi,srm,srn,swh,tam,tpi,twi,yom,yor,zul
acf,5.996414181858944,0.0,0.15446286971638212,0.251146760677357,1.1338983241866032,0.05358816987645909,0.21262685585522068,0.0,0.10208844613054335,0.01782361234403762,0.598666365707226,0.10856918166438234,0.3232542070873041,0.04873476208219696,1.5913632799663713,0.17856157970506104,0.24868182701726216,0.031953701023296865,0.10359458978766245,0.0,0.11100072100411218,0.35310271647099434,0.8263983827444914,0.1703216112062531,0.3532550233824612,0.10589789409374362,0.0035563402141249867,0.0,0.09006869521797967,0.4098828767836533,0.2171736052884201,0.10888032276039006,0.0,0.3550091155904429,0.25334499992543247,0.22758132413890753,0.049395088759042416,0.30041371219460267,0.25240738995356793
bzj,0.2679911989742392,9.016939960668019,0.311404211809581,0.2579819356318671,0.39523682207513033,1.3868017001636623,0.1644493659463464,0.08122537583064648,0.0,0.08688573782023568,0.23467397742827778,0.2581883849290172,0.37709106840735096,0.6227168470274629,0.32882674548903523,0.2428967080269988,2.5444663145415163,2.1676608496950607,0.14884191975750038,0.5581530543144115,0.0,0.0,0.12192858365544978,0.12462942173978142,0.46674397701648296,0.8347437018305319,0.0,0.10365588730928543,0.22972623000973336,0.13367333825593164,0.35321525075783544,1.016299285910371,0.0865230215487216,0.0,0.542542566867926,0.40023740364511795,0.12973582949487472,0.18941227435888397,0.12825592348197556
cab,0.004520970536914248,0.015765560555538904,6.539570808128348,0.30936752393549494,0.3087124876578109,0.16473464477902677,0.12719261962337924,0.0,0.0,0.1876362579482702,0.21011072202202374,0.46204280146079846,0.6483573878967395,0.0,0.6025796529094656,0.08121270119059876,0.007834785633184183,0.0,0.0,0.0,0.1706457603343603,0.07243579318136639,0.19365341742421993,0.3398049413407742,0.5147831491185091,0.0,0.3143244797786142,0.13673951020849717,0.15544639522014947,0.32995770838815464,0.0,0.4423549261836479,0.003507139156387673,0.23570166876438847,0.04653446757064561,0.30510487903743844,0.18861457895472356,0.5219801307654581,0.13062733655206138
car,0.06433101888704851,0.0,0.2911670100794721,5.449172709765537,0.24961328492616008,0.15398460257391022,0.0,0.0,0.4755123459384265,0.1345999043189483,0.21339000403816133,0.0,0.23064814141959555,0.1591588523763443,0.7685375611293868,0.13130054020394244,0.800719914745919,0.09171805413231926,0.3004201598648333,0.0,0.05716014331041386,0.0,0.4456294234225284,0.3845105413376846,0.5273170957531477,0.3157277983422997,0.38659463427986296,0.12497407335948907,0.2539741696057165,0.18928996279294275,0.16865944484420936,0.6517740248236992,0.0,0.2370463148367694,0.0,0.42196007428098525,0.36532305186941905,0.33374986528152384,0.16041513133744
crs,0.27700570059158647,0.14972827652291443,0.22434176873053602,0.3782595831495037,11.74457903822677,0.2157789724067074,0.11034982703717233,0.05294430015825746,0.21398992854672727,0.14899710519336473,1.4202362037825793,0.4492554336011203,0.26033193309465563,0.22664228965208277,2.1130184074847627,0.25392149868031577,0.11585010466866041,0.6286634960109776,0.06445184079640676,0.42666303285724716,0.3322341182627788,0.39703580444999,4.612631660777357,0.07460114923515793,0.47313020777190573,0.26278690988464426,0.19976268626747817,0.2403174707579394,0.5504984100393688,0.9357291726445887,0.3830039071473932,0.38277792835564384,0.321083758277112,0.10792348777537875,0.2790526100944506,0.49554147119298,0.42481083574902634,0.44595731254580695,0.14423341237421639
djk,0.3634521071350454,0.3374201209006271,0.006310871815247587,0.19539881062256814,0.12448225712591743,5.83252176267837,0.25592783228521476,0.0,0.2590136495060573,0.26406686804474777,0.17722413175364427,0.37096304208250963,0.6043192522773424,0.0,0.37934182168589636,0.3380720345700121,0.2584744172190465,0.5732391845463898,0.12760293955663915,0.18687296584198165,0.2423642496016516,0.15714792181599435,0.20035685084805088,0.030099353491139347,0.35145562091186733,0.08559923652559931,0.0995748935045766,0.0,0.32509914023914277,0.1275808488708936,0.8769887926748439,1.209897316011979,0.11150178513672504,0.0,0.28641359705878955,0.2565009346620668,0.42176055571937177,0.40062748501958634,0.07433857581811054
ewe,0.2088229484200408,0.0,0.0,0.4025090526805215,0.1561795638000003,0.4825655898771828,5.5241394195791,0.0,0.10165003696900232,0.628256051729176,0.19350686311748078,0.4082078446402324,0.1515232981559702,0.08054442044946075,0.46251042420284616,0.4352617812288351,0.0,0.26270179168010355,0.30668463551019887,0.17952092387880914,0.12511422564123986,0.09795610914687813,0.8637248466104541,0.0,0.004064356185098816,0.21545542185944644,0.24263309846686276,0.10198038516466301,0.14979118390230273,0.31318897596801065,0.2845843686578995,0.01861425056868704,0.6746103003105901,0.2828584236695022,0.18579195763310086,0.7810390744412405,0.0,0.3930211246148758,0.3100502751108749
fas,0.17222817837321358,0.0,0.40743733264011883,0.2984221812710679,0.07315277003206688,0.41598688376190207,0.18563352332594896,11.85119141503554,0.5791331447674031,0.21256580760037558,0.6749255384580586,0.4056674205299027,0.8772964217095041,0.07847316027639106,0.1910944092562259,0.16219773992390074,0.3553209590701467,0.32808620771047003,0.40353306071449424,0.2913699061964108,0.2611900360309747,0.0,0.1020038960269094,0.02996184656543832,0.34061831043706814,0.21000622466008334,0.49886546192428494,0.0,0.4099819291292093,0.48621507103960404,0.32298897968736995,0.4433787669184728,0.0,0.2832167468203597,0.009589079570738068,0.6375308755640487,0.0,0.39706332297568636,0.18775405129531642
fin,0.07626374075119191,0.0,0.4973754593433686,0.3132466863599026,0.20747864754820355,0.4832464727851953,0.22958888990720894,0.025151949465813672,5.894065172241463,0.1330723349413594,0.46793564113362773,0.21527148091511883,0.7603859056337301,0.16366445924745232,0.5904902374862733,0.13064120538785406,0.0,0.6062930124339756,0.0,0.03579946421028701,0.5197905064356023,0.21270321091536104,0.7673587310872811,0.11241739684599139,0.5080344283261793,0.0,0.13478928757829234,0.0726016563968761,0.5233720149196772,0.4846669334229148,0.0,0.42251125220401775,0.0,0.22675044654777388,0.38400352629849177,0.2941217589088758,0.5533984979430695,0.18010729587364072,0.20264274835651275
fon,0.0,0.0,0.2321783009864049,0.575670933684524,0.19634883283037485,0.6986629131150206,0.5243333594682049,0.14967250585795178,0.5329154413512232,8.989693777905673,0.18858048583017073,0.3668214793328133,0.36591643132557916,0.09981933253737019,0.24682321092223702,0.4070339603862507,0.15655324735988696,0.06851786106321889,0.2837256827785186,0.0035749962959870096,0.2140074520775288,0.11660688903448779,0.0,0.10864605111317083,0.3846784714433342,0.15426096894903196,0.00716886090731883,0.033762077272178725,0.3039948624178681,0.3662039461808515,0.36398753187600086,0.26456104657765334,0.16909503680328708,0.04726165750609823,0.21569578479523788,0.31269261585186037,0.306553774637381,0.20722192181313126,0.023682003921726924
fra,0.5913871789596072,0.0,0.2036963702642458,0.3236964132276805,0.5381305083074555,0.6201486623643859,0.019979954823390322,0.0,0.17360599550003908,0.0,10.99510347194586,0.0,0.20909054335924981,0.7430759706746466,0.6016637501667184,0.7419906189897105,0.1157418367981995,0.36028343403284957,0.03173197382430537,0.046289876066592406,0.13506003198784633,0.0993595612917666,0.6206389942642705,0.30630555423089234,0.9119617068733348,0.04727966412905271,0.3026065616576812,0.40062601466781267,0.5996995678126238,0.46497252699498937,0.15819426663859915,0.4911182189633658,0.24686632211651638,0.17821517269235532,0.11056594574184686,0.1688744937890645,0.2674782788869132,0.370286644850772,0.23657759179663973
fuv,0.2167259172698195,0.0,0.21945225715505146,0.11934127852897092,0.005122932680126979,0.41247785023942907,0.19194820444422156,0.004792549247820688,0.0,0.23604728293712895,0.0,6.696032443459048,0.28806712017748115,0.12382964728272139,0.07552526547211524,0.7934805524957689,0.17205287728881036,0.07567970119051193,0.40635495819572753,0.04887925267965576,0.23652290038557933,0.6457556895678334,0.3670200117914959,0.16098804304228942,0.24900007893670484,0.12085196007553467,0.10482943877015671,0.0,0.10634469508126809,0.0,0.038525866532174824,0.18077655287841576,0.08905859351166345,0.20247784401094115,0.32710384616530863,0.1423871014248057,0.048080793175507175,0.42383077988368534,0.19389966532302338
guc,0.0425742037211716,0.0067735525387617734,0.1390008799311957,0.27862184670838275,0.08982669837673551,0.1765047000647062,0.0,0.28692207018063876,0.19346266860328143,0.058246554231848435,0.10849994278578645,0.15092006595395624,2.9580542541971404,0.0,0.0,0.13142228699436576,0.0,0.1645309552225953,0.2905306525785969,0.00918383177319737,0.0,0.20175733938411788,0.020594149648552218,0.13392935866263667,0.10832976910921666,0.06470680674213636,0.0,0.0,0.3165794126451482,0.0,0.26369969947993255,0.20328033190000294,0.002375417058656737,0.0,0.029231032870672635,0.35998997729488025,0.3192759341773197,0.2354414748069713,0.17732962865352953
gul,0.3044722601104004,0.6985714986379739,0.04397270281161614,0.031906475416662694,0.0,0.553031395928059,0.20519471773857845,0.08557147805345089,0.17306792351651,0.049361182219480604,0.5867049776973285,0.18468229438548,0.45890961121712337,6.944863512353747,0.28743413108320404,0.575688342727835,0.8804592582555033,0.22163556422314556,0.1983286322321014,0.14416432114510513,0.019628854017046393,0.0,0.0,0.2808096221621659,0.22324272725279748,0.7031262475848106,0.0,0.3112438306578067,0.15633266701141757,0.10788146407481314,0.2487171235815877,0.3834012802812712,0.16057259287283365,0.012013158067677665,0.3362895608545786,0.27937321392632875,0.0,0.3675900949185378,0.18638645757642536
hat,1.2061104095013473,0.12223113006903841,0.3769858245024782,0.35317535221743057,2.8418933999734737,0.22896938148920576,0.015283142198525113,0.04766492363440378,0.3756083259990701,0.04256941289994298,0.4641506933319324,0.0,0.3995246949963125,0.0,8.690247541090518,0.31160377639940684,0.2922198017969819,0.13044429885586784,0.0,0.06812309741155609,0.42340830375559335,0.168375657163633,1.769015074925255,0.2488676536924812,0.46403417871998087,0.26207555799907567,0.0,0.020831615738551967,0.5654422268704442,0.4727473539000666,0.04902613078628537,0.37716894687141167,0.024756465646221137,0.19488573069840065,0.10291141679973315,0.4118550182690157,0.3217888784416729,0.2233419719020242,0.21846184644069133
ibo,0.04271694697858308,0.23206975428635568,0.16363650940848995,0.23134910340553816,0.06955490845929191,0.5259544158791956,0.15961952241879374,0.09067038574543318,0.025547915375223607,0.06071813727613762,0.0,0.25410904785095134,0.2380315351724871,0.019435983958266068,0.37169112265594784,4.4532054794667,0.2708074095522779,0.21658215626700006,0.13358144513073622,0.03145012401943603,0.37218200090942943,0.04309264184047734,0.003621931025724834,0.13805839926746621,0.277976724541273,0.0,0.0,0.0,0.21216648386059234,0.0,0.17793864229632828,0.06155467024552408,0.056683878171939206,0.19687308898000566,0.03625514207874847,0.21500506692937638,0.0,0.24654305893110084,0.0
icr,0.4179570015147327,2.2657830369012046,0.400853472903723,0.6171396983603517,0.041684632635314856,1.1200376384685136,0.21819688396983317,0.0,0.0,0.13808878280871983,0.8051110366205272,0.0893629159703071,0.2655153250535305,1.081757371273369,0.2666871710884262,0.42136922811643807,5.838163489177532,2.3693661970019058,0.00878877426793423,0.36960343972456755,0.0316781512194968,0.2294992489984331,0.1995988075645485,0.0,0.24916510629405053,0.9015654741728216,0.1698667286737212,0.1372182714720056,0.15358715915314125,0.33398870577179274,0.27797955770359906,0.7687132484597852,0.0,0.24016348026214196,0.35672196111481735,0.16748753854340936,0.2462296109648392,1.155079960202059,0.24001541265062887
jam,0.5594973421328371,2.447065370138331,0.5042835962161138,0.2752133019900773,0.19410479885807863,0.664935381428414,0.2744746426375393,0.19226763851902717,0.08673979902223605,0.1557042418575767,0.21472685074740028,0.23590872506083826,0.4955797995021687,0.35942215109025977,0.567942154427957,0.30702023755745955,2.2414375488074887,8.116549388362536,0.30202504421169163,0.49748054724784296,0.0,0.0,0.26939209288123855,0.2358121158976738,0.4563489756944801,0.9655442170194997,0.040896640697361875,0.009023620901854379,0.3640431873344765,0.019796378504191026,0.47084334061902133,0.9113567932235762,0.01605573856196152,0.18693384883248143,0.40982628299032076,0.16125863283874686,0.5841182063247619,0.3732597805749265,0.04950463370152125
kor,0.1807626851645261,0.0,0.3142841337805633,0.36215764632165826,0.18966708890003225,0.3263890487766332,0.2135335314955391,0.1136833209126964,0.30643524215701934,0.05797395124615612,0.7835400984489951,0.5551220406422166,0.4382263015933958,0.07945324934325715,0.3043577178574708,0.4141297302885949,0.4993709407394533,0.4708132431674388,7.157026468086125,0.185924585360548,0.07031459927948092,0.3383533595350583,0.11424118399644456,0.0,0.07748723763773491,0.12168484261734669,0.4749940254976659,0.059826383231007085,0.40995242167678203,0.8144217768155908,0.20758218246870186,0.07325362659474965,0.0,0.5299612430682901,0.0,0.4056420285245075,0.027381240290544895,0.5463659402646597,0.3499538889603926
kri,0.17192364823386708,0.12360207156700342,0.49048776156771545,0.1382203355106375,0.018764463084295357,0.7428040245177154,0.26566456394575866,0.0,0.047842914790908964,0.46503347684054486,0.20045855278186586,0.1579161400922544,0.27548018896081317,0.18921298438994683,0.48952628577895396,0.1177360207526128,0.254792879728706,1.2477875499049134,0.05471849998056744,6.7469174435814026,0.16242013957874057,0.022615920414548185,0.07042477494109178,0.13868324252149922,0.3300572346815578,0.8987470272181488,0.0,0.019216217557675108,0.16847176319315782,0.09062612497904077,0.349729967794814,0.6318725700919332,0.0166265902710121,0.015266258341593897,0.149527892583591,0.03729119368287925,0.0,0.4161318826702036,0.10084305307475194
ktu,0.3342553580742962,0.020675923705454125,0.21653183765503314,0.3426593520191954,0.08102731708299515,0.49156695292687935,0.4758174013369185,0.040334561205281005,0.1520835556236273,0.11868915789052181,0.4535827907894996,0.3984153767053886,0.15009121204052267,0.0,0.39982508523201155,0.28760047752648354,0.03421392628356479,0.2323464132432118,0.17835268426884188,0.0,13.883720608393428,0.0,0.037644341602116604,0.343824483711221,0.21129279934754663,0.05048336059962644,0.0,0.4237084114364489,0.27447802981933034,0.40134275016540855,0.0820658157812133,0.22390081997243527,0.8262502454783665,0.46808085609598393,0.07299388775745985,1.0380850707824054,2.261471382160398,0.5802166156397428,0.2024439485591225
mai,0.32667174551347555,0.0,0.1700953929989799,0.026948590204256107,0.08984818271153205,0.11690508623400131,0.29091346374932225,0.015146331773656208,0.2196278630434394,0.08603776439354327,0.44262415330574,0.4247978224280802,0.4693505710888717,0.16383897072541664,0.09426555218005239,0.08519109946381587,0.4410478131827613,0.2556925197850948,0.24058828497457085,0.25738943632395284,0.3803390091058718,5.267141151929436,0.026264558189225795,0.022575792419359253,0.03213956670721885,0.0,0.16198060508946188,0.0,0.0,0.03919744395816238,0.309025519140234,0.0,0.003909963695005736,0.25332271706945697,0.001091534360506241,0.5229263916300528,0.0,0.3463872982691516,0.36510318334354963
mfe,0.6904617271039513,0.0,0.14210895744888585,0.3290473391521216,5.442135024643878,0.0687437658657819,0.14165737319710292,0.0427337583831946,0.20152028667314692,0.23789054241451257,1.2369393513444553,0.6743148185101351,0.10144835843683886,0.02352351244036388,1.0516215984980972,0.3259819511328379,0.16227150003557878,0.06334517714486765,0.2608623894914377,0.39674666989322915,0.31244832219141117,0.522067796484265,8.125350794038189,0.0,0.38733995492135165,0.29206672821900526,0.36059327920020223,0.40525285507247233,0.21236211965123708,0.5489616910532575,0.34445733235270026,0.18460913746668428,0.32867882473024324,0.17811717191353615,0.20189585395885778,0.1918487431630922,0.31850205009670773,0.7019301055384508,0.07179570279850545
mlg,0.13176219094863306,0.0,0.5026434673790616,0.2687526797364663,0.5576707708970545,0.4361524015420226,0.30470190679642783,0.025599569884036555,0.1705189039129804,0.038830061503649205,0.1892436826247632,0.153506201129197,0.4885174546292417,0.1356862749795571,0.4146991712824031,0.09767199831495788,0.10128298322926543,0.07710600771167542,0.015438710259944699,0.054241840479813064,0.09265915256921708,0.017584403479656174,0.43889248244994317,6.833339873052198,0.3801958134793999,0.0,0.38198256448357704,0.0,0.6062198533672083,0.35816262366851603,0.05323105040271514,0.4912143910792661,0.0,0.1945905551502367,0.016831487261518063,0.7858220335218089,0.026101437116345494,0.11035370526643629,0.05701226406718618
pap,0.2951694193910894,0.017172722156302278,0.5555183592169781,0.3509093558597778,0.6609753864163652,0.5232062104035187,0.406789838081381,0.15978764724031258,0.22413955491017568,0.3840200404782834,0.9641909817426324,0.6865944991997299,0.406738417481578,0.5882470858724922,0.8380465806982098,0.6936489275212043,0.0,0.13538044252556958,0.0,0.27924123487697194,0.6162220031559595,0.5202463104746169,0.8237123454436617,0.15767225391632067,9.069048267671008,0.348616710695949,0.44508376083678236,0.1312582723375879,2.4537973872874144,0.5836086353723022,0.12686822297504463,0.42725008980825585,0.21901854507130203,0.3015487031741868,0.2368954591916479,0.44009960241881085,0.2573638974553081,0.562872944119122,0.3663118589209242
pcm,0.10274469575848055,0.9256045683885903,0.4586048788250041,0.23161007231737862,0.22469126674519124,0.507706274779741,0.024695634260739396,0.0,0.1452236985311881,0.22470959208767116,0.08696052624397943,0.45568525514218194,0.2559062200346043,0.7800752931146437,0.7278650081020004,0.4238988409607529,1.0074522669369266,1.1160479164394772,0.0,0.7676223947259668,0.35743386531922106,0.0,0.22889015020678638,0.3431267612053235,0.8190112820814957,8.424551639735514,0.0,0.1683489415174808,0.4333832443340455,0.47943680645143694,0.36407767655583,0.6219200594175973,0.04170049453562186,0.07111158661058958,0.4235436123723,0.0,0.2235362437379944,0.5160973094707613,0.2088601602970952
