,acf,bzj,cab,car,crs,djk,ewe,fas,fin,fon,fra,fuv,guc,gul,hat,ibo,icr,jam,kor,kri,ktu,mai,mfe,mlg,pap,pcm,por,sag,spa,sqi,srm,srn,swh,tam,tpi,twi,yom,yor,zul
acf,6.3453187729483025,0.5387043674163421,0.4717482448044628,0.4634106703578055,1.1506878030817485,0.6603378035553015,0.2523257757078558,0.5761847052048462,0.163320686758713,0.28971717122781576,0.5817776406413537,0.867010389841579,0.6389942037655673,0.1821405848876593,1.229022397260344,0.5367165176278048,0.5233098730545738,0.36165200327053876,0.48571503084501944,0.22965022331797075,0.5590162589258068,2.856769085677285,0.6199424309110453,0.4565864655935522,0.6058063314966781,0.6294034338788501,0.7456385477032493,0.18987782750473026,0.44487938556452583,0.5099931703894404,1.3815526262787046,0.4573510107065794,0.22888153876733325,1.4094622319730739,0.3063268180418603,0.5162014219994346,0.27215931122940334,0.4347380719292325,0.1539583853681505
bzj,0.5706814384419555,9.738152361370123,1.052402150589646,0.45440594123318084,0.5478914854667438,2.0380505973048315,0.3210217039071763,0.8023295044499784,0.07753282418609883,0.5341196951725043,0.3887705490953172,1.2034058066973674,0.9759887719059883,0.909407920093739,0.5563687322356256,0.8760574020113087,2.000976306006783,2.404769025663374,0.6502128474380102,0.6888449313698551,0.5044970601877571,2.8841520691965723,0.5390215403157357,1.0261788673368015,0.8866574804587758,0.6625675623731526,0.6333753075588731,0.23861575500770366,0.5065862031769055,0.7762611793709552,0.6479165830652641,0.9290845547822921,0.21350543448528758,0.8641218738519211,0.714301106374309,0.6823051396161831,0.5862663474314206,0.45840290489004715,0.38078836285621076
cab,0.3465411511533946,0.22439476200505923,7.399670724062377,0.32045154247443014,0.6670186226848516,1.3200959043859355,0.16264639694480917,0.5285460653694053,0.15587916279815817,0.38592215032503113,0.2644310672908329,1.6518832866164055,1.1334993997920972,0.11615270628350438,1.041710087595783,0.3314126075608455,0.13033014363244158,0.27606148195020663,0.2786421733089405,0.08890948999286959,0.44236022761098326,2.741705290427551,0.655041496659508,0.8045133725205147,1.4487525277699262,0.12640664940059426,1.1973425358192125,0.22174883209095672,0.3739978963580029,0.5097999042826522,0.2384033171266791,0.4411367362984014,0.48049065419745635,0.770782658297103,0.30087627417530144,0.4352507812281967,0.47632612564750637,0.27316911194301785,0.2670691366453122
car,0.2895709780729385,0.22107339719222796,0.8347390649923154,5.1553743797519305,0.5948305875425761,0.7746035463842271,0.13903986044581076,0.2645803291874484,0.7203337979146408,0.14181361314352964,0.5029717556866112,0.5743868191691872,0.5688833698843456,0.12408586174567476,0.9744858400100606,0.4561851375766644,2.575476761689713,0.3233110640341119,0.96338252684888,0.10910578867111999,0.4503902870233675,2.8789102830309785,1.3030103763040088,0.6411617909974039,0.9462766527053064,0.6208413690698149,1.5268233140225698,0.31284096684250334,0.5396198197603168,0.5183037241476819,0.41128346359273715,0.8695280160836084,0.022395297529750183,0.6729404145269342,0.19768443343555078,0.7298429970438882,0.3903978676903656,1.1188033961119315,0.19965716418018264
crs,0.444913907048681,0.4655612235460775,0.6834349423815577,0.8009930338238122,10.47082925835128,0.9185377265801716,0.13600819336566983,0.43250943770024075,0.2862154647029992,0.4509497197070863,1.1510900934399948,1.6379625310000367,0.30600906864655236,0.41615932231655467,2.148473856791855,0.7803139651365691,0.5775649949778111,0.9131672129356809,0.3288502082802552,0.5114102430195577,1.0894144234187668,2.6956022274001055,5.36371932592417,0.382936399113718,0.8154822577148562,0.5272703631582776,0.9427917937452173,0.32995749212727526,0.7790918130633496,1.555823574796244,0.9572535303859294,0.7154331529453128,0.427820373626891,0.7495162450545866,0.4510824214414682,0.6912115331207571,0.5068135981750577,0.6830876530789164,0.3113280979059797
djk,0.43649573426672317,0.7288362577303987,0.944830307495793,0.35351740619466576,0.9929571529339658,8.064908621619239,0.464815871388005,0.6423554563454797,0.4809147487635472,0.5909737665508612,0.4711394050996402,0.9853269618720873,1.4017393407974765,0.5377027801290162,0.8186122380616223,0.7804754253171854,0.32551025327446487,1.025363545060464,0.31215625254200674,0.44661296293655883,0.991369612002695,2.8129979328251764,0.4924585991818016,0.44274437818979956,0.636855827823799,0.3258868248215397,0.7602624864427572,0.27635162117819523,0.8671292371676754,0.8250544469398238,1.5943011742198012,1.1218895702752845,0.25340353006287963,0.7502444844292581,0.3348163362599128,0.7200451159227579,0.6985810638316263,0.5002187115746994,0.2283869561357379
ewe,0.3014391155447596,0.21279615363671273,0.21937111373251286,0.485515981535668,0.8450583793556218,1.2587976128944105,7.026552462312807,0.49134427728907604,0.12906920473275768,0.7310941613259206,0.5763429130187305,0.6621862655472875,0.8838017327611976,0.12626063548161742,0.6928518056303755,0.38024487136892926,0.23880983203411887,0.5755499211414068,0.4601210163368909,0.17947144456544922,0.5548635447959839,2.3906596684331856,1.760921301194145,0.30536159938179486,0.9056645087468235,0.21007621596758988,1.122924453162446,0.3916519469480114,0.38999751694710255,0.5614516270572703,0.6313163721907528,0.317152913330297,2.095988587613664,1.2199245609083222,0.4626141827164608,2.8506010698884876,0.598169301832692,0.6828785402523205,0.19310161514801433
fas,0.013430752301664602,0.004429678422479597,0.1945468693355845,0.4890753422007863,0.14688349947355328,0.4922782319216655,0.14522253807932048,10.658395743384768,0.31172108638530593,0.15457123667077813,0.58108868414357,0.5561898219575577,0.8015550967997717,0.04142407226711575,0.04598656613206855,0.6692182469548836,0.8314025663058743,0.38836677465154273,1.2916403390210967,0.005255086769035021,0.29375070776859447,0.06946144545756165,0.2114088131356498,0.6299509144203668,0.4601585882507846,0.049100228209135614,0.38486786906095916,0.10369788944647332,0.32406705393756585,0.3169315503846702,0.4739360045756328,0.5247786742325099,0.04216267865262938,0.08305917223913646,0.14434702421314988,0.8588613724295094,0.5170605647633635,0.14550278175463063,0.5177003506359575
fin,0.23704918838933547,0.21844950816806374,1.0741394802710156,0.4020614971337964,0.4197394055361544,1.383820304804784,0.4551714797877994,0.6246236389400822,6.888843846970466,0.21868519313656673,0.7330698244527653,0.9737400130509215,1.8090715876161096,0.11751311184281736,0.8759035140861827,0.37654817386403655,0.16939225583879639,0.4452257613033627,0.429779736944161,0.1415834639703355,0.380169290360626,2.423962382247481,1.7379856152602802,0.3885316699364889,1.0341646746200672,0.2880822393832333,0.8744673856185736,0.18491291336427218,0.6073763010189757,0.49536613116138084,0.11764179367646733,0.5141875372963399,0.30774043002792534,0.70511759069584,0.6101694592751765,0.727573758825571,0.49713013327562866,0.2956482800030494,0.2290438040629755
fon,0.15758406935297742,0.09544147258215922,0.2978708749391817,0.8666421318183737,0.4074051440559498,1.3933961783602904,0.8395858508400805,0.481554782081591,0.4957230741732759,8.723524269846331,0.4499818645046912,0.5368549617780791,0.6476616710217729,0.15745454672924397,0.4379404915287703,0.5433640568399742,0.14016720309056246,0.3677838750597362,0.8214475476574982,0.10521631897048149,0.3547845974774294,1.8914025041240095,0.13620806503905267,0.43352640801328857,0.5988605899089727,0.29258099992276343,0.5728023130180124,0.04181295544165765,0.5033726375105478,0.8943430271009141,0.7463216880419381,0.5824158164542421,0.22901433220214681,1.2560530512335033,0.45599301714901186,0.6077194994600877,0.4657096228221092,0.4569792703831046,0.21406075224041418
fra,0.6360241793702598,0.4684063563443733,0.71845506133533,0.46074688380102896,0.8430909626785226,1.8323955743754343,0.2651741099618966,0.5869252181447935,0.24097686661567347,0.3581664751291782,11.085282273582552,1.341984159932277,0.9941658375612484,1.1360276766320099,0.7001485618698636,1.3126057354255039,0.4358303098630564,0.9510428636455872,0.35625995081787887,0.46854649766440587,0.665041988965653,3.5796487256997436,0.8231920565072646,0.4204760443444418,0.967152702328056,0.4586569195029054,1.1546462112249527,0.7898867706732011,0.7919352742135567,0.9272690646885435,0.6992712901208481,0.5558038132576621,0.5657866390054005,0.37667207490683063,0.27846006770043974,0.6635675627585631,0.6292419632408299,0.42089137274241173,0.1668447838942028
fuv,0.22797284298912573,0.14465908303615646,0.5646482025284313,0.12878953458551157,0.10384853336953524,0.8889219867693872,0.3284830221666804,0.42010957885388067,0.14311037150237627,0.4191271229736611,0.22744858678927865,6.128072853907132,1.0052615826201396,0.25187106720079394,0.22581490948480706,1.2588744172053836,0.3155443766489763,0.3990852527186688,0.49022481049953937,0.1703939691696115,0.4516836246946473,3.673471923083575,0.49317573359393535,0.38148365921461985,0.4525837232681012,0.30494063911578884,0.8777886047471811,0.12848523610748233,0.358861578316068,0.36977876398971765,0.4692613364779755,0.3917581673739692,0.27112244746519853,0.8442412108633486,0.44799184417972215,0.7449734797135585,0.3103132684232151,0.5773513872921574,0.16346390074804612
guc,0.3583123947681891,0.046026329231882344,0.478900194726291,0.4768735935432745,0.21591237253298762,1.1210873141751438,0.16024810227120032,0.31076311856250693,0.4332612003644796,0.11127570475562291,0.43658059417260386,0.6719685919749717,5.013766613641178,0.05191940419505479,0.23309280544931354,0.3275218301767388,0.0384218009346831,0.28469519942763405,0.5176281745033148,0.05897364528188311,0.3368457050700901,1.8074453606489258,0.32471197407205676,0.3195778802428112,0.5061831121102834,0.29410442213749544,0.5897214793930666,0.08593123876388836,0.7751509358873541,0.16220896703513202,0.44950861921423235,0.4098071049379135,0.05762737105464785,0.5981863178300995,0.4060634344069191,0.602120462671594,0.37898474534099624,0.23603335675183443,0.2088963871190291
gul,0.39242401812345895,0.9077051525256352,0.760188665637704,0.3123844898984337,0.20791457302240768,1.2287984595504826,0.4194790940364557,0.520443775583982,0.44423961232281656,0.20449189899995432,1.429141172131123,0.879448782748626,1.3224944145182338,6.653463016276824,0.33309765467451025,1.0679518369682726,1.1918008105923008,0.8633960924291086,0.5732921348000595,0.4222304223584644,0.9438643869742567,3.2652602585904345,0.6082166353355755,0.46036607146392605,1.1007302176094818,1.1291119046742388,0.9638706164323272,0.6220919448959646,0.2697706635382437,0.8372388325355489,0.879569561460261,0.4274374514965125,0.7174456421925514,0.7762796202936955,0.7334192832446272,0.8377274939189757,0.39510910899909324,0.4173910078939195,0.13767224227503036
hat,1.3556014346089431,0.6952933371133958,0.5194459692056163,0.6357722274838228,2.4171205654971066,0.79921926220068,0.12995236224859924,0.5349188086537979,0.41075346944527846,0.3336874520149443,0.8079558752690974,1.4259390637895986,0.860287380243508,0.3929176959102116,7.555311253948231,0.59486888677858,0.6394100615639334,0.5462755325524331,0.3167639714356781,0.27741944736702007,0.6524488595635328,2.593255330446699,1.8004912354191276,0.43533123804540963,0.8687567651994701,0.9613451153439035,0.6248898673134414,0.18241308604941103,0.7990783912133181,0.9927739922642537,0.811777996311294,0.6633262925780582,0.22591504059409706,0.7829076341142098,0.28583042142807963,0.666734215365464,0.6190390704583344,0.26303029932855904,0.14874071107158407
ibo,0.3592331433854401,0.5340585565859984,0.3720887618668922,0.24791784213131468,0.6023874230125654,1.0717205821764317,0.2177277480699651,0.6183195956532093,0.04435585023319735,0.4107831205767293,0.22631710026737895,0.6038193499054925,0.7160141998189767,0.15443675081534142,0.4643558455608068,4.753440177424446,0.24940381652810087,0.5936600328196062,0.601866641739056,0.20462158178883802,1.0232306985877795,2.9710480229566736,0.3907980474712347,0.31966605178842256,0.38265636480792875,0.1766170773426909,1.0060128523831422,0.15810865655536988,0.34704094058195883,0.36443518790174473,0.6169560013900884,0.378476446026678,0.13026205294950616,0.8012725818301163,0.3193891720924681,0.5402289230546078,0.2601396736433852,0.5765480572291461,0.09435459702375548
icr,0.6754957688394707,2.271330095937144,1.55624672992433,0.6590402719091314,0.48510203305729654,1.7726155114959936,0.4423363991671102,0.6037368734891815,0.06481123081521058,0.4955835550093454,1.314987573436054,1.3360140549919604,0.7536487355042116,1.5902414449159186,0.632819378810578,0.9889842150833282,6.767237692270158,2.1252846924823605,0.4926235882491109,0.46288058300651663,0.7956996439033033,2.9583843215134698,0.7397965995994058,0.2628840229919708,0.7833215917658164,1.15200217420459,1.8565067928372714,0.5040559766509191,0.6970721065890628,0.8530938381423778,0.5856816717893861,0.8486942607019767,0.20668347440515067,1.1563766449869377,0.7177375620293343,0.49986130656349187,0.7139448177943785,2.961973561814905,0.40944817370158876
jam,0.8240090174906795,2.8030453316035073,0.9121781051973282,0.603947007626385,0.3212189391326999,1.9830574797062435,0.3473606226515038,0.7051922175609096,0.14346661183889906,0.4614700126862226,0.5829916315821536,0.8328835432008171,0.9857565658544108,0.6733547768296414,0.8435167868096126,1.0203160076634403,2.4309379076359483,7.956109416695206,0.42908665271924845,0.5274585955714138,0.4450984604889452,2.544955892600945,0.6026003635929981,0.86747156690931,0.7771182140942071,0.5698509734509349,0.4221909704779731,0.35435797532780133,0.5916497335727704,0.6199532123403719,0.8133701893272931,0.9327170149588258,0.27367419647840874,0.9278920188803254,0.619228926931462,0.5977842435275467,0.6082832586574001,0.5383943480299389,0.12014081236493837
