,acf,bzj,cab,car,crs,djk,ewe,fas,fin,fon,fra,fuv,guc,gul,hat,ibo,icr,jam,kor,kri,ktu,mai,mfe,mlg,pap,pcm,por,sag,spa,sqi,srm,srn,swh,tam,tpi,twi,yom,yor,zul
acf,7.410589665862203,1.2826611090533155,0.48263211829687747,0.816930029664067,0.891292686880945,0.5450265552156919,0.754069947039035,0.36116939456472064,0.19978030785279413,0.7283497499307752,0.5516494771214573,0.7504179536256782,0.27935301142762015,0.688443219673833,1.4719835692719387,0.9022725293571903,0.5504710435232564,0.4741649305144646,0.894294481440949,0.9530093532733944,0.6027853777994719,0.5873037724931166,0.8619610831376774,0.8556117593490511,0.9723992335245584,0.6515988898170495,0.4534398595719037,0.33608285917661207,0.3885265917899494,0.701327852538891,0.6919057534238567,0.2154936111017787,1.7674926719228148,0.5247835226415375,0.5535759795110772,0.7884803760672874,1.1821374845227373,0.8098365403312109,0.3946994140849757
bzj,0.8593905777043093,9.452296822565875,0.7058367660559448,1.406193944410581,0.6510096136057321,1.6359197665216412,0.8640170149693716,0.16869717537904505,0.16262026185832276,1.0673532686773377,0.47750101874654327,1.1710244303661226,0.41477909729919465,1.3146131784013968,1.0875341514593453,1.1597636065063326,2.4787859327692727,1.9430080288779417,0.6576690499993474,1.068751885725423,0.3318648720610002,0.5268567300985185,0.7372588175610401,0.6109067269295063,1.0930500981117364,1.8766209817093824,0.5497173359211782,0.36723598939866275,0.3492680706255244,0.6711690073057694,0.9095242101408124,0.7630963208010839,1.087882437395196,0.5069986431305793,0.6190677838586458,0.7617267536217339,1.0177321042727265,2.1846722593265278,0.7054830866357988
cab,0.4118879689185516,0.9289158861489943,8.008898462352336,1.0965750295866667,0.6751293083860436,0.577389519722885,0.582333535301107,0.2903616535586655,0.34339649878420636,0.723214672766085,0.30075437260162297,1.0088473745490707,0.3835918380388689,0.7998915500042794,0.8029501386776374,0.33528534742023774,0.2695545962881743,0.5235214205535882,0.6757039558955659,0.5275040834730758,0.45312486862691403,0.6466147813450075,0.5858109461590991,0.6122273374555605,1.417236280542721,0.41025329443263525,0.37301823145317703,0.1957920127884815,0.6031869213695258,0.8904832150495805,1.0774818319506418,0.3003267809280234,0.6843732533179708,0.6387346875327343,0.34803663290065096,0.8496475263775074,0.6912778885379561,0.7082393986582366,0.1630195382799928
car,0.2297350625080015,1.032783765678171,0.27868793418330645,8.669607941551353,0.8718372953598866,0.22326504170705122,0.632205065433999,0.297161761280541,0.6299364005585776,0.8454919329414404,0.4777947635978911,1.2775484653311044,0.565762801784922,0.36160898570954153,1.0328085952651094,0.24764724519737782,0.9511114654991187,0.6124431264117404,1.3382169865203504,0.4826992389472306,1.1710744613225423,0.5103365040592774,0.5417227593421426,1.3300353827183935,1.3003569926457847,0.8471272252632415,0.7199037411124308,0.2487213399130187,0.21235175920140764,0.7634887943061858,0.6602997227552561,0.41779146794415445,0.33433488760659036,0.5559560903706392,0.3788923578757154,0.6513423875885351,0.6973078413894299,1.480174338926417,2.0850610430195617
crs,0.7040158235703428,0.8805153792622349,0.6142651785178379,1.0895401044092543,11.006886967280478,0.6915682090526374,0.7819511486378232,0.258770923571549,0.6718661481702268,0.7735675969329497,1.670760049655136,1.1233763091126052,0.31657609063734304,0.7156672490858679,1.8283249898105276,0.6071046341574692,0.3914645795693892,0.8549228406239846,1.1358074743662008,0.601272948788213,1.6390969234282167,0.693034043131602,6.106636442966399,1.4697424464281559,0.6991104495982123,0.812218513549566,0.7815137088361613,0.5006896181139016,0.49692856827864906,1.0812727070946588,0.7284725195498836,0.39045226297526425,0.7859241240845393,0.6857898560427018,0.6170707958211278,0.8229051838237638,0.9344317056939018,0.5936071428203262,0.73768686754398
djk,0.5404675387207111,1.5677878633853433,0.8527136465493291,1.769836908214864,0.6811410898816701,9.017014467073407,0.7391229607168749,0.3482138234663445,0.33790122773643105,1.2753160596320614,0.41046035061054953,1.2538310058327327,0.7941651809454934,1.1332939433231541,0.6734863348346867,0.7070774869479916,0.5822780972464181,1.284750652166809,0.6491046769994022,0.814374130901412,0.765118641506794,0.6814199598525792,0.7180962854813101,0.6300437571927036,0.9484050218179978,1.3644756128298696,0.8258708641335014,0.4804644323662308,0.4576933037322675,1.1517743835229464,1.7352924330543775,0.9747644048328562,0.7568812253252393,0.5069136101385108,0.36998351717359074,0.6416525523785203,1.119221499167872,0.8206978751186751,0.8805528526328418
ewe,0.27741520579338075,1.1920144682492289,0.3631212568520233,1.0658601781911352,0.6957216486138829,0.4092470076288043,5.900441362446778,0.15818910891409302,0.2653930415280324,1.0441555392265875,0.44710080090591203,1.0632560075857251,0.18625167700020392,0.5634705547339607,0.8342158718328658,0.4228692311615025,0.33602082863511884,0.3470268416198438,0.5540036812975828,0.26532748560642616,1.042312300731479,0.5589137932571686,0.40407298796096136,0.21066797957787298,0.35838818540456396,0.29276952900439457,0.4908957128233345,0.2827050297196851,0.2220391361031407,0.494357999556535,0.8745218238802474,0.14547762989060334,1.920725765237256,0.556733711867437,0.34808903934972313,3.9078275864469116,0.9450900903198856,0.40383737541469555,0.640758598068938
fas,0.19877971605177697,0.6155749094952889,0.15681360276263004,0.10878293022196812,0.11470141633388044,0.25410042509907543,0.07674961258634368,10.565515684162648,0.2804072250883957,0.18452909712629467,0.09443203460106502,0.6973044049255952,0.6526878501613137,0.38614968347291007,0.19678926956791135,0.30067431335520417,0.05500987324494921,0.2774330400163568,0.28282458896969365,0.1733308086210017,0.11750336458593365,0.11218702972962091,0.12537304651412065,0.28849766720809755,0.09585381439716781,0.07602803179099643,0.18756438068930695,0.07432666284228479,0.2996966136782756,0.4772184085570536,0.8721695881156756,0.032847210669106515,0.48232642174692164,0.3010335510120181,0.3182496533114713,0.2961480615402677,0.22086612429276903,0.3932333547159206,0.11778157194367987
fin,0.2292095802751153,0.924883708729715,0.5644897112493171,0.9585120340006392,0.5968394275358602,0.5386585056663642,0.34959765386160946,0.3832462409314398,10.251602171276337,0.49282506226636646,0.9757013113876573,0.75247726205967,0.37482791744197336,0.4846698728354663,0.8573438141412308,0.32379631188728847,0.35629935043721234,0.44589917959697606,0.5613852583278478,0.4214528522430136,0.5069495870288158,0.5757996785609144,0.5751347585488452,0.5109805375319698,0.6429167670861227,0.42186106752763997,0.4951047798820986,0.25411309451357766,0.4543411196843772,0.6439340939534126,0.6202192576352117,0.35199022099896377,0.5137280942053906,0.6366157915074293,0.5329622259992463,1.1638542684986795,0.6044358122152176,0.6500750622076163,0.21821674417509318
fon,0.38760288528278225,1.2277530647190265,0.40513080653374706,0.844379414710368,0.2791414312630535,0.3059235377504557,1.2614674096053178,0.23518191430722404,0.18338822492063442,10.01639430350247,0.2648929047072101,0.8711918114053222,0.4277289204829895,0.59073099163421,0.15948007856032342,0.366672530515621,0.17036364186812275,0.34919604776558016,0.5623238243155947,0.40359503824606835,0.15395017106944367,0.257334281467553,0.326022802558375,0.3648929400886354,0.32219805218253017,0.14877729854760915,0.35778410977337277,0.21906555836016617,0.28328232338012366,0.780718286197237,0.5725216295119687,0.05417202190912761,0.6458365016478892,0.5527717620990283,0.410020225546075,0.28860653121876967,0.31014362485577834,0.5394880555529074,0.8132892859258123
