,acf,bzj,cab,djk,ewe,fin,fra,fuv,gul,hat,ibo,icr,jam,kor,kri,mai,mfe,mlg,por,sag,spa,srm,srn,tam,tpi
acf,14.297811330670768,10.000137526403693,10.125612118781207,1.2569504344114528,9.098478581604338,10.89620816096241,12.584219680138814,2.991021519005432,8.854695417052035,10.75530046541107,8.875978405565604,11.501634067500564,9.475011070594649,8.121930839064099,7.7060833259751815,9.443288866862037,13.593028456862319,12.086755671098103,11.514043165276052,8.407232572245503,9.42930222455006,8.550626941386072,0.8316457284250052,9.890646096367277,7.133555313507199
bzj,9.47012616752253,15.915606958507897,8.4969307212986,1.3892010853630299,9.133779603038592,11.391822115717256,12.104053206587063,2.6399244943458124,9.521656536440473,8.866409696237799,8.107605913551568,11.836854384222908,8.913288557011748,7.869701258157602,8.461482159710952,9.917789489802708,12.086742128090295,11.6397022104452,11.517261217559357,7.6603016055087085,9.989759114625544,8.79711040618774,1.8954537630104775,9.756957896842419,9.06442580402745
cab,8.669546453748257,9.549536290200066,14.388431755783415,1.1280361167208877,7.8184870193131015,11.049915078287551,12.316805643799393,2.5528637716144225,9.095594264854697,8.90396720098863,9.139834601084297,10.50255768053451,9.464249674139817,7.843240838740837,6.7988459457328965,9.619716505393926,11.06175253497107,12.510149759150766,11.441723470495624,7.681972515180069,10.085390006034592,7.516566891717042,1.3466498490882166,9.84244828193036,6.636330917658105
djk,9.40756172619484,10.690386474917748,10.284996967050997,3.9175223918701554,10.675715133597597,11.057836349992877,11.236735620613086,2.7340358178218995,9.55408388301079,9.738742897473298,7.500437036497279,11.49470688314196,9.246057286560035,7.920682913653971,7.603177463559672,10.734988338460656,12.071060929549112,11.90436704743206,11.618838291943769,8.949462183824332,10.966120743439129,10.627344162054735,2.3049022093626266,9.801148095597561,8.242198418194803
ewe,8.69913377962815,10.371296480384135,9.00842011879575,1.1222138776693065,13.246681480886908,11.246213688356747,13.125747269359108,2.46358965233919,8.64599193189263,7.7304451924216995,9.912609710301428,11.283261512047977,9.71188678384382,8.063321483784899,6.8570834065118085,9.09309059741339,11.020161252017294,11.246466348925868,12.663567986391858,9.190749840743106,10.965509202043089,7.958437961157827,1.0628606091135637,9.701458328138227,8.03565422223419
fin,8.864640719108898,9.413567043944557,10.636595167516317,1.307513541989213,8.556394687459818,11.937005335615273,12.103140902940803,2.843949663633715,8.896646338637373,8.299257486789035,9.186164510651606,10.561418602506931,8.934360653269358,7.647898474641382,6.358073335270922,9.435203304425825,10.076530128418977,12.092791218347996,11.365254198074904,7.837346731835043,10.398622282477127,6.7573042529156035,0.8194616164241688,9.339326876823058,6.452721746808487
fra,9.979066396838261,9.804282455927085,9.863034346762612,0.9779194966138849,8.3800601683198,11.222990324651652,20.20405570008811,3.1071744986882424,9.263965093699673,9.640270502090607,8.621070651169525,10.2695169720244,9.65505709165627,7.6975454567466794,7.008526987493409,10.35232910244118,11.698524824743162,11.795793231616505,11.666988479654288,10.119828183600372,11.22633951828957,8.075738713267528,0.9313835760977406,9.90122095891348,7.163021433566849
fuv,8.674932935845558,9.810690244690509,9.272016795018697,1.2359633957851885,9.623450062487992,11.313645029504944,12.011409658358192,3.6443802391695925,8.422641517359896,8.112005641435827,8.775915601888961,10.63342049988453,9.122049808645146,7.953668956431568,6.542628960488833,8.82991745900034,10.657709846613903,11.420205699719151,11.911310480150158,8.285625570558548,9.693400908329009,7.7728848922415175,0.9898895503778661,9.749340966065885,9.42431816884796
gul,8.742497669069156,10.394157929289625,8.78245994487013,0.9996851967917723,9.453395279943127,11.241749281940745,12.955551788835692,3.415585493104531,17.27577075430167,8.936194095365678,9.529666318520098,11.931158280393225,9.867665126002796,7.978979482147179,7.862699434781321,10.199078978755386,12.403677876890898,11.450963376902388,11.47074498438932,9.07779766481195,10.820636415305605,8.471063322071855,1.916811142969874,9.667442543005265,8.879876989954065
hat,11.547886294412656,10.260284509939098,11.208690774265747,1.1895888775770054,8.442002187052875,10.922533577414608,12.763644951139334,2.399423458115555,8.459743556922932,16.837439203706246,8.395649717656838,10.41861363573821,9.655769793044128,7.95310131225617,7.852706361999974,10.480039378450709,12.872560733525937,11.792557958492658,11.233865541500425,9.884606639148101,11.211105289268627,7.942606257814319,1.013804647508313,8.983083277942578,6.92952740870353
ibo,9.414397368551102,9.993681119376719,9.944641691450183,1.0281431606111415,8.763898264720968,11.232477765588154,12.913107232950798,2.4047563713280615,9.193339621869232,7.630363265503816,18.932093667828603,11.410281172513557,9.855727548748808,7.638706900721512,6.910015684962281,9.705982173924465,10.953038077282134,12.118613138288282,11.562743541827194,9.23274257972791,9.460599877229345,7.727326868346113,0.7183566253738299,10.097754698427487,7.560527056882845
icr,9.595943005171895,12.184645343924059,8.937760701260174,1.09156109334646,9.729433434079356,11.44826964480293,12.457421514016813,3.1779725884830206,10.409218167511927,8.750190392628326,8.51855917486021,15.900672496858515,10.087627572496787,7.830458215449617,8.865874555681405,10.338275476286912,11.577880238847259,11.863373432152633,12.807894194492093,7.486419284930136,9.533684803191576,9.638081675820404,2.020905878223802,10.130073411132933,9.184183838640283
jam,9.676040298526559,12.018424207717784,8.806680685459751,1.2330640525423153,9.462075327893944,11.06256961654025,11.876906643034676,3.1235576942465517,9.39041860194001,9.575047022304789,9.475023666017728,10.403363812313184,10.837497053512855,7.758549795033589,8.805113581819242,10.247112408914367,12.09572800945761,12.074731332705133,11.044989877098542,7.693090869740211,9.817965844218817,8.999671247367605,2.289309368670058,9.793563449051867,9.326348459860947
kor,6.200184412213746,9.645796901087376,6.951904150106286,2.4619428968878165,7.389937969210736,8.722511856077391,12.86675132472289,2.3961479403198744,6.208359284700062,5.009828065973561,9.885086598465517,8.065900541453331,7.4456278328987295,11.452119536256033,6.136700064072258,4.353436510407905,6.763699368581796,11.87248783045701,12.148471234433616,7.361461794582532,5.820362707921959,6.443446188319635,2.4472288246857516,10.309131256757084,4.063159516076059
