,acf,bzj,cab,djk,ewe,fin,fra,fuv,gul,hat,ibo,icr,jam,kor,kri,mai,mfe,mlg,por,sag,spa,srm,srn,tam,tpi
acf,5.911388773832962,1.3149973953638994,1.870638196293878,0.000641142734272173,1.4391709489658553,5.58875417220396,1.620012422740234,0.013255141276220083,1.0606367099704055,1.9363374465419703,0.8159760049595282,2.5658325545039466,1.0406874836307225,3.9565300295980323,0.9416116472782978,1.8015726698117822,1.5844977027081242,2.78272351768845,1.4142941547636811,0.9685917993176882,0.9773166003504787,2.616470812802498,1.42526995514464e-05,5.752633066162859,1.0776254398787086
bzj,1.1213488979420954,6.2887579396141025,1.17153062576328,0.0006450062827564754,1.1642398489164647,5.915795974022173,1.3695466776689602,0.005050981775142664,1.4466081618941316,0.7240904282718545,0.43963571202721885,3.780877809845638,1.6143691686152,3.7293936676222845,1.3112128973784882,2.224358497031592,1.4417324485084875,2.273939342670169,1.303270828985015,0.9784312029366924,1.3224336653971684,2.7562650240615754,0.04337864405639676,5.588451730472186,2.2297601426842517
cab,0.871116229545047,1.5328488308162689,6.541154129166196,0.0001302738367722688,0.6177397921066881,5.918208061498325,1.1927962795434126,0.005992500087321574,1.0383861610971103,1.1639046123339194,0.49865058876114343,2.2184650619227204,0.29150028504143355,3.7129467120941886,0.6820681506438366,1.6158098265108836,1.669320522461512,3.2789474000730285,1.1052694218177774,0.6058286209595076,2.028473394079961,2.026211701009535,0.01955753855944868,5.707271543494432,0.5927631573981007
djk,1.3787990215804573,1.6978220351785014,2.965297918054573,0.2053500414338892,2.2567454218842307,5.351289553019788,1.2460634603133363,0.006928619988387714,1.0125904640657113,0.9604923597753632,0.41429437082618537,2.709261172449008,0.9047071979590606,3.7522768971799447,0.678946380294562,2.2044129642354076,1.1774963913866836,3.3711216412082914,2.3511644214449223,0.779738393345758,1.443872885658807,3.867056469276819,0.014828842232337184,4.954783085165261,2.384750562705927
ewe,0.606680378116656,1.5777273212181044,1.2281970503767414,0.0001268923325400795,6.026262787051445,5.94251496170078,1.4451935667330582,0.00393402566353198,1.0853423091220948,0.5888159673930836,0.7150312542075791,3.2229974797906005,0.5444611562532636,3.8861567105876573,0.29741857920354814,1.0712899793646231,1.226583473901363,2.4727242381676744,1.5332033248565369,0.7263929113205485,1.2889167182546093,2.4182372099939324,0.0005833869332959962,4.995908380659427,2.3623946551306227
fin,1.260756255143645,1.5961231297871925,3.9169911619568833,0.005048591310265628,0.7901104258643287,6.000556633376542,1.3309164886523903,0.012691562904936476,1.3215998684901133,0.7344344648599122,1.2393821379380747,2.3329000118478547,0.3753654246691515,3.5188370190746707,0.3505357164571516,1.3038105299824803,0.8551784754695894,2.8873374178995674,1.496318938709479,0.7508623642764098,1.548230771879079,1.2692715574054758,3.5537816754197013e-06,5.065922103599789,0.7092448811607016
fra,1.1384884886065019,1.8752011905796324,2.8842412300278757,3.0085454354113568e-05,0.5781721060320701,5.864194927620322,10.711345504624763,0.018993096998133573,1.6624985864583823,1.684622418246442,0.9031205768600761,2.403283863025488,0.4687508476161726,3.6696539220161557,0.5073517515419182,1.9813221795370288,1.573014796450651,3.0602206935860785,1.4374571395998503,2.9712768565978367,2.275403708567279,2.1089770965830312,2.917347139267755e-05,5.4579160595370215,0.9206658555586736
fuv,0.8024983966237855,1.5028049477759715,1.4512962965747602,0.001624496541836255,1.8053127452614153,5.569859010898291,1.177805204073832,0.043629892370580584,1.103164374452126,0.5165783896907576,0.37593168056400106,2.272307189148699,0.7563229453559004,3.790291910944731,0.42083227019889535,1.1414754196364898,1.4973850762092196,2.4820150164627606,1.2591492259201829,0.6827479590351087,1.045979425600409,1.944703319227474,0.0001429380949901052,5.485293015549139,3.7255535270140463
gul,1.0402628617751641,1.9655610465066842,1.3902139414021557,6.385711176414099e-05,1.934232298606291,5.681316861430127,2.02730209562489,0.027743311968200665,6.860726782027799,0.6176255907326372,1.685313215967744,3.1213378223116925,1.0919710875822835,3.8269301826847664,1.0043463268648813,1.6150652847963651,1.2928330392260923,2.5825493489027322,1.388787145307491,0.8521204878844699,1.2996465239779627,2.1891354578536655,0.0640686659836725,5.082429333727703,1.6470858865949765
hat,1.793431682609302,1.4712343592504025,3.298515542929532,0.00012956253939170288,0.39415474391832184,5.9034779475791845,1.7844571111417384,0.0038777752907356426,1.0342001601174737,8.03886818788936,0.7665054781310029,2.2313043166364794,0.6024938801061748,3.7787661287205503,1.1740023502493424,1.362798660942864,1.4076400406731842,2.585843878428804,2.5416594216062176,1.0369274502738768,1.4194891745992335,2.832154908065496,9.289084325730414e-05,4.312831188595163,0.7662801261471978
