,acn,aeu,ahk,atb,bzi,lhi,lhu,lis,lsi,mhx,mya
acn,15.172449135016352,10.96307675876139,8.850150350335118,10.599454498897229,8.488768743529821,8.11971173027552,7.124772052593167,11.22970452814257,9.841687067970566,8.603107993505983,11.583576928954967
aeu,9.661342455106135,15.271129964067566,9.402904632847582,11.056761157215607,8.941894887668871,9.25562717623074,6.4476087229862244,11.656839318647757,7.30258518031453,8.083894337742878,12.372669754573487
ahk,10.898421528170736,11.21524182553231,13.111040330613799,10.93242043038155,8.439811226322556,5.29562120315506,6.305517455672562,11.928468931995413,7.4768336760969625,8.69955483256046,12.178467570237398
atb,10.43985906670582,10.794561908846223,10.884770853979798,11.7994331423274,10.189485189520052,2.454429363092625,4.888292286662688,11.935822311431659,8.665421702446721,8.878728590052653,13.489009862898346
bzi,11.997552159848386,11.540675012112645,7.128771235153299,10.6770774671578,14.348953335882175,7.673677767804181,2.1048747434037134,12.268570303571963,10.41965721300978,6.643145005073661,13.489031692087607
lhi,7.047722426291688,10.914121633070781,9.141122027526707,11.155534776677868,9.521303526139096,11.755003424244336,6.730970835591004,12.384891159048038,8.972383996725132,8.959375006041865,11.246290569176908
lhu,7.395605732238428,10.578276291693072,10.836690272396108,10.316352236419323,10.467387498795722,5.613776883473475,14.121119575489699,12.531227469772594,8.8168631083886,9.054531089156317,13.00285754941857
lis,12.097956201553139,4.823311604399709,6.495661816065958,10.540592332984225,4.8968151779043705,8.654777102477434,2.0382727959411984,14.906342424128757,10.649097852032076,6.244717259007829,13.563377114871624
lsi,7.93352599746542,14.031461069326262,10.555944261300157,11.343554510006419,5.892608278895143,2.3845393202549507,6.703008944998655,12.20830484964075,13.09810726464512,9.594384012257434,12.416826878602263
mhx,6.46385073666981,13.59482404380893,11.448259290423081,11.660587452731887,5.5199605206084765,4.5153107853152905,6.921896548459795,12.539653704384222,10.895200580251982,13.86555446595225,12.956023260438812
mya,9.169633113175193,10.49251484021549,7.081475738078236,10.42750893091194,4.294852607916041,11.147430664398154,4.482033557508447,4.812526558825976,7.156808799159177,7.043684220517908,14.527892510346344
