,acn,aeu,ahk,atb,bzi,lhi,lhu,lis,lsi,mhx,mya
acn,4.112873546780408,0.8011517495711582,0.5556155329592256,0.5499298649209987,0.23491167486350753,0.5199927570171852,0.3345062342177416,0.7573195609084014,1.621847673218295,0.7557731859568203,2.9308012909510106
aeu,0.9122422877119946,4.498528678991629,0.6000545019261959,0.38317259636951734,0.3402779577871751,0.4491771571445623,0.29273000650437636,0.8168688482882304,0.22500358952016586,0.38956565412389926,2.2375683351657973
ahk,1.3131218940015323,0.6506006436560814,3.4252528827642017,0.32711365579728824,0.23785096386106844,0.49268095977114373,0.21277989445540094,0.7927075022316449,0.1309944976733896,0.3600351897639823,2.3479511919966303
atb,0.463852300359274,0.4073338761346238,0.923407604182684,2.6466848004286794,0.3630409406603798,0.04516531419032197,0.15612475821349328,0.6437709177878285,0.3599185265859944,0.2668511393747549,2.537226986707919
bzi,0.24036003650882876,0.4149870417826969,0.14418289629982842,0.43209577794086323,4.3559236164140875,0.5720098266170659,0.0032202398174346163,0.473195164314674,0.3645318590796747,0.2597906801345621,2.725890307371655
lhi,0.505600274848434,0.6778599739662561,0.8188840233597365,0.9317986356487208,0.4002346173835759,3.1823467515241353,0.39291227778409915,1.0265719035151457,0.3476590406949382,0.5307844656877453,2.540519760950254
lhu,0.32689928458659673,0.18918427170899527,0.5906608708840915,0.25785059579807773,0.34864889003792526,0.4441107310078991,4.431168464184944,0.9170259255864154,0.3657268126826353,0.1968113598512154,2.922221800305182
lis,0.4317403738670852,0.08158346794454295,0.08277758570557084,0.42481505390665214,0.06631567962266673,1.3978822247470342,0.005830457011307785,4.4231762657295715,0.36739429621774183,0.2240623751032314,2.8374198555919214
lsi,0.6947014263859413,0.5960504723548323,0.7568562257213522,0.5120268660378595,0.23576813295821467,0.1629083776152366,0.1910318609074947,0.9316726391969167,3.911319370796444,1.4980841244730339,2.1150604676211904
mhx,0.40086453366923736,0.6913713796690607,1.4868774360423356,1.005661479298255,0.2014450334477069,0.30758939383438405,0.21122036624055918,0.6279244161571422,0.9940283367354535,3.7104488679975356,2.2840800066752283
mya,0.12727836202983844,0.12018860372760014,0.07406213246744497,0.8070971218072011,0.010689489090362922,1.7267968176814579,0.015164912175341333,0.08008698098499809,0.08950525636293592,0.13095904256195529,4.129083124965873
