,ces,dan,deu,eng,fin,fra,hrv,hun,ita,lav,lit,nld,nob,pol,por,ron,slk,spa,swe
bul,0.7053233439725634,0.8745654838410044,0.4496549960351229,0.5605466934817618,0.8382781589586592,0.625572169654074,0.824011556998691,0.850632581473663,0.532229994497559,0.8067747265537805,0.9234126952220906,0.7080757690422498,0.5312750273797714,0.837458382654721,0.6522602605149852,0.6238921013659038,0.8301742444007781,0.5238531603791792,0.652896155370464
ces,1.1409420015382326,0.9240626521984855,0.6915049304554086,0.840847801786606,0.9012163447937225,0.9026490548578576,0.9576959114574645,1.0851100265900435,0.7911637892010209,0.848940392190059,0.7940468167563652,0.9008566684332387,0.784401773243955,0.9598889525095927,0.9452938378224464,0.8085589634713406,1.1256152996606177,0.9364937344126053,0.9423573074612721
dan,1.3758497959340887,0.9464265506287873,0.7114529593211654,1.0576419372035122,0.9323193357430797,0.8479126719205287,1.0348692283583911,1.1901644445822213,0.8657883035175431,0.8626853577955379,0.8738255533131501,0.9233656904615227,0.8242933896793458,0.9621471762248867,0.9048739106295146,0.8492220410888099,1.279982013856295,0.8915272880393934,0.9048938467233543
deu,1.3699980488409023,0.9125974439964019,0.6514533290483171,0.8758039755952715,0.8670138800817087,0.7894769525556071,0.8900735154733779,1.128456777633921,0.839403395059377,0.7798528831630488,0.7852039026579956,0.8724507497596063,0.7291468335293224,0.9053101372283614,0.9288482001713487,0.7490734158968091,1.2060064614743773,0.9190588403919578,0.7843402967879453
eng,1.5407758456559728,0.9524025116290836,0.6902170142523159,1.0689835981537685,0.8713251383028653,0.8242278876444106,0.9994885885271619,1.2282055561026557,0.8405368227148703,0.8370320569632926,0.7858011486371017,0.7909268390095072,0.718221717445754,0.9453279657980521,0.9607549043688715,0.7836519700734529,1.2003087613089187,1.0540984981689177,0.9083075572738227
fin,1.5095513129309124,1.0849708687526662,0.7050865518802536,0.9877182270867346,0.9176678208703539,0.8500592641753227,0.9885007799733124,1.2918689130015388,0.85401332532476,0.943679792674517,0.8974859590145684,0.8811275343184981,0.7623817875929405,0.9174506498345064,0.9945164616108572,0.8101769494662694,1.293592956425566,1.067577998410871,0.9070288258033008
fra,1.2021576105628053,0.8083912725144325,0.5569106969145857,0.8697196950718515,0.8167117530044087,0.7576970131809475,0.7744715536203072,1.011155593372193,0.7496556697029457,0.6974677312763495,0.7001312566317693,0.7075168921427171,0.6787640921000869,0.7301099397028677,0.8408768112083087,0.7082140250760953,0.9971949479322939,0.8117476954201677,0.7730689077380609
hrv,1.525766202032746,1.0136841277946154,0.6555551797862602,0.8610333753118616,0.8629831849953709,0.8098861602699519,0.9718265598450823,1.1473136051319723,0.835319201737048,0.9346450079993297,1.0257902387386097,0.8395952178041193,0.8016715735689949,0.8235097672753804,1.0071277651887411,0.7645687449449687,1.3332748367012441,1.031916310697498,0.9235899224982521
hun,1.3849998062890447,0.9564262875778959,0.7642071492801191,0.9352174233007137,0.8888018786493653,0.8238371156597617,0.984230575798159,1.22507522201871,0.8449793026903339,0.83535926457788,0.8489914745356477,0.8965197354643072,0.8823981057388354,0.8777262066504742,1.0065749878949846,0.8924842708377253,1.2193601409841177,0.8677011918611305,0.9147700459044462
ita,1.625752130545225,0.9502656815083493,0.6085740184715394,0.8795001133041604,0.8838331194601996,0.7818916400568234,0.8872587229480879,1.1977488660451365,0.8212691555574575,0.8124478203963222,0.8344610544788866,0.8407505027863484,0.7522115076041509,0.7822233079476617,1.0142334618945081,0.7482456719002608,1.2689395901333191,0.8640689287747989,0.8934798986623951
lav,1.1947956677925522,0.9614840199704782,0.7520796907107556,1.0256688699615295,0.9467281070964966,0.910362308347484,0.9451784058609599,1.150864451422289,0.8960659707429507,0.9021154416858874,0.8588414001124283,0.9674389213001983,0.8867705881419647,0.9356961686823712,0.9158329622924763,0.7673610869744523,1.0808266216895308,0.9192570493389093,0.966431817343473
lit,1.2114480414108741,0.9159869682831125,0.6509709738808273,0.9040697557849877,0.8299264218321953,0.8176233335329197,0.9103941319236012,1.1785024045807722,0.7438534535420545,0.9285436392516869,0.9894150703580237,0.8772911248449632,0.8039745384394467,0.8887800355405812,0.923162294299598,0.6361210237944491,1.090635932941011,0.9644776961050074,0.8922561628419656
nld,1.5288049597190598,0.8743196882189733,0.6828523085868727,0.9741569757954383,0.8807407220385735,0.8351743828353501,0.9481288004060945,1.1168296135214362,0.8458990125694945,0.8305167597753984,0.7774416099031896,0.7860855789040211,0.7350156886749681,0.8590836559010929,0.900242317164403,0.7177035732163387,1.161345306239925,0.996933569686427,0.8231060532206087
nob,1.4516829353003,0.9424375345676904,0.7271008945698783,1.0107019977171292,0.9586953535735058,0.8472804233762342,0.9700936586418922,1.1723284520822908,0.8773097674229835,0.8497240738596076,0.8693336883195314,0.911626186093988,0.8455607764610723,0.9525155844486626,0.9385602907875366,0.8632347446711838,1.286991013117553,0.972766845764015,0.9369867962213937
pol,1.5451044203039879,0.8546106192722717,0.6304551320040195,0.8635987144200442,0.8553332745139479,0.731513990945497,0.8763332008769402,1.092778236263937,0.7920824364523062,0.8072542289386927,0.8579001173201131,0.7716268833561238,0.7171820681774932,0.7377955533423373,0.844157911742583,0.6772458129034999,1.231168576789439,0.8546264038666465,0.8508403753116148
por,1.3033314216150795,0.885278792003315,0.6317276135524116,0.9141077620555823,0.8207989946401137,0.7861102571252033,0.8179915956039822,1.1119922096267676,0.8186756099423855,0.7752920885310297,0.8343185236194004,0.7997074275863062,0.7992365747299156,0.8355485339799582,0.965190140132531,0.7158976635001043,1.0250405072023194,0.7896251592891476,0.8207736986512179
ron,1.2967017739764366,0.8900621299913415,0.5461577834793468,0.9282941396013502,0.8122538324558524,0.7469900949317021,0.8755259708255548,1.0997209275331652,0.7595447011643268,0.8093578864412418,0.8166470025203929,0.7823116238465735,0.7441369050718216,0.8003767166541532,1.0104490186848534,0.6973010539052722,1.1227132171053198,0.8756400948567163,0.8397063457744777
slk,1.2004121350672545,0.9633540225143171,0.7166429114742389,0.862700613822465,0.8983489262545508,0.8514076126114922,0.9820947349018284,1.0841735449626106,0.8360610215860473,0.8658468447392085,0.912046763706023,0.9071792129914786,0.7806324893592786,0.869078533950613,0.9582093663476255,0.8531337669290919,1.172153487651188,0.9877671264921528,0.8930987155650386
spa,1.3999261939839485,0.8281117096424285,0.5520897672715481,0.8718243833931459,0.8492516349421511,0.6663351327684002,0.814495850943566,1.0345616591498212,0.7504096374349543,0.7381422589195034,0.7026377152443878,0.8065777029433672,0.6588745453809088,0.7721535975392942,0.8913285076925289,0.7199923478925448,1.1342539793984492,0.7489189106569109,0.6707775212062591
swe,1.2546796288475235,1.0004293179116612,0.7516934171933379,1.0022233834748195,0.9389407658339602,0.8418968621917616,1.0373437725437427,1.1949487132722356,0.9045789284498658,0.843960422913584,0.9117603800325135,0.9556664584279154,0.8997406206868082,1.000642220416006,0.9606118915404338,0.8638574625568817,1.240450362562101,1.0168209603660374,0.9713143658684299
