,bem,cwe,dig,dug,gog,gwr,heh,ilb,jmc,kck,kdc,kde,kik,kin,kki,ksb,kuj,lai,lam,leh,lgm,loz,lsm,lug,mgh,mgr,myx,ndc,nde,ndj,ngp,nim,nnb,nnq,nse,nso,nuj,nya,nyf,nyn,nyo,nyy,old,pkb,poy,rim,rub,ruf,run,seh,sna,sot,ssw,suk,swh,sxb,tap,thk,tke,tlj,toi,tsn,tso,tum,ven,vid,vun,wmw,xho,xog,yao,ziw,zul
bem,3.8406059986249783,0.5778337478556974,0.3305716369561864,0.22859320615609313,0.6088203493478197,0.3157379740741346,0.39877940783848764,0.6522906739339316,1.0161166256939786,0.3606819422482239,0.27398885937051,0.6817219426549919,0.7958297498207241,0.9905898480578426,0.33468035727435463,0.2862437378663838,0.40755179706729017,0.8818761327304294,0.2005545091724894,0.6123943884335326,1.0290645448866247,0.6917346562322066,0.6504670182088308,0.601523240784223,0.715060582740902,1.3197362506648052,0.6948088784840571,0.5128643365206713,0.6585072740637603,0.46871239438442025,0.23770632851616114,0.675509528705506,0.5157116117169913,0.48448744387420284,0.501591499142851,0.3241971132201549,0.3795956086440109,0.8366375992882507,0.22878649496924197,0.6389979368190417,0.9446770505355833,0.6548356749095898,0.42202733217073707,0.8513091952044132,1.1506716582108236,0.39795791812799486,0.4998094145341252,0.41003414670219307,0.7409766954753749,0.23438720462265472,0.4872000886555643,0.4323386764264434,0.29306531555819326,0.8701243424227219,0.9149287965543706,0.10457542509112727,1.356399191856573,0.4548164262579384,0.0,0.7454906811179214,1.1988083839405945,0.21928680776552412,0.08959418922803408,0.7238018995922957,0.23529432474193968,0.8110305535164386,0.4820864617986267,0.17390238397009483,0.5308616560807877,0.7761799306833268,0.8199641314497281,0.5376393381018865,0.6743991389703474
cwe,0.779835612052489,4.693354951220616,0.5796015073450071,0.5345620285393391,1.773074869107452,0.028740535431690972,0.976964575586095,0.44375371222407445,0.46148375970849465,0.25543072677007395,2.9009996087802943,0.7022542579954667,0.372538506567869,0.7359436800087433,1.8036769898026979,1.1732462625294389,0.37287229881460426,0.5298538020944683,0.40089550546072594,0.09470302464798142,0.47181061878104025,0.3559722783231791,0.4720534820466433,0.7740483441650294,0.36525187459998065,0.6632416301973638,0.5333360870199382,0.348645469016029,0.17764781227517723,0.7010140183898326,1.3453759246061434,0.5809071668780881,0.12019326704555944,0.28720155770989386,0.5750146882896008,0.3529653352007003,0.3311648841816872,0.7477061483865821,0.5183497093847418,0.4796475414857895,0.8156478762386836,0.5594283055769633,0.7193412996139301,0.800847412428551,0.6880114371476775,0.841541180415355,0.5230534932464543,1.2562231741456937,0.3914059680269961,0.5370486563178503,0.1683180001936737,0.21823434346770298,0.12964347852433278,1.0251306621410041,1.2275013330305438,0.17244924219977875,0.6530974393575395,0.3293955569893132,0.37993805251385915,0.270021170416225,0.21810272283690235,0.16856101342815322,0.27987028408959524,0.831261221740009,0.18810485007279532,1.4638105757295392,0.9069096142546744,0.6514535790557865,0.09348457015385847,0.5137552779833996,0.9237188109356218,1.532330224880127,0.4129829404145404
dig,0.5341784838666523,0.5699834926482676,3.7572228991815884,1.4745244242366038,0.5544176914329988,0.0,0.18609925126488847,0.0933511771143305,0.48025086733893474,0.49408124994953617,0.5179721578752936,0.6318238659809126,0.6081263241664647,0.31840616556270085,0.17152921002735688,0.158001292326297,0.0,0.06357856718684207,0.0,0.11881671304745112,0.26504747942720286,0.49399638975411087,0.2691080693878938,0.17973190070376255,0.20538874748511482,0.45292111831198945,0.28418992042533553,0.46278514614889765,0.25681375561091535,0.19658886253383479,0.3988150916857123,0.5697503789236329,0.02083640411715848,0.42091022679119305,0.1340802196665134,0.45322455957978214,0.09922533818082879,0.3741651230162031,1.5256956447716004,0.18819799916944113,0.5942135241676443,0.21082242105946492,0.02470606666689612,0.6016483413534619,0.6483422681887667,0.039872290420790435,0.3705756240926732,0.5265690055577075,0.26917298220282504,0.29368295596906613,0.07063874104843038,0.2967169399725993,0.3664820466820604,0.7271255989380006,1.5448966805027613,0.19201444547803348,0.3416975634230184,0.5361866107612094,0.0,0.2583812755777757,0.173762246431739,0.3247754800363687,0.0669182072611223,0.3649736342240111,0.39163511660613537,0.3723510399626466,0.3429096191720884,0.6587748061598955,0.2653092213712611,0.13126698371458723,0.41964070586658764,0.7646099275422049,0.2560645345374688
dug,0.32205828734795716,0.40288783923937466,2.4104764012980677,3.1741767211762753,0.7051506844311355,0.0,0.20125235483380344,0.15365452703209925,0.30406711267457354,0.1982008048026067,0.42625790128263397,0.37362919256018756,0.8669078896503137,0.28332443436160304,0.39508074552259664,0.7087343301424394,0.3541778622055656,0.2650471620577717,0.09599237155028284,0.04752273852106814,0.1529737310030832,0.30585674063090984,0.2623523951585103,0.25300197445587,0.15481968942605562,0.24683782553413636,0.20613403593083746,0.19511626754472822,0.10144354132565425,0.1687384962258367,0.007098024919086399,0.6389553232151268,0.0,0.32071285981113107,0.34277606528299387,0.21679108967733463,0.023190318330291504,0.18226721211941843,1.6611649187600808,0.08128090052736248,0.40979688860426755,0.1713621221846875,0.20376408363451404,0.5452963957428754,0.5112298168681289,0.47063937670082545,0.25152230488247973,0.3353818078726789,0.14393520863046305,0.30489575337712793,0.0,0.17862707151555313,0.3645073067541329,0.5450328752056688,0.902928514827039,0.15302026262763135,0.27693492043423973,0.1547409516838325,0.060074364786179224,0.31880864606888437,0.4011514233858282,0.0,0.04242011966805492,0.10800682087428726,0.1603849414433718,0.05685826106301484,0.6141391476527733,0.8558690623821263,0.32344894485467357,0.15107730378911022,0.32380020050946,0.5864361465983308,0.21805642331573782
gog,0.6797383835413982,1.2235081587983743,0.6202643040503144,0.15570383549888334,6.082894289878203,0.2820952788422053,1.3778107164189741,0.573493516385339,0.48452792808767775,0.42626647066740553,1.1296383190708017,0.5237208764154566,0.3972960065701123,0.8038445189154846,1.4965274716356003,1.5925488425630654,0.26206300743220723,0.4808674402659383,0.06798370025053302,0.20350539168506643,0.7557955568999883,0.11195891055098706,0.5491645802069094,1.0146900321293053,0.6489424546410358,0.6264415826498251,0.37241095750790976,0.3347860336057753,0.3200536419571609,0.44670562531077174,1.3393015024630728,0.4628785907773185,0.0,0.3250344367385072,0.423649488471602,0.10272165607966421,0.3738258792308864,0.716696537405312,0.46599261682892035,0.2757340791574938,0.6426492562510209,0.5224830842159154,0.8035697749241457,0.955042267803238,0.48891393627896385,0.6184299140092566,0.36455248049951194,0.5860480933218639,0.5158928404770791,0.6327176706147633,0.12760439924525535,0.2605609452128306,0.33558030526894456,0.5644871609047257,1.1699189617324919,0.3980024325355984,0.606509750255011,0.25344938501915415,0.20265480530987645,0.3971423766498354,0.38211091632852323,0.3462091445794959,0.2364447624406676,0.549327711883544,0.13334718999015038,0.8761202304087394,0.777512767028357,0.4595001594129151,0.31671337078532247,0.6097673390681138,0.6873942524666017,0.6289737352734743,0.3033631288827916
gwr,0.6103302511390378,0.1628523039282559,0.22528527161238188,0.16270157268730756,0.3538509563049459,2.0555565144671597,0.29637402275504154,0.37481002777027506,0.28905666958989684,0.1379332755522018,0.058875714430845605,0.20483148364448844,0.5585098837994718,0.3862138204585559,0.12761646176963914,0.018328975098301115,0.7139773542038306,0.03476012147107799,0.0,0.2110886826629148,0.10420191540965185,0.40193463853837486,0.7096312240410487,1.2384478138452462,0.09299687874305818,0.46502299375589295,0.5579784147466533,0.21477131242337322,0.2792721116842234,0.0,0.0,0.4165186786105899,0.3786732113831839,0.5494997663347263,0.24170017098531815,0.28657163895843496,0.636626191336271,0.27720763489927513,0.22885495557756563,0.6866944329716063,1.0265376786356306,0.4249598998469608,0.027925891547566195,0.18494836923179747,0.43643756932552336,0.5217564780853472,0.4872762012389398,0.06119472732850717,0.2459329795704761,0.14539761609164614,0.0,0.0,0.33808767932924866,0.22718016811554165,0.14979002788889062,0.04006061372263581,0.4193417483241717,0.37379979873955804,0.41624924492402116,0.6507660362216701,0.43161518573934643,0.23579793689983397,0.13862298988756017,0.3069670742614736,0.0,0.11378098550369309,0.26536840107781323,0.006927930558665807,0.2678633091326539,1.6134995266747012,0.31780729224543514,0.04533819375325088,0.3781815552332972
heh,0.8771849735244341,0.4337816148198641,0.5432860796103309,0.0,1.212738964072484,0.3873515570805779,4.018223980075016,0.13291384741873813,0.7596648896518037,0.3657912291211165,0.7513450339564773,0.9160797324467964,0.3308768407228797,0.8833979426789149,0.5087448975664888,0.9878896625811926,0.08340026655037747,0.6246923525656207,0.0,0.2757955014893305,0.5406981135412341,0.36529576225441396,0.4684988583699088,0.912088033542938,0.44148273752695033,0.8743158443733261,0.4011256171959374,0.39729054008129516,0.20088845924193066,0.6195715345989505,1.1057939983791076,0.6441749321944705,0.24689651981584504,0.7584283225312429,0.18239550912671731,0.34397736967040515,0.2385655367634678,0.21911044477128883,0.2055946840979832,0.4909353654577089,1.0434231497922042,0.555638712102624,0.23230556445815864,0.2503980800401244,0.8216874170040942,0.898521739165016,0.43006581343496997,0.6994839175394922,0.6211285585748101,0.22195537765464657,0.020166398325061508,0.2160312716464503,0.4247166115468577,0.5401781946892399,0.38961798761632593,0.43713990627396626,0.6602435008027001,0.06598634060543773,0.18255802725011172,0.42687210480519333,0.22126084453120942,0.0894842768621853,0.40492201319339394,0.4163230580240338,0.2790035390968768,0.5447447448834684,0.5306001393337354,0.24476861720233067,0.2998584632353527,0.36493624302129035,0.48303843344666575,0.6880734350465367,0.2819487744240128
ilb,0.9544011324734072,0.4682254058163817,0.061730987187774033,0.19199591001410532,0.5606488543706671,0.5975911123609841,0.9400912751832013,3.6245966142944415,0.3184628488044918,0.999444452147424,0.44033276007691136,0.6093537952473493,0.30266131094728443,0.8159170644274045,0.29141703073223724,0.6838084979508494,0.40409154200178854,0.7005297369075212,0.06702817643631853,1.1041395034369916,0.6326589814962755,0.6653622124538021,0.5190980089858215,0.5387150439736192,0.16845991141724248,1.043778265189646,0.4567216645650305,0.7511620901080036,0.9110776341584081,0.12918819697758543,0.5988732629803799,0.41441725464772006,0.32436702248154425,0.5813709044222382,0.3793706176308511,0.5425516099029881,0.027448839940901415,0.17940416308221074,0.0,0.6074312154013626,0.7934645681931638,0.45003221402795646,0.3025551171609795,0.6852584164254765,0.5141235627073222,0.07055371857507531,0.7239927558322652,0.04083317084318061,0.5463104935063736,0.2236923241098676,0.2653074419540822,0.27204673529488055,0.3628246640204722,0.5830565097896745,0.3993167095882324,0.25445559740064994,0.6968757119446778,0.3009399224638951,0.21992700182304503,0.5272469546193541,2.1493048555756147,0.4290209189153096,0.09296086558991234,0.37992825962754573,0.3933820971253894,0.5092891940811697,0.37389216393486535,0.16812508630810719,0.35018489312411916,0.8028687403242358,0.6687079565009793,0.3116269627874253,0.513068402800819
jmc,0.5746250344628017,0.764582676737712,0.1126916775295097,0.42722825976434287,0.6228602093127318,0.055285531082462036,0.8517812179503519,0.2011149246397732,6.840191974133978,0.3620412083133626,0.5092607997332212,0.8075674722101951,0.5217556448929894,0.9956352319425825,0.4274357003677842,0.485736922777944,0.4908723835665967,0.33971535686679744,0.014776234809607658,0.29104938255173174,0.9073401033301476,0.1484038238255394,0.6954885822225023,1.629814288851387,0.6490426331960926,0.5036165289050913,0.7017224502258568,0.5075786187799824,0.22632143677201455,0.8403203252013594,0.5515768881923506,0.5520352127184562,0.5674345489745409,0.3781654620726176,0.24581915150184308,0.4758907822627201,0.33688406676582616,0.7078396209902564,0.4398680425716588,0.8979183490705651,1.206651034688683,0.463308017158754,1.4682924341990766,0.8362561776186066,0.6089577570046938,1.0916258391382794,0.5753275547038896,0.4383716282680865,0.632244272081218,0.28308571446113184,0.0881170897422976,0.18971260249949395,0.5474501528154363,0.39486717772198787,1.2297292414472487,0.2576337660692598,0.4442860134213369,0.1289692594098053,0.5924931057419283,0.43293608856548715,0.7026082755261989,0.16971771658730628,0.726698325831876,0.5303953687307814,0.3820274638034977,0.5000640722623722,1.6840606959769175,0.31382081299783593,0.3106171844170671,0.5387753124158898,0.6513088850838002,0.5759313267831665,0.40949257445246445
kck,0.3739343045491754,0.3522974536350709,0.38102625033509163,0.14017605974991199,0.5315577694001412,0.5017812388141056,0.48519970798159395,1.0475428695322684,0.6441798305688149,4.792734518870748,0.3481860937492751,0.40715369449653593,0.23807143685140097,0.7327398593927121,0.48424146601488616,0.2099699421296215,0.6425558147897146,0.4593166083697975,0.0,0.8200333860137494,0.5708271116267287,0.573822911297265,0.46016580132602236,0.5719292842075472,0.3035909068619702,0.15806436214639596,0.6703459597555597,1.4676122132028855,1.1184332610847108,0.3649213105836733,0.5339583834242472,0.2802533452782203,0.22322951339393526,0.4075070882763967,0.3125080571350871,0.632707335941415,0.4825306001940781,0.762612371084451,0.5388276498825473,0.4146174588022262,0.49305308355793187,0.38366838944330794,0.41443184719450343,0.6180175090199445,0.18618616706121216,0.17375544462228198,0.4115932487443388,0.3727684964342526,0.42468360421225704,0.49623956607047326,1.2300125747347348,0.36189786150041137,0.46687462826283976,0.5333836212326126,0.6879852757921867,0.33234795496338343,0.5111980674047043,0.4688392628185927,0.08569836725339286,0.5210115135061173,1.1415308826369142,0.5126003640108916,0.16873256343050436,0.5763876382614459,0.3467103614787179,0.31311226539493475,0.5428331649464972,0.060001448514899636,0.5426819054474468,0.3640121206616769,0.526066116419809,0.32097214317287204,0.887741798551426
