,asm,awa,ben,ccp,ctg,gom,guj,hif,hin,hne,hns,mag,mai,mar,mup,npi,ory,pan,rjs,rmc,rmo,rmy,san,sck,sin,snd,syl,thl,urd
asm,6.065585234266596,0.10505145186752962,0.7340455157880905,0.0,0.0,0.4245964346310789,0.09033527933697982,0.3847901950299226,0.0,0.0,0.0,0.9692482328823715,0.15913930697520406,0.5202228177236243,0.5140020853071485,0.434714007747532,0.8147894603715198,0.0,0.4918217224058292,0.0,0.0,0.0,0.2121539187025796,0.07412769777191741,0.22774943774784706,0.02531750600508209,0.029605284734707027,0.13550271116231727,0.1509493822113841
awa,0.0,3.756654168420333,0.0,0.0,0.09858754847161944,0.38564190654130925,0.30559921111353283,0.1813306390904703,1.8869260999665407,0.7606008148521575,0.0,1.7279832776752855,0.31304315103245983,0.1751802180995501,0.4176923564268842,0.7102073083087568,0.25321993403985843,0.11619417727872872,0.32795593533093736,0.0,0.0,0.02885896924768261,0.12819368546487198,1.0159086972590554,0.0192743193927587,0.0007616469629243561,0.0,0.09658569057450173,0.23079293378469057
ben,1.8674779734406464,0.14571129676632388,9.187247329811402,0.0,0.3062174835584681,0.391259410920318,0.11144189066227561,0.3292359958632902,0.0,0.0,0.0,1.2607625050605442,0.523205298519116,0.17441330634867125,0.7342690705744506,0.6417279873288901,0.9652385344168977,0.018614220919355162,0.3566770819641558,0.05017250314101851,0.05246021684196478,0.0,0.2971155609594369,0.07514069572855764,0.12395192659138399,0.0,0.016549265221538434,0.24275752588266108,0.07174505140245824
ccp,0.230150551328407,0.0,0.36460327873371057,7.716282132776813,0.32824906513594243,0.8214895440881858,0.7663209227877381,0.7652612442208309,0.0,0.3292388919425413,0.13438249407219693,0.4953164040651288,0.0,0.2559331898554511,0.29650684507410574,0.27105591685972197,0.2592659205772243,0.00021514479375817075,0.342481424939141,0.3051575812221099,0.27488415254630816,0.0326258154332848,0.27826251369963195,0.011962899067259336,0.0,0.4206084026708652,0.2783631876738859,0.05400570705027796,0.0
ctg,0.41336637586234026,0.07392550187998559,0.14564595192087815,0.0,6.456036523111541,0.4268443439658469,0.26939151719408905,0.3498517637769982,0.0,0.0,0.0,0.9319694532441005,0.3098033513679308,0.21345293022865874,0.33964301387256146,0.3115479478330503,0.6797562832542603,0.05526227780901394,0.25272885766517383,0.1557299806092569,0.0,0.04271215392221883,0.2380930284875582,0.003933619425515289,0.07584111563717766,0.02986431035835002,0.022784106967833395,0.2135641758518787,0.2196022531539965
gom,0.019824408194804022,0.43808777226625306,0.05227055557617,0.2645381449339581,0.0,4.673986052954797,0.26483892773368645,0.37248638890595487,0.0,0.0,0.27892801461178074,0.0,0.0,0.11682841601748706,0.090167893495531,0.13923128103512283,0.36034270036478055,0.0,0.1890019666225662,0.33374827588304434,0.17251212900114155,0.11692359083429515,0.5515585632475339,0.13078466096147423,0.0,0.7243496662688287,0.12515332292212733,0.13396256145761232,0.3530400285587909
guj,0.0,0.3924484829494048,0.06695428450265517,0.0,0.1295034161787667,0.3034054983763461,3.254620251108859,0.25203217996483573,0.0,0.0,0.0,0.5427394397516334,0.2594156592424124,0.28249250141441706,0.33901167468029847,0.14481715172470722,0.5725866926356797,0.0518640902562133,0.671301073481521,0.0,0.07493694269370721,0.0,0.11453297645878635,0.1360384327610813,0.08963734125736433,0.007545706969393162,0.03013525192421973,0.0063435141932863814,0.2697322879755033
hif,0.10967844627188761,0.17800174793756796,0.0,0.39928896036974315,0.11504080174931985,0.38483245493670104,0.6625634546741423,2.567611756571134,0.0,0.02241688545176146,1.0303690595001083,0.0,0.009518528524206538,0.07255930653761844,0.02930169561982865,0.2200410663989043,0.3987341403457023,0.0,0.08704075585595561,0.2198293010530321,0.0,0.0,0.48820485045368045,0.2716773951573561,0.0,0.2845743540151293,0.1929880549604288,0.13386995693913928,0.10875290280533445
hin,0.0,1.601000517326586,0.10851924560399206,0.0,0.0,0.22350069749019497,0.5368562824684453,0.14178466338179163,7.104461286014956,1.0101360241542832,0.0,1.4301920684937866,0.5756386316407767,0.2687888296922498,0.39022212652164434,1.2046932770531207,0.6321514325802404,0.00012299076423261113,0.4082696058834472,0.15338982923491606,0.04418248936997671,0.04769788081181581,0.08121064432121727,1.0087036965041438,0.06138947985470988,0.007797675663334669,0.0,0.4830137821992917,0.16592121162368745
hne,0.0,1.2875313138725382,0.10510430260899684,0.0,0.0,0.23020262281549897,0.19736462958074696,0.13767282065308528,1.832315848855874,7.265638932557531,0.0,1.8305189208362815,0.34209724212947634,0.09981521029547125,0.15301226020410663,0.2272336900517793,0.4943728563645742,0.04079391933181853,0.5460763525534809,0.06018636735896088,0.009885487502304002,0.0,0.1159598600286067,1.264391427883064,0.08985765994387584,0.0,0.0,0.018666005990043644,0.13271683936249978
hns,0.2700597023042377,0.039669523107486615,0.09712936148813966,0.04199002899358817,0.26901489178505145,0.2573065786105353,0.8154607954366604,0.6317800999615226,0.02803510683252952,0.0,4.256273742215717,0.0,0.0,0.15402583019433358,0.09408355038838945,0.21095697579979333,0.03818225987181556,0.022449114577788976,0.2365156554702974,0.3543954413056749,0.10832884925410013,0.0,0.2688466072081326,0.0,0.002396730504687472,0.38336346411881017,0.2321901791366905,0.022134201143593657,0.005715760807337489
mag,0.0,1.279400627777454,0.056580506211173276,0.0,0.0,0.31709364369807425,0.37274602902151877,0.2435949315544068,1.6409169465678328,1.0172639205766885,0.0,7.157178299846217,0.5740860526079352,0.24115268144040414,0.5783346154097622,0.29712234234523294,0.6722541657678818,0.08153598689958486,0.5593108039735277,0.11732953020096559,0.05550495945664835,0.0,0.2512901360166211,1.6569639594913266,0.0,0.0,0.0,0.6191867690069888,0.18730233155526133
mai,0.0,0.9065981578777507,0.047341796340772735,0.0,0.11061731567589206,0.29614464020550635,0.3319284859025231,0.27521655244246457,1.3795560695690092,0.48255387641669856,0.0,1.299111218881956,3.73255556385228,0.06261930103416447,0.04681884677352155,0.9554312851960081,0.27155869445786607,0.07355132140046194,0.2869874178003755,0.19339101175280504,0.059035940046289426,0.1320214461986957,0.08301156274828259,0.7614614371841189,0.05041572656383764,0.021349622284088543,0.0032363998204498756,0.6029641676121553,0.32619500612212526
mar,0.0,0.4718592272284994,0.06601050518094187,0.0,0.3000165096661851,0.34027193635087016,0.27967742988402655,0.4165223092117447,0.5773101622155821,0.22349921359303337,0.0,0.4470350884202503,0.3726782154704349,4.370812159673838,0.18126981368649542,0.3695136361232354,0.7449416041349277,0.0,0.2684753905845412,0.1630559203823836,0.15937687385327592,0.0,0.11176469317324056,0.2032364024713882,0.12701573669287036,0.004440104999553718,0.0,0.0,0.11478252969891312
mup,0.0,0.6631094039330776,0.0643149711148574,0.0,0.0,0.31146708741109386,0.4495958405539451,0.04996381913010506,1.1963806495983587,0.5787635584858251,0.0,0.8160356895697483,0.0808809279187841,0.1751224621675469,5.324751109304071,0.9210528324159579,0.507623509405386,0.007413693264718191,0.04523852554937946,0.13878928790390077,0.01666422532392353,0.07972933512956892,0.11944017589883593,0.8199483321707479,0.025023830383758217,0.0,0.0,0.24964897515726392,0.19894949764517644
npi,0.0,0.5152893766207729,0.052590654946178095,0.0,0.07769076480988701,0.392501836494052,0.31761778927482887,0.3236884407752383,1.2774953792975996,0.3895034625441216,0.0,0.773766325834,0.3483318539783671,0.38573252908788547,0.0,3.214202630843417,0.9124936645248205,0.0,0.11448162079366675,0.10140717544210354,0.0,0.14554939133964773,0.23783090928783324,0.29342482389238533,0.06977646579359842,0.03720298181159576,0.045715619356411,0.5459423815412219,0.11692111938239602
ory,0.0,0.36174192388251925,0.11178995249171031,0.0,0.0,0.43582399332147403,0.21216293644879514,0.08648537407409496,0.0,0.0,0.0,1.131599433424606,0.29232680295509184,0.030610854575165547,0.4464028366880939,0.45304159725602666,7.50964215359768,0.007219245463041091,0.2327702816096444,0.14794386637493417,0.17877222308812435,0.02790585780995336,0.2950331754308486,0.09895053022196709,0.13059132265576867,0.0,0.0,0.09356929140325576,0.05233615839823713
pan,0.0,0.11396023146374734,0.0,0.0,0.044712171114935195,0.15648767513235562,0.48478540843761486,0.2057376953417691,0.0,0.0,0.0,0.3439089977771985,0.22666144665593535,0.35738999912585534,0.1628013561704007,0.4044075699129106,0.41517128854220786,3.3092263752684143,0.14388882992433238,0.0,0.04925902995424991,0.0,0.34997040319568207,0.0,0.025068516541761454,0.0,0.0,0.23042550035478548,0.13835253208556164
