,acf,cat,cbk,crs,fra,hat,ita,lat,mfe,pap,por,ron,spa
acf,14.783297513284355,11.689047116002229,8.731205923076672,13.40296890899704,13.314618582858536,10.780574637807867,8.975314099651667,10.944649963189425,11.168502880388132,8.80906173816341,11.943675991659909,14.661867100546463,11.80900571838462
cat,10.666308513596121,20.888216497052312,10.212878299954546,11.52909725181601,13.552407705195199,10.259648162431937,14.680915961917943,13.463960587346682,11.232513885965911,10.61910073396975,12.378049176105703,14.589279110214864,14.394410542052356
cbk,10.580467326828446,15.232539973543735,14.525350583602254,11.661266941339509,12.539297150225881,10.304053834279243,13.97264394980179,11.476623063435554,11.00613590426259,11.380625232849631,11.881304931022047,12.807765484751837,16.202634736173522
crs,10.791374220652072,12.064089805162823,9.705612871046682,19.751907310213127,12.285862046198577,11.476154776597557,10.52524217941316,9.86890506318544,16.845790371202256,9.269022951465951,8.712545333746876,12.9413547989278,11.499253408489416
fra,10.568914790049664,14.404903472157601,9.917625640288511,10.68030866925016,23.25712278175509,10.218413516253987,12.93129772000838,14.207601364966639,11.828063269623186,9.972540434252233,11.922390809436779,14.106829084601488,12.910732843903542
hat,11.634626881092874,12.432360863203835,9.012262876497719,12.977989156582353,13.251248357792573,14.801577734251042,11.053283929268401,11.293900586541305,10.451521173350036,10.299624442354279,10.042331013427889,12.589800403754092,11.343745570089794
ita,10.10554613454455,14.263684339297637,10.385889173220487,11.621302779282757,12.523843735703124,9.929954923010094,23.76242186488756,13.730056103346916,11.150815571377727,9.989265106490253,11.66810348846458,14.365948453603956,12.850595720650846
lat,10.215082509038059,12.459078446341696,9.876874359638533,11.58504100228184,13.547667666876029,9.956520795430746,12.802587998162132,26.81260385788641,10.886308758813774,10.392114277749648,10.703098572697668,12.721964802410007,11.593306547149682
mfe,10.46284497943651,12.876959899911508,9.654954016640202,15.987686132872506,12.392568731089748,11.253265892798204,11.586606964292173,10.433767195583426,19.97376597772142,9.567089636619155,9.716600860662671,13.502555997095445,11.49320136150794
pap,10.611428861815735,13.837621620724672,10.599721238978779,11.912768020531027,12.607926686366072,10.76460919309432,13.06662929824117,13.455892107779551,11.330556008919348,15.57070517376088,11.691084627913593,13.67299509331332,14.306702293334025
por,10.499116880761736,14.199792705189562,10.571773238007015,11.666575663024826,12.845945497270634,9.887063980719773,14.424485062059631,14.31390138436054,10.790446469331053,10.135878042961036,15.448049227212051,14.35521639606638,14.409438506585786
ron,11.241081140800748,13.455277654451898,9.775961429726316,10.273727294587722,12.074820051789251,9.603923848898313,13.09709913095951,13.814995405902378,10.459147815403734,9.501886526086054,12.731255331130441,22.87188511909493,13.068080631416862
spa,10.420770746401786,15.48183077921665,10.529186019195324,11.331856048184017,12.978001223229452,10.160257447455749,15.23877907310541,13.994099165040103,11.066713106279135,10.67948885032345,12.605839222598217,14.109020335305944,20.098971031867706
