,acf,cat,cbk,crs,fra,hat,ita,lat,mfe,pap,por,ron,spa
acf,4.6418652598443195,1.0475902638431218,0.7792103200272371,2.377575995055403,1.9731599679867244,1.1805867796334408,0.7001994792603353,1.126486598181917,1.8635834740367767,0.5245445096380422,1.5201024636692684,1.90747381906507,1.7092411492251292
cat,1.5097399322633585,7.938068898699881,0.7391474390241715,1.4970140743610956,2.7730476459458955,0.618705052097877,2.552179608788114,1.606619038407927,1.4934903203361927,1.201705239620264,1.7072514540764963,2.3678197933188017,3.0889742499912374
cbk,1.6183685315563152,3.8955117353412834,4.482268375326194,1.6525295540421443,1.7525458934286204,0.9551422548592182,2.934798285203116,1.5329417252392583,1.1849874480659799,1.6788003579008617,2.0726886432801215,2.434793823327189,4.979335726781199
crs,1.149921211716055,1.6417741626478302,0.6526249038045474,8.30049061208327,1.881783092936217,1.867252402739011,1.4682846773848461,1.3409245659333422,5.563538146940666,0.72170462573056,0.9417294910647145,2.167150950452135,1.6012934881846068
fra,1.5300033230575663,2.191813624668771,0.6846817362862386,1.4431053970098664,9.498674617321546,0.6882112931756977,1.7391572796464547,2.069911280823382,1.414636223438898,0.6560476640960057,1.7906860454402405,1.8173018121332372,2.1309663403777472
hat,1.934578456429511,1.4032949461673023,0.7812539820519124,3.2402086416576608,2.0165407028308886,4.451560888524399,1.5159157305219126,1.1891548722685057,2.2180739108648835,0.9127187460191725,1.2283612485213888,1.541226139428888,1.6167115240212837
ita,1.412420491856274,3.5604319621630878,0.9158081685455961,1.4856594422020968,1.8790404540593781,0.624921446183929,9.19559150662436,2.014827344436478,1.303300289739222,0.827342145614964,3.041564808755292,2.336266560066526,3.261381993450635
lat,1.4582661263212517,1.5545810329724437,0.9268764258938613,1.776867653525377,3.132880059563579,0.9907483317521932,2.3257662556930145,11.409441577823744,1.2234140894798806,1.659428973058822,1.8858781523373345,2.5142219184022037,1.8043173508640347
mfe,1.1251503585845533,1.4720974786605452,0.8328944729012567,5.322696634284864,2.036462794206434,1.8882962002875228,1.6996315740802834,1.181918080164107,7.656819666460876,1.0272544860833392,1.4597837108013831,1.9883355060779988,1.6175889595310653
pap,1.4707073473819887,1.820131885472813,1.1374000945108633,2.588328234806665,2.02301853272234,1.0480644421122536,2.006690279002113,2.203752666519708,1.6993002549814595,4.484720963933525,1.572219612086411,2.2924594284238022,2.9372943701238996
por,1.6341651580523016,3.3205190896645083,1.2076935805443116,1.156236574304986,2.2735387211520144,0.37662767626248905,3.78980262494277,1.8788977309687696,1.201766774175206,1.0745218483884713,5.189915844257478,2.8238765740018636,3.9424286752813598
ron,1.7587839745426201,2.157776211476867,0.717333745868997,1.328164696193721,1.8998368396728775,0.3996297516085824,3.097653219486642,2.3113063383626073,1.1921324904039066,0.46375805974419215,2.8575891120907273,9.64633414890068,2.896204388815971
spa,1.7223794144592326,4.416402062327991,1.5031111258466372,1.4524490770931262,2.587867091272045,0.6618769253159031,4.173590891844023,2.0736698247701595,1.3527848467730077,2.024636989781575,3.3388091492064547,2.931949130703434,7.695798934756822
