,ara_BEI,ara_CAI,ara_DOH,ara_MSA,ara_RAB,ara_TUN,eng_ENG
ara_ALE,4.620407288597639,1.4044023406708763,2.0036847707184244,5.538313414402299,4.5437727879094885,6.219725676967077,1.7554618041511285
ara_ALG,4.260212391892969,1.6499472249409153,2.9530823655366185,3.2751856361482967,5.578410129391318,3.9427379343226994,0.45963087923650825
ara_ALX,5.315687394615203,4.528743890926979,3.5283161361417505,5.214551435828854,4.687140923903902,3.352147605997377,2.736504225277603
ara_AMM,2.068785073708938,4.639510362415039,3.980511260069412,3.8319778796785933,0.9430720591633037,2.31523838772479,1.0347140541275237
ara_ASW,2.5078571615144107,3.1725033590834837,0.51818022942712,5.217475724022159,7.931281286006139,2.008346173772323,3.121758086084178
ara_BAG,1.7962237731208248,2.0544613763445447,2.0487105861745816,2.723639663649829,2.3220415788564197,0.5366742631441943,1.5220534979176563
ara_BAS,8.270265822739232,2.7979934155430612,0.012824839478588276,5.081955134455511,2.882969549076761,1.7303268582656501,2.5156590906243133
ara_BEI,3.216684243639942,2.6405901154398377,3.932034018294568,3.0669899569228147,1.983055641199612,1.2189557348950883,3.4464520704845523
ara_BEN,0.33262647002533174,3.8798162344772207,5.1015176738149774,5.0712684392852365,3.1665988256245625,2.467387118159022,2.3021570323355833
ara_CAI,0.3508237425097402,2.0326023102341737,2.535754057246863,4.488918750487575,2.709195443764789,2.738168043578875,3.1577601826738695
ara_DAM,5.669832158108763,7.4743013805747465,3.187168964284582,5.5530003957213765,2.760622779224529,2.147474733934166,4.596278667763861
ara_DOH,1.1123886279759554,3.3761123866512115,5.319638095251316,2.46487701811522,2.124973216341756,3.4991761589279493,1.2222099904514945
ara_FES,1.1921423672653575,3.153225335056183,3.0891864972151404,8.439483715968052,3.5487989302767295,3.2896163392094304,2.709090889531443
ara_JED,2.0133012988159407,3.95144315289086,5.227401371480147,2.131347160187299,0.7126951602730778,3.7032677013373383,3.548960732998853
ara_JER,6.07364734719309,1.620206231692105,3.76925977067737,4.14099163819552,3.3177540917634722,0.9994989132901416,1.6915271073275502
ara_KHA,3.583461806152171,5.006506122859637,2.3993398318729042,5.415704019079283,2.432692827365852,3.059014965130869,0.10042061138831809
ara_MOS,2.362114008590422,2.980591055523799,2.7448588630995063,6.390248733475287,3.0552354431970006,5.585281821325908,2.168178350871625
ara_MSA,4.659422170815853,3.7041634153242264,1.118982780086236,9.17205867998051,1.7439256192731423,1.4388911006386997,3.4698622268728943
ara_MUS,1.559946787219831,2.6470461507998193,3.3664905657867283,6.49749618096059,1.7667599770901374,1.3775794601228637,0.7214225329779099
ara_RAB,0.599899499312708,0.9593830528103633,2.881918851171363,3.280328774822123,0.2511982081085004,2.000543940717888,2.1743945230590755
ara_RIY,2.694423214101877,3.203189364581657,3.9874859815544084,9.682717122932422,1.1519598501022532,3.7444413281894957,2.252876201505851
ara_SAL,2.654075874520859,9.787501832233986,1.2928741417330556,5.88540291312453,0.06576302463005963,1.4079736221852632,1.5426290904084872
ara_SAN,1.1513017568904764,0.03106973821784871,6.722060905162639,4.342647497856113,0.9585039578128458,3.143814975655919,3.2477035590600205
ara_SFX,1.6175279885926666,2.9187361866723873,5.172064473415514,1.451504978162415,0.07478800301693303,0.9164449715650278,0.6294723356103061
ara_TRI,3.016459079177069,3.7255900173734515,1.7087235872940412,3.5280144795392188,2.3000836486992204,2.2754003138971064,1.8547911373123005
ara_TUN,3.8828587645977484,1.4205092748371424,1.5930815783254424,1.821074327765589,3.2206436395273963,3.4520423655780466,2.182638891108395
eng_ENG,7.950416031824171,5.004321938378899,1.2404615393413398,27.01575812270638,9.293804540251294,4.401458615051059,90.36967553098667
