,ara_BEI,ara_CAI,ara_DOH,ara_MSA,ara_RAB,ara_TUN
ara_ALE,29.202716146232856,23.98086561344076,22.409711485443474,20.528348341417548,20.056014009826388,17.645273780307242
ara_ALG,18.733376825474263,20.604773423331014,18.117775483157253,19.883808919413802,22.886212199118273,20.26683266691057
ara_ALX,22.094802758311076,33.651534220410625,20.02831748784115,21.77459486904306,19.977051956546514,18.129155907910533
ara_AMM,27.84991831305264,26.778549483876258,24.13497327518629,22.248755933445796,20.70957057390007,18.009444435410654
ara_ASW,22.57047946363406,32.760673075484135,21.75404954337865,20.259473931342068,19.892820473503086,17.209226066564053
ara_BAG,20.717823984202628,20.64578635649302,23.627518948514343,22.284392302696578,19.51555339159808,17.648583804177157
ara_BAS,20.595000087652814,20.284632798659583,22.460274240435844,21.702616429310716,19.036611927294445,17.409140084852798
ara_BEI,33.26409103068192,20.72077505122393,18.687237820987956,17.3195602540066,18.482048080676357,17.35807531115844
ara_BEN,24.13106751897834,25.9643601422882,25.160998288264715,22.062680867580266,22.34469716860116,19.578830672465028
ara_CAI,22.36521577757299,33.88753912118507,20.956666695239072,20.606792125252092,20.215654819231116,18.212948808261118
ara_DAM,29.1068598348428,23.987392571174176,22.992526882079435,20.555533627426026,20.470376649213733,18.081037188466162
ara_DOH,23.8039484695977,24.31391204674136,36.22642591134808,23.213158194792815,20.857027474796677,17.473400416256858
ara_FES,18.296047313941706,19.605805716603815,19.86878916407796,20.744867662882516,31.07940398702912,18.733912302520476
ara_JED,23.05550762643224,26.17147475267422,25.33585852353019,21.320518027096426,20.797456470476106,17.6316461188967
ara_JER,29.44695355178546,26.010761038784658,23.40574960836642,20.859376810199738,19.82669710557789,18.04383810691947
ara_KHA,22.25454476916534,27.179209662816362,22.59798010507615,25.433172920860876,21.506667301562725,19.027425995123597
ara_MOS,19.69790285867216,19.347075280658675,20.971602012372756,22.331334842221402,18.487903740208104,16.9198562912454
ara_MSA,17.1190099375666,20.772890739415857,18.074289543719022,35.245257307368696,19.55388578591451,16.454556195049406
ara_MUS,22.034672137168993,22.96325923644787,24.55586026230406,27.78762023984983,21.171594728909863,18.437736917894938
ara_RAB,16.808515660341598,18.035396188052104,17.82998844438728,18.358639085448957,31.574674709348066,18.20445841959551
ara_RIY,24.472490645583072,25.674485518262514,28.45145436696909,26.202119637943554,21.03887310073262,18.351009368896975
ara_SAL,28.76369586318886,25.268778700191568,25.165071054602816,21.92772314824348,20.195293794170066,18.142169616979107
ara_SAN,21.201838291604055,24.28488879138385,24.271121463937305,22.58507194735515,18.844388588537026,16.797903436798496
ara_SFX,18.393969458250524,17.523680966988504,17.436992231852038,16.123851403677346,19.716970883815456,26.40617831133987
ara_TRI,21.549489476539573,25.07244953102918,22.089070634692593,20.2090952858873,21.76732419120647,21.37213725038457
ara_TUN,18.55198693840591,17.67194447158448,16.635166980505982,16.309690423838504,20.3102973734952,28.64239168019096
