,ace_Arab,ace_Latn,ary_Arab,arz_Arab,bam_Latn,ban_Latn,ben_Beng,bho_Deva,bjn_Arab,bjn_Latn,bug_Latn,dik_Latn,dzo_Tibt,eng_Latn,fur_Latn,fuv_Latn,gug_Latn,hne_Deva,ita_Latn,kas_Arab,kas_Deva,knc_Arab,knc_Latn,lij_Latn,lim_Latn,lmo_Latn,ltg_Latn,mag_Deva,mni_Beng,mri_Latn,nqo_Nkoo,nus_Latn,pbt_Arab,prs_Arab,scn_Latn,shn_Mymr,spa_Latn,srd_Latn,szl_Latn,taq_Latn,taq_Tfng,vec_Latn,zgh_Tfng
ace_Arab,0.12617481295925537,0.16333873544652805,0.04056560938974892,0.01058150288796991,0.026182868779449413,0.09762388646053867,0.03914753696119063,0.014212353372493174,0.1985131847014522,0.04952361636068424,0.04255634866279677,0.05613622133040964,0.06391772440755897,0.001460523689303303,0.14048213591665823,0.07060094113771379,0.11219158873129362,0.0004848908560875239,0.06401567103640694,0.08482140578937308,0.07221794010474622,0.03276345994500875,0.05884901431175921,0.12485398350979279,0.07812877979370396,0.041228758430305414,0.09842578950075423,0.006676960597076671,0.05718456612323004,0.010590182548109485,0.005676901674264132,0.015461175973776938,0.06316766341903592,0.08040042946567587,0.024681331471064202,0.04304627061829255,0.061819170246582476,0.09102123735401364,0.10524596352270824,0.04716351727857487,0.07123795412368683,0.10354976119086388,0.11320096979186077
ace_Latn,0.12308396526474104,0.21654023189855773,0.0587711970525971,0.04507771468559166,0.05121975975046811,0.06546732149257861,0.08504740123950445,0.04676087807039016,0.107670796514427,0.09904944752489384,0.03321115512028375,0.027721034291105368,0.005485181582454132,0.018064582998837262,0.0015778960242908465,0.04250091984082376,0.09214961270854331,0.1055845756739579,0.03670684742756099,0.0074363960897866534,0.14066596968715211,0.03521403255735834,0.019405965345818597,0.02867687392768334,0.010600656679169092,0.03660590923278636,0.004124417453881823,0.07705663259929912,0.007861535569270621,0.03290434756134752,0.09971411701580697,0.02173252295273038,0.06203677157670127,0.0028076660979190903,0.05850015635250603,0.017164095496946186,0.010759455452147577,0.009452021680104894,0.01990520639804774,0.008052688211167476,0.05819942420325114,0.08642876969194532,0.056017623570105646
ary_Arab,0.06237873789396964,0.21821538585903064,0.1578028691796624,0.23284545008031496,0.03032743995298966,0.12431158312972276,0.04555152515004889,0.04421802279234119,0.04867248523360502,0.053120926793745436,0.04374670783064238,0.06415855455345089,0.06199941083433632,0.006543730477708043,0.1363442393203187,0.0843393556252154,0.16556846590790783,0.01629725673194135,0.05151365257908934,0.09130378377429652,0.09268450392397451,0.04471756523448826,0.05865065686566013,0.19390600250851067,0.08923995624408541,0.048977014947029524,0.0952259855632114,0.009456546662691712,0.07869019471569161,0.013331863504313904,0.004880083804115897,0.017781122696313698,0.09967232048422056,0.08722249492703363,0.025955405577169445,0.028428102262342658,0.1172643673449984,0.14816801384114883,0.08832470965996501,0.05638995069552344,0.11410819232925591,0.1057814603109044,0.09948135588297365
arz_Arab,0.07248171433454516,0.27224560675099846,0.22184314831457277,0.282138906988397,0.030134821312360727,0.11883310598928327,0.04726035032845476,0.03140277615676137,0.08823265422297265,0.04503122558796779,0.04565415310428577,0.04195032699750948,0.059444385571846364,0.005169754714612944,0.11919510380249693,0.09409859210286167,0.15811655420274165,0.010125090634711112,0.05707779942871612,0.08743653589939095,0.09213087475600597,0.0502638711895512,0.04889577302408229,0.14051243447035922,0.0915808696631173,0.04495681249417561,0.09202724781224352,0.008734071980652389,0.1155803599499453,0.01466151006276193,0.005500293814490631,0.02354645774099192,0.10072583412648567,0.09100923909896268,0.02608762619023535,0.023229368323789693,0.08590440284825622,0.14493441151226275,0.089174894162118,0.05219139967155468,0.11082802609096026,0.10080833454181251,0.09656027759483844
bam_Latn,0.1145777995144224,0.0850355067068768,0.09057645058915818,0.007581145770936518,0.17599310932453877,0.051925257553451815,0.07820904206974684,0.03918394976259923,0.17675742148496906,0.029206680841434,0.10407441719849646,0.14105823808011866,0.014009524788553255,0.03493175038744524,0.017830753610117787,0.11528798730627653,0.13514754814010374,0.14427291189373959,0.050981319448389406,0.05480895483864873,0.14827066147129475,0.05741594689186737,0.11218268114507048,0.06479429682090378,0.02719163743230902,0.06398153300777691,0.04919197819498107,0.07560368281929092,0.05009955390252076,0.027938684367636295,0.10036839381143223,0.08956682673992158,0.057891548132464755,0.01667517555131597,0.12310405354674517,0.08296948718713228,0.011658831695961703,0.05355667267837772,0.03935049888336586,0.07938783923437087,0.10398426531606272,0.1163730169374398,0.10705098138835199
ban_Latn,0.11110223801248813,0.072755414650007,0.07766739811425391,0.03900416828870461,0.0514529538549009,0.13508735899012478,0.08007470769618659,0.04730726278714048,0.13795735571722215,0.10951252198436584,0.09868682376950302,0.024191033734610134,0.0043306820560085665,0.04893383821800307,0.00085710545092756,0.04735499790191702,0.08802533519813067,0.12081963280038384,0.04376655042464232,0.010981876053291735,0.10969677266043062,0.03444696614744918,0.013135489858233002,0.023007976975835665,0.012903436916495589,0.03010635944978885,0.004498001965037466,0.08323621480216865,0.007728502513460947,0.029174482157124974,0.07219839840736615,0.018351698833054923,0.06311292157357136,0.0016904729988779098,0.03397870068844498,0.03499829146582101,0.028227525515757097,0.01999010573905339,0.02925590810071656,0.01812456329181893,0.0724004453592382,0.061888651128651814,0.0714228497760166
ben_Beng,0.07159388883669822,0.16910276174157954,0.09208348583878277,0.01378121930470434,0.021478035702825245,0.14782300934010614,0.13703623240377014,0.053594671457602966,0.028459940328137718,0.07883368173901872,0.04612284344132609,0.06225145746480735,0.06610088280346949,0.007471231983223093,0.10401212073586416,0.08330137674391572,0.1080195269741115,0.017276013375189078,0.07042731298233748,0.10645267502621177,0.06853765338815274,0.05771940977309173,0.08759071720250695,0.11640533076829902,0.0890220632997233,0.05327642247382465,0.10233345105465977,0.02558018874064261,0.0784999212810505,0.014930346548683528,0.010746321929452988,0.01825648366544167,0.07487859721132545,0.04201479616731098,0.025317215948395352,0.03954364954330767,0.0634402466367824,0.10589503363147254,0.13231261373139075,0.05644758024239888,0.07377112367676263,0.11046216566980367,0.09604150753403937
bho_Deva,0.06181124260238039,0.15855051998136094,0.1059738847101749,0.013622329916710337,0.0304431048041909,0.10110930491839154,0.024307638397565615,0.21271842951123798,0.023899266006262885,0.0806705212924889,0.051611394781058514,0.0637340616763406,0.06151948443230702,0.007447168966657448,0.12597145532728504,0.0715218547589505,0.11531179008277583,0.15385625336921013,0.03956657110982668,0.09770334925818047,0.09699209167817818,0.08152237993449732,0.06789412707890723,0.14054342515523288,0.08780860004890097,0.04902260128525831,0.11092160037266763,0.3191354614777519,0.055057864277778236,0.013436269219664032,0.008617615154463392,0.01293737901350573,0.043202070521357494,0.036857302664931084,0.024513126426438752,0.04092589182900178,0.0562901039551203,0.09394276571787076,0.13090858567022842,0.053322216480234094,0.08628139162592918,0.09737294055148088,0.11350805453353036
bjn_Arab,0.11749032794374005,0.14789997581800804,0.03505690664899964,0.03576386106041642,0.018763871964380764,0.09246723599747389,0.046408086762751245,0.015837060774828146,0.2074064591560334,0.04429879049051737,0.0413909329023691,0.04704889071719703,0.062229676744318264,0.001503189674217342,0.13077081178409547,0.09459074047831788,0.11544058188755262,0.0009202582704624975,0.040384074330919874,0.04355934943912722,0.07367937573044106,0.03651538175209215,0.042709225391848675,0.12631753864623327,0.09435974056565298,0.039931286283971794,0.08700267097158766,0.00633977323346989,0.06352644875867731,0.011097420066579232,0.004920902195049018,0.032536396168513726,0.07784622015194408,0.040634287023417905,0.025167916114138576,0.029581251040414706,0.06958703249064055,0.09936440931622298,0.07405469714545472,0.049006491490118674,0.08247987421106635,0.10899721316323456,0.10761515398627104
bjn_Latn,0.1264906716851826,0.1300377292719289,0.06444977980994664,0.03675850410970616,0.04581225993413371,0.1093874191267158,0.09774087348360605,0.041650385041518335,0.17553733095487947,0.2633971379099455,0.06877558165541403,0.023449177316857774,0.0018175524782085735,0.033869668885827174,0.0016450876334012448,0.0604600332806511,0.06865435170914835,0.11855088810775329,0.04357258954805133,0.02234607484682167,0.14528823055096882,0.027081421562889358,0.01692934242600745,0.01895539158984746,0.00892988688647933,0.019335868015294747,0.002390734310582938,0.07466109198758812,0.008400493520368537,0.04767971449759078,0.06509646502682516,0.024616515918149076,0.05279027257602033,0.0021404714917573494,0.05167226247009254,0.04981396020598362,0.025561708200174737,0.029742060688337246,0.03632422714276974,0.031704839404937166,0.04551089573043236,0.06774883924742915,0.11785507257498222
