,ace_Arab,ace_Latn,ary_Arab,arz_Arab,bam_Latn,ban_Latn,ben_Beng,bho_Deva,bjn_Arab,bjn_Latn,bug_Latn,crh_Latn,dik_Latn,dzo_Tibt,eng_Latn,fur_Latn,fuv_Latn,hne_Deva,ita_Latn,kas_Arab,kas_Deva,knc_Arab,knc_Latn,lij_Latn,lim_Latn,lmo_Latn,ltg_Latn,mag_Deva,mni_Beng,mri_Latn,nqo_Nkoo,nus_Latn,pbt_Arab,prs_Arab,scn_Latn,shn_Mymr,spa_Latn,srd_Latn,szl_Latn,taq_Latn,taq_Tfng,vec_Latn,zgh_Tfng
ace_Arab,6.644541616835962,7.644537088143862,6.91448050706773,5.489063576583473,6.963061178396325,6.089324797720199,6.746993886257478,4.518500008290486,4.833738321891922,5.067938531230225,4.490162082602475,7.269278889910109,10.197988197136965,6.505654029589618,10.678346083541204,8.29040886066124,7.303679192924411,3.983080609954845,12.264908330064841,6.141297981946957,6.704695845887342,3.620631950502262,10.524134040287944,4.863618809125262,7.3421473054948425,8.738594701965765,9.289437444977477,2.0270998063817296,7.251447926669391,5.857744555288828,8.135430803734586,9.20318753453925,4.674770727777027,6.890641840620064,5.893140450711516,9.266914825472726,6.00086146233862,8.946480068544076,7.2629242724816,8.953413460246127,7.2113421604269785,10.101787604385443,10.07639100811038
ace_Latn,6.714010836357867,8.932457818278863,4.959624892646684,3.146365706740948,5.145564719209619,7.905512664040174,3.783073198263435,4.667424658070816,3.4073750281853594,6.4041523681251125,6.336351697676417,6.183720305735102,4.41078117197727,4.352673031842833,4.3989648708327795,2.203618726133182,5.2164138316583255,4.7419003088595115,2.5638876962046466,3.275126643907749,4.45101053765243,4.0351005797842365,7.804551944831631,3.1652734729535337,5.1745140279172706,3.384308178837648,2.2587911512775967,4.279057043639384,3.3426820338308647,1.9971411780764479,7.9652033846338774,4.452888197620063,6.138677822441102,3.694887863174945,3.275616331620805,3.965126939165965,2.4153223069220835,4.215329152232707,4.49843799629333,4.100128377799443,5.1122704518746245,3.2566644593393463,2.6365107332935045
ary_Arab,5.211343888770962,8.91555977069908,8.328916858255093,7.165688812598169,6.326047686370742,5.023838618980938,6.88399861034295,5.508887518593292,4.014474200278636,5.571208959513243,4.295434266814771,7.101739232651119,10.185978708651588,6.082483158261973,11.63111401656506,7.0689408647130705,7.278014534906078,3.9242895669974063,12.34364556325172,5.446207000141079,6.2389325530210415,3.531277843128537,9.623742708436003,4.217130329387671,7.337048802678107,7.882257486620811,9.268926954196186,2.2160951804862745,7.551831326825891,5.449143977531077,7.207797197395056,8.693247306817952,6.012511364018711,7.073290313725905,6.788173430303362,8.697600623500492,5.0878370528955355,8.253364000094297,6.8609550547778255,8.545446807603554,7.0934506171423,9.519949780979822,9.229095887283108
arz_Arab,5.510095512540772,8.85403378553571,7.945388647625085,8.615863637466248,6.29945496668148,4.968815981962766,6.9485836508499625,5.50394211092506,4.001316134876491,5.551758356114061,4.281882030402792,6.953309151298585,10.211016242570045,6.081263824517144,11.63065952940037,6.966037763490854,7.161151138831588,3.8583496267771173,12.406543910698483,5.321367661081455,6.326623149148919,3.537911841976629,9.682504070349312,3.889429923221108,7.319320695217324,7.995567303287056,9.33219533589812,2.133025577146898,7.49364823755476,5.414426764098371,7.2311927553872835,8.988762771502666,5.845134563360103,6.957961305165358,6.838542260012888,8.92720445980677,5.103244918428258,8.365866381622785,6.904205764140253,8.589598714204357,7.095436043903513,9.395528509404622,9.349095941261096
bam_Latn,6.091157994068964,5.895721668636186,7.739291070786557,8.192467115510633,7.582323919093314,7.175706540527934,4.67271313650806,5.0325541470385495,7.443412177837658,5.792603877168226,7.2805934876992895,8.304881630835599,7.054230138137687,6.185040744249924,6.513917664077827,3.5665540987454927,7.694755337468459,4.039042555298316,4.020100841373811,4.132799329593246,6.324049792527353,3.199235422691789,8.31515477769222,3.33608524640736,5.148772749145735,5.636773436588002,5.372397108440568,2.2729777653920378,5.7200545635007956,4.0480160480002665,6.003736564308373,6.881024522562797,5.897751983471173,6.24944481523797,4.109761302788119,5.05378619655479,3.6055318913970016,7.925273690225172,6.390845403775513,5.566195276166281,5.064433470925319,7.165111622068999,4.950546339613729
ban_Latn,7.141169774644631,7.50571059181665,3.507305902339261,2.2469230100714346,5.435848316295464,12.533839481154535,4.207804354540838,4.099559486260912,3.259326238922329,7.558995881463419,6.518007745690875,6.0701283598557945,3.7989934438922774,5.0361585142995,4.834916416672615,2.8200346543777632,5.5769464520009935,4.23951686681406,2.6696363654728996,2.598005365737257,4.579787266196895,3.7420467516702334,7.526650972330939,3.073159515824077,5.201130316914157,3.2157558877486143,2.4136361718219392,4.828378037491242,1.5941092391316074,2.013151056731157,7.976212626296496,3.490927247877044,5.985024336547651,3.5245376177321632,2.9860148423667705,3.9825996069922396,2.4686936651416334,3.6052608949423477,4.609356700303305,3.8960634024216603,4.926931872548101,2.753133829043506,2.353033835276692
ben_Beng,7.970061462446612,7.899620517327153,8.885732414384215,8.058767429063613,7.218846087129921,6.187477431500006,8.779621846264936,4.706880429661483,6.5906524658594074,5.667141989048539,4.5771511102010844,7.293739341841142,9.81933756311167,6.654423650994791,10.184279500542596,8.87522742026522,7.3522948446494585,4.045376543186929,12.355327865821994,7.633660828135219,6.6432809080490856,6.591232744293982,10.269214714230214,5.95401387088167,7.684115150495073,8.878245307660283,8.813139318050291,2.165389674826177,7.220266239601972,5.374952645747118,5.1171065484584695,8.56071873882705,6.5172249970816205,7.439029720571975,6.088662608012236,8.889159179297122,6.266035047629158,8.835008891778722,7.333902025876679,8.95262406101748,7.3737869868354595,10.405736207317288,9.38306796444978
bho_Deva,6.7050645560845155,7.5222795968900265,8.92323488020203,7.437371764891422,6.887575266125125,6.13752106351212,6.655380953235736,9.127891058066824,5.604249328588999,5.794573163443733,4.4781788598618055,7.161624515340738,9.8414688972705,6.660838530867644,10.05967892038688,8.387615128199833,7.401366712483471,9.077517690875531,11.679886245149419,7.309528954804456,6.254350763430833,6.340770550850336,10.30820762896391,5.414097585647908,7.468645972604262,8.485169430672823,8.919093560334211,6.45128217454005,6.403816092572795,6.303977161608822,5.027146024979222,8.2484752484315,6.541929560023912,7.24758511131484,6.167418794918471,8.941869174248449,6.3944329211494635,8.724306083664052,7.20276109079577,8.224775627078701,7.236928891320008,10.6545586026906,9.582478684366441
bjn_Arab,5.31356292399007,8.28127462304553,6.569849096478262,4.277804592138755,6.664693990197011,5.242339894450743,6.8562665904367766,5.217083526138822,5.092370171533262,5.099734108007158,4.441478482327384,7.155409246362246,10.39484683785338,6.136666239888295,11.571931664150135,7.393725964446181,7.106570487281888,3.931944341556844,12.408360245920475,5.845806929162059,6.629512038028708,3.476839035292565,10.241165927390805,4.014147373788378,7.14304164893108,8.358139283104176,9.393084974124534,2.0446248855559386,7.582217572506397,5.467185708885558,7.254897592104703,9.432751277820289,4.337143456707804,6.922108467451003,6.539231305319171,9.085836934248913,5.4626346970210005,8.802185585869015,7.05130410948186,8.988320120845387,7.209664749370126,9.422958397397183,9.9207527864507
bjn_Latn,6.9808779472656095,7.35936680017187,3.5615608665352494,2.884018575667833,5.005428349277617,8.671301583545727,3.7456997116975166,4.531383374449724,3.0115179835490107,10.38696929685929,6.579639279784399,5.687029988530325,4.034460086524724,4.339550075609211,4.209769504290405,2.5201883759281936,5.307763178095275,4.955630877830615,2.5457752669990845,2.83341273551279,4.130964593424513,3.7770077170258953,7.934072076622976,2.5689510893065584,4.983025227317683,3.250821948826775,2.3351477380973042,5.283754544553505,1.6100724756631495,2.1662172896864362,8.312511814160239,3.4597720833736902,6.089028070754162,3.9080660989520286,2.850160343969362,3.775995933169539,2.20127418100763,3.750846313435441,4.344525019043085,4.110649873313165,5.14015875877036,3.1737239259508887,2.5888594759843597
