,ace_Arab,ace_Latn,ary_Arab,arz_Arab,bam_Latn,ban_Latn,ben_Beng,bho_Deva,bjn_Arab,bjn_Latn,bug_Latn,crh_Latn,dik_Latn,dzo_Tibt,eng_Latn,fur_Latn,fuv_Latn,hne_Deva,ita_Latn,kas_Arab,kas_Deva,knc_Arab,knc_Latn,lij_Latn,lim_Latn,lmo_Latn,ltg_Latn,mag_Deva,mni_Beng,mri_Latn,nqo_Nkoo,nus_Latn,pbt_Arab,prs_Arab,scn_Latn,shn_Mymr,spa_Latn,srd_Latn,szl_Latn,taq_Latn,taq_Tfng,vec_Latn,zgh_Tfng
ace_Arab,0.0694958094497805,0.10527232534921371,0.08650347010314594,0.08337035051633808,0.13128152667258663,0.13731972443079668,0.051700834358872405,0.05739296500301155,0.08531473046736679,0.025369309654193838,0.010137056688316805,0.041033770689489255,0.08252294135912111,0.051186687594126784,0.08529249996721969,0.06584736045130087,0.04612985731924605,0.050489444238039395,0.08202176655031779,0.06286591504072478,0.03515936965338481,0.008486656595299855,0.04980841041442985,0.035157496862159646,0.07945882670602024,0.09037670711030489,0.08939249066751943,0.06981928024256259,0.08284939594472147,0.06706315488265156,0.06232425018347712,0.08525097725448023,0.04659339940776068,0.0941033970230076,0.025744502999786742,0.27908507813910205,0.08100117455701088,0.08394349942826128,0.05209492379435825,0.0805786062111178,0.008916336171333026,0.08538667982987763,0.16516090983964002
ace_Latn,0.03831727342295806,0.30885828012205907,0.1845302453117143,0.07564079078261801,0.07925015096618261,0.6226649625223585,0.08821005744300742,0.0978660893382068,0.06048837590417587,0.3399099576297487,0.08303260646121413,0.022298612162475525,0.05548394699535949,0.05585628762276636,0.09174442972003702,0.05384084629385218,0.03296225359853663,0.10006557552983711,0.15121010860015033,0.04767241119857945,0.017704862267901685,0.02613765064715515,0.04804888645407286,0.05816664282869598,0.03884993641522681,0.07931981180687893,0.026315952931560846,0.06123655642672629,0.055977408865535795,0.030867904367622566,0.2004916588992293,0.05620151215317236,0.11670621139573918,0.1194453587477255,0.06799865184627382,0.10316310532072377,0.06576076008952608,0.07878642783139879,0.06974791039366048,0.03669175592030736,0.12084030345328457,0.05500784331846099,0.07476325969597826
ary_Arab,0.11436183758815065,0.10387141888314833,0.21118176412618286,0.24513361330401962,0.1145036313813878,0.07526305734894542,0.06332174099034203,0.07502002928804304,0.040425922239081695,0.057411000505527644,0.010870340641564941,0.06453645377764432,0.11046910065920154,0.05244122932999248,0.09729594375337682,0.1303651144152963,0.05123510072612159,0.020736280768346663,0.16348337060425072,0.058055115397805,0.02457447693969685,0.00878090635224799,0.015256508669515077,0.05609636913933391,0.1068933621819042,0.10504925122753617,0.09422198198711591,0.07099503363894481,0.10635478540925675,0.0944483970336333,0.06590903382940787,0.08489049043944212,0.09333150556012773,0.1501212124127967,0.043721473084790255,0.30101458030370465,0.11755918705037074,0.09182028841271693,0.057379978641679014,0.05175832146219762,0.013208327428189184,0.12622091446273756,0.11026913346692672
arz_Arab,0.0750055063103285,0.11536420785089353,0.24391886428446952,0.30166103266504457,0.1171702248282252,0.08440918521371338,0.064325566405339,0.07260893130227382,0.03646318126159457,0.09452632855396716,0.010596656630327559,0.06137564261804108,0.12880326708925477,0.046434892096459214,0.09603966081802531,0.16226974203543154,0.04341609384385685,0.028942727658474908,0.17295925857725328,0.042944910807977216,0.03203690265046642,0.012149295460023234,0.014789510535904998,0.0811862790020836,0.08458723961271815,0.1289561535338556,0.07902231263288477,0.06987985459878232,0.0996555944462737,0.07989087142633002,0.06679697366700985,0.09604941137668495,0.0888825776996234,0.11092116796854991,0.03044151258997192,0.30707723209965904,0.11698797368250881,0.07813193323934986,0.047184983643950455,0.05186884655857652,0.00725084864367402,0.15580048856015705,0.18493484159836043
bam_Latn,0.063820416510564,0.07324589009755642,0.17393089418040825,0.16999061741043353,0.18853792903229288,0.3176539491446207,0.05145891521210135,0.08008257671327693,0.06369633864993669,0.12454909760704606,0.10000648895133962,0.03967311249513106,0.06926118148011803,0.0692308138785658,0.1794438618847674,0.049825200494390355,0.036093737554954326,0.08519034121863107,0.06772142596972322,0.08434002940633947,0.06563191244569197,0.04516808945788099,0.057567194013920825,0.09015763943063342,0.044512694401744234,0.06033267019915426,0.06014730266059593,0.07012431806066874,0.05759633227854937,0.05941496009296337,0.10456196174559826,0.07173805208115824,0.09166345412471906,0.12845921534879626,0.047647534849353856,0.14090591551440934,0.11736522185844722,0.07078780876608427,0.09418462855127505,0.049957236988624705,0.10313358019108756,0.11797096980700418,0.09043886629542085
ban_Latn,0.04348450078261152,0.2902684820185626,0.12518216867496168,0.1043726068288953,0.06520816137294362,1.1487539916868716,0.12129208669708788,0.09235795687171344,0.04750895983992184,0.5674659107237584,0.13558583547783348,0.022274005106681868,0.03539197096490888,0.06274127668761757,0.08483478078914056,0.10003895759741728,0.028896492475399552,0.11629635880892704,0.12803302909310324,0.044669023822010934,0.01494877457636998,0.026290690413050963,0.04681771806344144,0.05792910359555689,0.0458238059317958,0.06299042866965136,0.030800469329626386,0.06435996254591073,0.029167773650410955,0.07443789320101019,0.10875574767792551,0.058861321304276765,0.11535006025110892,0.11944465514342344,0.0607262327021677,0.05874997722543719,0.11011386405533788,0.08044746408025072,0.056538154345574375,0.037582321700987215,0.11111051008427342,0.11420620929566308,0.06725402329839193
ben_Beng,0.1114331748575526,0.19262142819439945,0.21529965568980147,0.13945852318923968,0.1755866374333333,0.1636851285403937,0.24996532345351033,0.07448605949026983,0.02909913136599896,0.05446317008846839,0.04965159065109171,0.05936754281610943,0.1327824210853781,0.059067147142952865,0.11652549542015672,0.15174182920518864,0.03902039776479443,0.0640925210001383,0.10589237792698375,0.07201157055205429,0.0852622699154628,0.02562899698775844,0.04607781126301292,0.07737546360930661,0.07980412623837782,0.0904439670139811,0.09100496682663381,0.07530262324524942,0.09415470970126283,0.09382284674715928,0.05196524930784878,0.09880026086008559,0.22437831894894814,0.1724883028354589,0.07701051888094437,0.31345362358339307,0.1458440389111091,0.12205941900335525,0.05320231470679963,0.13735655884055867,0.032876545688630895,0.18040035121640177,0.19901746312204857
bho_Deva,0.1004936832081522,0.09156441583787774,0.21867243629439362,0.09766514625134814,0.1773709008819879,0.11874143659599672,0.05319081086986044,0.35678778243130616,0.015905053241513655,0.05958255301489597,0.017519395338060857,0.06320000487140202,0.08297450111691518,0.04923571859525695,0.13061036420713357,0.13473603508841644,0.044184182942567006,0.3390448624302009,0.14673273926842229,0.08641225729131813,0.0945996205044486,0.040981584417010344,0.04666202179352578,0.06008859302861648,0.07316804680564128,0.0814334782212083,0.060336591431551484,0.07362705585577176,0.0868560046856247,0.16497377765630034,0.055977726374571816,0.1115857288106062,0.12461185911438147,0.1323505796316297,0.036291100704247105,0.329950823061394,0.14288656874529895,0.11812951297164717,0.05470877429398113,0.08171875926690825,0.014325624336785508,0.18203878692391104,0.1844649695541325
bjn_Arab,0.06766908806295309,0.0989217339100931,0.11201593477713427,0.061182304849203936,0.17064989775366785,0.08046193106548674,0.05522705654489535,0.07251867104307659,0.09208726961754121,0.018232311272595083,0.009149292757597825,0.04057193530853136,0.09633230804328996,0.04697000078547615,0.099593011856888,0.08855830574263411,0.03578659380733282,0.03543119151642109,0.08740730329811112,0.05559184645402386,0.024610623187046696,0.006237089038096603,0.03376148859964505,0.037898627994701214,0.11148846906212999,0.10467970214180106,0.07946977523193711,0.07056413931465877,0.09783937901210399,0.04930245320237195,0.05755432031556244,0.09328528865315741,0.046192564024962995,0.0864287601812782,0.030393110777045415,0.2846679238823327,0.06990771461035145,0.11149496915290395,0.051395225568673666,0.07350468417610825,0.007664418969332484,0.0982112146926597,0.1888527526015893
bjn_Latn,0.04888546164086898,0.2493155154869343,0.13043924433093002,0.10435534496352658,0.1435007679341399,0.8318452470357913,0.08705845060889053,0.10484832036776459,0.04526706143720147,0.8782322147210002,0.12005491748450105,0.030284724103061666,0.03883812103146955,0.04790804078292216,0.06030445505091108,0.10764407545070823,0.041868717525114646,0.08975172246127185,0.1494647196776393,0.0877055202046512,0.017672263406926365,0.03750452950625431,0.05128437599495159,0.03361704506774622,0.04109216517078853,0.04967674632089807,0.044165868517073735,0.05043545042774385,0.04073548359723107,0.049478254162155635,0.08947427349996386,0.05598391012135607,0.12554397011628846,0.1931167714164098,0.02095116897631883,0.052789076610710646,0.05848184185559393,0.04757807100857757,0.05033775636563613,0.04065851190650924,0.1051539888742388,0.08687159827448986,0.09728215818767294
bug_Latn,0.035024265319579265,0.13485057266743447,0.10929141372377708,0.07802518681672244,0.09508611452156193,0.6552284837407281,0.10367623563978876,0.08177537256601161,0.038172965805324505,0.35943838886829416,0.13499725673525856,0.05473116648234642,0.03698839426742338,0.02475555192952012,0.06261628863685065,0.08414599133840833,0.026568011186636386,0.11392033899419307,0.1753026097239543,0.05966789513924595,0.005648609500627436,0.027883094346034806,0.02301960553074521,0.04425790211776964,0.04246756148241408,0.08818515095174044,0.03277253596901157,0.027249153092147996,0.030129476009191525,0.03355453460783769,0.09497101720515368,0.03537685136627486,0.11281425439761932,0.08693946434754336,0.11063793903004145,0.08734375841259967,0.08438735688957803,0.06642964370796846,0.056402319650787354,0.027491926655369824,0.12514827023864,0.17977105011301187,0.09050472066470022
crh_Latn,0.07210160070019273,0.05038867613193372,0.14593398778643424,0.1682273951463006,0.05896276766332229,0.19769491941741366,0.048687479434459585,0.08491440233069446,0.0754944212565806,0.14125033026536155,0.05078259492273674,0.1421958800845864,0.07329250423927078,0.06408002889771065,0.09758782080210542,0.05597049134185719,0.04889568498015922,0.033009505027458204,0.12780762088798855,0.05232901330313817,0.10838399997258268,0.02730156443025273,0.052880079973197915,0.0358866517753876,0.031703976947177116,0.059868796798095224,0.09554576507179496,0.06463638670156059,0.05576986696029016,0.024857701793836263,0.14319004764556345,0.05344472567913179,0.0865986236472118,0.13467915145966475,0.0845115535364531,0.08833232140160192,0.11872984091116767,0.06246650529166365,0.08311727908303716,0.04056699126793529,0.08490970799764727,0.12984963273257685,0.04705388739690454
dik_Latn,0.09678128390378363,0.07373559995768102,0.1665234383687023,0.20942537549018134,0.09412270692212274,0.24946599962836416,0.1065520591685019,0.08347934056680076,0.06605970067569936,0.14924109438893995,0.048668589846365476,0.022822619175738006,0.2675005045628361,0.07525193027002183,0.12924021753326087,0.07173617370845507,0.041267914731036914,0.06295705213375956,0.09527677904759604,0.05399855735862536,0.06256092092238838,0.04392668084379147,0.054591120840310044,0.07334822520790142,0.018131015970339073,0.07583331591418874,0.05276367699533786,0.06784896068528794,0.10280722261292145,0.09533574684092962,0.1875177351866148,0.06548082011792804,0.08600404572897515,0.13999650841125558,0.05204932768274969,0.07612203859176073,0.1295460921622202,0.07198431101210827,0.06545260933426848,0.026143642894580987,0.10266308511801193,0.18386958130615919,0.13311866251851248
dzo_Tibt,0.027401506468932413,0.06334762423756678,0.17294893319902693,0.05709647048858486,0.024865894130657006,0.07074733871756188,0.03651138947225279,0.02273861664826378,0.022100408808758177,0.019820551746175488,0.01640381666795972,0.05229776409169049,0.0892477942073227,0.0700603946129991,0.09417800638374382,0.10595560267838816,0.038075032596185464,0.024254435852317794,0.07962772167424047,0.05018137034386749,0.006269429650056041,0.0437079705326035,0.0032004765409445524,0.03972530823072238,0.06182162352955874,0.07584114538126353,0.08423539465317784,0.06725372846981739,0.05483831194616657,0.019310913552459584,0.05046857471978834,0.018263140001676493,0.0037400560191957616,0.06401776061245469,0.03233933368503701,0.06995421721897949,0.09887820644595906,0.021442480776802803,0.022224741754921985,0.006335513014454855,0.01767610824681653,0.025785490338291656,0.154395485371562
eng_Latn,0.06604490617716322,0.09475362121972197,0.10096451197369825,0.09862231590832775,0.07423720867416216,0.40218768969240337,0.10042406967663071,0.09233334363364268,0.04947309518362724,0.056702699802174863,0.041037929848455806,0.018760274574952985,0.10616642332583237,0.054560599031129586,0.5305601010239869,0.16098576910086235,0.037662801884310586,0.08321392086361466,0.15942672530488333,0.08173734714342402,0.02415334803600572,0.044166180697061325,0.02308716374278045,0.04974712755416086,0.032952365822777954,0.06554079279919546,0.04693301610422331,0.05805465103737787,0.04708700235196512,0.05541540970460438,0.09846524486452578,0.0672386273566051,0.13391018761519474,0.09734493832565544,0.08159392724795493,0.08370225157815726,0.15997221500701794,0.06053115036675749,0.046288409269016006,0.027941904281957915,0.08927629465281808,0.11756716502295445,0.038745217670613674
fur_Latn,0.12886981867767372,0.11271808627492003,0.21981469898880268,0.1400034463232477,0.06466592543246226,0.26582286577710723,0.08783197649093173,0.09953573389557688,0.08740275867452194,0.1270143559375574,0.04149465279070385,0.02597680969363379,0.021394403026850133,0.04489429025655032,0.12311298664831502,0.5469599943097757,0.03775947222880996,0.07683060246550569,0.22587990471225605,0.06115081495097126,0.023815114989643102,0.03309157430268136,0.05888862778680809,0.12446163939178435,0.014820874059480139,0.1494977484086175,0.03194873244715433,0.06905799103430336,0.048132630520980685,0.021472429071513487,0.13408764406407866,0.05352637276406781,0.08982970849348336,0.11194772925100278,0.12299508843986078,0.13338019267713755,0.1360957165467738,0.13973686148275524,0.08717967950679238,0.036706905765972304,0.07004657626848361,0.22227903664480622,0.06996876724768832
fuv_Latn,0.03870314293632291,0.06886341632124644,0.1478109659480775,0.11750662755073431,0.15535756408528828,0.45622802706598437,0.07529555579194955,0.14200053746729108,0.0634448508500281,0.1898421786124451,0.09213152059428865,0.05673451094675957,0.145687602725991,0.07840943522938336,0.18915794663403884,0.11380283526318292,0.050080257827078235,0.12381760956951067,0.21259157328294095,0.06273813127743558,0.07633234740746386,0.045924889360817664,0.05252592311205454,0.08933056248316341,0.04557691758054795,0.08560430199051129,0.056630695081284384,0.07123673524650032,0.055974152502917124,0.03624579161674861,0.10321329762397766,0.051551071486540874,0.1316907237926825,0.13696751141028635,0.05847957811680603,0.1940703208043049,0.06240571883027977,0.08364193625179187,0.12424994867513697,0.05490914270482069,0.11388296592842584,0.20667416997762064,0.1143801160946978
hne_Deva,0.08169761462381014,0.08194608084922926,0.1920062407184814,0.09989550134414141,0.12209490512544545,0.11180780300037858,0.0455652298553721,0.2384867719071217,0.014929887322499414,0.04765696611152829,0.015754215470081188,0.05596801909720468,0.07316683160628092,0.06369020528442536,0.0958654444369246,0.115318713267447,0.04837843859185964,0.3994721070414355,0.1546557846741519,0.0625091553047364,0.06912031133661871,0.033665659148468155,0.06745271528241467,0.05065733418850625,0.07268378436724116,0.09658075886096693,0.06013740855156072,0.18116029562383862,0.049069751275229265,0.08738221908831431,0.044517011489507326,0.08089574472450321,0.122250604869469,0.12450077823851038,0.03322794314759708,0.2881463720355241,0.08600307965700543,0.1378236822345346,0.037060324956510966,0.09307735416562272,0.008810238699121809,0.12183682250091113,0.17373773356691033
ita_Latn,0.07801156812324274,0.07495045155859831,0.13650554451142427,0.21408707548451172,0.15976736839964203,0.2248503412956904,0.09753613217859511,0.15697746117984954,0.08362278940976169,0.1802050325203254,0.08083322011540608,0.04456680010464101,0.042833637864629445,0.06776255948052866,0.1636832863032735,0.10228551312177965,0.030977885987299565,0.0978643926854555,0.8864998732288014,0.12741088049613414,0.05316256686018896,0.03140062868148427,0.04716335131768181,0.28965215002049943,0.027820122050183346,0.23391088940276772,0.047367950278118395,0.05840052661527075,0.06698159830008264,0.07231805936494136,0.12650049491043974,0.05890514299671034,0.13874058444669063,0.10276988659644984,0.3506000744216033,0.17484362679810794,0.22715762367402897,0.09620717524715805,0.11638068155997748,0.028428214988522438,0.13814172128431615,0.7969669022760572,0.09271024133926513
kas_Arab,0.044064440405111885,0.10899678903964309,0.055072883137101916,0.05458535829146732,0.1066453024008581,0.08938907158338139,0.06612562846264586,0.0761072084977361,0.01345192588985206,0.054045646660545836,0.025708147134191485,0.05328494818933282,0.10641510880395717,0.05435695933355147,0.10462104739190212,0.14179785624392335,0.043073988774584515,0.03979253521881247,0.10848783429626073,0.2163221371348866,0.06789009532401044,0.008701326243952623,0.022807539210468603,0.04635973742008183,0.07053105229843479,0.10531048904737586,0.06443988663592519,0.07149773312909646,0.07963967727603319,0.06322128917499228,0.06587678412124476,0.10486391160219406,0.07339129219528294,0.08682426771359257,0.04376885082257126,0.24990382532767091,0.12918995062752217,0.09453310534190273,0.04743007738481176,0.06038045411682264,0.00942710118997263,0.19715856369100304,0.19279914626149403
kas_Deva,0.09451197693569882,0.11415093116488295,0.19695023821344915,0.09794955613630889,0.12243264335232268,0.12349356689520781,0.06957490677394751,0.2051163382761775,0.028477235512756927,0.08673877961825922,0.019888724435595587,0.05278978179369669,0.10345148523427654,0.06525988832310639,0.12504308118020013,0.1360832066426638,0.04994979147109963,0.10220609132262548,0.11464392117586328,0.0522497663183934,0.15344361762691933,0.05149603058174357,0.04602342047109176,0.08586554610422985,0.0709414792802004,0.09870160281289386,0.05937029966463435,0.04826640740911304,0.07535192950100071,0.10486205302303671,0.06483549994580252,0.10483158013985942,0.139179693932693,0.08866301421180445,0.07473873673474515,0.3418452322650605,0.15863371077554525,0.1270305084215909,0.05980343743696239,0.08881286984059489,0.01630836650165413,0.2081175688219187,0.1703772161672187
knc_Arab,0.07000930392817478,0.09795469510578601,0.08776079970638184,0.0669458996540531,0.11181606384454817,0.12967849623167885,0.05927016139513349,0.05386403900184537,0.018963847257314228,0.08922787100894491,0.016614329791008454,0.05583711655889901,0.12669383019691766,0.036230942109744355,0.07496219717521091,0.10599184222212336,0.0455609466860422,0.03693412088348512,0.14752066333630826,0.06190394338821838,0.02900456679692128,0.03163399020752391,0.014872183919261192,0.0420542786539835,0.08178585238275912,0.09609055516565086,0.07502129896640125,0.06030632653927703,0.09704962903786146,0.07205835554466818,0.07700419958621607,0.07203443935993672,0.06429272292037615,0.08671998400104687,0.06319729933320918,0.31384068322071423,0.10825607962557472,0.07298470367967971,0.03804674163571166,0.04074932961490021,0.018645606476223424,0.19567344609579895,0.15408123631972476
knc_Latn,0.06868211854375421,0.057835015510969756,0.19852316442042153,0.12332567834758407,0.06511181928437355,0.2865129760175004,0.06301485987051322,0.06832922488341774,0.06368366575504797,0.14779157491208905,0.08372328445907624,0.05722443206975602,0.08766132038828381,0.07483783497897367,0.08181008265092601,0.07580167194221646,0.0503879008468568,0.07071661676713571,0.13334190187065748,0.04720773693327476,0.09190229231705768,0.03688900419920195,0.0424014538878266,0.05750001386921927,0.0178313704240639,0.09053004956424611,0.061610719303894,0.06199775568118326,0.07211102816139908,0.07102006914745633,0.15882238189458361,0.07114514877662054,0.09380295151881436,0.09887923830534306,0.02903632910720678,0.08652907687499989,0.04781506744220671,0.057900757904544284,0.11060875251102806,0.070763926770979,0.08096357094985943,0.33371200401904866,0.09033782324139547
