,ace_Latn,ary_Arab,arz_Arab,ban_Latn,ben_Beng,crh_Latn,dik_Latn,dzo_Tibt,eng_Latn,fuv_Latn,hne_Deva,ita_Latn,mag_Deva,mri_Latn,prs_Arab,shn_Mymr,spa_Latn,taq_Latn,taq_Tfng
ace_Latn,8.932457818278863,4.959624892646684,3.146365706740948,7.905512664040174,3.783073198263435,6.183720305735102,4.41078117197727,4.352673031842833,4.3989648708327795,5.2164138316583255,4.7419003088595115,2.563887696204646,4.279057043639384,1.997141178076448,3.694887863174945,3.965126939165965,2.4153223069220835,4.100128377799443,5.1122704518746245
ary_Arab,8.91555977069908,8.328916858255093,7.165688812598169,5.023838618980938,6.88399861034295,7.101739232651119,10.185978708651588,6.082483158261973,11.63111401656506,7.278014534906078,3.9242895669974063,12.34364556325172,2.2160951804862745,5.449143977531077,7.073290313725905,8.697600623500492,5.0878370528955355,8.545446807603554,7.0934506171423
arz_Arab,8.85403378553571,7.945388647625085,8.615863637466248,4.968815981962766,6.9485836508499625,6.953309151298585,10.211016242570045,6.081263824517144,11.63065952940037,7.161151138831588,3.858349626777118,12.406543910698485,2.133025577146898,5.414426764098371,6.957961305165358,8.92720445980677,5.103244918428258,8.589598714204357,7.095436043903513
ban_Latn,7.50571059181665,3.507305902339261,2.2469230100714346,12.533839481154535,4.207804354540838,6.0701283598557945,3.7989934438922774,5.0361585142995,4.834916416672615,5.5769464520009935,4.23951686681406,2.6696363654728996,4.828378037491242,2.013151056731157,3.5245376177321632,3.98259960699224,2.468693665141634,3.89606340242166,4.926931872548101
ben_Beng,7.899620517327153,8.885732414384215,8.058767429063613,6.187477431500006,8.779621846264936,7.293739341841142,9.81933756311167,6.654423650994791,10.184279500542596,7.352294844649459,4.045376543186929,12.355327865821994,2.165389674826177,5.374952645747118,7.439029720571975,8.889159179297122,6.266035047629158,8.95262406101748,7.3737869868354595
crh_Latn,4.7845147924539475,7.469633189089092,7.977677485580108,4.896886392848007,4.640566287966994,7.610673375297433,6.348623248128808,5.68713915585913,6.088799068870861,6.99892227650236,3.385398861770045,4.601721549757975,2.1565565508874123,2.7311658391022124,5.662750913561436,5.1745156123137015,3.4869094904576152,5.018534839269041,6.183166114408043
dik_Latn,5.6744044978258525,7.6045632939148815,8.229866637096205,5.242420386313923,5.829876001488884,7.874764578953926,8.082989709752125,5.043978335921315,6.693174282634015,7.188861186237642,5.613873949785997,3.3852192511907866,2.1121770663302613,2.5868240669138673,6.319218544686196,3.9396215107467527,3.3021890493980672,5.160240125758643,6.032582955164685
dzo_Tibt,10.076999255851826,8.252254758581195,8.369526316999975,6.88529144437931,6.4895017101326165,8.949642835746547,9.23961694363108,7.821812805081442,11.804597982476462,8.294969867049472,5.417383349979344,13.390868903649352,2.244823650722858,4.481355169178522,8.544339612875552,8.251109570530463,4.360866041750321,7.62366258566428,6.140531356610433
eng_Latn,3.8373229708029033,4.550100007938332,3.1555735783286862,5.570524355115928,3.318581145125833,4.485142490771075,4.0468833159917095,3.5266485857946104,11.693534695049433,5.3906794620302945,2.699917083359378,2.937359832646605,4.346301264935977,1.0725432943996651,3.4422306089684516,4.101545363281361,2.688127309475835,3.6902634270556742,4.891700599201568
fuv_Latn,5.751921575668883,6.608375567540567,5.964892453275064,6.818845664381152,4.2387626498963735,7.913151526729936,5.949035568685574,5.023025469824343,6.822745754458014,7.944211755171812,4.816305516010487,4.209976502174763,3.593091750097245,3.8486268890026287,4.632874900019353,5.79796266041178,2.98345394795053,4.218631693518617,5.1823258545973605
